datetime,open,high,low,close,volume
2021-01-29,327.10001,328.98001,321.72,321.82001,2080436
2021-01-28,332.14001,334.67999,327.17999,327.92999,1834600
2021-01-27,332.28,335.73001,329.67001,332.51001,2664600
2021-01-26,339.0,343.98001,330.69,330.69,3537800
2021-01-25,339.35999,346.89001,337.89999,343.51001,1946344
2021-01-22,338.73999,341.84,337.20999,339.88,1556500
2021-01-21,341.67001,343.60999,338.95999,339.67001,1661800
2021-01-20,342.54001,343.78,339.22,341.67001,1779000
2021-01-19,350.73999,350.97,341.48001,341.5,2017205
2021-01-15,347.09,350.5,344.28,347.26999,1850200
2021-01-14,348.0,354.79001,346.85001,347.44,1960100
2021-01-13,341.41,347.20001,339.17001,345.48999,1646500
2021-01-12,336.51999,343.37,335.63,341.85001,3000900
2021-01-11,335.0,339.0,333.32001,337.67999,3148053
2021-01-08,341.88,343.47,335.01001,336.10001,3225300
2021-01-07,344.35999,347.85001,341.34,342.54999,2047900
2021-01-06,343.0,351.92001,342.78,348.03,1896900
2021-01-05,344.64001,351.19,343.29999,348.79001,1478400
2021-01-04,354.98001,354.98001,341.065,344.64001,1856711
2020-12-31,353.82001,356.03,352.23001,354.98001,1318500
2020-12-30,353.0,356.60999,353.0,354.16,840100
2020-12-29,356.0,357.35001,351.79999,353.89999,1055900
2020-12-28,353.10999,357.82001,351.70999,354.17999,1022537
2020-12-24,352.82999,354.06,350.39999,351.97,508800
2020-12-23,349.95001,355.0,349.39999,351.60001,1307100
2020-12-22,349.35001,350.62,347.39001,347.92001,1820800
2020-12-21,353.16,353.94,346.60001,349.35001,2002334
2020-12-18,352.48999,356.79001,350.01001,355.76999,1813055
2020-12-17,355.86499,357.66,351.88,352.60999,1390937
2020-12-16,357.25,357.89999,353.64999,354.57001,1986200
2020-12-15,359.08499,359.85999,355.44501,357.59,1147324
2020-12-14,363.5,365.62,357.44,357.66,1314639
2020-12-11,354.54999,363.10001,354.285,361.53,1210231
2020-12-10,359.51999,364.22,355.20001,355.39001,1377800
2020-12-09,359.85001,362.59,356.95001,361.35001,1522200
2020-12-08,361.67999,363.17001,358.83499,359.21991,1312303
2020-12-07,366.89999,366.89999,360.54001,362.13,1346156
2020-12-04,363.0,367.70001,362.10999,366.60999,971189
2020-12-03,362.12,369.5,360.95999,362.03,1758000
2020-12-02,364.98999,365.98999,360.01001,361.35999,2519100
2020-12-01,368.47,373.29001,364.87,364.98999,1299700
2020-11-30,370.79001,372.44,363.39001,365.0,1537186
2020-11-27,378.81,378.81,373.45001,374.34,612300
2020-11-25,377.09,381.95001,376.23001,378.34,854800
2020-11-24,375.28,378.48001,373.06,378.48001,959000
2020-11-23,371.54001,374.53,369.85999,370.85001,835315
2020-11-20,375.97,377.23999,367.62,368.01999,1117500
2020-11-19,375.0,377.75,372.17001,376.45999,1075400
2020-11-18,377.48999,383.47,376.23999,377.56,1066800
2020-11-17,375.66,380.48001,375.25,375.89999,1321100
2020-11-16,378.04999,380.69,376.07999,377.13,1271806
2020-11-13,370.85999,376.0,369.23001,375.10999,766858
2020-11-12,367.5,370.57001,365.51001,367.89001,856100
2020-11-11,372.87,373.32999,365.67999,369.28,1115200
2020-11-10,365.0,373.44,363.94,371.28,1708000
2020-11-09,379.60001,381.51999,363.73001,363.95001,1955798
2020-11-06,363.29999,363.73001,357.95001,361.26999,1401000
2020-11-05,374.54999,376.5,363.76999,364.70001,1707900
2020-11-04,371.07001,381.45999,369.51001,372.16,2146400
2020-11-03,357.13,366.20001,356.20999,363.44,1483600
2020-11-02,356.12,359.91,350.72,352.42001,1707437
2020-10-30,350.64001,353.73001,345.64999,350.13,1309800
2020-10-29,350.12,356.19,348.29001,352.54999,1366331
2020-10-28,356.87,360.0,350.45001,350.85999,1679900
2020-10-27,366.60001,367.79001,360.80499,362.42999,797477
2020-10-26,369.42999,369.87,362.50158999999996,368.54999,1325003
2020-10-23,371.67999,376.19,369.01001,374.42999,1034041
2020-10-22,367.5,371.10999,365.14999,368.95999,1255100
2020-10-21,372.20999,375.0,365.0,367.14001,1930600
2020-10-20,382.59,385.79001,371.79999,372.20999,1779200
2020-10-19,387.23999,389.60001,381.67099,383.70999,1180174
2020-10-16,388.48999,389.78,386.09,386.5,952100
2020-10-15,387.32999,388.87,383.22,386.12,792000
2020-10-14,387.67999,395.45999,387.155,390.59,905148
2020-10-13,386.03,390.56,385.35501,388.66,819774
2020-10-12,386.0,390.51001,383.26001,388.92001,793938
2020-10-09,388.59,390.10001,385.38,385.92999,539591
2020-10-08,383.76999,389.17001,382.88501,388.67001,574300
2020-10-07,378.60001,383.84,378.56,382.94,826500
2020-10-06,386.03,386.10999,376.01999,376.45999,954300
2020-10-05,383.23999,385.8891,378.85999,383.95999,825249
2020-10-02,375.77499,383.47659,374.28,380.67999,1087148
2020-10-01,384.01001,389.98999,379.0,380.79001,943432
2020-09-30,389.47,389.76001,380.51001,383.28,1406700
2020-09-29,390.45999,393.12,387.51001,388.73999,619100
2020-09-28,390.0,396.60999,389.64999,390.51001,961247
2020-09-25,377.48999,388.38,376.45001,386.70001,1211354
2020-09-24,383.35999,384.38,375.095,378.76999,944022
2020-09-23,389.69501,394.42708999999996,381.98999,383.35001,963238
2020-09-22,381.82501,392.39499,381.3443,388.5,1028153
2020-09-21,388.51001,389.86581,377.23001,379.72,1243886
2020-09-18,395.0,398.98999,394.55499,395.39999,1134572
2020-09-17,392.0,398.44,389.54001,395.82001,763165
2020-09-16,391.82999,399.60001,390.92999,395.26999,745101
2020-09-15,395.45999,396.0,386.89999,392.07999,729810
2020-09-14,393.70001,396.62881,391.62,393.70001,832803
2020-09-11,379.01999,390.42001,379.01999,389.38,788987
2020-09-10,386.87,388.53229,378.32999,379.04999,608442
2020-09-09,382.89999,389.29999,381.0101,385.25,756871
2020-09-08,384.48001,385.20999,378.35999,380.45999,870842
2020-09-04,388.12,391.33429,379.57999,384.89001,774856
2020-09-03,399.54001,401.87549,383.38,386.29001,1235752
2020-09-02,385.29001,398.89001,384.10999,398.20999,1063676
2020-09-01,387.79999,389.185,385.0,386.89001,833814
2020-08-31,392.51001,394.56,388.48001,390.20999,727669
2020-08-28,395.51001,395.98499,391.73001,395.59,623023
2020-08-27,396.56561,400.08499,394.88,395.01999,530508
2020-08-26,393.0,397.66,390.56,395.44,743782
2020-08-25,395.85999,402.375,392.39999,394.82999,876660
2020-08-24,391.5,395.57001,390.01349,394.95999,826056
2020-08-21,387.23001,390.79001,386.89999,389.42999,640645
2020-08-20,388.04999,389.20001,383.5975,387.72,1033246
2020-08-19,390.23999,391.97,388.84,390.10001,533932
2020-08-18,389.17001,391.91,388.3938,390.17999,672269
2020-08-17,394.69,395.19,387.73001,388.95999,628909
2020-08-14,389.35001,394.20001,388.01999,391.63,533989
2020-08-13,392.39001,394.01999,387.0,389.35001,856278
2020-08-12,394.5,396.5,391.29001,392.32999,762714
2020-08-11,391.95001,399.48999,391.35999,391.79999,1244705
2020-08-10,386.315,391.10089,385.95999,389.51999,754337
2020-08-07,378.76001,386.66,378.76001,385.62,816998
2020-08-06,381.81,383.19,378.10999,379.76999,626759
2020-08-05,379.685,384.87,378.26999,383.38,853048
2020-08-04,378.82001,380.84241000000003,376.29001,378.0,773243
2020-08-03,377.0,378.41,371.44,377.20001,847336
2020-07-31,379.85999,381.37,373.67499,379.07999,911025
2020-07-30,382.51999,385.83499,380.85999,381.72,882145
2020-07-29,389.45499,390.47008999999997,384.69,387.35999,829608
2020-07-28,382.04501,390.20999,382.04501,386.95001,1021467
2020-07-27,385.88,385.98999,380.10999,382.09,876191
2020-07-24,388.94,393.23001,383.62,386.10001,1041455
2020-07-23,393.28,394.14999,385.70999,387.78,1255265
2020-07-22,375.14999,394.67001,375.14999,394.20999,2162200
2020-07-21,377.98001,378.89999,370.57999,375.12,1861985
2020-07-20,368.57001,368.98999,362.427,365.57999,1279253
2020-07-17,366.48499,369.0,362.85001,368.48999,646043
2020-07-16,362.54001,365.94,359.01999,365.73001,167059
2020-07-15,361.04001,365.56,360.56,364.60001,111248
2020-07-14,349.98999,355.92001,349.13,355.45999,111581
2020-07-13,353.73999,357.01999,348.85999,353.20001,112986
2020-07-10,341.66,349.32999,341.66,349.25,133788
2020-07-09,348.51001,349.31,339.1853,340.07001,154673
2020-07-08,354.97,357.2897,348.67981000000003,350.23001,243281
2020-07-07,362.72,362.92249,352.78,353.26001,200127
2020-07-06,361.92001,366.84,360.84,362.5,217167
2020-07-02,363.95999,366.06989,360.69,361.88501,208932
2020-07-01,366.34,368.29001,360.31,360.42001,1414556
2020-06-30,365.35001,367.25,362.41,364.92001,1482100
2020-06-29,360.39001,367.5,359.48999,367.5,1049075
2020-06-26,359.56,367.42001,355.01001,356.76001,2008600
2020-06-25,358.01999,363.31,353.32999,362.78,307247
2020-06-24,371.0,371.0,358.32001,359.92999,534557
2020-06-23,377.95999,378.76999,371.03751,371.84,316914
2020-06-22,372.20999,376.815,370.44,376.0,277160
2020-06-19,383.59,383.59,372.0,372.42001,508909
2020-06-18,379.10001,381.25,376.07001,378.39001,391162
2020-06-17,383.0,386.23499,376.92001,382.10001,294657
2020-06-16,386.45999,391.67999,379.595,382.76999,526379
