datetime,open,high,low,close,volume
2021-01-29,46.38,47.125,44.59,45.49,2866073
2021-01-28,47.85,49.08,47.48,48.56,1177700
2021-01-27,47.74,48.12,46.41,46.84,1669600
2021-01-26,50.74,51.08,49.03,49.12,922100
2021-01-25,49.72,50.42,49.16,50.15,1276016
2021-01-22,50.31,51.08,49.99,50.7,1955200
2021-01-21,52.35,52.73,51.19,51.21,1014800
2021-01-20,52.69,53.29,52.34,52.47,1000400
2021-01-19,51.88,53.14,51.41,52.61,1922923
2021-01-15,51.79,52.23,51.09,51.4,1474300
2021-01-14,52.15,53.07,51.83,52.75,2028300
2021-01-13,51.94,52.4,51.25,51.66,1790600
2021-01-12,51.87,52.88,51.35,52.29,1282900
2021-01-11,51.26,52.1,50.58,51.48,1447419
2021-01-08,52.65,52.72,50.45,51.41,1285300
2021-01-07,53.54,53.86,52.29,52.63,2158300
2021-01-06,50.94,53.59,50.84,52.57,2315000
2021-01-05,48.84,49.85,48.69,49.11,1207900
2021-01-04,50.79,50.96,48.29,48.82,1346857
2020-12-31,49.49,50.47,49.04,50.31,679100
2020-12-30,49.5,50.0,49.31,49.58,687300
2020-12-29,50.0,50.36,48.82,49.16,772900
2020-12-28,50.25,51.38,49.69,49.89,1141846
2020-12-24,49.84,49.9299,49.04,49.74,469609
2020-12-23,48.8,50.19,48.69,49.95,1334600
2020-12-22,48.77,49.03,47.95,47.97,4735900
2020-12-21,48.15,48.77,47.25,48.43,1037265
2020-12-18,49.48,49.88,47.74,48.61,1355646
2020-12-17,49.64,49.64,48.85,49.46,1136036
2020-12-16,50.77,50.8,49.87,50.24,1151700
2020-12-15,50.66,50.86,48.88,50.36,1063668
2020-12-14,52.44,52.46,49.88,50.05,1789646
2020-12-11,51.48,51.9,50.695,51.34,1101959
2020-12-10,51.55,52.93,51.23,52.65,1246100
2020-12-09,53.9,54.69,52.32,52.59,2415200
2020-12-08,52.37,53.695,52.215,53.06,990853
2020-12-07,53.68,53.99,52.67,53.18,1997880
2020-12-04,53.09,54.79,53.04,54.73,1415232
2020-12-03,51.53,52.88,51.14,52.21,1899200
2020-12-02,49.58,51.78,49.0,51.35,2307200
2020-12-01,49.33,50.44,48.88,49.9,1837400
2020-11-30,48.7,49.56,47.02,47.22,2594483
2020-11-27,50.19,50.59,49.09,49.16,905800
2020-11-25,49.84,50.6,49.12,50.19,1519800
2020-11-24,47.83,50.93,47.83,50.91,3054100
2020-11-23,45.13,46.76,45.01,46.59,1715948
2020-11-20,44.16,44.46,43.56,44.16,1296600
2020-11-19,43.31,44.79,42.61,44.62,1739600
2020-11-18,43.12,45.35,43.12,43.92,1925041
2020-11-17,41.91,43.14,41.25,43.1,2114500
2020-11-16,43.92,43.99,42.473,42.82,2344418
2020-11-13,40.3203,41.89,40.23,41.67,1158520
2020-11-12,40.38,40.67,38.56,39.36,3052900
2020-11-11,42.5,42.5,40.53,41.29,1922700
2020-11-10,42.98,42.99,41.38,42.44,2986400
2020-11-09,38.35,44.36,38.31,42.63,6367573
2020-11-06,36.27,36.69,33.75,34.07,3075200
2020-11-05,36.0,36.8,35.1,35.9,3318600
2020-11-04,36.01,36.9,34.63,35.03,2768700
2020-11-03,37.14,38.28,37.03,37.39,2133000
2020-11-02,35.79,36.59,34.77,36.37,1870747
2020-10-30,33.64,35.16,33.5,35.1,2721300
2020-10-29,32.49,34.23,31.95,34.02,1630800
2020-10-28,32.76,33.81,32.65,32.71,2234400
2020-10-27,35.56,35.56,33.77,33.78,1146572
2020-10-26,36.39,36.42,35.21,35.79,1460103
2020-10-23,37.3,38.1,36.87,37.05,1559364
2020-10-22,34.4,36.99,34.36,36.89,2381600
2020-10-21,34.17,35.0,33.89,34.52,1454900
2020-10-20,34.35,35.18,34.03,34.5,1508700
2020-10-19,33.98,34.63,33.6815,33.72,1110040
