datetime,open,high,low,close,volume
2021-01-29,48.84,48.96,48.07,48.245,532537
2021-01-28,48.92,49.92,48.57,48.96,1236500
2021-01-27,49.56,50.11,48.51,48.98,1452400
2021-01-26,50.5,50.5,49.55,49.84,1077400
2021-01-25,49.41,50.68,49.05,50.5,2205332
2021-01-22,49.82,49.82,48.71,49.41,1283500
2021-01-21,49.77,50.16,49.51,49.75,920300
2021-01-20,49.31,50.15,49.22,49.92,1867000
2021-01-19,49.86,50.12,49.03,49.63,1792319
2021-01-15,47.94,49.57,47.71,49.47,1652400
2021-01-14,48.68,48.7,47.56,48.09,936400
2021-01-13,48.19,48.95,47.98,48.75,951500
2021-01-12,48.4,48.54,47.21,48.03,920700
2021-01-11,49.33,49.5585,48.23,48.55,1005947
2021-01-08,49.2,49.47,48.66,49.35,1183500
2021-01-07,50.95,50.95,49.09,49.11,1317600
2021-01-06,50.58,51.28,50.23,51.0,969900
2021-01-05,50.5,50.79,50.02,50.25,968100
2021-01-04,51.53,51.53,50.27,50.49,787530
2020-12-31,50.49,51.61,50.42,51.53,916200
2020-12-30,50.52,51.0,50.36,50.76,563800
2020-12-29,50.61,50.91,50.26,50.48,1048600
2020-12-28,50.35,50.82,50.129,50.31,727464
2020-12-24,49.58,50.07,47.61,50.02,743200
2020-12-23,50.47,50.68,49.54,49.54,1005300
2020-12-22,50.31,50.34,49.91,50.18,1059700
2020-12-21,50.54,50.81,49.38,50.34,1553996
2020-12-18,51.57,51.89,50.67,51.05,857019
2020-12-17,51.84,52.31,51.67,51.72,905049
2020-12-16,52.58,52.86,51.62,51.64,1378800
2020-12-15,51.56,52.58,51.22,52.39,820734
2020-12-14,52.2,52.47,51.32,51.34,644162
2020-12-11,51.58,51.83,51.43,51.71,635727
2020-12-10,51.99,52.36,51.49,51.86,1016100
2020-12-09,52.81,52.85,51.92,52.3,1161800
2020-12-08,53.1,53.315,52.55,52.76,973168
2020-12-07,53.02,53.37,52.735,53.335,1267010
2020-12-04,53.34,53.77,52.66,52.86,960761
2020-12-03,53.69,53.69,52.88,53.36,1485100
2020-12-02,53.15,53.85,52.69,53.82,1412100
2020-12-01,52.96,53.7,52.81,53.37,1355900
2020-11-30,52.61,52.95,52.11,52.6,1526385
2020-11-27,53.39,53.71,52.56,52.76,461200
2020-11-25,53.42,53.87,52.76,53.51,1281400
2020-11-24,53.04,53.5,52.55,53.37,1208600
2020-11-23,53.16,53.4,52.6,52.75,1048960
2020-11-20,52.52,53.15,52.16,52.87,1667800
2020-11-19,53.6,53.71,52.22,52.47,1022600
2020-11-18,55.0,55.08,53.01,53.06,1170401
2020-11-17,56.23,56.55,54.66,54.73,1405600
2020-11-16,57.01,57.052,55.79,56.44,991959
2020-11-13,56.51,56.8,55.855,56.19,756404
2020-11-12,57.17,57.39,55.86,56.13,1282000
2020-11-11,57.17,57.78,56.98,57.42,733900
2020-11-10,56.41,57.38,56.41,56.96,1132500
2020-11-09,56.41,58.1,56.3,56.63,1497297
2020-11-06,55.25,55.79,54.05,54.57,1047800
2020-11-05,55.86,56.17,54.65,54.88,1145900
2020-11-04,56.3,57.48,55.12,55.34,1551400
2020-11-03,55.92,57.52,55.71,56.44,1951500
2020-11-02,56.06,56.93,55.39,56.69,1311883
2020-10-30,55.42,55.74,54.64,55.28,1348000
2020-10-29,54.78,56.27,54.15,55.57,967500
2020-10-28,56.19,57.06,55.43,55.52,1267500
2020-10-27,57.05,57.52,56.63,57.16,775079
2020-10-26,56.29,57.01,56.1,56.83,797791
2020-10-23,56.85,56.85,56.13,56.69,573848
2020-10-22,55.5,56.65,55.33,56.46,1243500
2020-10-21,55.0,56.08,54.98,55.64,1527000
2020-10-20,54.89,55.38,54.62,55.14,845800
2020-10-19,54.98,55.22,54.56,54.72,955096
2020-10-16,54.49,55.23,54.21,54.89,1339700
2020-10-15,53.71,54.88,53.62,54.55,874600
2020-10-14,54.29,54.49,53.76,54.05,547055
2020-10-13,54.38,54.47,53.66,54.08,674827
2020-10-12,54.63,55.2,54.585,54.72,1247401
2020-10-09,55.22,55.52,54.48,54.75,746500
2020-10-08,54.22,55.2,54.08,55.17,1084815
2020-10-07,54.73,54.84,53.74,54.08,1063000
2020-10-06,53.53,54.87,53.15,54.39,1334900
2020-10-05,53.15,53.52,52.53,53.31,1433681
2020-10-02,52.195,53.47,52.02,53.09,1294305
2020-10-01,51.57,52.53,51.57,52.32,1274449
2020-09-30,51.56,51.87,51.24,51.65,1583600
2020-09-29,51.66,51.7073,50.99,51.08,717612
2020-09-28,51.66,51.965,51.24,51.49,1217225
2020-09-25,49.52,51.52,49.305,51.35,1567989
2020-09-24,49.8,50.31,49.417,49.93,1064146
2020-09-23,50.09,50.425,49.79,49.83,828120
2020-09-22,49.67,50.47,49.6425,50.0,881895
2020-09-21,50.3371,50.77,48.89,49.83,1324143
2020-09-18,52.02,52.11,50.88,50.97,1295873
2020-09-17,52.77,52.77,51.79,52.18,771712
2020-09-16,52.75,53.67,52.62,53.07,1179422
2020-09-15,52.79,53.55,52.6,52.76,1146306
2020-09-14,52.12,52.57,51.84,52.31,1825689
2020-09-11,52.11,52.21,51.515,51.87,1504370
2020-09-10,53.51,53.885,52.06,52.09,1483512
2020-09-09,52.96,54.46,52.96,53.77,2473527
2020-09-08,53.28,53.36,52.31,52.66,1654767
2020-09-04,54.2,54.385,52.66,53.29,1528994
2020-09-03,54.85,55.15,53.57,53.98,1431991
2020-09-02,53.47,54.85,53.21,54.65,1889243
2020-09-01,53.98,54.07,53.25,53.48,856716
2020-08-31,54.09,54.6,54.015,54.15,960894
2020-08-28,54.05,54.35,53.5575,54.31,714708
2020-08-27,54.47,54.74,53.795,54.01,746407
2020-08-26,54.32,54.34,53.32,54.04,1092894
2020-08-25,54.95,54.95,54.14,54.26,787373
2020-08-24,54.27,54.69,53.6,54.64,617899
2020-08-21,53.81,54.2,53.16,54.08,745436
2020-08-20,53.5,54.13,53.15,53.62,584391
2020-08-19,53.81,54.06,53.465,53.82,805216
2020-08-18,53.79,54.01,53.31,53.65,693097
2020-08-17,54.04,54.47,53.69,53.9,778672
2020-08-14,54.08,54.405,53.65,53.77,571806
2020-08-13,53.81,54.13,53.4,53.98,1089514
2020-08-12,53.95,54.44,53.55,53.92,772759
2020-08-11,55.6,55.6,53.49,53.69,827933
2020-08-10,55.03,55.59,54.64,55.38,1034154
2020-08-07,52.57,55.12,52.22,54.73,1138536
2020-08-06,52.76,53.45,52.35,53.34,1127927
2020-08-05,54.12,54.17,52.75,52.89,1375816
2020-08-04,53.54,54.13,53.415,53.8,1026392
2020-08-03,52.8332,53.84,52.8332,53.5,623577
2020-07-31,53.63,53.9,53.01,53.85,899117
2020-07-30,53.22,53.95,53.16,53.79,855769
2020-07-29,53.79,54.11,53.5,54.02,627712
2020-07-28,52.79,53.94,52.5791,53.64,889674
2020-07-27,53.01,53.13,52.36,52.89,945209
2020-07-24,53.45,54.0,52.81,53.12,1212807
2020-07-23,52.7,53.44,52.67,53.27,1387286
2020-07-22,50.35,52.61,50.27,52.54,1273278
2020-07-21,50.39,51.43,50.26,50.74,989229
2020-07-20,50.55,50.9,50.25,50.43,673287
2020-07-17,50.0,50.83,49.87,50.75,671833
2020-07-16,49.31,49.94,49.25,49.72,181566
2020-07-15,50.04,50.54,49.34,49.37,1283800
2020-07-14,49.29,49.66,48.9,49.51,200437
2020-07-13,48.93,49.335,48.66,48.95,228005
2020-07-10,48.3,49.3,48.3,49.04,135615
2020-07-09,48.37,48.475,47.52,48.26,138707
2020-07-08,48.42,48.73,48.05,48.51,122734
2020-07-07,48.58,48.73,48.11,48.48,224530
2020-07-06,49.85,50.19,48.76,49.0,313187
2020-07-02,49.12,49.635,49.09,49.41,157416
2020-07-01,47.77,48.96,47.7,48.76,864673
2020-06-30,47.41,48.14,47.29,47.84,1489000
2020-06-29,47.61,47.64,46.715,47.4,1321030
2020-06-26,46.83,47.56,46.4,47.05,3342600
2020-06-25,47.06,47.18,46.15,46.79,425513
2020-06-24,47.43,47.6,46.57,47.17,456959
2020-06-23,49.5845,49.67,47.67,47.9,279998
