datetime,open,high,low,close,volume
2021-01-29,49.01,49.34,47.4425,48.09,11005533
2021-01-28,49.18,50.65,47.81,49.08,14894100
2021-01-27,51.59,51.99,47.5,49.04,14913800
2021-01-26,52.98,53.59,52.39,52.42,6802200
2021-01-25,53.52,53.52,51.62,52.98,8758543
2021-01-22,54.49,54.75,53.52,54.18,4990900
2021-01-21,54.25,55.88,54.13,55.38,5026900
2021-01-20,54.62,55.36,54.09,54.43,5890600
2021-01-19,53.9,54.71,52.325,54.45,8017594
2021-01-15,55.37,55.73,53.33,53.44,9518200
2021-01-14,55.8,56.17,54.12,55.68,7755700
2021-01-13,56.33,56.55,54.08,55.3,8293600
2021-01-12,56.9,57.25,55.75,56.62,5031700
2021-01-11,56.88,57.0,56.0611,56.41,4577131
2021-01-08,58.28,59.79,57.01,57.92,6858600
2021-01-07,58.5,58.93,57.63,58.15,4685300
2021-01-06,59.05,60.25,57.98,58.54,4053700
2021-01-05,57.79,59.69,57.72,59.44,2879200
2021-01-04,59.8,60.29,57.32,57.95,4192658
2020-12-31,58.86,59.9,58.32,59.6,3254400
2020-12-30,58.4,59.39,58.13,58.74,2178700
2020-12-29,59.35,59.63,58.07,58.11,3075700
2020-12-28,58.05,59.05,57.36,58.98,3902083
2020-12-24,57.37,57.49,56.71,57.01,881969
2020-12-23,56.29,57.7,56.29,57.19,2071100
2020-12-22,56.66,56.83,55.88,56.25,2704000
2020-12-21,55.68,57.45,55.215,56.88,3262251
2020-12-18,57.3,57.77,56.45,57.45,3404893
2020-12-17,58.41,58.41,56.77,57.33,3211556
2020-12-16,57.85,57.85,57.01,57.64,2813400
2020-12-15,57.0933,58.17,56.27,57.88,3332681
2020-12-14,57.54,57.54,56.285,56.53,4576628
2020-12-11,57.302,57.8,56.32,56.75,2530223
2020-12-10,57.05,58.27,57.05,57.3,3221300
2020-12-09,58.73,58.9,57.36,57.99,3632400
2020-12-08,58.3,59.48,58.21,58.58,2336323
2020-12-07,59.87,59.9,58.545,58.94,3938201
2020-12-04,58.69,60.12,58.69,60.11,3788870
2020-12-03,58.58,59.75,58.1,58.66,5297200
2020-12-02,56.47,58.17,56.2,57.61,4792400
2020-12-01,56.59,57.34,56.09,56.62,3580100
2020-11-30,56.25,56.37,54.895,55.71,4259405
2020-11-27,56.59,57.17,56.45,56.59,1816900
2020-11-25,57.9,58.2,56.36,56.54,6087700
2020-11-24,57.92,58.86,57.35,58.08,4944400
2020-11-23,56.07,57.0,54.87,56.69,5985157
2020-11-20,58.03,58.35,55.85,55.9,7507200
2020-11-19,57.35,58.78,56.8,58.56,3627700
2020-11-18,57.34,58.38,56.8,57.31,2663464
2020-11-17,57.63,58.28,56.8,57.5,3541000
2020-11-16,59.98,60.2,58.14,58.38,7318034
2020-11-13,55.5,58.3489,55.28,58.28,5513036
2020-11-12,55.64,56.96,55.11,55.56,5679500
2020-11-11,58.91,58.91,56.61,56.95,6306400
2020-11-10,58.35,59.4,57.07,58.57,8730800
2020-11-09,59.97,60.88,55.83,57.87,16060007
2020-11-06,52.24,53.25,51.42,52.98,5059500
2020-11-05,50.02,52.8,49.94,52.6,8832000
2020-11-04,48.9,51.11,48.45,49.91,4409400
2020-11-03,49.64,50.14,48.84,49.02,4198900
2020-11-02,48.71,49.65,48.18,49.17,5260517
2020-10-30,47.19,48.4,46.96,48.06,5208900
2020-10-29,46.75,48.28,46.65,47.84,4204800
2020-10-28,46.98,47.86,46.44,46.86,5914200
2020-10-27,49.94,50.44,47.972,48.29,6063952
2020-10-26,49.95,50.33,48.79,49.13,5162364
2020-10-23,49.73,50.98,49.67,50.69,6144126
2020-10-22,49.19,50.25,48.22,49.81,13413200
2020-10-21,45.88,46.47,45.66,45.94,3755200
2020-10-20,45.03,46.48,44.86,46.2,4653500
2020-10-19,45.25,46.28,44.85,44.96,7684012
2020-10-16,45.81,46.24,45.0,45.37,3107700
2020-10-15,44.5,45.78,44.36,45.74,6623600
2020-10-14,44.88,45.57,44.84,44.98,3496525
2020-10-13,45.48,45.88,44.08,44.82,4873648
2020-10-12,45.65,46.49,45.61,46.17,4727050
2020-10-09,46.17,46.3719,45.1,45.72,7027206
2020-10-08,46.35,46.66,45.95,46.11,3712278
2020-10-07,46.96,47.1,46.11,46.18,3654100
2020-10-06,46.64,48.05,46.29,46.42,4911300
2020-10-05,46.15,46.28,44.95,46.22,7116283
2020-10-02,45.23,46.6048,44.79,46.15,3769351
2020-10-01,46.51,46.92,45.92,46.22,5103405
2020-09-30,47.11,47.67,46.31,46.66,3064000
2020-09-29,47.57,47.69,46.33,46.72,2032635
2020-09-28,47.57,48.129,47.2,47.62,2748450
2020-09-25,45.62,47.205,45.53,46.94,4365435
2020-09-24,44.86,45.97,44.06,45.9,6461458
2020-09-23,46.66,47.46,44.96,45.05,4163210
2020-09-22,46.51,47.38,45.88,46.25,3868962
2020-09-21,46.93,47.21,45.18,46.44,6171055
2020-09-18,48.96,49.76,48.73,48.98,5249008
2020-09-17,48.71,49.32,48.58,49.07,5037365
2020-09-16,51.63,51.73,47.2306,49.68,11974072
2020-09-15,53.56,53.56,51.81,51.85,4786466
2020-09-14,52.11,53.18,52.11,53.09,3840342
2020-09-11,52.94,53.14,51.26,51.9,4620526
2020-09-10,51.21,53.1,50.91,52.32,5454850
2020-09-09,51.81,51.81,50.51,50.83,3619759
2020-09-08,51.05,52.45,50.6,51.69,7532577
2020-09-04,51.31,52.44,50.96,51.96,7349996
2020-09-03,51.59,52.27,49.92,50.63,5513281
2020-09-02,49.74,51.64,49.6,51.32,6554058
2020-09-01,50.56,51.32,49.58,49.65,7462721
2020-08-31,52.08,52.1,50.71,50.71,4779581
2020-08-28,51.12,52.96,50.68,52.16,6537899
2020-08-27,49.9865,51.285,49.82,50.53,4648842
2020-08-26,50.02,50.19,49.11,49.87,3367359
