datetime,open,high,low,close,volume
2021-01-29,76.29,76.33,73.32,74.7,845930
2021-01-28,74.34,77.41,73.875,76.91,909900
2021-01-27,75.64,75.995,72.615,73.38,1392300
2021-01-26,78.61,78.78,76.78,76.93,1148100
2021-01-25,77.55,78.53,76.14,78.03,823856
2021-01-22,77.08,78.59,76.68,78.15,844300
2021-01-21,77.33,77.44,76.135,77.07,540400
2021-01-20,76.95,77.97,76.45,77.37,656200
2021-01-19,79.22,79.38,77.01,77.09,873581
2021-01-15,77.73,79.09,76.93,78.5,937100
2021-01-14,77.17,79.45,76.87,78.14,953400
2021-01-13,74.81,77.58,74.27,76.69,855700
2021-01-12,75.63,76.24,74.36,75.08,1260300
2021-01-11,76.1,76.75,75.05,76.01,889660
2021-01-08,75.3,77.15,73.61,76.83,963700
2021-01-07,77.12,79.78,74.22,75.7,1418300
2021-01-06,76.29,78.0,75.75,76.63,1244400
2021-01-05,75.83,76.085,74.72,75.39,1018800
2021-01-04,78.38,78.85,74.49,75.67,1154283
2020-12-31,77.59,79.22,76.94,78.74,382600
2020-12-30,76.77,77.62,76.6,77.36,421100
2020-12-29,77.65,77.737,76.6,76.84,527800
2020-12-28,78.35,78.5,77.2,77.44,353497
2020-12-24,78.44,78.44,76.75,77.65,294900
2020-12-23,77.6,79.35,77.38,78.6,615100
2020-12-22,77.98,78.47,77.06,77.34,640300
2020-12-21,77.01,77.63,75.625,77.47,620263
2020-12-18,78.7251,79.98,78.08,78.68,523268
2020-12-17,76.59,78.67,76.35,78.65,646737
2020-12-16,76.7,77.0,75.52,76.09,514400
2020-12-15,76.76,77.315,75.87,76.87,449995
2020-12-14,77.83,78.78,76.42,76.54,977456
2020-12-11,75.61,77.61,75.61,77.25,487128
2020-12-10,76.58,77.48,75.63,76.39,963900
2020-12-09,77.8,78.512,76.75,77.4,602800
2020-12-08,75.705,77.93,75.704,77.515,458984
2020-12-07,78.5,79.7,76.28,76.6,794245
2020-12-04,75.57,76.39,75.185,76.34,1050517
2020-12-03,73.0,76.22,72.64,75.66,839000
2020-12-02,71.77,73.12,71.75,72.63,815900
2020-12-01,73.29,73.78,71.58,72.75,1064400
2020-11-30,73.0,73.0,71.755,72.38,3142369
2020-11-27,73.02,73.63,72.315,73.19,661200
2020-11-25,71.96,74.125,71.11,73.26,1041000
2020-11-24,71.53,73.38,71.01,71.98,1552300
2020-11-23,70.04,70.42,69.35,70.07,1339934
2020-11-20,71.21,71.385,69.31,69.62,1215000
2020-11-19,72.49,72.62,70.46,71.6,1020700
2020-11-18,74.745,75.4835,73.23,73.24,966227
2020-11-17,73.44,74.77,73.07,74.5,740500
2020-11-16,74.26,74.62,72.2,74.23,1087631
2020-11-13,71.5,72.55,71.07,71.9,485183
2020-11-12,73.1,73.1,70.79,71.41,735800
2020-11-11,76.48,76.725,73.69,73.78,1025100
2020-11-10,76.46,76.92,75.24,76.46,1073900
2020-11-09,72.86,82.39,72.71,75.87,2305238
2020-11-06,67.78,68.305,65.89,66.39,768700
2020-11-05,67.91,68.71,67.14,67.76,766900
2020-11-04,67.7,68.91,67.09,67.21,1237200
2020-11-03,66.75,68.44,66.59,67.23,671000
2020-11-02,64.52,65.99,64.12,65.67,1017780
2020-10-30,64.09,64.435,62.62,63.45,725800
2020-10-29,63.22,64.87,62.835,64.09,1129300
2020-10-28,64.45,65.1,63.21,63.31,1089600
2020-10-27,68.01,68.045,66.17,66.23,540018
2020-10-26,71.06,71.21,67.23,67.79,1182576
2020-10-23,73.4,73.58,71.55,72.14,529132
2020-10-22,71.73,72.92,71.03,72.88,1632200
2020-10-21,72.02,72.35,71.25,71.34,1885600
2020-10-20,72.34,73.109,71.48,71.89,857200
