datetime,open,high,low,close,volume
2021-01-29,88.53,90.47,85.06,85.76,1945545
2021-01-28,87.44,87.98,84.63,87.25,2148100
2021-01-27,85.86,87.53,84.06,86.06,1803700
2021-01-26,91.1,91.74,87.65,87.89,1422900
2021-01-25,90.43,91.16,87.66,89.98,1505702
2021-01-22,91.26,92.33,90.36,91.48,1392100
2021-01-21,94.46,94.88,92.28,92.62,1026400
2021-01-20,94.37,94.68,93.06,94.38,1060800
2021-01-19,95.13,96.45,93.11,93.82,1724421
2021-01-15,96.67,97.49,94.24,94.91,2266700
2021-01-14,97.64,99.58,97.04,98.87,1777200
2021-01-13,99.65,99.86,97.13,97.14,2148300
2021-01-12,97.2,99.46,96.37,99.21,2312300
2021-01-11,95.19,97.255,94.52,96.98,1675436
2021-01-08,97.83,98.14,95.89,96.75,2257500
2021-01-07,97.42,98.55,97.12,97.47,2097900
2021-01-06,92.04,97.39,92.04,96.77,2304400
2021-01-05,89.84,93.1,89.63,92.34,1888400
2021-01-04,92.5,93.26,89.0,89.29,1557556
2020-12-31,91.03,92.41,90.46,91.66,731500
2020-12-30,89.44,91.55,89.39,91.07,712300
2020-12-29,90.72,91.35,88.87,89.49,734100
2020-12-28,92.24,92.59,90.38,90.6,783829
2020-12-24,90.72,90.76,89.46,90.61,255700
2020-12-23,90.62,92.26,90.17,90.63,902700
2020-12-22,90.17,90.62,89.29,89.81,1161300
2020-12-21,88.52,90.5725,87.91,90.39,1383451
2020-12-18,90.42,91.55,89.97,90.94,1758088
2020-12-17,89.705,90.47,89.37,90.1,881334
2020-12-16,88.84,89.51,87.75,89.08,1133900
2020-12-15,88.33,89.18,87.05,89.04,741415
2020-12-14,89.95,89.95,87.07,87.1,1284737
2020-12-11,87.02,88.85,86.82,88.5,1494386
2020-12-10,88.28,88.94,87.62,88.21,2561100
2020-12-09,88.47,89.94,87.47,88.54,1177000
2020-12-08,87.07,88.82,86.245,87.9,872578
2020-12-07,89.0,89.0,86.94,87.11,1589921
2020-12-04,86.235,89.58,86.235,89.27,1644269
2020-12-03,85.74,86.44,85.3,85.63,2622700
2020-12-02,84.95,86.17,84.64,85.92,1563500
2020-12-01,87.0,87.0,84.95,85.76,2237400
2020-11-30,86.91,87.45,84.76,85.1,3573704
2020-11-27,87.9,89.06,86.92,87.86,884400
