datetime,open,high,low,close,volume
2021-01-29,68.62,68.89,65.88,66.45,2776143
2021-01-28,70.0,70.56,68.04,69.18,2215300
2021-01-27,67.6,70.02,66.36,68.52,2795700
2021-01-26,69.87,70.2,67.53,68.7,2500400
2021-01-25,71.69,71.99,68.38,69.21,3526722
2021-01-22,73.5,74.34,72.02,72.28,2667800
2021-01-21,73.75,74.74,73.05,74.59,1725600
2021-01-20,76.53,77.05,73.67,73.73,3201000
2021-01-19,70.87,78.0,70.38,76.54,6217691
2021-01-15,72.89,72.93,70.83,71.57,1738700
2021-01-14,73.82,75.16,73.25,73.33,2119200
2021-01-13,73.46,74.42,73.05,73.32,2163200
2021-01-12,72.4,73.59,71.72,73.37,1864200
2021-01-11,72.48,74.0,71.53,72.24,1974259
2021-01-08,73.21,74.06,72.65,73.46,2259300
2021-01-07,72.91,74.49,72.19,73.01,1355300
2021-01-06,72.72,74.49,71.72,72.62,2630000
2021-01-05,70.25,73.11,70.25,72.0,1642000
2021-01-04,73.37,73.79,69.95,70.67,2355012
2020-12-31,74.37,74.85,73.15,73.48,1117500
2020-12-30,74.25,75.09,74.25,74.57,1231500
2020-12-29,75.0,75.34,74.18,74.51,1921700
2020-12-28,71.78,75.5685,71.73,74.68,2283047
2020-12-24,71.93,72.04,71.35,71.64,381800
2020-12-23,72.02,73.06,71.58,71.63,1845500
2020-12-22,72.39,72.63,71.26,72.01,1847500
2020-12-21,70.9,73.08,70.32,72.18,2327798
2020-12-18,74.0,74.45,73.11,73.44,2901076
2020-12-17,73.295,74.29,72.51,73.97,1484922
2020-12-16,73.05,73.63,72.18,72.98,1716200
2020-12-15,70.585,73.7,70.445,73.18,2765903
2020-12-14,71.9,74.25,70.27,70.35,2500669
2020-12-11,71.1,71.92,69.71,70.93,2334068
2020-12-10,69.54,72.43,69.4,72.33,2295100
2020-12-09,71.11,71.35,68.61,70.26,1985300
2020-12-08,69.33,70.605,68.95,69.89,2147212
2020-12-07,69.5,70.13,68.5,69.93,1887685
2020-12-04,69.69,70.225,69.615,70.09,2036241
2020-12-03,70.44,70.83,68.71,69.22,1891200
2020-12-02,67.65,70.39,66.87,69.9,2646500
2020-12-01,66.56,69.33,66.25,68.11,2794400
2020-11-30,66.74,67.25,64.92,65.65,2059004
2020-11-27,68.43,68.81,67.04,67.23,808800
2020-11-25,69.09,69.09,67.23,68.29,1217800
2020-11-24,69.8,70.53,68.83,69.31,2555000
2020-11-23,67.26,68.86,66.7496,68.3,2076173
2020-11-20,66.66,67.03,65.0,66.31,2082500
2020-11-19,66.85,68.46,66.49,66.91,1589900
2020-11-18,69.64,71.02,67.01,67.05,3665249
2020-11-17,66.93,69.05,66.81,68.78,3469600
2020-11-16,68.86,69.54,66.16,68.32,5057713
2020-11-13,62.83,66.45,62.77,66.09,3677305
2020-11-12,62.87,63.36,61.5,62.24,3106900
2020-11-11,65.31,65.61,62.71,63.69,3642500
2020-11-10,62.75,65.51,62.49,65.26,5791100
2020-11-09,67.4,72.72,64.17,64.36,14372118
2020-11-06,55.99,56.55,53.15,56.04,2995800
2020-11-05,55.33,56.76,54.88,56.43,1974100
2020-11-04,53.0,55.99,52.45,54.73,2763900
2020-11-03,51.11,53.97,50.88,53.34,2917400
2020-11-02,49.39,50.48,48.57,50.23,1654853
2020-10-30,49.41,49.95,47.97,48.8,1978000
2020-10-29,49.07,50.0,48.53,49.67,2133200
2020-10-28,50.66,50.66,48.91,49.4,3425200
2020-10-27,53.8,53.91,51.82,51.85,1893862
2020-10-26,55.95,56.43,52.91,54.53,1941500
2020-10-23,57.39,57.74,56.01,57.16,1418122
2020-10-22,55.81,57.09,55.6,56.83,1569200
2020-10-21,55.07,55.69,54.25,55.29,1195400
2020-10-20,54.59,56.41,54.26,55.64,1991600
2020-10-19,55.17,55.95,53.76,53.97,1504331
2020-10-16,54.67,55.54,54.19,54.6,1201700
2020-10-15,53.67,54.6,52.5,54.37,1574900
2020-10-14,54.55,55.41,54.15,54.35,996329
2020-10-13,55.76,55.83,54.62,54.69,987669
2020-10-12,56.13,56.37,54.69,55.84,1076755
2020-10-09,56.9507,57.98,56.76,56.83,1381970
2020-10-08,55.49,56.3781,54.635,56.28,1275617
2020-10-07,55.23,55.97,54.43,54.82,1174600
2020-10-06,55.01,56.68,53.8,54.21,1942800
2020-10-05,55.28,55.52,53.93,54.56,1585460
2020-10-02,52.41,55.24,52.23,54.73,1148284
2020-10-01,54.33,54.58,52.93,53.75,1577579
2020-09-30,53.62,55.5,53.45,53.88,1611800
2020-09-29,54.06,54.215,53.0,53.29,833614
2020-09-28,54.19,55.09,53.3,54.41,1519566
2020-09-25,50.82,53.58,50.82,53.25,152012
2020-09-24,50.85,52.16,50.2,50.87,142172
2020-09-23,53.63,54.13,51.3,51.38,111447
2020-09-22,53.33,54.02,52.32,53.12,184926
2020-09-21,55.5,55.54,52.52,53.17,2134881
2020-09-18,58.425,58.76,56.53,56.97,818186
