datetime,open,high,low,close,volume
2021-01-29,205.11,209.39999,203.11,207.84,4934618
2021-01-28,208.63,210.36,205.13,206.82001,5400100
2021-01-27,212.39,213.14999,207.0,207.0,5460900
2021-01-26,212.50999,215.50999,212.17,215.38,2881700
2021-01-25,212.22,214.05,210.56,213.34,2443686
2021-01-22,212.50999,214.14,211.17,213.38,2196400
2021-01-21,214.06,215.96001,213.32001,213.53,2674900
2021-01-20,210.14999,214.41,209.63,213.63,4076100
2021-01-19,210.67999,211.0,207.88,209.09,3331595
2021-01-15,207.97,210.7,207.42,209.91,3592900
2021-01-14,212.10001,212.67,208.0,208.5,3659900
2021-01-13,210.91,213.13,210.89999,212.09,2069800
2021-01-12,213.69,214.33,210.94,211.60001,2950900
2021-01-11,215.09,216.12,213.1234,214.23,2126662
2021-01-08,212.89999,216.12,212.23,215.87,2637800
2021-01-07,213.22,213.22,210.56,211.98,3141600
2021-01-06,211.3,211.71001,209.03,211.0,3082900
2021-01-05,210.17999,211.95,209.62,211.48,2574000
2021-01-04,214.49001,214.72,208.22,210.22,4055401
2020-12-31,211.25,214.92999,210.78,214.58,2610200
2020-12-30,212.96001,213.36,211.28,211.56,1853700
2020-12-29,214.64,215.78,212.45,212.71001,1665300
2020-12-28,212.99001,214.88,212.19,214.02,2459351
2020-12-24,212.23,212.73,211.14,211.39,1196313
2020-12-23,212.3,213.42999,211.78999,212.02,1658100
2020-12-22,211.2,212.91,210.37,211.92,2772800
2020-12-21,210.62,212.55,208.00999,211.67,3889705
2020-12-18,215.17,216.85001,213.83,215.10001,3826770
2020-12-17,215.22,215.772,213.53,214.25999,1944970
2020-12-16,214.88,217.50999,213.66,213.8,2679900
2020-12-15,213.3,216.1956,212.7392,214.87,2932631
2020-12-14,210.73,214.74001,210.21001,211.92,4572517
2020-12-11,207.42,208.94,206.73,207.75999,2046030
2020-12-10,208.5,208.75999,207.07001,208.03999,2946400
2020-12-09,209.49001,209.53,207.33,208.69,3010900
2020-12-08,206.41,209.10001,206.41,208.38,2297548
2020-12-07,208.53,209.11,206.19,208.89,3647661
2020-12-04,211.60001,213.37,210.10001,210.8,2604511
2020-12-03,210.94,213.23,210.56,211.50999,3729000
2020-12-02,214.0,214.39999,209.13,210.86,6221600
2020-12-01,218.88,218.92999,215.53,216.14,4224800
2020-11-30,216.46001,217.57001,214.42999,217.44,2975627
2020-11-27,219.02,220.39999,217.66,218.33,1394400
2020-11-25,219.98,220.59,217.92,219.34,1888100
2020-11-24,219.00999,221.25,218.25,219.71001,3870900
2020-11-23,215.14,217.60001,214.64999,217.0,2713757
2020-11-20,214.39,215.22,213.63,214.09,3932600
2020-11-19,214.84,215.48,213.33,215.11,2838100
2020-11-18,216.10001,217.84,215.41,215.52,3092900
2020-11-17,215.60001,217.39,214.02,216.00999,2443100
2020-11-16,215.5,216.75,213.6301,216.73,3696238
2020-11-13,213.63499,214.39,212.35001,213.28,2604617
2020-11-12,217.56,217.82001,210.88,213.07001,4253200
2020-11-11,214.81,219.25,214.3,218.02,4126900
2020-11-10,215.75,215.99001,211.34,213.32001,4254300
2020-11-09,226.78999,227.8477,207.22,213.17999,7981211
2020-11-06,216.0,217.89,214.25,216.56,3902500
2020-11-05,216.07001,218.2,214.67999,216.31,3619000
2020-11-04,215.0,219.47,213.3,214.87,3359500
2020-11-03,215.59,218.10001,213.95,216.8,2612800
2020-11-02,215.88,216.32001,210.78999,212.56,2974529
2020-10-30,213.60001,215.22,209.91,213.0,3450900
2020-10-29,214.85001,217.64999,213.1264,214.95,1892507
2020-10-28,218.39,220.59,214.46001,214.69,3272900
2020-10-27,224.78999,225.23,222.74001,222.98,1473309
2020-10-26,226.78,227.25,220.97,224.27,2446615
2020-10-23,230.28999,230.36,227.86,228.71001,1568039
2020-10-22,227.75999,229.39999,226.88,229.14999,1961300
2020-10-21,227.23,229.49001,227.21001,228.19,1517100
2020-10-20,226.74001,230.0,226.42999,227.45,1883200
2020-10-19,229.55,231.02,225.17,226.0,1872987
2020-10-16,229.77,231.91,229.14999,229.37,2162800
2020-10-15,226.14999,230.0,225.59,229.64,2177300
2020-10-14,228.46001,229.4803,227.35001,227.62,1592158
2020-10-13,225.66,228.58,224.985,227.36,1781007
2020-10-12,224.81,226.50999,223.12,226.11,2351575
2020-10-09,226.61,227.22,223.12,224.83,2842122
2020-10-08,226.00101,227.06551000000002,224.31,225.823,2820155
2020-10-07,225.58,228.41,225.13,226.48,1972500
2020-10-06,226.83,228.66,223.60001,224.09,2452900
2020-10-05,224.86,226.5,224.00999,226.07001,2903769
2020-10-02,217.32001,223.3499,217.21001,222.67999,2735890
2020-10-01,220.8,223.0,217.81,219.66,1964644
2020-09-30,218.87,222.2,218.41,219.49001,3033500
2020-09-29,220.41071000000002,220.955,218.4783,218.67999,1228187
2020-09-28,220.0,221.98,219.02,220.25999,1961834
2020-09-25,216.17,219.25,213.69,218.19,1456086
2020-09-24,214.8,218.41,213.67,216.03,1317954
