datetime,open,high,low,close,volume
2021-01-29,179.50999,180.77,172.77,174.47,1647823
2021-01-28,178.3,182.8,178.24001,180.13,906900
2021-01-27,182.92999,184.10001,177.35001,178.19,1245400
2021-01-26,183.87,185.98,182.97,184.42,664400
2021-01-25,183.17,185.39,182.3,183.14999,870606
2021-01-22,182.86,186.60001,182.17,185.00999,917000
2021-01-21,184.19,184.83,180.81,182.78999,760700
2021-01-20,182.5,184.27,180.75,184.16,644300
2021-01-19,183.98,184.82001,181.41,182.47,734621
2021-01-15,182.32001,185.48,179.58,184.42,901700
2021-01-14,183.28,184.5,181.85001,182.82001,684800
2021-01-13,182.97,184.00999,182.24001,183.39999,608800
2021-01-12,184.05,184.34,181.96001,183.27,696600
2021-01-11,182.60001,184.98,181.23,183.39999,917742
2021-01-08,183.86,184.39,181.84,183.55,1171300
2021-01-07,179.89999,183.75999,179.50999,183.02,2118800
2021-01-06,174.0,182.5,173.87,178.92999,1478800
2021-01-05,174.52,177.96001,173.64999,175.60001,1548500
2021-01-04,174.28,175.0,170.5,174.42999,1071124
2020-12-31,173.0,174.14,171.75999,173.92,663200
2020-12-30,174.03999,175.13,173.05,173.42,579800
2020-12-29,175.14999,176.89,173.08,174.17999,813700
2020-12-28,171.85001,174.78999,171.25999,174.32001,1014306
2020-12-24,170.72,170.99001,169.09,170.78,256700
2020-12-23,170.11,172.95,170.0,170.07001,504400
2020-12-22,171.47,172.21001,169.34,170.00999,710900
2020-12-21,171.10001,171.69,169.2,171.42,739113
2020-12-18,173.39,174.17999,170.83,173.39999,1055360
2020-12-17,172.31,173.92999,171.07001,172.88,634474
2020-12-16,172.8,173.59,170.73,172.35001,968800
2020-12-15,173.28999,174.41,171.42,173.09,657578
2020-12-14,176.5,176.5,171.8004,172.33,875699
2020-12-11,176.75,177.09,173.10001,174.66,611507
2020-12-10,177.55,179.14,176.92999,177.67999,904800
2020-12-09,180.55,181.14999,176.89,178.67999,777100
2020-12-08,177.47501,180.94,176.6804,180.42999,543907
2020-12-07,180.10001,180.3252,177.14,178.25999,735846
2020-12-04,179.92999,181.19,178.78,180.78999,581914
2020-12-03,180.55,181.07001,178.71001,179.16,946000
2020-12-02,178.81,181.92,178.58,180.85001,990100
2020-12-01,183.06,183.53999,178.82001,179.0,1163200
2020-11-30,180.75,182.52,179.24001,179.91,1763324
2020-11-27,179.66,181.77,179.10001,180.0,469400
2020-11-25,181.39999,181.39999,178.34,179.5,986700
2020-11-24,176.5,181.21001,174.5,179.75,1937300
2020-11-23,171.85001,174.41,170.53999,173.48,966727
2020-11-20,171.25999,172.64999,168.88,169.87,1131000
2020-11-19,175.95,175.95,169.69,171.94,1815300
2020-11-18,173.45,179.87,173.45,176.53,1878096
2020-11-17,178.02,178.75,169.82001,173.64,3920300
2020-11-16,186.85001,187.67,182.58,183.66,1209317
2020-11-13,179.03,184.14999,178.17,182.97,693801
2020-11-12,176.58,179.73,176.25999,177.94,818600
2020-11-11,184.0,184.5,177.52,177.81,1338000
2020-11-10,180.0,186.03,179.73,183.44,1633600
2020-11-09,180.02,183.42999,176.21001,178.50999,1928970
2020-11-06,170.00999,172.2,169.57001,170.92,730800
2020-11-05,168.55,174.05,167.86,170.95,1119300
2020-11-04,164.5,170.23,164.03999,166.03999,1903100
2020-11-03,156.10001,163.24001,155.3,160.00999,1706000
2020-11-02,150.34,152.58,148.22,152.03,1348413
2020-10-30,143.25999,147.59,143.25999,147.49001,1125100
2020-10-29,143.84,145.2,141.32001,143.78999,1012900
2020-10-28,146.50999,148.74001,143.89,144.10001,919900
2020-10-27,152.60381,153.30499,149.11,149.13,485431
2020-10-26,155.08,155.37,151.23,152.27,623369
2020-10-23,154.98,156.5,154.5,156.42999,438475
2020-10-22,152.84,154.75,152.28999,154.23,602400
2020-10-21,152.73,154.45,152.07001,152.62,889500
2020-10-20,153.89,155.39999,152.57001,153.03999,785000
2020-10-19,156.47,158.8,152.27,152.42,676317
2020-10-16,157.11,158.92,155.81,156.67,977800
2020-10-15,152.28,156.7,152.28,156.55,899800
2020-10-14,151.565,154.7989,151.28,154.07001,752800
2020-10-13,149.77,152.69,149.735,151.59,564156
2020-10-12,151.92,152.45,150.265,150.67999,574853
2020-10-09,154.0,154.56,150.82001,151.25,645697
2020-10-08,148.75,154.09,148.1301,153.99001,856853
2020-10-07,147.2,148.87,146.67999,148.13,857300
2020-10-06,149.56,150.66,145.75999,146.23,1550200
2020-10-05,148.0,150.095,147.315,149.17999,900817
2020-10-02,145.37,148.81,144.58,146.99001,971506
2020-10-01,149.78,150.13499,146.27,146.92999,913605
2020-09-30,146.23,150.49001,146.06,148.92999,1381600
2020-09-29,150.1521,150.1521,146.5,146.57001,1029618
2020-09-28,150.85001,151.61,149.05,150.09,1149946
2020-09-25,146.535,149.16,146.12,148.58,838590
2020-09-24,147.0,149.57201,145.0,146.48,888117
2020-09-23,149.83,151.14,146.83,147.08,830046
2020-09-22,148.31,150.78999,148.27,149.56,852485
2020-09-21,150.0,150.0,146.495,148.22,823949
2020-09-18,151.73,153.89999,151.06,152.13,1225450
2020-09-17,150.91,153.0,149.535,151.61,847405
2020-09-16,151.59,154.685,151.59,152.75999,773978
2020-09-15,151.00999,153.66,150.81,150.95,747758
2020-09-14,151.63,152.91,149.57001,150.89,868895
2020-09-11,151.60001,152.0,149.71001,150.37,612614
2020-09-10,151.925,154.91,150.62,150.72,748803
2020-09-09,150.72,153.77499,149.855,152.28999,643345
2020-09-08,151.99001,153.64,149.7,149.95,1088839
2020-09-04,154.09,155.67,150.17,152.33,922501
2020-09-03,157.905,159.05,152.7,154.31,1185855
2020-09-02,150.85001,156.87,150.10001,156.23,1230743
2020-09-01,153.58,154.505,148.39,150.25999,1097254
2020-08-31,153.17999,155.10001,152.27,153.44,694758
2020-08-28,154.58,154.58,152.23,153.83,409927
2020-08-27,152.67999,155.34,150.66,154.27,622393
2020-08-26,151.08,152.55,149.77499,152.09,463059
2020-08-25,149.9962,152.3,148.80499,151.94,582812
