datetime,open,high,low,close,volume
2021-01-29,267.89001,270.42999,263.60501,266.26001,631437
2021-01-28,263.37,274.29001,262.88,270.07001,784100
2021-01-27,266.25,269.32999,261.38,263.04001,1008900
2021-01-26,266.76001,270.37,265.32001,268.67001,553200
2021-01-25,267.01999,270.522,265.47,266.54999,736754
2021-01-22,271.09,272.26999,266.67001,266.70001,729700
2021-01-21,274.85001,277.44,270.73999,270.76999,838800
2021-01-20,272.69,277.85999,272.35999,275.53,885100
2021-01-19,267.51999,270.32001,264.04001,269.29001,1357164
2021-01-15,271.10999,271.94,266.53,266.64999,888600
2021-01-14,274.85001,276.70999,271.01999,272.16,1270200
2021-01-13,274.51999,275.81,270.31,274.25,956000
2021-01-12,277.35999,278.95001,272.62,274.06,581000
2021-01-11,278.64999,278.75,274.62,276.35001,579566
2021-01-08,283.01001,284.31,276.95999,280.20999,650200
2021-01-07,283.14999,287.69,280.84,281.38,749900
2021-01-06,282.42999,285.04001,277.48001,281.35001,1035800
2021-01-05,291.17001,294.70001,282.97,284.38,832900
2021-01-04,293.5,294.39999,288.875,292.0,1296029
2020-12-31,286.06,290.44,284.54999,290.23999,709400
2020-12-30,282.72,285.84,281.64999,285.51001,612700
2020-12-29,280.35999,282.20999,278.73999,280.73001,569800
2020-12-28,281.16,281.16,276.815,277.97,428992
2020-12-24,275.92499,279.23001,275.47,279.04999,180688
2020-12-23,281.44,284.45999,275.54001,275.70001,420000
2020-12-22,277.69,281.60001,276.85999,281.26999,880100
2020-12-21,281.22,281.74991,273.73999,278.85999,676609
2020-12-18,280.10999,284.72,278.92999,283.35001,623207
2020-12-17,282.12,284.51999,279.10999,280.35001,554556
2020-12-16,277.98001,281.29999,276.23999,280.54999,808300
2020-12-15,276.845,280.0,274.48001,277.35999,521855
2020-12-14,276.78,280.63,274.47,274.62,565132
2020-12-11,273.26001,275.87,271.85999,274.64001,284631
2020-12-10,274.54001,276.70999,272.12,273.98001,529300
2020-12-09,278.88,278.94,270.95001,275.32001,1000800
2020-12-08,282.38,282.60001,278.47,278.82999,533508
2020-12-07,286.10001,286.36499,281.41,283.10001,566210
2020-12-04,280.32001,288.37,280.32001,285.75,807422
2020-12-03,277.03,281.10001,277.03,279.88,1140000
2020-12-02,279.07001,280.88,276.98999,277.97,741500
2020-12-01,283.70999,285.35999,277.54001,279.20001,1175300
2020-11-30,280.26001,283.345,277.32999,282.34,1460274
2020-11-27,279.19,281.14001,276.29999,277.22,391800
2020-11-25,273.0,276.70001,271.29001,276.57001,1038000
2020-11-24,271.70999,272.85999,268.72,271.57999,1370200
2020-11-23,275.23001,277.06,270.5,270.84,596988
2020-11-20,273.73999,275.66,271.54999,272.94,737500
2020-11-19,273.5,275.03,271.01999,274.12,527600
2020-11-18,275.66,276.56,272.62,272.63,471563
2020-11-17,273.39001,276.67001,273.31,274.69,623000
2020-11-16,277.03,278.01999,272.90799,275.54001,625796
2020-11-13,277.23001,278.03,273.245,275.79999,432602
2020-11-12,280.82999,281.67001,274.98999,276.34,593200
2020-11-11,273.42999,282.29999,273.42999,280.25,683700
2020-11-10,276.45999,276.45999,268.04999,270.32999,1067500
2020-11-09,302.70001,304.64001,274.63,275.45001,1476254
2020-11-06,291.07999,292.73001,285.95999,290.63,488100
2020-11-05,290.44,293.73999,287.45001,291.06,671200
2020-11-04,272.63,288.39001,272.63,285.60999,895500
2020-11-03,269.38,273.56,268.44,269.17999,708300
2020-11-02,266.54999,273.48999,263.62,265.92999,921379
2020-10-30,261.26001,268.34,259.45001,262.89999,1152200
2020-10-29,261.20999,266.0,253.17,263.0,1233300
2020-10-28,261.45999,263.70999,257.95001,261.85999,894300
2020-10-27,269.86499,272.32999,265.25,265.95001,459067
2020-10-26,269.28,270.92001,266.345,269.0,695715
2020-10-23,272.35999,274.78,270.20999,271.82001,614990
2020-10-22,277.13,278.29001,271.20001,272.72,968500
2020-10-21,284.89999,287.26001,277.01001,277.16,479400
2020-10-20,284.98001,288.64999,282.59,285.39001,475900
2020-10-19,289.67001,293.07001,283.38,284.53,546537
2020-10-16,291.48001,296.04999,288.98999,289.06,510400
2020-10-15,288.28,290.73999,284.39001,290.48001,613000
2020-10-14,294.47,296.14001,289.89999,290.12,359875
2020-10-13,291.60181,296.5,290.84,293.56,272720
2020-10-12,296.89999,297.14001,292.78,293.32999,454260
2020-10-09,295.07999,295.19,292.64999,294.72,297580
2020-10-08,289.75751,294.01929,289.37,292.04999,263095
2020-10-07,288.85999,291.22,287.19,288.25,463300
2020-10-06,296.35001,296.76999,286.01999,287.94,680200
2020-10-05,295.88,297.92999,292.07501,295.17999,315576
2020-10-02,287.98001,296.39999,287.67999,294.01001,350679
2020-10-01,293.0,298.17999,290.54999,293.26001,486013
2020-09-30,286.88,292.63,286.0,289.85001,680300
2020-09-29,283.23001,288.285,282.94,285.73001,170307
2020-09-28,283.66,286.5,282.655,285.16,536105
2020-09-25,277.23001,281.29999,273.47,280.5,46963
2020-09-24,273.84,278.79001,272.85999,275.51999,33829
2020-09-23,280.09,280.91,273.51001,273.73999,44561
2020-09-22,281.51001,281.73001,274.64999,279.09,61418
2020-09-21,277.89001,280.41501,274.79999,280.19,424680
2020-09-18,282.54001,284.81,278.60001,280.82001,316766
2020-09-17,281.16,285.41,279.67999,282.57999,217581
2020-09-16,287.82999,290.0704,285.76999,286.85999,261079
2020-09-15,292.03,292.79999,286.76001,286.97,373945
2020-09-14,289.59,292.155,287.04001,288.54001,199358
2020-09-11,286.35999,287.82999,282.51001,284.88,225687
2020-09-10,288.435,290.89999,281.87,283.81,305486
2020-09-09,285.5,290.16,282.48499,288.53,266870
2020-09-08,275.39001,281.845,274.70999,278.89001,489100
2020-09-04,292.01001,292.14999,277.57999,282.48001,253530
2020-09-03,301.87,301.87,288.91,291.07999,304302
2020-09-02,297.70999,305.95499,297.70999,304.28,253514
2020-09-01,295.13,297.04001,293.07999,296.14001,185117
2020-08-31,293.97,297.07999,292.82501,294.64001,228419
2020-08-28,292.495,294.97501,291.63,294.56,201810
2020-08-27,291.92001,295.09,290.0,292.0,163764
2020-08-26,284.38,293.685,284.02499,291.94,294389
2020-08-25,285.97501,285.97501,283.89001,285.26001,290940
2020-08-24,285.91501,286.51999,283.89999,284.25,272350
2020-08-21,283.54291,285.26999,281.07001,284.48999,354641
2020-08-20,279.04599,284.84,279.04599,283.47,258932
2020-08-19,286.84,288.01999,281.54001,281.69,259604
2020-08-18,284.98999,286.98999,282.64001,285.57001,333668
2020-08-17,281.91501,285.0,281.42999,283.85001,256892
2020-08-14,282.44,283.72,279.92001,281.22,174653
2020-08-13,278.85001,282.79999,278.85001,282.14001,240697
2020-08-12,277.215,281.97,277.215,278.85001,303885
2020-08-11,272.60001,276.54001,268.185,274.60999,549273
2020-08-10,273.54999,274.94,270.66,271.23001,248105
2020-08-07,277.60999,277.78,272.84,275.56,227367
2020-08-06,276.54999,279.34,274.42999,279.34,247235
2020-08-05,275.62,278.54999,274.41,277.63,440090
2020-08-04,279.95999,279.95999,271.39999,276.14001,312202
2020-08-03,285.28,285.5,280.07001,280.91,285369
2020-07-31,282.95999,284.10999,276.82999,281.35001,401893
2020-07-30,284.25,288.60001,280.12,283.76999,404272
2020-07-29,282.73001,292.04999,282.73001,291.35001,384212
2020-07-28,288.44,289.185,282.08499,282.67001,387982
2020-07-27,289.56,295.51501,288.37,289.57999,486032
2020-07-24,286.89499,290.95499,284.58499,289.84,295865
2020-07-23,292.77499,295.75,286.35999,288.19,297957
2020-07-22,291.13,293.83499,290.70001,293.5,270522
2020-07-21,296.0,296.0,290.07999,290.88,121800
2020-07-20,292.88,295.32001,292.26001,293.87,134508
2020-07-17,291.26999,292.82001,288.75,292.51001,104914
2020-07-16,289.88,292.10001,286.25,289.37,52369
2020-07-15,295.95999,295.95999,290.14999,293.48999,57439
