datetime,open,high,low,close,volume
2021-01-29,114.02,114.02,111.08,111.33,6777564
2021-01-28,112.16,115.86,112.16,114.77,4236900
2021-01-27,115.21,115.45,111.13,111.5,6893700
2021-01-26,117.03,117.54,116.57,116.75,3371600
2021-01-25,116.73,116.99,115.82,116.9,2939105
2021-01-22,117.7,117.76,116.56,116.58,3028300
2021-01-21,118.9,119.29,117.11,117.91,3806000
2021-01-20,118.56,119.5,117.96,119.29,4062500
2021-01-19,117.65,119.0,117.23,118.31,4508466
2021-01-15,117.54,118.3,116.59,116.81,5658800
2021-01-14,118.29,119.27,117.55,117.77,4280900
2021-01-13,117.7,119.71,117.12,118.72,4070500
2021-01-12,118.12,118.3,116.59,117.29,3210000
2021-01-11,118.56,119.475,117.58,118.5,3493451
2021-01-08,118.91,119.87,118.39,119.71,3529900
2021-01-07,118.88,119.73,117.96,118.7,3908900
2021-01-06,116.57,119.56,116.57,118.86,4493900
2021-01-05,116.0,117.64,115.33,116.95,3395200
2021-01-04,117.2,117.78,114.44,116.02,4359286
2020-12-31,115.75,117.24,115.48,117.14,2544100
2020-12-30,115.5,116.63,115.26,115.64,2055200
2020-12-29,116.0,116.59,115.35,115.57,2717600
2020-12-28,114.88,115.81,114.76,115.13,2047622
2020-12-24,114.15,114.5,113.61,114.03,1129426
2020-12-23,114.88,115.59,113.92,113.94,2373400
2020-12-22,114.54,115.94,114.07,114.63,3953300
2020-12-21,114.7,114.955,112.65,114.45,3252407
2020-12-18,115.37,117.511,114.8,116.55,3846560
2020-12-17,115.23,115.74,114.55,115.33,2013114
2020-12-16,114.77,116.07,114.02,114.97,3356600
2020-12-15,114.36,115.72,113.35,114.89,4650331
2020-12-14,113.18,113.75,111.9,111.97,4766981
2020-12-11,111.98,112.65,111.52,112.37,2956723
2020-12-10,112.87,113.72,111.7,112.68,3398300
2020-12-09,111.54,113.45,111.3,112.95,5574900
2020-12-08,112.02,112.18,110.065,111.11,4801876
2020-12-07,113.46,113.74,111.92,112.61,2729932
2020-12-04,112.45,113.86,111.7,113.86,2677965
2020-12-03,113.27,113.54,112.11,112.47,3441400
2020-12-02,112.04,113.76,111.11,113.6,5116800
2020-12-01,114.58,115.13,111.92,112.14,5035500
2020-11-30,114.04,114.445,113.06,113.7,5109037
2020-11-27,113.74,114.74,112.75,114.59,2082100
2020-11-25,113.76,114.53,112.69,113.31,3266100
2020-11-24,112.13,115.24,111.97,114.06,6673800
2020-11-23,111.76,112.11,110.39,110.97,3506592
2020-11-20,110.74,111.02,109.57,110.16,4380600
2020-11-19,109.68,111.31,108.6,111.0,4477800
2020-11-18,110.105,110.88,109.44,109.47,3311214
2020-11-17,110.54,110.85,109.36,110.14,3589000
2020-11-16,114.12,115.0,111.0852,111.645,3690566
2020-11-13,110.54,112.66,110.12,112.49,2759669
2020-11-12,109.5,111.03,108.81,109.6,3904600
2020-11-11,114.62,114.9,109.68,110.24,6191100
2020-11-10,112.81,114.92,111.94,114.56,5441400
2020-11-09,113.13,116.21,111.69,113.22,11240161
2020-11-06,104.33,104.57,103.0,103.56,3924300
2020-11-05,104.3,105.02,103.42,104.01,3692600
2020-11-04,104.11,105.15,102.12,102.46,6023200
2020-11-03,103.82,105.19,103.07,103.13,3859200
2020-11-02,102.79,102.98,101.15,102.43,5147899
2020-10-30,101.25,101.5,98.94,100.57,5872300
2020-10-29,102.6,103.05,100.89,101.37,4857300
2020-10-28,103.12,104.24,101.46,102.59,7089600
2020-10-27,107.51,108.06,104.9,105.21,3643078
2020-10-26,110.02,110.28,106.43,107.93,5167544
2020-10-23,111.78,112.48,111.15,111.4,2651078
2020-10-22,109.36,112.2,109.07,111.84,4306800
2020-10-21,108.86,110.33,108.27,109.23,3566900
2020-10-20,108.14,110.43,108.14,109.15,3879400
2020-10-19,110.85,111.58,108.13,108.48,5091605
2020-10-16,107.88,111.04,107.8,110.13,6405600
2020-10-15,106.02,108.22,105.79,107.52,3952600
2020-10-14,106.9,109.56,106.9,107.57,3074280
2020-10-13,108.58,108.96,106.55,106.89,3037196
2020-10-12,109.63,109.94,108.1,109.06,2738483
2020-10-09,108.575,109.06,107.97,108.684,2456697
2020-10-08,109.61,109.98,107.73,107.78,4573466
2020-10-07,104.33,106.31,103.92,105.66,3386000
2020-10-06,103.69,105.33,103.07,103.38,2982500
2020-10-05,103.2,104.12,102.66,103.71,2472704
2020-10-02,101.01,103.11,101.0,101.96,2665452
2020-10-01,103.47,104.95,102.02,102.34,4461498
2020-09-30,102.82,104.87,102.5,103.92,6474400
2020-09-29,105.0,105.0,102.09,102.69,3504935
2020-09-28,104.88,105.39,103.46,103.63,3287753
2020-09-25,100.301,103.65,100.301,103.16,3032579
2020-09-24,101.6637,102.15,100.32,101.27,4584922
2020-09-23,104.56,104.7825,102.92,103.0,3986608
2020-09-22,104.3,105.19,102.9,104.35,2850180
2020-09-21,105.69,105.7,103.0862,104.8,3356514
2020-09-18,107.99,109.23,107.11,107.55,3283941
2020-09-17,107.07,107.89,105.94,107.87,2793388
2020-09-16,107.62,108.5561,107.32,107.5,2991678
2020-09-15,107.55,108.685,107.23,107.55,2806804
2020-09-14,105.52,107.64,105.51,106.97,3465555
2020-09-11,105.25,105.47,103.98,104.76,2328406
2020-09-10,106.905,107.14,104.44,104.78,2986319
2020-09-09,105.1,107.34,105.01,106.63,4306651
2020-09-08,105.26,105.5547,103.82,104.58,4156735
2020-09-04,106.705,107.75,104.23,105.74,4477945
2020-09-03,108.98,109.11,105.35,106.14,3969611
2020-09-02,107.6,109.15,107.14,108.74,3511617
2020-09-01,106.3,107.53,106.14,107.53,3171957
2020-08-31,107.62,108.71,107.16,107.44,3664836
2020-08-28,106.925,108.2,106.01,107.84,4847203
2020-08-27,104.35,107.195,104.25,106.86,6372612
2020-08-26,103.2,104.59,102.11,104.09,5229546
2020-08-25,104.82,105.88,102.2547,102.62,8239384
2020-08-24,99.75,101.28,99.39,100.35,4070831
2020-08-21,99.95,100.06,98.44,98.73,5648599
2020-08-20,100.23,100.7,99.9,100.29,2833280
