datetime,open,high,low,close,volume
2021-01-29,49.13,49.3,47.73,48.15,6591128
2021-01-28,49.06,50.13,48.98,49.57,5443100
2021-01-27,49.28,49.64,48.33,48.41,8023100
2021-01-26,50.88,51.08,50.01,50.11,4586700
2021-01-25,50.21,50.62,49.83,50.61,4023012
2021-01-22,50.36,51.04,50.21,50.86,5322900
2021-01-21,51.65,51.9,51.04,51.07,5222700
2021-01-20,52.08,52.18,51.43,51.65,4805100
2021-01-19,51.47,52.375,51.3,52.12,6912623
2021-01-15,51.02,51.63,50.3,51.14,4513100
2021-01-14,50.65,51.66,50.55,51.57,6249400
2021-01-13,50.03,50.67,49.93,50.33,4517500
2021-01-12,49.8,50.59,49.62,50.2,4347900
2021-01-11,48.76,49.6,48.39,49.4,3804731
2021-01-08,49.63,49.98,48.52,49.41,4415600
2021-01-07,49.69,50.14,49.46,49.58,5077000
2021-01-06,48.1,50.12,47.62,49.43,9356500
2021-01-05,46.14,47.18,46.0,46.65,6121900
2021-01-04,47.03,47.24,45.725,46.08,7227469
2020-12-31,46.48,47.13,46.29,46.95,2856400
2020-12-30,46.02,46.82,46.02,46.4,3146600
2020-12-29,46.57,46.8,45.95,46.01,3015000
2020-12-28,46.65,47.275,46.17,46.25,3166657
2020-12-24,46.1883,46.315,45.8,46.31,1657432
2020-12-23,45.74,46.6,45.52,46.13,3946300
2020-12-22,45.54,45.95,45.18,45.21,4954100
2020-12-21,45.35,45.68,44.62,45.46,5503626
2020-12-18,46.49,46.78,45.29,45.62,5142588
2020-12-17,46.52,46.66,45.805,46.495,3229173
2020-12-16,46.22,46.56,45.82,46.32,7155500
2020-12-15,46.31,46.5016,45.275,46.26,4055593
2020-12-14,47.91,48.1,45.83,45.84,6411353
2020-12-11,47.54,47.54,46.565,47.21,3467421
2020-12-10,47.06,47.7,46.74,47.55,10610400
2020-12-09,48.25,48.33,47.53,47.64,4688000
2020-12-08,47.665,47.85,47.1,47.53,6727768
2020-12-07,47.97,48.0,47.155,47.58,4339303
2020-12-04,48.13,48.89,48.02,48.47,3858752
2020-12-03,47.62,48.27,47.38,47.71,3924100
2020-12-02,46.64,47.84,46.45,47.71,6364800
2020-12-01,47.29,47.41,46.81,46.91,5187800
2020-11-30,46.98,47.3,46.05,46.17,5934487
2020-11-27,47.72,48.15,47.16,47.45,2378400
2020-11-25,48.08,48.18,47.27,47.76,4933300
2020-11-24,48.0,48.84,47.51,48.67,6510700
2020-11-23,46.47,47.36,46.37,47.17,4404593
2020-11-20,45.29,46.0,44.75,45.87,8213400
2020-11-19,45.19,45.65,44.59,45.51,5361700
2020-11-18,46.205,47.15,45.7,45.71,4409865
2020-11-17,45.63,46.36,45.28,46.01,4615400
2020-11-16,46.2,46.35,45.49,46.03,7237399
2020-11-13,44.19,45.06,44.19,44.73,3733250
2020-11-12,44.71,44.91,43.13,43.78,6805000
2020-11-11,46.0,46.34,45.2,45.51,7381300
2020-11-10,45.8,46.48,44.89,46.03,9444000
2020-11-09,43.21,46.145,42.83,44.94,11758186
2020-11-06,41.77,41.93,40.08,40.48,6063800
2020-11-05,39.95,41.81,39.51,41.13,7905800
2020-11-04,38.89,40.06,38.28,39.0,7827900
2020-11-03,39.5,40.31,39.32,39.97,5854900
2020-11-02,38.09,38.965,37.41,38.7,5561202
2020-10-30,37.12,37.86,36.8,37.85,6522100
2020-10-29,36.35,37.65,35.9,37.31,5097700
2020-10-28,36.82,37.6,36.47,36.6,6920900
2020-10-27,39.335,39.335,37.67,37.77,4776694
2020-10-26,40.33,40.45,39.105,39.38,6539699
2020-10-23,40.97,41.235,40.585,40.94,3942936
2020-10-22,39.18,40.66,39.04,40.61,4916900
2020-10-21,39.12,39.58,39.04,39.13,5830200
2020-10-20,39.56,40.09,39.3,39.34,3866000
2020-10-19,39.52,39.79,38.96,39.07,3613024
2020-10-16,39.28,39.86,38.86,39.28,4689400
2020-10-15,38.37,39.21,38.17,39.13,3646300
2020-10-14,38.955,39.72,38.95,38.97,3425692
2020-10-13,39.8,39.83,38.785,38.99,5200241
2020-10-12,39.63,40.415,39.52,40.34,5225224
2020-10-09,40.025,40.29,39.42,39.47,3355227
2020-10-08,39.55,40.07,39.42,39.84,3356988
2020-10-07,39.01,39.78,38.91,39.34,6762900
2020-10-06,39.01,39.75,38.26,38.37,5766100
2020-10-05,38.14,38.92,37.71,38.52,3667838
2020-10-02,36.63,37.94,36.57,37.63,3358499
2020-10-01,37.22,37.6665,36.83,37.25,3261690
2020-09-30,36.97,37.54,36.74,37.17,6040300
2020-09-29,37.06,37.31,36.46,36.77,2917848
2020-09-28,36.87,37.75,36.87,37.25,3842509
2020-09-25,35.5,36.43,35.38,36.25,3281772
2020-09-24,36.28,36.48,35.19,35.77,5401123
2020-09-23,37.23,37.62,36.0,36.09,5063620
2020-09-22,37.27,37.79,36.5,36.955,4641660
2020-09-21,38.5602,38.83,37.035,37.44,6174512
2020-09-18,39.28,40.1,39.15,39.67,7315483
2020-09-17,37.51,39.48,36.97,39.34,8151870
2020-09-16,37.77,38.25,37.55,37.65,7694754
2020-09-15,38.98,38.98,37.48,37.505,3908067
2020-09-14,38.55,39.0786,38.31,38.84,2731497
2020-09-11,37.9,38.48,37.57,38.22,3730648
2020-09-10,38.595,39.07,37.62,37.69,3853833
2020-09-09,37.88,38.6301,37.88,38.28,3345783
2020-09-08,38.91,38.915,37.72,37.89,4688064
2020-09-04,38.99,39.475,38.25,39.15,4880379
2020-09-03,39.21,40.045,37.95,38.2,4823663
2020-09-02,38.41,38.93,37.975,38.82,3440653
2020-09-01,38.31,39.045,37.98,38.51,2966417
2020-08-31,39.29,39.34,38.42,38.42,3438188
2020-08-28,39.54,39.54,38.885,39.43,2410628
2020-08-27,38.37,39.37,38.36,39.07,3059456
2020-08-26,38.6171,38.65,38.19,38.34,3400127
2020-08-25,38.63,39.32,38.4101,38.66,2992085
2020-08-24,37.5275,38.64,37.28,38.63,8291704
2020-08-21,37.6,37.98,37.16,37.28,2672032
2020-08-20,38.02,38.0917,37.515,37.61,2823242
2020-08-19,38.32,39.005,38.125,38.2,3034113
2020-08-18,38.87,39.18,38.18,38.31,3700632
2020-08-17,39.69,39.69,38.775,38.88,3115913
2020-08-14,39.23,39.79,38.98,39.62,3419461
2020-08-13,39.45,39.98,39.135,39.44,3673452
2020-08-12,41.48,41.48,39.53,40.04,4913318
2020-08-11,40.81,41.47,40.54,40.57,7181544
2020-08-10,38.92,39.97,38.91,39.79,5467853
2020-08-07,36.93,38.92,36.57,38.73,7412505
2020-08-06,37.49,38.4,36.93,36.99,6346523
2020-08-05,37.44,38.46,37.32,38.31,4830171
2020-08-04,37.19,37.3,36.82,36.91,3617718
2020-08-03,37.53,37.975,37.06,37.31,3430665
2020-07-31,37.53,37.89,37.175,37.87,3445270
2020-07-30,37.65,37.73,36.93,37.55,4215025
2020-07-29,37.6,38.73,37.42,38.68,5040268
2020-07-28,37.6507,38.02,37.5,37.59,4272668
2020-07-27,38.08,38.08,37.42,37.79,3215094
2020-07-24,38.71,38.79,38.18,38.22,2708121
2020-07-23,38.2,38.84,38.145,38.56,3403156
2020-07-22,38.07,38.49,37.88,38.42,3376570
2020-07-21,38.01,38.995,38.01,38.33,3952366
2020-07-20,38.2,38.35,37.645,37.76,3491442
2020-07-17,38.76,38.77,38.1515,38.47,2277254
2020-07-16,38.29,39.51,37.96,38.73,672189
2020-07-15,38.7,38.84,38.093,38.6435,414197
2020-07-14,37.345,37.96,36.99,37.9,455046
2020-07-13,37.44,37.95,37.1,37.42,683029
2020-07-10,35.42,37.055,35.42,36.93,384047
2020-07-09,36.73,36.75,35.15,35.39,830673
2020-07-08,36.145,37.01,36.07,36.78,886513
2020-07-07,36.62,36.88,35.92,36.02,940709
2020-07-06,36.65,37.3,36.38,37.1,997399
2020-07-02,36.4,37.195,35.59,35.67,602811
2020-07-01,36.51,36.71,35.37,35.51,4673882
2020-06-30,35.35,36.75,35.24,36.52,4513725
2020-06-29,35.52,35.89,35.08,35.57,4308582
