datetime,open,high,low,close,volume
2021-01-29,29.38,29.54,28.44,28.56,7670680
2021-01-28,28.98,29.91,28.79,29.56,7609900
2021-01-27,28.96,29.13,27.81,28.36,10022700
2021-01-26,30.16,30.31,29.54,29.59,8885700
2021-01-25,31.13,31.24,29.73,29.98,14759412
2021-01-22,31.0,31.8,30.75,31.39,8523200
2021-01-21,31.03,31.68,30.83,31.53,6957300
2021-01-20,30.63,31.27,30.52,31.06,7525900
2021-01-19,30.71,31.25,30.48,30.53,11015328
2021-01-15,30.09,30.19,29.34,29.8,8734100
2021-01-14,30.06,30.47,29.72,30.28,6482900
2021-01-13,30.18,30.22,29.47,30.04,6500200
2021-01-12,30.91,30.95,30.16,30.29,8127300
2021-01-11,30.61,31.12,30.41,30.79,8118207
2021-01-08,30.7,31.86,30.39,31.36,15355800
2021-01-07,31.31,31.41,30.27,30.6,9922600
2021-01-06,30.96,31.74,30.53,31.18,12352700
2021-01-05,29.52,30.48,29.41,30.36,10122600
2021-01-04,31.69,32.38,29.58,29.7,16672640
2020-12-31,31.19,31.87,30.72,31.51,15716400
2020-12-30,30.78,31.49,30.78,31.19,4393800
2020-12-29,31.41,31.48,30.62,30.77,4603500
2020-12-28,31.0,31.62,30.91,31.29,4643885
2020-12-24,31.11,31.11,30.565,30.74,1769142
2020-12-23,30.5,31.39,30.46,30.98,4213500
2020-12-22,30.48,30.59,29.79,30.35,5747000
2020-12-21,30.35,31.0,29.95,30.49,8743887
2020-12-18,31.03,31.83,30.88,31.65,7564465
2020-12-17,31.13,31.19,30.6616,31.1316,4924793
2020-12-16,30.81,31.17,30.41,30.98,7002200
2020-12-15,30.04,30.845,29.53,30.75,6040338
2020-12-14,30.68,30.71,29.38,29.51,9125331
2020-12-11,30.85,31.07,29.755,30.19,6495370
2020-12-10,29.64,31.05,29.58,30.93,7848100
2020-12-09,30.15,30.49,29.69,29.94,8243000
2020-12-08,29.59,30.35,29.5,29.89,5851163
2020-12-07,30.64,30.79,29.495,29.83,8366462
2020-12-04,30.25,30.79,29.51,30.72,14731109
2020-12-03,29.58,30.6,29.52,29.91,8946300
2020-12-02,28.63,29.61,28.23,29.35,7290900
2020-12-01,28.85,29.18,28.4,28.81,7026700
2020-11-30,28.76,28.93,27.59,28.25,9307089
2020-11-27,28.45,29.27,28.42,28.62,4089200
2020-11-25,28.0,28.62,27.66,28.39,7320900
2020-11-24,26.96,28.56,26.96,28.45,12169100
2020-11-23,26.49,26.85,25.79,26.15,12693950
2020-11-20,27.1,27.35,26.21,26.21,8886200
2020-11-19,26.65,27.28,26.51,27.24,9306900
2020-11-18,26.52,28.06,26.11,26.91,12880407
2020-11-17,26.0,26.71,25.51,26.42,8447400
2020-11-16,27.28,27.28,26.19,26.51,15556212
2020-11-13,23.83,25.9,23.82,25.9,13971181
2020-11-12,23.59,23.78,23.25,23.69,13597100
2020-11-11,24.78,24.78,23.91,23.98,8970500
2020-11-10,25.16,25.4,24.08,24.78,10636400
2020-11-09,25.66,27.5,24.63,25.3,25231843
2020-11-06,21.8,22.14,21.51,22.02,7145400
2020-11-05,21.82,22.38,21.72,21.84,9626000
2020-11-04,21.79,22.44,21.42,21.44,8328300
2020-11-03,21.27,21.9,21.27,21.75,6665800
2020-11-02,20.57,21.13,20.57,20.97,9298679
2020-10-30,20.28,20.74,19.55,20.57,16617500
2020-10-29,20.07,21.34,20.01,21.29,12621000
2020-10-28,20.24,20.64,19.81,20.1,18853300
2020-10-27,21.95,22.12,20.83,21.04,10272369
2020-10-26,22.86,22.89,21.7001,22.13,8724282
2020-10-23,22.65,23.47,22.48,23.36,10856180
2020-10-22,21.95,22.69,21.9,22.62,10078500
2020-10-21,21.34,21.57,21.09,21.41,6649000
2020-10-20,21.1,21.67,20.9,21.41,7730700
2020-10-19,21.35,21.49,20.69,20.8,7457189
2020-10-16,21.1,21.48,20.86,21.24,8258700
2020-10-15,20.75,21.18,20.68,21.16,9135100
2020-10-14,21.1,21.42,20.835,21.09,9843394
2020-10-13,21.111,21.2399,20.75,20.97,11900228
2020-10-12,21.28,21.49,21.05,21.4,8384182
2020-10-09,22.07,22.08,21.32,21.36,8954486
2020-10-08,21.75,22.0288,21.44,21.925,9599381
2020-10-07,21.42,21.75,21.29,21.5,9564700
2020-10-06,21.92,22.26,21.05,21.05,13832800
2020-10-05,21.83,22.02,21.395,21.55,8180823
2020-10-02,21.0,21.91,20.88,21.67,9214399
2020-10-01,21.94,22.23,21.62,21.82,10301921
2020-09-30,21.9,22.55,21.58,21.75,10555000
2020-09-29,22.58,22.58,21.38,21.72,7975085
2020-09-28,22.61,22.86,22.08,22.63,9556073
2020-09-25,21.29,22.25,21.19,22.095,3332239
2020-09-24,21.23,21.7,20.71,21.19,1338397
2020-09-23,21.64,22.38,21.34,21.38,4034932
2020-09-22,21.19,21.69,21.01,21.62,1848401
2020-09-21,21.23,21.48,20.58,21.1,10512294
2020-09-18,22.24,22.7,21.68,22.03,6844928
2020-09-17,22.5,22.87,21.96,22.53,9363422
2020-09-16,23.08,23.45,22.56,23.01,9928882
2020-09-15,23.09,24.23,22.9,23.74,10891701
2020-09-14,22.39,23.16,22.38,23.05,7808332
2020-09-11,23.07,23.0915,21.92,22.72,8377201
2020-09-10,23.5,24.13,22.82,22.83,10927038
2020-09-09,23.25,23.35,22.6,23.11,5190862
2020-09-08,22.85,23.69,22.61,23.17,9290960
2020-09-04,23.33,23.94,22.47,23.52,11916258
2020-09-03,23.62,24.42,22.6,23.07,14431984
2020-09-02,22.78,23.83,22.5,23.715,11963645
2020-09-01,22.26,23.0147,21.86,22.77,8125869
2020-08-31,23.63,23.65,22.5,22.5,10163032
2020-08-28,23.37,24.35,22.97,23.86,15120986
2020-08-27,22.16,23.42,22.15,22.81,9015431
2020-08-26,22.13,22.18,21.84,22.0,4546549
2020-08-25,22.5,22.63,21.79,22.09,7090717
2020-08-24,21.29,22.28,21.11,22.27,9759961
2020-08-21,21.12,21.68,21.04,21.16,6998725
2020-08-20,20.59,21.07,20.4,20.83,5133243
2020-08-19,20.89,21.2,20.75,20.9,4148742
2020-08-18,21.32,21.32,20.73,20.95,8352698
2020-08-17,21.72,21.88,20.9216,21.39,8889327
2020-08-14,21.17,21.85,20.96,21.82,8989685
2020-08-13,20.87,21.68,20.72,21.34,6201809
2020-08-12,21.94,21.95,20.71,21.135,14956892
2020-08-11,22.42,22.48,21.19,21.5,20034798
2020-08-10,22.48,23.79,20.88,21.65,52807045
2020-08-07,18.29,19.38,18.25,19.03,24149322
2020-08-06,16.7,18.59,16.58,18.46,20717606
2020-08-05,17.205,17.24,16.31,16.71,10189110
2020-08-04,16.33,16.77,16.29,16.71,22811664
2020-08-03,15.98,16.51,15.84,16.325,12454485
2020-07-31,15.99,16.49,15.58,16.09,20518907
2020-07-30,16.18,16.7,16.04,16.645,16469012
2020-07-29,15.65,16.26,15.572,16.25,15301677
2020-07-28,14.8,15.81,14.76,15.41,14175719
2020-07-27,15.76,15.77,14.65,14.95,15648119
2020-07-24,15.58,15.94,15.47,15.8,12895204
2020-07-23,16.1,16.165,15.52,15.89,18100616
2020-07-22,16.4,16.82,16.26,16.32,7468072
2020-07-21,16.55,16.91,16.35,16.69,6273192
2020-07-20,16.69,16.93,16.05,16.33,8172214
2020-07-17,17.31,17.37,16.62,16.8116,2864584
2020-07-16,17.84,18.06,17.47,17.6,2005840
2020-07-15,17.12,18.29,16.82,18.21,1623067
2020-07-14,16.36,16.45,15.98,16.19,840428
2020-07-13,16.53,17.3,15.82,16.37,686375
2020-07-10,15.68,16.245,15.5,16.19,1292021
2020-07-09,16.12,16.16,15.24,16.0,572232
2020-07-08,16.06,16.34,15.51,16.28,1145899
2020-07-07,16.33,16.58,16.06,16.15,1256306
2020-07-06,17.53,17.53,16.215,16.71,2097899
2020-07-02,17.35,17.58,16.75,16.86,805273
2020-07-01,16.95,17.68,16.63,16.77,31077389
2020-06-30,16.63,16.95,16.27,16.8,18793600
2020-06-29,15.83,16.99,15.3222,16.82,25974020
2020-06-26,16.5,16.79,15.59,15.72,27595800
2020-06-25,16.19,17.05,16.07,16.7,8460729
2020-06-24,18.05,18.1,16.66,16.93,6680997
2020-06-23,18.06,18.5,17.77,18.45,3002528
2020-06-22,17.95,18.2,17.4,17.77,3063980
2020-06-19,19.09,19.09,17.83,18.19,5484875
2020-06-18,18.45,18.99,18.3,18.585,3662630
2020-06-17,19.04,19.33,18.82,18.96,3238480
2020-06-16,20.66,20.85,19.085,19.35,9858653
2020-06-15,18.09,19.75,17.65,19.46,6144736
2020-06-12,19.665,19.68,18.26,19.17,4959630
2020-06-11,17.84,19.44,17.6,17.84,5515083
2020-06-10,22.46,22.47,20.01,20.505,4658940
2020-06-09,22.84,22.93,21.2973,22.06,3450795
