datetime,open,high,low,close,volume
2021-01-29,147.5,147.5,141.64,143.60001,371094
2021-01-28,145.8,149.5,145.11,148.28999,442000
2021-01-27,146.39,148.42,141.84,144.34,473600
2021-01-26,150.83,151.62,146.66,148.75,204900
2021-01-25,147.95,151.89999,147.74001,148.82001,365758
2021-01-22,149.0,150.64,146.31,149.77,367200
2021-01-21,150.8,152.49001,149.28,150.92999,353300
2021-01-20,149.49001,152.05,148.25,151.21001,348000
2021-01-19,151.32001,151.32001,147.87,148.89999,300878
2021-01-15,150.92,150.92,147.48,148.97,387000
2021-01-14,150.22,153.35001,149.94,151.97,436100
2021-01-13,151.7,152.05,148.39999,149.67,407200
2021-01-12,147.41,151.17999,147.41,150.87,530000
2021-01-11,141.66,148.34,141.58501,147.58,679108
2021-01-08,145.23,145.67,141.42,143.67999,431600
2021-01-07,144.06,145.3,142.0,144.31,397300
2021-01-06,139.71001,144.5,138.88,142.97,550300
2021-01-05,136.2,140.27,135.81,138.59,580000
2021-01-04,140.77,140.89,134.09,136.11,553904
2020-12-31,141.86,142.10001,139.59,140.95,363700
2020-12-30,139.85001,142.84,139.56,142.50999,349300
2020-12-29,140.31,140.74001,137.95,139.47,397700
2020-12-28,140.27,141.99001,138.85001,140.49001,323869
2020-12-24,136.98,138.75999,135.455,138.72,192330
2020-12-23,136.50999,138.42999,136.0,137.14999,424300
2020-12-22,137.12,138.27,135.36,135.67,462500
2020-12-21,135.00999,137.53999,134.164,136.60001,546351
2020-12-18,135.25999,139.4758,135.25999,138.53999,840433
2020-12-17,133.47,135.25999,132.44,135.25,600119
2020-12-16,134.95,135.53999,131.33,132.61,642500
2020-12-15,133.0,134.49001,130.96001,134.14,498728
2020-12-14,136.08,136.64999,131.41,131.53,683602
2020-12-11,132.14,137.0,132.14,134.75,502389
2020-12-10,132.73,135.14999,132.0,132.98,837800
2020-12-09,133.67,135.05,132.7,134.41,823600
2020-12-08,132.8541,134.57001,131.065,132.78999,363924
2020-12-07,131.42,135.355,130.13,134.60001,987973
2020-12-04,132.47,134.53,131.61501,132.86,370011
2020-12-03,130.87,134.52,127.27,132.28,991100
2020-12-02,125.53,129.78999,124.16,124.76,684700
2020-12-01,127.79,128.73,125.33,126.73,560400
2020-11-30,129.66,130.28999,125.71,125.83,747686
2020-11-27,132.25,132.25,129.39,130.55,244900
2020-11-25,133.71001,133.71001,129.78,133.13,474400
2020-11-24,133.0,135.03,131.64999,134.86,737300
2020-11-23,128.46001,131.46001,127.87,130.5,482024
