datetime,open,high,low,close,volume
2021-01-29,90.65,91.195,88.38,89.54,2438747
2021-01-28,91.0,94.99,89.66,91.02,1835557
2021-01-27,95.87,98.8,93.96,94.07,2608500
2021-01-26,94.55,96.41,93.78,96.09,1613800
2021-01-25,92.11,94.86,91.931,94.55,1209329
2021-01-22,91.51,92.32,90.49,91.87,1051900
2021-01-21,91.75,91.84,90.56,91.46,878400
2021-01-20,92.8,93.05,91.22,91.75,1143000
2021-01-19,93.81,94.18,91.92,93.01,1442342
2021-01-15,91.86,93.96,91.48,93.43,1893300
2021-01-14,93.04,93.04,90.92,91.62,2018700
2021-01-13,92.84,93.75,92.35,93.26,953700
2021-01-12,93.68,93.95,91.96,92.45,1118600
2021-01-11,95.54,95.86,93.08,93.63,720516
2021-01-08,95.02,95.4,94.05,95.21,842400
2021-01-07,93.96,94.89,92.65,94.79,1090400
2021-01-06,93.76,95.25,93.34,93.93,1199500
2021-01-05,93.8,94.49,92.33,94.23,825200
2021-01-04,95.78,95.96,93.18,93.99,935713
2020-12-31,94.56,95.76,94.0,95.6,1190900
2020-12-30,95.42,95.49,94.24,94.56,1157800
2020-12-29,93.42,95.69,93.28,94.82,1205600
2020-12-28,93.68,94.03,92.9,93.42,431254
2020-12-24,93.2476,93.58,92.46,93.47,247648
2020-12-23,93.3,93.59,92.58,92.98,650500
2020-12-22,93.61,93.82,92.36,92.96,808700
2020-12-21,92.26,94.12,91.89,93.69,928421
2020-12-18,93.831,95.0,92.28,93.37,737656
2020-12-17,92.985,95.3199,92.985,94.61,740412
2020-12-16,91.98,93.17,91.81,92.71,982900
2020-12-15,93.27,93.8,91.6,91.73,1002207
2020-12-14,93.84,94.98,93.24,93.28,657697
2020-12-11,92.97,93.7,92.8,93.43,471095
2020-12-10,93.22,93.64,92.45,93.05,655700
2020-12-09,93.33,93.41,91.76,93.12,827000
2020-12-08,92.1235,93.85,92.09,93.38,467425
2020-12-07,93.89,94.31,92.17,92.64,691637
2020-12-04,92.43,93.95,92.005,93.95,650412
2020-12-03,91.4,92.91,91.26,92.65,837600
2020-12-02,93.49,94.4,91.16,91.42,980900
2020-12-01,95.02,95.02,92.34,93.64,1425100
2020-11-30,185.81,187.22,93.49,93.49,773044
2020-11-27,187.0,188.2,184.25,186.48,287600
2020-11-25,186.67999,188.87,185.22,185.59,365500
2020-11-24,185.0,188.08,184.13,186.53999,902200
2020-11-23,184.23,185.02,181.83,183.0,437190
2020-11-20,184.05,185.31,182.87,183.67,478800
2020-11-19,181.82001,183.62,180.19,183.24001,432200
2020-11-18,182.96001,184.84,181.75,182.19,548400
2020-11-17,183.23,184.73,181.81,182.66,667100
2020-11-16,185.19,185.83,181.53,184.17999,523947
2020-11-13,185.00999,185.96001,182.3,184.62,214218
2020-11-12,188.16,188.73,182.88,184.98,311500
2020-11-11,183.64999,187.08,183.41,186.89,513500
2020-11-10,179.0,183.86,178.16,181.94,576400
2020-11-09,191.75,194.0,177.84,178.32001,1049883
2020-11-06,188.75999,191.88,187.0,188.66,359300
2020-11-05,191.78999,191.92999,187.64999,188.53999,413200
2020-11-04,188.83,192.55,188.36,188.98,393500
2020-11-03,187.17999,189.42,186.02,187.67999,349300
2020-11-02,183.38,186.57001,183.14,185.17,480561
2020-10-30,183.10001,184.31,178.50999,180.50999,687800
2020-10-29,185.56,186.77,183.85001,183.89999,314596
2020-10-28,189.72,191.06,185.39999,185.67,453900
2020-10-27,194.27,195.28,192.03999,192.14,383060
2020-10-26,194.58,195.82111,192.75999,194.05,197177
2020-10-23,195.34,196.89,194.67,196.50999,205941
2020-10-22,195.0,195.63,193.73,194.63,277200
2020-10-21,195.89,197.35001,195.09,195.34,199400
2020-10-20,197.8,198.74001,195.7,195.94,266500
2020-10-19,199.95,201.42,197.1268,197.53,333251
2020-10-16,200.13,201.98,199.38,199.39,404500
2020-10-15,196.72,200.11,196.27,199.14999,349600
2020-10-14,200.03999,201.53999,197.74001,197.91,246217
2020-10-13,200.485,203.33,198.61,200.23,436315
2020-10-12,196.11,201.21001,195.99001,200.89999,510217
2020-10-09,195.735,197.03,195.27,196.11,276026
2020-10-08,194.425,195.25,193.67999,194.34,228457
2020-10-07,192.66,195.03999,192.12,194.17999,488500
2020-10-06,195.77,195.77,191.24001,191.64,543500
2020-10-05,193.33,195.34,192.81,195.08,401485
2020-10-02,191.12579,193.91,190.16,192.8,393131
2020-10-01,194.19,195.21201000000002,191.13,193.2,455247
2020-09-30,191.38,196.17,191.0,194.10001,930700
2020-09-29,191.89999,192.67,183.22,189.89,2181935
2020-09-28,194.74001,196.56,193.78,195.17999,1349759
2020-09-25,188.97,191.995,188.375,191.62,460217
2020-09-24,186.72,192.36,185.80499,188.85001,505002
2020-09-23,193.60001,193.60001,185.09,185.46001,614126
2020-09-22,189.94,192.94,189.75999,192.35001,575060
2020-09-21,187.62,190.89999,187.42999,190.35001,448735
2020-09-18,192.92999,194.59,188.39999,189.94,448089
2020-09-17,195.98151000000001,196.41,191.11,192.81,734377
2020-09-16,201.44,202.595,198.5,198.67999,391511
2020-09-15,201.24001,203.16,199.75,200.34,465818
2020-09-14,199.92,202.75999,199.03999,200.10001,449608
2020-09-11,198.74001,199.35001,196.841,198.64999,272503
2020-09-10,202.13,202.71001,196.91,198.2,329578
2020-09-09,199.24001,205.71001,199.19,202.7,506722
2020-09-08,201.61,201.78999,197.16,197.58,452522
2020-09-04,204.285,205.36,198.84,201.85001,477648
2020-09-03,209.11639,211.07001,202.41,204.17,375179
2020-09-02,207.10001,210.42999,206.33,209.78,307603
2020-09-01,205.66,206.1321,203.39,205.85001,259081
2020-08-31,204.33501,206.87,204.33501,206.14999,269569
2020-08-28,205.62,205.62,202.75,204.64999,237751
2020-08-27,206.06,207.24001,205.35001,205.37,225414
2020-08-26,201.515,206.53,201.32001,205.5,343958
2020-08-25,203.14999,204.11501,201.67,202.78,225993
2020-08-24,203.595,204.16,201.78999,202.83,251350
2020-08-21,203.8476,203.96001,202.5,203.14,214882
2020-08-20,201.045,204.08,200.53,202.89999,306280
2020-08-19,202.75999,203.185,201.24001,202.67999,223151
2020-08-18,202.33,204.0,200.92,202.42,242536
2020-08-17,200.67,203.39,200.07001,202.28999,397259
2020-08-14,201.5,203.50999,200.87,201.67,336386
2020-08-13,201.35001,202.98,198.745,202.03999,451716
2020-08-12,198.50999,203.14,198.4901,201.62,339756
2020-08-11,201.23,201.91,197.13,197.77,334272
2020-08-10,201.39,202.50999,200.07001,201.82001,380553
2020-08-07,199.0,201.84,198.755,201.55,533966
2020-08-06,196.84,199.36,196.26781,199.2,298591
2020-08-05,198.33,198.765,195.64,197.34,338243
2020-08-04,196.05,198.825,195.92999,198.13,304973
2020-08-03,195.69,197.16,194.47,196.16,316178
2020-07-31,193.3542,194.89999,190.92999,194.89999,348104
2020-07-30,192.77,194.09,191.58,193.84,350887
2020-07-29,193.55499,195.5,193.42999,194.32001,308854
2020-07-28,191.50999,195.19,190.47,192.89999,504866
2020-07-27,193.855,196.08,193.185,196.00999,266770
2020-07-24,195.69,196.38,192.6601,193.49001,406957
2020-07-23,194.33,196.77,194.32001,195.89,299658
2020-07-22,193.72501,194.16,191.63,193.89,481786
2020-07-21,193.78,196.52,193.13,193.66,484513
2020-07-20,190.7858,191.71001,189.745,191.58,317340
2020-07-17,190.71001,192.33,189.86,190.89,282217
2020-07-16,189.05,190.85001,188.78999,189.66,110821
2020-07-15,190.93649,191.39999,188.6205,189.24001,84235
2020-07-14,183.0,189.83,183.0,189.53999,104480
2020-07-13,186.5,188.28999,182.58,182.86,100176
2020-07-10,184.07001,186.10001,182.53,185.95,120315
2020-07-09,182.34,184.62,182.34,183.78,68373
2020-07-08,182.57001,183.75,181.7805,183.64,86755
2020-07-07,181.46001,183.99001,181.21001,183.14999,94505
2020-07-06,181.60001,183.59,180.60001,181.55,108015
2020-07-02,184.17,184.17,180.63,181.62,131824
2020-07-01,179.31,180.78,178.45,179.5,615118
2020-06-30,179.83,180.97,177.42999,179.41,809900
2020-06-29,177.32001,182.2962,176.61,179.38,836391
2020-06-26,180.5,182.92,175.28,176.25,1447900
2020-06-25,174.99001,180.86,173.625,178.545,431733
2020-06-24,171.47,173.535,169.14999,172.33,259318
2020-06-23,174.94,175.36,172.16499,172.37,138569
2020-06-22,173.74001,174.78999,172.09,172.67,145668
2020-06-19,175.96001,176.09,172.09,172.14999,170472
2020-06-18,174.39,174.77,172.88,173.87,105065
2020-06-17,173.19,175.37,172.8878,174.14,140594
2020-06-16,172.31,173.75,169.575,173.08,185055
2020-06-15,166.10001,170.49001,165.06,170.49001,147912
2020-06-12,167.8,169.82001,165.67999,166.50999,202862
