datetime,open,high,low,close,volume
2021-01-29,107.74,110.4807,107.285,109.91,2265870
2021-01-28,108.6,110.87,107.6,108.83,2144300
2021-01-27,110.44,110.59,106.95,107.6,2370600
2021-01-26,112.12,112.41,110.97,111.26,1140700
2021-01-25,111.52,112.91,110.79,112.03,1141214
2021-01-22,111.59,112.24,110.71,111.52,1490400
2021-01-21,113.12,113.44,111.81,111.83,1249100
2021-01-20,112.19,113.93,111.54,113.44,1704000
2021-01-19,112.12,113.09,111.56,112.22,1600829
2021-01-15,111.53,112.76,111.06,111.84,2533300
2021-01-14,113.69,113.9,111.88,111.99,1358300
2021-01-13,112.6,113.78,112.02,113.48,1498700
2021-01-12,112.47,114.11,111.97,113.0,2027600
2021-01-11,113.82,113.82,111.9,112.59,1522862
2021-01-08,111.83,114.3,111.83,113.48,2439400
2021-01-07,113.45,114.06,112.42,113.34,2612300
2021-01-06,112.95,114.49,111.89,113.5,2122600
2021-01-05,113.93,114.0,112.11,112.72,1137900
2021-01-04,116.43,116.81,112.6229,113.51,1473225
2020-12-31,115.34,117.19,114.74,117.0,908600
2020-12-30,115.21,115.66,114.71,115.01,651200
2020-12-29,115.66,115.94,114.77,114.8,773700
2020-12-28,115.68,116.11,114.84,115.2,922158
2020-12-24,114.14,115.29,113.92,115.13,372400
2020-12-23,114.65,115.16,113.68,113.69,846400
2020-12-22,114.63,115.08,113.89,114.4,1172500
2020-12-21,115.62,116.05,112.54,115.05,1382750
2020-12-18,118.71,118.71,115.225,116.26,1177411
2020-12-17,117.565,119.25,117.565,118.63,1108620
2020-12-16,117.01,118.32,116.58,117.12,1751400
2020-12-15,115.505,117.29,115.15,116.61,1625702
2020-12-14,116.28,116.79,114.8735,114.92,1689023
2020-12-11,114.95,116.32,114.4435,115.44,1833413
2020-12-10,116.11,116.31,114.93,115.37,3355100
2020-12-09,116.49,116.93,115.25,115.9,2087300
2020-12-08,114.3,117.0,114.15,116.64,1435799
2020-12-07,117.03,118.43,115.69,116.06,1409220
2020-12-04,116.72,117.39,115.37,117.32,1379892
2020-12-03,115.98,117.0,115.12,116.54,2452500
2020-12-02,116.38,116.58,114.97,116.02,972400
2020-12-01,115.35,116.99,115.17,116.34,1510300
2020-11-30,114.26,114.74,113.32,114.64,2542402
2020-11-27,115.0,115.79,114.15,114.36,564000
2020-11-25,114.8,115.27,113.44,115.23,1633900
2020-11-24,114.28,115.38,113.5,115.1,1667200
2020-11-23,113.58,113.96,112.05,113.28,1084829
2020-11-20,114.76,114.99,112.9,112.98,1295500
2020-11-19,112.08,114.94,111.44,114.48,2282500
2020-11-18,114.51,114.855,111.96,112.02,1509023
2020-11-17,114.4,114.88,112.92,114.24,1467900
2020-11-16,114.12,115.72,113.75,115.66,1640337
2020-11-13,113.15,113.95,112.84,113.3,1071427
2020-11-12,112.99,113.28,111.58,112.33,1372700
2020-11-11,113.32,113.96,112.71,113.36,1231500
2020-11-10,110.68,113.08,109.97,112.51,2118200
2020-11-09,116.0,117.13,110.17,110.58,3183723
2020-11-06,109.14,110.73,108.17,109.56,1405300
2020-11-05,109.92,110.73,107.85,108.4,1573500
2020-11-04,106.86,111.38,106.65,109.0,2234400
2020-11-03,106.43,107.43,105.48,106.57,2343900
2020-11-02,104.0,105.44,103.27,104.89,2519064
