datetime,open,high,low,close,volume
2021-01-29,87.51,88.635,86.77,86.83,1846984
2021-01-28,86.78,89.33,86.63,88.73,1884500
2021-01-27,88.03,88.53,85.36,85.93,3583900
2021-01-26,88.3,89.74,88.28,88.8,1437100
2021-01-25,88.56,89.4,88.12,88.46,1661933
2021-01-22,89.11,89.4,88.08,88.2,1196700
2021-01-21,89.61,89.69,88.62,89.2,1278000
2021-01-20,90.13,90.47,89.29,89.61,1987200
2021-01-19,92.34,92.99,90.02,90.08,2363502
2021-01-15,90.3,92.5,89.72,91.65,3070700
2021-01-14,91.72,92.68,90.53,91.36,2386100
2021-01-13,94.0,94.16,91.81,91.87,3372600
2021-01-12,93.26,94.43,92.61,93.99,2694200
2021-01-11,94.86,95.105,92.55,92.94,1437692
2021-01-08,93.78,95.06,92.95,94.99,3138800
2021-01-07,90.57,93.6,90.27,93.5,3020400
2021-01-06,91.06,91.4,90.09,90.7,3788900
2021-01-05,89.89,91.66,89.45,91.42,2530100
2021-01-04,92.51,92.53,88.8,90.6,3006597
2020-12-31,91.52,92.54,91.07,92.48,1194000
2020-12-30,91.06,91.68,91.06,91.46,787100
2020-12-29,91.2,91.44,90.51,91.04,882400
2020-12-28,90.36,90.9062,90.21,90.81,862589
2020-12-24,89.0,90.02,88.99,89.81,451141
2020-12-23,88.28,89.5,88.2,88.94,1416000
2020-12-22,88.61,88.83,87.98,88.27,1516500
2020-12-21,88.85,89.45,87.32,88.97,1506766
2020-12-18,90.71,90.71,89.08,90.16,1385792
2020-12-17,89.99,90.43,89.52,90.13,915810
2020-12-16,88.75,89.94,88.56,89.8,1364600
2020-12-15,88.98,89.16,88.17,88.64,1014819
2020-12-14,88.28,89.49,88.115,88.42,1582711
2020-12-11,87.55,88.22,87.025,87.98,1053885
2020-12-10,88.55,88.62,87.51,88.03,1253300
2020-12-09,88.4,88.7,87.47,87.9,1484700
2020-12-08,87.86,88.89,86.82,88.2,1681030
2020-12-07,86.95,87.76,86.665,87.17,1197824
2020-12-04,86.14,87.61,86.125,87.44,1047193
2020-12-03,85.73,86.77,85.56,86.52,2465500
2020-12-02,87.84,88.46,85.82,86.26,1741200
2020-12-01,85.48,87.03,84.98,86.68,2499200
2020-11-30,84.2,84.85,83.28,84.78,2319814
2020-11-27,84.5,85.14,83.915,84.15,807711
2020-11-25,84.57,84.94,83.84,84.08,944500
2020-11-24,84.3,84.99,83.51,84.19,1434500
2020-11-23,83.93,84.705,83.27,84.07,2138519
2020-11-20,83.61,84.39,83.44,83.52,1532300
2020-11-19,83.38,84.19,82.85,83.73,1803000
2020-11-18,84.99,86.03,84.12,84.21,1332735
2020-11-17,84.84,85.87,83.98,85.54,2205200
2020-11-16,83.98,85.33,83.22,83.58,1939051
2020-11-13,83.28,84.12,82.88,84.02,844283
2020-11-12,84.5,84.79,82.39,82.96,1448600
2020-11-11,81.75,84.78,81.53,84.5,2325800
2020-11-10,80.96,82.76,80.51,81.58,2622700
2020-11-09,87.81,88.375,80.9,81.35,3369110
2020-11-06,84.49,84.58,82.64,83.26,2141400
2020-11-05,84.04,84.69,82.64,83.68,2893700
2020-11-04,80.9,83.42,80.41,82.72,2723500
2020-11-03,80.35,80.53,78.05,79.52,5653800
2020-11-02,77.84,78.23,76.9215,77.92,1526929
2020-10-30,76.83,77.22,75.45,76.57,3256000
2020-10-29,77.07,78.51,76.54,77.54,1530300
2020-10-28,78.71,79.14,77.25,77.37,2172600
2020-10-27,79.79,81.0599,79.33,80.39,1453310
2020-10-26,79.345,80.27,78.07,78.85,1550815
2020-10-23,80.86,81.29,80.06,80.4,1001595
2020-10-22,80.42,80.78,79.34,80.56,1169400
2020-10-21,79.87,80.68,79.41,80.09,1191000
2020-10-20,80.5,81.06,79.92,80.2,1714700
2020-10-19,80.46,81.56,79.63,80.01,2101856
2020-10-16,81.73,82.64,80.7,80.76,4755000
2020-10-15,81.83,82.5,81.08,81.39,2194200
2020-10-14,83.79,84.34,82.17,82.74,1278008
2020-10-13,83.66,84.46,82.835,83.44,2302375
2020-10-12,82.03,83.39,81.56,82.78,3339970
2020-10-09,79.49,81.2,79.37,80.95,1932887
2020-10-08,79.19,79.35,78.6,79.17,1152189
2020-10-07,77.88,78.99,77.63,78.76,1648000
2020-10-06,78.63,79.37,77.35,77.63,1837300
2020-10-05,79.71,80.12,78.02,78.67,2281595
2020-10-02,80.33,80.825,78.72,79.56,1535649
2020-10-01,80.24,81.76,80.24,81.47,2286957
2020-09-30,80.33,81.06,79.64,80.2,3390300
2020-09-29,80.89,81.08,79.59,79.8,1121400
2020-09-28,79.91,80.73,79.44,80.51,2271363
2020-09-25,77.45,79.03,77.145,78.761,1128937
2020-09-24,77.45,79.02,76.88,78.0,1000031
2020-09-23,78.8,79.24,77.43,77.8,1091749
2020-09-22,78.43,79.54,77.92,79.23,986731
2020-09-21,78.41,78.5,77.07,78.44,1706623
2020-09-18,80.81,80.95,78.14,78.96,2443247
2020-09-17,80.39,81.44,79.66,80.71,1681497
2020-09-16,83.3738,83.98,81.87,81.87,1130927
2020-09-15,83.24,83.93,82.42,83.14,999971
2020-09-14,82.46,83.32,82.15,82.89,1377042
2020-09-11,82.05,82.324,80.42,81.33,1198002
2020-09-10,82.44,83.19,81.09,81.78,1857409
2020-09-09,80.55,83.35,80.55,82.72,1990167
2020-09-08,81.8,81.97,79.65,80.04,2179669
2020-09-04,83.16,83.76,80.965,82.21,2000059
2020-09-03,86.78,86.81,81.97,82.69,2215239
2020-09-02,85.0,87.05,84.945,86.5,1947172
2020-09-01,83.78,84.86,83.47,84.86,1453733
2020-08-31,84.42,84.97,83.24,83.85,1879612
2020-08-28,83.75,84.64,83.06,84.53,1133749
2020-08-27,84.0,84.19,82.79,83.34,1107133
2020-08-26,83.7,84.09,83.02,83.96,1016909
2020-08-25,84.215,84.215,83.19,83.97,870630
2020-08-24,82.98,83.7,82.54,83.68,964016
2020-08-21,82.76,83.025,81.82,82.7,1003650
2020-08-20,81.94,83.18,81.91,83.0,721189
2020-08-19,82.78,83.58,82.35,82.66,891102
2020-08-18,83.44,83.83,82.6,82.98,1072751
2020-08-17,83.34,83.91,83.285,83.47,943804
2020-08-14,83.49,83.88,82.88,83.31,1013229
2020-08-13,83.0,83.975,82.79,83.83,1712621
2020-08-12,81.24,83.07,81.24,82.67,1713880
2020-08-11,82.28,82.44,80.15,80.61,2106085
2020-08-10,83.19,83.36,81.5762,82.01,1095036
2020-08-07,82.95,83.84,82.42,83.1704,1439593
2020-08-06,82.98,83.825,82.62,83.51,1948063
2020-08-05,82.03,83.96,81.31,83.1,3226208
2020-08-04,77.48,78.25,77.21,78.04,2230389
2020-08-03,78.69,78.79,77.15,77.86,1301127
2020-07-31,77.76,78.48,76.81,78.48,1661487
2020-07-30,76.73,78.0,76.0144,77.83,1898572
2020-07-29,76.22,77.51,75.81,77.36,1235694
