datetime,open,high,low,close,volume
2021-01-29,42.122,42.44,41.05,41.21,4989850
2021-01-28,41.82,43.04,41.78,42.65,9546100
2021-01-27,41.96,42.5,41.68,41.82,8402700
2021-01-26,42.02,42.39,41.85,42.23,5859800
2021-01-25,41.77,42.235,41.34,41.96,7797248
2021-01-22,41.82,42.09,41.51,41.83,5525800
2021-01-21,42.05,42.29,41.71,41.94,7108200
2021-01-20,41.46,42.19,41.33,42.1,6999600
2021-01-19,41.38,41.8338,41.01,41.23,9639921
2021-01-15,41.0,41.34,40.87,41.2,8069500
2021-01-14,41.18,41.78,40.88,41.11,6953500
2021-01-13,40.77,41.25,40.77,41.09,7511300
2021-01-12,41.27,41.45,40.63,40.93,7322000
2021-01-11,41.67,42.0284,41.29,41.35,8633663
2021-01-08,41.8,41.84,41.28,41.59,8314300
2021-01-07,41.61,41.98,41.39,41.78,6958600
2021-01-06,40.93,41.59,40.71,41.42,9046900
2021-01-05,40.85,41.22,40.7,40.76,6371600
2021-01-04,41.08,41.11,40.0,40.84,10145236
2020-12-31,40.63,41.11,40.17,41.0,7286300
2020-12-30,40.68,40.97,40.35,40.74,7031200
2020-12-29,41.65,41.8,40.72,40.73,8976000
2020-12-28,41.89,42.285,41.24,41.48,7712296
2020-12-24,41.89,41.92,41.15,41.72,6055800
2020-12-23,42.68,43.07,42.62,42.87,7537400
2020-12-22,43.0,43.13,42.31,42.55,9063300
2020-12-21,43.11,43.18,42.58,42.94,9871691
2020-12-18,43.0,43.87,42.92,43.73,8558849
2020-12-17,43.02,43.09,42.71,43.0,6040791
2020-12-16,42.2,43.17,42.18,43.1,13034500
2020-12-15,42.84,42.92,42.04,42.19,9757288
2020-12-14,43.36,43.36,42.89,42.9,15214779
2020-12-11,42.64,43.13,42.64,43.0,7294498
2020-12-10,43.09,43.13,42.47,42.95,9646800
2020-12-09,42.37,43.17,42.29,42.98,16685800
2020-12-08,41.27,42.31,40.93,42.23,10199543
2020-12-07,41.49,41.77,41.04,41.69,9718425
2020-12-04,40.62,41.37,40.61,41.37,7163751
2020-12-03,40.23,40.53,39.92,40.42,14799800
2020-12-02,40.48,40.83,39.91,40.02,8987500
2020-12-01,40.08,40.88,40.01,40.49,10720500
2020-11-30,40.25,40.28,39.595,39.83,11814062
2020-11-27,40.4,40.54,39.97,40.37,4664500
2020-11-25,40.9,41.0,40.35,40.38,6481600
2020-11-24,40.81,41.54,40.67,41.0,10679800
2020-11-23,40.0,40.42,39.815,40.2,6479707
2020-11-20,39.84,40.15,39.72,39.94,6053400
2020-11-19,40.01,40.41,39.36,40.06,8195800
2020-11-18,41.2235,41.38,40.16,40.16,6937364
2020-11-17,41.12,41.48,40.88,41.19,5204400
2020-11-16,40.81,41.52,40.52,41.48,7196405
2020-11-13,39.75,40.4,39.4,40.34,5556570
2020-11-12,39.56,39.66,38.9,39.5,7815000
2020-11-11,39.84,39.85,39.13,39.76,9142400
2020-11-10,38.7,39.71,38.48,39.59,13245500
2020-11-09,38.74,39.43,38.11,38.17,16563401
2020-11-06,37.36,37.85,37.07,37.27,8015600
2020-11-05,38.44,38.46,37.3,37.31,9606500
2020-11-04,37.74,38.82,37.66,38.08,12800900
2020-11-03,36.72,37.57,36.71,37.39,10591900
2020-11-02,36.49,36.77,36.125,36.48,9104222
2020-10-30,36.25,36.75,35.83,36.08,12782500
2020-10-29,36.65,37.2,36.23,36.87,12645700
2020-10-28,36.58,37.14,36.28,36.72,12636900
2020-10-27,38.4,38.57,37.15,37.17,8842082
2020-10-26,38.88,38.94,38.23,38.57,6983095
2020-10-23,39.27,39.36,38.775,39.09,3829444
2020-10-22,38.63,39.06,38.44,38.99,4621600
2020-10-21,38.49,38.75,38.43,38.51,5798000
2020-10-20,39.47,39.5,38.63,38.7,7308100
2020-10-19,39.56,39.94,39.1217,39.18,5184304
2020-10-16,39.91,40.24,39.53,39.53,5968700
2020-10-15,39.16,39.74,39.05,39.7,4206800
2020-10-14,39.25,39.82,39.12,39.55,4394678
2020-10-13,40.35,40.39,39.32,39.37,7634310
2020-10-12,40.65,41.24,40.38,40.45,7071867
2020-10-09,40.89,41.26,40.585,40.69,9624679
2020-10-08,40.6,40.95,40.231,40.38,4383334
2020-10-07,39.81,40.84,39.81,40.53,7422800
2020-10-06,39.65,40.22,39.48,39.6,6553400
2020-10-05,39.17,39.62,38.92,39.5,4908167
2020-10-02,38.42,39.22,38.35,38.97,4267377
2020-10-01,38.75,38.945,38.38,38.915,6532957
2020-09-30,38.54,38.9,38.33,38.64,7706900
2020-09-29,38.94,38.95,38.33,38.36,6066802
2020-09-28,38.47,39.21,38.47,38.95,7938910
2020-09-25,38.16,38.41,37.7842,38.26,5916801
2020-09-24,38.05,38.62,37.59,38.33,6467851
2020-09-23,38.8,39.05,37.92,37.94,7155542
2020-09-22,39.0,39.42,38.49,38.55,6786159
2020-09-21,39.57,39.8,38.44,38.8199,8667779
2020-09-18,40.94,41.04,39.7027,39.845,13877367
2020-09-17,41.555,41.96,40.82,40.86,8286239
2020-09-16,42.86,42.91,41.74,41.76,8337044
2020-09-15,43.1,43.386,42.71,42.76,6472962
2020-09-14,42.85,43.36,42.625,43.0,9042511
2020-09-11,43.47,43.7201,43.155,43.59,7766630
2020-09-10,43.89,43.89,43.27,43.34,6920582
2020-09-09,43.31,44.17,43.31,43.8,7727132
2020-09-08,43.74,44.07,42.7,43.07,7452489
2020-09-04,43.52,43.94,42.7775,43.475,7782338
2020-09-03,43.98,44.78,43.005,43.26,9722432
2020-09-02,43.05,43.9,42.91,43.76,7053577
2020-09-01,43.63,43.63,43.04,43.12,6303225
