datetime,open,high,low,close,volume
2021-01-29,27.17,27.305,25.831,25.96,3865174
2021-01-28,27.17,27.41,26.39,27.21,3468100
2021-01-27,26.65,26.99,25.63,26.69,6190300
2021-01-26,28.96,29.28,27.38,27.38,5294400
2021-01-25,28.75,28.77,27.58,28.67,3742804
2021-01-22,27.81,28.45,27.16,28.33,3395100
2021-01-21,28.68,28.82,28.18,28.41,3105700
2021-01-20,28.97,29.34,28.25,28.5,3627300
2021-01-19,28.96,29.11,28.08,28.71,3618717
2021-01-15,28.54,28.85,28.09,28.64,4724500
2021-01-14,28.29,29.33,28.26,28.9,4888600
2021-01-13,28.97,29.32,27.91,28.1,4784900
2021-01-12,26.88,28.65,26.51,28.46,7344500
2021-01-11,26.31,27.17,26.02,26.77,5696692
2021-01-08,27.01,27.25,26.14,26.81,5999600
2021-01-07,27.35,27.9,26.76,26.91,9086700
2021-01-06,25.0,26.11,24.9,26.05,9969300
2021-01-05,23.8,24.61,23.74,24.55,5990300
2021-01-04,23.35,24.02,23.22,23.67,6055758
2020-12-31,22.35,23.4,22.05,23.01,5486400
2020-12-30,21.71,22.37,21.62,22.16,2851900
2020-12-29,21.78,22.1,21.4,21.68,2713100
2020-12-28,22.09,22.34,21.49,21.61,2526856
2020-12-24,22.04,22.2,21.82,21.96,1071600
2020-12-23,22.04,22.26,21.83,22.09,3981400
2020-12-22,23.23,23.28,21.86,21.87,6804200
2020-12-21,22.8,23.3,22.59,23.14,3563941
2020-12-18,23.075,23.47,22.69,23.38,7105813
2020-12-17,22.82,23.28,22.64,23.1,3894851
2020-12-16,23.37,23.37,22.28,22.62,3525600
2020-12-15,23.03,23.25,22.7,23.12,3813694
2020-12-14,22.79,23.7,22.65,22.68,7005207
2020-12-11,22.02,22.36,21.8701,22.23,2353202
2020-12-10,22.08,22.52,22.01,22.25,3176900
2020-12-09,22.68,22.95,21.87,22.41,4009300
2020-12-08,22.05,22.74,22.025,22.38,3032343
2020-12-07,22.67,22.67,21.86,22.05,3836149
2020-12-04,21.47,22.845,21.47,22.775,7520014
2020-12-03,21.36,21.74,21.08,21.23,5762300
2020-12-02,21.54,21.76,21.01,21.24,7001800
2020-12-01,22.4,22.5,21.55,21.76,5356100
2020-11-30,22.63,22.65,21.78,21.96,5696427
2020-11-27,22.74,23.18,22.55,22.68,2839000
2020-11-25,22.15,22.86,21.65,22.57,6405300
2020-11-24,20.95,23.19,20.78,23.18,13236000
2020-11-23,19.9,20.76,19.8,20.54,4225648
2020-11-20,19.56,19.67,19.41,19.61,3137400
2020-11-19,18.97,19.61,18.72,19.58,3470500
2020-11-18,19.13,19.77,18.83,19.18,3956816
2020-11-17,18.67,19.0,18.27,18.96,3595000
2020-11-16,18.48,18.81,18.165,18.78,3924260
2020-11-13,17.62,18.075,17.545,18.02,2436836
2020-11-12,17.51,17.73,17.1,17.36,3661600
