datetime,open,high,low,close,volume
2021-01-29,7.53,7.72,7.21,7.24,23372330
2021-01-28,7.68,7.88,7.35,7.56,26292423
2021-01-27,7.25,7.93,7.22,7.54,29577100
2021-01-26,7.96,8.08,7.44,7.47,32840800
2021-01-25,8.0,8.02,7.62,7.82,28844551
2021-01-22,8.06,8.22,7.9,8.15,26291500
2021-01-21,8.49,8.56,8.08,8.25,31851900
2021-01-20,8.7,8.79,8.36,8.62,27397200
2021-01-19,8.48,8.65,8.35,8.57,24248198
2021-01-15,8.55,8.57,8.1,8.25,30562400
2021-01-14,8.19,8.83,8.18,8.67,34912400
2021-01-13,8.41,8.41,7.91,8.04,33758600
2021-01-12,7.87,8.4,7.78,8.39,41150000
2021-01-11,7.27,7.67,7.17,7.645,26175988
2021-01-08,7.85,7.85,7.45,7.55,26131500
2021-01-07,7.6,7.86,7.55,7.69,31061000
2021-01-06,7.57,7.67,7.33,7.5,44632100
2021-01-05,6.91,7.82,6.91,7.45,52996300
2021-01-04,6.78,6.89,6.595,6.83,28141377
2020-12-31,6.74,6.78,6.63,6.67,17263900
2020-12-30,6.58,6.84,6.55,6.8,19204700
2020-12-29,6.71,6.74,6.5,6.57,16752000
2020-12-28,6.73,6.84,6.585,6.63,15446626
2020-12-24,6.79,6.79,6.455,6.63,15496939
2020-12-23,6.41,6.96,6.4,6.81,30761500
2020-12-22,6.53,6.59,6.31,6.31,19429800
2020-12-21,6.35,6.67,6.2717,6.55,22691457
2020-12-18,6.92,6.9833,6.66,6.73,18277956
2020-12-17,7.07,7.07,6.86,6.91,19072031
2020-12-16,7.01,7.18,6.88,6.97,25554000
2020-12-15,6.75,6.95,6.6718,6.91,22041195
2020-12-14,7.2,7.25,6.68,6.72,27547591
2020-12-11,7.31,7.31,7.0,7.06,23849270
2020-12-10,7.17,7.46,7.11,7.3,39996300
2020-12-09,7.26,7.4,6.98,7.15,50254100
2020-12-08,6.61,7.15,6.59,7.07,32881523
2020-12-07,6.81,6.89,6.61,6.69,33128009
2020-12-04,6.39,6.85,6.345,6.85,39989172
2020-12-03,6.14,6.31,6.01,6.19,35775700
2020-12-02,5.79,6.28,5.76,6.06,28994000
2020-12-01,6.15,6.19,5.8,5.86,31017700
2020-11-30,6.28,6.32,5.9,5.92,31935019
2020-11-27,6.46,6.53,6.31,6.35,14842000
2020-11-25,6.4,6.6,6.24,6.43,27808000
2020-11-24,6.5,6.63,6.34,6.45,42154200
2020-11-23,5.72,6.19,5.71,6.17,41184878
2020-11-20,5.67,5.73,5.51,5.6,30183500
2020-11-19,5.46,5.71,5.37,5.69,20247000
2020-11-18,5.54,5.86,5.48,5.49,40200507
2020-11-17,5.32,5.54,5.21,5.5,31136100
2020-11-16,5.32,5.48,5.215,5.48,34108343
2020-11-13,4.87,5.075,4.8648,5.05,21254618
2020-11-12,4.96,5.14,4.77,4.82,25585200
2020-11-11,5.15,5.22,5.01,5.07,29605000
2020-11-10,5.2,5.22,4.89,5.07,38714400
2020-11-09,4.67,5.19,4.67,5.09,63038093
2020-11-06,4.26,4.42,4.1,4.13,33383800
2020-11-05,4.29,4.51,4.21,4.29,51467700
2020-11-04,4.12,4.34,4.0,4.27,48575200
2020-11-03,4.25,4.3,4.1,4.14,27620500
2020-11-02,3.98,4.2,3.86,4.15,28392426
2020-10-30,3.94,4.01,3.83,3.96,28398600
2020-10-29,3.81,3.99,3.73,3.99,33069600
2020-10-28,3.98,4.0,3.82,3.85,35744500
2020-10-27,4.1,4.19,4.04,4.13,28001478
2020-10-26,4.29,4.3,4.1,4.13,27750959
2020-10-23,4.41,4.56,4.37,4.44,29804230
2020-10-22,4.11,4.4,4.09,4.37,29820900
2020-10-21,4.11,4.22,4.06,4.1,27303500
2020-10-20,4.01,4.19,4.0,4.15,27763500
2020-10-19,4.1,4.14,3.98,3.98,26433904
2020-10-16,4.23,4.23,4.07,4.07,24991400
2020-10-15,4.15,4.27,4.06,4.27,21710900
2020-10-14,4.26,4.47,4.2,4.2,22444471
2020-10-13,4.29,4.325,4.19,4.22,20041526
2020-10-12,4.24,4.32,4.18,4.29,24247880
2020-10-09,4.42,4.475,4.2,4.255,20560323
2020-10-08,4.12,4.38,4.06,4.38,23870691
2020-10-07,4.1,4.15,4.03,4.13,21636100
2020-10-06,4.29,4.38,4.03,4.04,29703800
2020-10-05,4.21,4.24,4.09,4.23,26465060
2020-10-02,3.81,4.13,3.79,4.125,28561082
2020-10-01,4.05,4.08,3.93,3.95,23476107
2020-09-30,4.15,4.21,4.06,4.09,24660200
2020-09-29,4.29,4.29,4.04,4.16,21349686
2020-09-28,4.21,4.37,4.13,4.29,24524937
2020-09-25,4.23,4.2783,4.08,4.13,23296806
2020-09-24,4.161,4.4,4.02,4.32,27558077
2020-09-23,4.48,4.53,4.21,4.21,19312455
2020-09-22,4.59,4.69,4.44,4.47,15543923
2020-09-21,4.63,4.65,4.49,4.56,20275979
2020-09-18,4.6602,4.87,4.65,4.83,30365956
2020-09-17,4.48,4.7,4.465,4.67,19044833
2020-09-16,4.41,4.67,4.35,4.565,32487946
2020-09-15,4.41,4.4976,4.32,4.34,21764697
2020-09-14,4.44,4.485,4.36,4.405,20217234
2020-09-11,4.38,4.48,4.34,4.47,28277615
2020-09-10,4.52,4.5507,4.36,4.36,34854853
2020-09-09,4.55,4.56,4.41,4.54,26271661
2020-09-08,4.76,4.77,4.5,4.5,33391657
2020-09-04,5.04,5.1059,4.85,4.93,28674979
2020-09-03,5.1,5.23,4.95,4.99,26775717
