datetime,open,high,low,close,volume
2021-01-29,69.01,70.06,66.845,67.05,16687105
2021-01-28,69.44,70.77,68.65,69.32,14985000
2021-01-27,69.73,70.26,67.85,68.42,17001000
2021-01-26,72.74,73.32,71.14,71.21,10893500
2021-01-25,73.52,74.02,71.915,72.38,15245186
2021-01-22,72.55,74.7,72.41,74.13,15459500
2021-01-21,75.0,75.89,73.74,74.7,13591300
2021-01-20,76.51,77.76,74.3,74.84,16127200
2021-01-19,76.52,76.6,74.69,74.99,14897745
2021-01-15,75.07,75.57,74.15,75.24,12877800
2021-01-14,75.85,76.84,75.72,76.47,9850900
2021-01-13,75.81,76.43,75.01,75.56,9850900
2021-01-12,76.56,77.17,75.52,75.8,11825300
2021-01-11,74.24,76.5,73.67,76.06,9076875
2021-01-08,74.47,75.34,73.85,75.25,12892000
2021-01-07,74.8,76.51,74.8,74.94,13526900
2021-01-06,71.41,74.88,70.56,73.68,18328200
2021-01-05,68.16,70.08,68.08,69.49,11115500
2021-01-04,69.28,69.93,67.72,68.33,13636916
2020-12-31,67.8,68.74,67.41,68.53,5294200
2020-12-30,67.83,68.19,67.57,67.84,5282600
2020-12-29,68.31,68.49,67.31,67.71,4699000
2020-12-28,68.56,68.84,67.97,68.05,6362098
2020-12-24,68.4,68.58,67.77,68.09,2905258
2020-12-23,67.0,68.97,66.97,68.21,8765100
2020-12-22,68.25,68.25,66.59,66.64,9807000
2020-12-21,66.01,68.3,65.8,67.83,14029034
2020-12-18,64.83,64.92,63.355,64.16,9046384
2020-12-17,64.47,64.75,64.07,64.68,5676712
2020-12-16,63.76,64.37,63.59,64.23,8805200
2020-12-15,62.49,64.03,62.16,63.96,8134344
2020-12-14,64.25,64.3,61.86,61.88,9931193
2020-12-11,63.38,63.71,62.7,63.33,7638313
2020-12-10,63.6,64.55,63.33,64.44,8888000
2020-12-09,64.7,65.43,64.1,64.37,10144400
2020-12-08,63.53,64.38,63.52,63.91,5232761
2020-12-07,64.54,65.18,63.88,64.26,10119315
2020-12-04,64.36,65.19,64.34,65.01,8500546
2020-12-03,64.06,64.62,63.82,64.06,11756900
2020-12-02,63.07,64.26,62.89,64.02,10790700
2020-12-01,63.12,63.8,62.77,63.28,15857200
2020-11-30,63.575,63.83,61.59,61.83,14301644
