datetime,open,high,low,close,volume
2021-01-29,235.99001,238.015,231.36,231.96001,40004239
2021-01-28,235.61,242.64,235.09,238.92999,48990000
2021-01-27,238.0,240.44,230.14,232.89999,69757500
2021-01-26,231.86,234.17999,230.08,232.33,48699200
2021-01-25,229.12,229.78,224.22,229.53,33152095
2021-01-22,227.08,230.07001,225.8,225.95,30124900
2021-01-21,224.7,226.3,222.42,224.97,30709400
2021-01-20,217.7,225.78999,217.28999,224.34,37751500
2021-01-19,213.75,216.97,212.63,216.44,30480859
2021-01-15,213.52,214.50999,212.03,212.64999,31691500
2021-01-14,215.91,217.46001,212.74001,213.02,29480800
2021-01-13,214.02,216.75999,213.92999,216.34,20049900
2021-01-12,216.5,217.10001,213.32001,214.92999,23226800
2021-01-11,218.47,218.91,216.74001,217.49001,23047029
2021-01-08,218.67999,220.58,217.03,219.62,22949400
2021-01-07,214.03999,219.34,213.71001,218.28999,27671000
2021-01-06,212.17,216.49001,211.94,212.25,35883400
2021-01-05,217.25999,218.52,215.7,217.89999,23800200
2021-01-04,222.53,223.0,214.81,217.69,37130139
2020-12-31,221.7,223.0,219.67999,222.42,20926900
2020-12-30,225.23,225.63,221.47,221.67999,20254900
2020-12-29,226.31,227.17999,223.58,224.14999,17348000
2020-12-28,224.45,226.03,223.02,224.96001,17522554
2020-12-24,221.42,223.61,221.2,222.75,10550600
2020-12-23,223.11,223.56,220.8,221.02,18693300
2020-12-22,222.69,225.63,221.85001,223.94,22612200
2020-12-21,217.55,224.0,217.28011,222.59,33458972
2020-12-18,218.6492,219.69,216.03,218.14999,31840778
2020-12-17,219.85001,220.89,217.92,219.42,23911229
2020-12-16,214.75,220.11,214.72,219.28,35003800
2020-12-15,215.16499,215.39999,212.24001,214.16,19750428
2020-12-14,213.10001,216.2095,212.8857,214.2,27113407
2020-12-11,210.145,213.32001,209.12,213.27,24990849
2020-12-10,211.77,213.08,210.36,210.52,26733300
2020-12-09,215.16,215.23,211.21001,211.8,32415800
2020-12-08,214.85001,216.95,212.89,215.99001,17885292
2020-12-07,214.37,215.53999,212.99001,214.28999,24612529
2020-12-04,214.06,215.38,213.1801,214.39999,19401788
2020-12-03,214.61,216.38,213.64999,214.24001,25096300
2020-12-02,214.88,215.47,212.8,215.37,23711600
2020-12-01,214.50999,217.32001,213.35001,216.21001,30904500
2020-11-30,214.10001,214.75999,210.84,214.07001,33064753
2020-11-27,214.85001,216.27,214.03999,215.23,14512200
2020-11-25,215.11,215.28999,212.46001,213.87,20987900
2020-11-24,209.59,214.25,208.86,213.86,33909900
2020-11-23,210.95,212.28999,208.16,210.11,25683507
2020-11-20,212.2,213.28999,210.0,210.39,22829100
2020-11-19,211.38,213.03,209.92999,212.42,24768100
2020-11-18,213.64999,215.17,210.92999,211.08,28340900
2020-11-17,216.10001,217.67999,214.08,214.46001,24125100
2020-11-16,214.87,217.74001,214.52,217.23,22746047
2020-11-13,216.36,217.42,214.16,216.50999,15038108
2020-11-12,217.21001,219.11,214.46001,215.44,21593900
2020-11-11,212.39,218.03999,212.2,216.55,29418400
2020-11-10,214.5,216.5,209.72,211.00999,43987600
2020-11-09,224.435,228.12,217.89999,218.39,38482489
2020-11-06,222.25999,224.36,218.03,223.72,25210600
2020-11-05,222.03999,224.12,221.14999,223.28999,36018600
2020-11-04,214.02,218.32001,212.42,216.39,42254100
2020-11-03,203.89,208.12,203.12,206.42999,27439700
2020-11-02,204.28999,205.27,200.13,202.33,30842163
2020-10-30,203.5,204.28999,199.62,202.47,36953700
2020-10-29,203.9565,207.35561,203.37,204.39,25165910
2020-10-28,207.67,208.84,202.10001,202.67999,51056300
2020-10-27,211.13,214.67,210.32899,213.14,25728709
2020-10-26,213.85001,216.3399,208.10001,210.08,37111561
2020-10-23,215.15198999999998,216.28,213.16,216.25999,15481553
2020-10-22,213.92999,216.06,211.7,214.89,22334100
2020-10-21,213.12,216.92,213.12,214.8,22654600
2020-10-20,215.8,217.37,213.09,214.64999,22699700
2020-10-19,220.41499,222.3,213.72,214.22,26371412
2020-10-16,220.14999,222.28999,219.32001,219.66,26046300
2020-10-15,217.10001,220.36,216.00999,219.66,22718400
2020-10-14,223.19,224.22,219.13,220.75999,19725948
2020-10-13,222.72,225.13,220.42999,222.82001,22833472
2020-10-12,218.78999,223.86,216.81,221.39999,40461368
2020-10-09,211.67,215.86,211.25,215.81,22612091
2020-10-08,210.55,211.19,208.33,210.63,17207574
2020-10-07,207.06,210.11,206.72,209.83,25648100
2020-10-06,208.82001,210.17999,204.82001,205.91,28493700
2020-10-05,207.22,210.41,206.98,210.38,21331561
2020-10-02,208.0,210.99001,205.5439,206.16,27894244
2020-10-01,213.17,213.99001,211.34,212.46001,19716395
2020-09-30,207.73,211.98,206.53999,210.33,33780700
2020-09-29,209.34,210.07001,206.81,207.25999,19553520
2020-09-28,210.88,212.56,208.06,209.53999,32004936
2020-09-25,203.48,209.03999,202.53999,207.78,24491719
2020-09-24,200.65358999999998,205.5683,200.14,203.17999,27594893
2020-09-23,207.75999,208.10001,200.03059,200.78,25047400
2020-09-22,205.11749,208.10001,202.08,207.38,29062905
2020-09-21,197.0,202.71001,196.38,202.59,34051653
2020-09-18,202.92999,203.64999,196.25,200.3,41652760
2020-09-17,200.41,204.31,199.96001,202.96001,28651127
2020-09-16,210.62,210.62,204.64,204.92999,21794838
2020-09-15,208.3,209.67,206.92999,208.85001,17386411
2020-09-14,204.28149,209.19,204.03,205.34579,24951926
2020-09-11,207.5,208.63,201.24001,204.03999,28726471
2020-09-10,213.92,214.73,204.11,205.35001,30395577
2020-09-09,207.60001,214.8399,206.7,211.1801,38380407
2020-09-08,206.5,210.03,202.2,202.64999,45743165
2020-09-04,216.06,218.35988999999998,205.19,214.14,52400186
2020-09-03,229.27,229.31,214.96021000000002,217.3,49178791
2020-09-02,227.97,232.86,227.35001,231.47,29658849
2020-09-01,225.56,227.45,224.42999,227.32001,21716133
2020-08-31,227.0,228.7,224.31,225.06,23244373
2020-08-28,228.17999,230.644,226.58,228.94,22685374
2020-08-27,222.81,231.14999,219.39999,226.63,53361148
2020-08-26,217.88,222.09,217.36,221.14999,31432045
2020-08-25,213.10001,216.61,213.10001,216.45641,18968809
2020-08-24,214.78999,215.52,212.42999,213.75999,21349947
2020-08-21,213.86,216.25,212.85001,213.03999,29038421
2020-08-20,209.55,215.0,208.91,214.55,21967530
2020-08-19,211.645,212.10001,209.25,209.75,21471598
2020-08-18,210.535,212.36,209.21001,211.48,17077907
2020-08-17,209.60001,211.18739,208.91499,210.24921,16445166
2020-08-14,208.75999,209.59,207.50999,208.88,15897891
2020-08-13,209.44,211.35001,208.14999,208.69,20571199
2020-08-12,204.95,210.28,204.75,209.28999,23475080
2020-08-11,207.155,207.64999,203.14,203.33,32064015
2020-08-10,211.67,211.88,206.35001,208.33,30079445
2020-08-07,214.85001,215.7,210.92999,212.44,24576472
2020-08-06,212.34,216.3705,211.55,216.35001,28122293
2020-08-05,214.89999,215.0,211.57001,212.95,26022191
2020-08-04,214.17,214.77,210.31,213.35001,45006503
2020-08-03,210.745,217.64,210.44,216.56,71655259
2020-07-31,203.66,205.10001,199.00999,205.10001,41405471
2020-07-30,201.0,204.46001,199.57001,203.89,22750752
2020-07-29,202.5,204.64999,202.00999,204.09,17928268
2020-07-28,203.61,204.7,201.74001,201.88,21009276
2020-07-27,201.47,203.97,200.86,203.85001,25434825
2020-07-24,200.42,202.86,197.50999,201.3,37380002
2020-07-23,207.19,210.92,202.19,202.53999,62016762
2020-07-22,209.2,212.3,208.39,211.7533,39266736
2020-07-21,213.66,213.94,208.03,208.75,33330667
2020-07-20,205.0,212.3,203.00999,211.49001,31398494
2020-07-17,204.47,205.03999,201.39,202.87,15101349
2020-07-16,205.39999,205.7,202.31,203.92,4122007
2020-07-15,209.56,211.33,205.03,208.03999,32144500
2020-07-14,206.75,208.85001,202.03,208.605,2181705
2020-07-13,214.36501,215.8,206.5,207.07001,3483757
2020-07-10,213.50999,214.08,211.08,213.74001,2113557
2020-07-09,216.33,216.38,211.47,214.39999,1369412
2020-07-08,210.2865,213.25999,208.69,212.84,1123154
2020-07-07,210.50999,214.66,207.99001,208.24001,4756330
2020-07-06,208.8335,211.13,208.09,210.7,2469757
2020-07-02,205.36501,208.02,205.11,206.25,2999726
2020-07-01,203.14,206.35001,201.77,204.7,32061206
2020-06-30,197.88,204.39999,197.74001,203.50999,34292700
2020-06-29,195.78,198.52,193.56,198.44,26701586
2020-06-26,199.73,199.89,194.88,196.33,54649200
2020-06-25,197.81,200.61,195.48,200.31,4659742
2020-06-24,201.77969,203.23,196.58,197.83,4828680
2020-06-23,202.03999,203.95,201.425,201.88901,3881940
2020-06-22,195.85001,200.75999,195.2301,200.58,4183500
2020-06-19,198.59,199.28999,194.37,195.03,3713012
2020-06-18,194.0,196.49001,194.0,196.32001,2681210
2020-06-17,194.98,196.32001,193.69,194.2,3560879
2020-06-16,192.88,195.58,191.47501,193.67,5426349
2020-06-15,184.58,190.82001,184.00999,189.17,5202121
2020-06-12,190.5,191.72,185.17999,187.72,6515818
2020-06-11,193.13,195.75999,186.07001,186.25,6036651
2020-06-10,191.10001,198.52,191.00999,196.73,5342592
2020-06-09,187.92349,190.7,187.2605,189.78,3225814
2020-06-08,185.52499,188.55,184.44,188.35001,3952194
2020-06-05,182.62,187.73,182.00999,187.2,39893600
2020-06-04,184.3,185.84,182.3,182.92,28761800
2020-06-03,184.82001,185.94,183.58,185.36,27311000
2020-06-02,184.25,185.0,181.35001,184.91,30794600
2020-06-01,182.53999,183.0,181.46001,182.83,22622400
2020-05-29,182.73,184.27,180.41,183.25,42146700
2020-05-28,180.74001,184.14999,180.38,181.39999,33810200
2020-05-27,180.2,181.99001,176.60001,181.81,39517100
2020-05-26,186.34,186.5,181.10001,181.57001,36073600
2020-05-22,183.19,184.46001,182.53999,183.50999,20826900
2020-05-21,185.39999,186.67,183.28999,183.42999,29119500
2020-05-20,184.81,185.85001,183.94,185.66,31261300
2020-05-19,185.03,186.60001,183.49001,183.63,26799100
2020-05-18,185.75,186.2,183.96001,184.91,35306600
2020-05-15,179.06,187.06,177.0,183.16,46610400
2020-05-14,177.53999,180.69,175.67999,180.53,41873900
