datetime,open,high,low,close,volume
2021-01-29,88.33,89.17,87.38,87.71,2792857
2021-01-28,90.44,90.87,88.54,89.0,2300400
2021-01-27,89.94,91.73,87.61,87.83,3364300
2021-01-26,92.63,93.48,91.34,93.17,1808000
2021-01-25,94.08,94.66,91.69,92.44,1965859
2021-01-22,95.34,95.97,93.55,93.62,1743400
2021-01-21,96.63,96.82,94.95,96.03,1578500
2021-01-20,97.79,98.44,95.82,96.18,2855300
2021-01-19,96.0,97.1,95.48,96.9,2942261
2021-01-15,95.39,95.8,93.65,95.14,1239000
2021-01-14,95.63,96.93,95.63,96.13,2563300
2021-01-13,96.05,97.47,95.19,95.43,1391600
2021-01-12,95.4,96.04,94.37,95.82,1980900
2021-01-11,94.12,95.867,93.46,95.38,1845117
2021-01-08,94.46,96.71,93.77,94.41,3665400
2021-01-07,90.8,94.42,90.8,93.92,2472100
2021-01-06,87.5,91.56,87.5,89.72,1977400
2021-01-05,86.98,89.42,86.73,89.33,1327800
2021-01-04,88.81,90.57,86.67,87.5,2273816
2020-12-31,87.51,88.79,87.14,88.65,1350000
2020-12-30,86.71,87.82,86.71,87.52,813700
2020-12-29,86.7,87.02,85.38,86.02,721700
2020-12-28,87.505,88.27,86.41,86.57,982735
2020-12-24,86.37,86.59,85.6372,86.58,270733
2020-12-23,86.44,87.03,85.76,85.82,1563800
2020-12-22,85.01,86.59,85.01,86.41,1037400
2020-12-21,85.67,85.825,84.49,85.2,1194969
2020-12-18,86.12,86.67,85.69,86.54,1332083
2020-12-17,85.97,86.05,85.21,85.87,945214
2020-12-16,86.02,86.5,84.67,85.4,1321100
2020-12-15,86.24,86.78,85.98,86.29,695366
2020-12-14,84.72,86.27,84.42,85.31,2222573
2020-12-11,83.77,84.995,83.41,84.21,2295266
2020-12-10,84.24,85.47,83.8,84.52,3235700
2020-12-09,87.66,87.79,84.46,84.99,2341000
2020-12-08,85.7,87.83,85.7,87.66,976371
2020-12-07,86.26,86.65,85.64,86.28,1259351
2020-12-04,83.87,86.6,83.68,86.47,1605353
2020-12-03,84.08,85.03,83.74,84.01,1431500
2020-12-02,84.28,84.69,83.84,84.22,1597300
2020-12-01,83.71,84.99,83.05,84.22,1997200
2020-11-30,82.19,83.43,82.05,83.04,2510619
2020-11-27,81.91,83.09,81.64,82.41,967700
2020-11-25,81.5,82.35,80.58,81.38,1113500
2020-11-24,82.44,82.44,79.4,81.7,2104200
2020-11-23,80.52,81.89,80.52,81.75,1637387
2020-11-20,81.18,81.72,80.41,80.47,1613500
2020-11-19,78.04,81.31,78.04,81.18,1731700
2020-11-18,80.64,81.19,79.16,79.23,1508139
2020-11-17,81.35,81.95,80.32,80.76,4384000
2020-11-16,82.36,83.4,81.48,82.09,1824327
2020-11-13,81.08,82.03,80.78,81.121,2228226
2020-11-12,81.54,82.05,79.89,80.46,1744900
2020-11-11,80.75,82.56,80.55,81.78,2496300
