datetime,open,high,low,close,volume
2021-01-29,138.10001,138.10001,134.21001,135.27,1087930
2021-01-28,141.37,143.37,138.96001,139.03,979400
2021-01-27,140.49001,143.64999,137.55,141.2,1591600
2021-01-26,142.73,143.31,140.49001,141.13,968500
2021-01-25,140.53999,142.77,139.83,142.3,836133
2021-01-22,141.28999,141.53,139.22,140.42,1127000
2021-01-21,144.09,144.39999,140.45,141.39999,692700
2021-01-20,143.38,144.3,141.5,143.67,1267000
2021-01-19,142.21001,143.0,140.24001,142.25999,848235
2021-01-15,141.44,142.52,139.38,140.03999,2754200
2021-01-14,143.22,143.27,140.78999,142.13,959100
2021-01-13,142.07001,143.5,142.0,142.49001,1414500
2021-01-12,140.99001,142.67999,140.86,141.92,946500
2021-01-11,138.21001,141.87,138.0,140.89999,1129180
2021-01-08,135.42999,139.14,135.42999,138.81,787100
2021-01-07,134.94,136.88,134.67,136.8,881700
2021-01-06,132.35001,136.49001,131.92,135.39999,1022800
2021-01-05,132.28999,133.03999,131.53999,131.97,1101800
2021-01-04,133.73,133.92999,130.72,132.00999,1208699
2020-12-31,130.0,132.87,129.48,132.74001,511300
2020-12-30,129.78,130.53,129.46001,130.14,399700
2020-12-29,129.64999,129.87,128.89999,129.14,303600
2020-12-28,129.08,129.22,127.92,128.85001,450856
2020-12-24,127.98,128.73,127.59,128.62,186901
2020-12-23,130.49001,130.74001,127.94,127.95,493100
2020-12-22,127.03,130.38,126.74,129.89999,1041100
2020-12-21,127.82,128.565,124.275,128.05,1112400
2020-12-18,128.19,129.63,127.95,128.60001,631662
2020-12-17,127.84,129.47,127.305,128.5,624528
2020-12-16,127.9,128.31,126.71,127.1,1110400
2020-12-15,125.16,128.32001,124.645,127.29,692564
2020-12-14,126.72,128.065,123.91,124.04,622050
2020-12-11,124.56,125.97,124.01,125.58,446074
2020-12-10,125.75,126.36,124.63,124.99,702400
2020-12-09,128.89,129.66,124.08,126.1,971500
2020-12-08,128.46001,129.19,127.3,128.69,461455
2020-12-07,125.46,128.96001,125.45,128.56,1696051
2020-12-04,124.68,127.0,124.68,125.3,651843
2020-12-03,126.87,127.04,123.27,124.9,1865700
2020-12-02,129.71001,130.0,128.25,129.36,569300
2020-12-01,127.33,130.39999,127.33,129.91,730200
2020-11-30,127.02,128.05,126.43,127.99,1037599
2020-11-27,126.97,127.51,126.28,127.12,517600
2020-11-25,127.19,128.2,127.04,127.33,745200
2020-11-24,126.13,127.72,126.05,127.27,914100
2020-11-23,126.8,127.43,124.84,126.01,708497
2020-11-20,125.19,127.37,124.66,126.33,945900
2020-11-19,124.1,126.7,122.86,124.76,1111600
2020-11-18,124.03,124.16,122.26,122.66,845887
2020-11-17,125.89,126.05,123.66,124.33,991800
