datetime,open,high,low,close,volume
2021-01-29,81.82,82.46,80.22,80.87,12402128
2021-01-28,80.67,83.86,80.05,82.46,8540500
2021-01-27,84.6,84.8,79.61,80.19,16889700
2021-01-26,86.65,87.26,84.75,85.23,12475800
2021-01-25,84.12,87.69,84.1,86.87,12968277
2021-01-22,83.95,84.55,83.55,84.21,6370700
2021-01-21,84.25,84.75,83.65,83.71,9270000
2021-01-20,82.65,85.03,82.42,84.05,8576800
2021-01-19,82.5,83.2,81.76,82.81,8142700
2021-01-15,82.44,83.26,81.95,82.04,10561600
2021-01-14,81.96,82.74,81.15,82.53,8899000
2021-01-13,80.6,82.24,80.16,81.84,8542600
2021-01-12,79.65,80.55,78.54,79.75,7669300
2021-01-11,80.98,81.0,78.97,79.69,7066000
2021-01-08,79.83,81.21,79.44,81.13,8376200
2021-01-07,79.9,80.66,78.89,79.29,8816000
2021-01-06,76.65,79.37,75.6,78.43,12155700
2021-01-05,74.51,75.18,74.06,74.77,7339800
2021-01-04,77.21,77.5,73.58,74.22,9388400
2020-12-31,75.9,77.19,75.66,77.15,4118800
2020-12-30,75.63,76.28,75.51,75.91,3804800
2020-12-29,75.61,75.87,75.11,75.33,3774900
2020-12-28,75.43,75.88,75.04,75.49,3753700
2020-12-24,74.45,75.16,74.16,74.98,1387500
2020-12-23,75.16,75.55,74.33,74.33,4626400
2020-12-22,74.44,75.23,73.88,74.71,5335300
2020-12-21,73.94,74.55,72.88,74.4,7251400
2020-12-18,75.09,75.54,73.93,74.51,13298300
2020-12-17,75.06,76.02,74.84,75.06,9384200
2020-12-16,75.18,75.75,74.2,74.44,7787700
2020-12-15,73.66,75.3,73.29,74.91,6860200
2020-12-14,74.4,75.22,73.5,73.55,5759900
2020-12-11,73.14,73.89,73.01,73.8,6022500
2020-12-10,73.79,74.11,72.99,73.28,6204600
2020-12-09,73.54,73.9,72.45,73.67,6683700
2020-12-08,72.86,74.29,72.13,73.68,8255400
2020-12-07,72.5,73.79,72.4,73.27,6752200
2020-12-04,73.12,73.55,71.94,72.52,7763800
2020-12-03,74.04,74.55,73.02,73.35,7660500
2020-12-02,74.14,74.36,72.91,74.31,5128800
2020-12-01,74.12,75.57,73.95,74.15,8100200
2020-11-30,75.3,75.4,73.25,73.59,13120300
2020-11-27,76.05,76.13,74.7,75.13,3669300
2020-11-25,74.67,76.02,74.49,75.97,6443100
2020-11-24,75.47,75.66,74.51,74.98,6699600
2020-11-23,76.0,76.02,74.13,74.57,7634600
2020-11-20,75.28,76.33,75.25,75.55,5891000
2020-11-19,75.94,76.02,74.81,75.13,7392300
2020-11-18,77.32,77.36,75.77,75.79,6501900
2020-11-17,77.75,78.47,76.39,76.61,5866300
2020-11-16,78.2,78.28,76.32,77.75,7667600
2020-11-13,77.0,77.73,76.79,77.19,6235000
2020-11-12,77.61,77.9,76.02,76.67,5901900
2020-11-11,76.51,78.38,76.21,77.54,6903300
2020-11-10,77.39,77.53,75.31,75.99,8649200
2020-11-09,81.09,83.34,75.35,75.51,12864500
2020-11-06,75.0,76.06,74.12,75.72,6076100
2020-11-05,75.3,76.25,74.49,74.75,8644100
2020-11-04,74.51,74.91,73.0,73.32,12128800
2020-11-03,76.05,76.93,75.39,76.02,6887900
2020-11-02,74.1,75.45,73.72,75.13,9233600
2020-10-30,73.73,74.35,72.5,73.21,8790500
2020-10-29,74.38,75.03,72.94,74.01,7753100
2020-10-28,74.74,76.05,74.29,74.46,7508900
2020-10-27,76.14,76.43,75.02,75.78,4834200
2020-10-26,75.32,75.7375,74.395,75.6625,5707600
2020-10-23,75.775,76.3875,75.41,75.7675,5617200
2020-10-22,74.905,76.0775,74.805,75.5675,8463600
