datetime,open,high,low,close,volume
2021-01-29,61.2,61.5,59.42,59.6,6356896
2021-01-28,60.15,60.91,59.42,59.73,6396000
2021-01-27,60.77,60.87,58.64,58.89,7509400
2021-01-26,61.47,62.43,61.41,61.48,4612700
2021-01-25,62.03,62.385,60.63,61.64,5357892
2021-01-22,61.15,62.36,60.39,61.75,4440500
2021-01-21,63.58,63.88,62.11,62.31,5088900
2021-01-20,62.84,64.05,61.99,63.52,6529100
2021-01-19,62.4,62.6,61.411,61.85,5270247
2021-01-15,62.63,63.43,61.78,61.86,5581100
2021-01-14,63.2,63.68,62.12,63.33,6192300
2021-01-13,62.51,63.27,62.05,62.07,5340800
2021-01-12,62.06,62.69,61.46,62.49,4281100
2021-01-11,61.63,62.72,61.4129,61.95,5531163
2021-01-08,64.04,64.2,61.74,62.79,8804700
2021-01-07,64.91,65.78,64.25,65.14,5357300
2021-01-06,62.8,65.4,62.69,65.24,9865700
2021-01-05,63.72,63.73,62.35,63.43,5595700
2021-01-04,61.9,63.4,61.66,63.15,8963754
2020-12-31,60.52,60.53,59.42,59.89,3698500
2020-12-30,59.86,60.41,59.55,60.39,3538400
2020-12-29,60.2,60.55,59.58,59.73,3794300
2020-12-28,61.28,61.635,59.74,59.82,3659204
2020-12-24,59.68,60.56,59.56,60.48,1850738
2020-12-23,59.58,60.31,59.57,59.78,3897900
2020-12-22,60.87,61.03,59.14,59.41,5100800
2020-12-21,60.61,61.24,60.01,60.72,4471763
2020-12-18,61.63,61.675,60.48,60.49,4037507
2020-12-17,61.22,62.29,61.065,61.64,5765766
2020-12-16,59.48,60.4,59.01,60.24,5407000
2020-12-15,58.62,59.5,58.25,59.045,4250168
2020-12-14,58.86,59.42,57.53,57.56,5516662
2020-12-11,59.0298,59.73,58.58,58.88,3940558
2020-12-10,59.74,60.45,59.1,59.18,6287900
2020-12-09,61.15,61.31,59.66,59.98,5984100
2020-12-08,62.01,62.01,61.007,61.51,3742176
2020-12-07,59.66,62.12,59.4,61.44,6918052
2020-12-04,59.39,59.86,59.02,59.44,4142912
2020-12-03,60.2,60.61,59.21,59.51,5479200
2020-12-02,60.08,60.56,59.59,59.96,6800100
2020-12-01,59.68,60.36,58.46,60.21,10436500
2020-11-30,57.88,58.91,57.46,58.82,9729265
2020-11-27,57.14,58.62,56.76,58.48,3749900
2020-11-25,57.66,58.14,57.31,57.78,7266500
2020-11-24,57.31,57.71,56.55,56.87,11438800
2020-11-23,60.88,61.22,58.58,58.68,8851412
2020-11-20,62.02,62.38,61.13,61.65,5343100
2020-11-19,60.96,61.49,60.43,61.41,7011000
2020-11-18,64.4,64.4,61.49,61.56,5930700
2020-11-17,65.36,65.74,64.44,64.53,4259000
2020-11-16,65.4,66.1155,64.92,65.67,3391646
2020-11-13,66.02,66.05,65.36,65.71,2866968
2020-11-12,66.0,66.22,64.87,65.02,5337300
2020-11-11,64.31,65.66,63.31,65.63,8057200
2020-11-10,65.55,65.98,64.25,64.89,7128200
2020-11-09,64.25,66.51,62.87,66.01,10378506
2020-11-06,68.39,68.45,67.5,68.14,4664700
2020-11-05,66.94,68.3,66.7,67.85,8508100
2020-11-04,66.67,66.87,64.94,65.08,8414200
2020-11-03,65.1,67.25,65.1,66.67,7468500
2020-11-02,63.25,64.93,62.61,64.73,8313895
2020-10-30,60.94,62.97,60.8,62.84,9150000
2020-10-29,58.53,61.47,58.46,60.37,6126508
2020-10-28,60.54,60.55,58.29,58.65,9863100
2020-10-27,60.6,61.785,60.275,61.65,3775737
2020-10-26,59.97,61.03,59.8,60.32,3724438
2020-10-23,60.4,60.99,60.02,60.47,2764123
2020-10-22,60.82,60.94,59.84,60.54,5104400
2020-10-21,61.67,62.38,61.26,61.48,5036000
2020-10-20,61.89,62.1,60.89,61.19,4656200
2020-10-19,63.15,63.34,61.57,61.71,2944126
2020-10-16,63.15,63.34,62.51,62.67,3582700
2020-10-15,63.18,63.64,62.48,63.0,4091800
2020-10-14,63.285,64.33,62.915,64.01,3666926
2020-10-13,62.3,62.85,61.625,62.76,3541311
2020-10-12,62.71,63.465,62.5,62.93,3812385
2020-10-09,62.86,62.905,61.85,62.82,4214203
2020-10-08,61.39,62.16,61.215,61.72,3065128
2020-10-07,61.36,61.78,60.89,61.17,4120000
2020-10-06,63.3,63.73,60.77,60.82,6969600
2020-10-05,62.3,63.95,62.27,63.13,4069994
2020-10-02,62.65,63.4,62.15,62.3,3590628
2020-10-01,63.99,64.1,62.66,62.83,5322783
2020-09-30,62.49,63.9,61.85,63.45,7212700
2020-09-29,62.52,63.45,62.3998,62.77,3358638
2020-09-28,62.0,62.83,61.305,62.13,4805266
2020-09-25,60.65,61.65,60.54,61.41,3289192
2020-09-24,59.7715,62.17,59.3,61.45,5910768
2020-09-23,62.75,62.89,59.805,60.22,8135079
2020-09-22,63.68,64.34,62.5173,63.46,5406389
2020-09-21,63.38,64.29,62.72,63.67,7062309
2020-09-18,66.19,66.79,64.54,64.72,6583541
2020-09-17,66.21,66.58,65.4,66.31,5535764
2020-09-16,68.04,68.44,67.225,67.28,4550429
2020-09-15,68.0,68.56,67.06,67.55,3678644
2020-09-14,66.54,67.575,66.54,67.37,4573827
2020-09-11,67.085,67.62,65.81,66.22,3017559
2020-09-10,68.7,68.849,66.38,66.49,4245574
2020-09-09,66.18,68.42,66.18,68.16,4758519
2020-09-08,64.54,66.925,63.425,65.77,5414199
2020-09-04,65.64,65.82,63.35,65.332,5760393
2020-09-03,66.36,67.01,64.76,66.13,5837153
2020-09-02,66.075,67.55,64.77,67.47,6015834
2020-09-01,68.38,68.38,65.861,67.02,4838019
2020-08-31,66.945,68.22,66.69,67.25,4938542
2020-08-28,65.77,67.09,65.28,66.7,3986691
2020-08-27,66.73,66.74,63.71,64.76,4145218
2020-08-26,64.1,65.77,63.97,65.67,3626543
2020-08-25,65.03,65.08,63.26,64.86,3826262
2020-08-24,66.51,66.51,64.79,65.2,3965840
2020-08-21,66.61,66.68,65.22,65.56,4717878
2020-08-20,65.84,67.52,65.73,67.24,4087582
2020-08-19,67.21,68.245,65.39,65.98,4193733
2020-08-18,69.8,69.81,66.7566,67.7,4745386
2020-08-17,66.12,68.37,65.56,68.35,7782425
2020-08-14,64.35,64.53,63.36,63.85,3380359
2020-08-13,63.86,64.71,63.34,64.11,4947825
2020-08-12,64.53,64.63,62.685,62.99,7699882
2020-08-11,64.61,64.94,62.65,62.88,10839276
2020-08-10,69.34,70.4,67.515,67.91,5042337
2020-08-07,69.012,69.49,68.38,68.9,5044624
2020-08-06,71.18,71.34,69.35,70.11,5539431
2020-08-05,71.64,72.21,69.8073,70.37,6590712
2020-08-04,68.3,70.45,67.3,70.25,6532278
2020-08-03,69.21,69.4,67.49,68.16,5091495
2020-07-31,66.76,69.22,65.76,69.22,7290375
2020-07-30,66.21,67.86,64.53,65.66,6781631
2020-07-29,68.88,68.88,66.85,67.86,6790057
2020-07-28,67.68,69.23,67.24,68.6,6040193
2020-07-27,68.69,70.3,68.09,69.05,12167435
2020-07-24,66.34,66.8,65.86,66.75,6207240
2020-07-23,65.69,67.08,64.64,65.78,9464937
2020-07-22,64.72,65.55,63.97,65.47,6761677
2020-07-21,65.01,65.45,63.87,64.27,6686954
2020-07-20,63.495,64.44,63.21,64.2,6948895
2020-07-17,62.08,63.16,61.77,62.93,3158569
2020-07-16,61.94,62.61,61.21,61.55,919528
2020-07-15,61.55,62.18,60.41,62.13,377833
2020-07-14,59.39,61.8,59.06,61.76,598308
2020-07-13,62.67,62.68,59.465,59.52,813064
2020-07-10,62.65,63.05,61.63,61.88,424703
2020-07-09,64.33,64.54,61.56,62.75,667385
2020-07-08,63.78,64.235,62.7,63.44,512676
2020-07-07,60.86,62.6433,60.85,62.47,1295711
2020-07-06,61.88,62.31,60.495,61.17,1175326
2020-07-02,60.47,61.981,60.22,60.95,948759
2020-07-01,61.77,61.77,59.595,61.36,10628911
2020-06-30,59.57,61.97,59.1765,61.74,8993455
2020-06-29,59.48,59.95,58.66,59.54,6482433
2020-06-26,58.39,60.09,57.69,59.34,15892784
2020-06-25,58.45,58.71,57.47,58.58,1449964
2020-06-24,58.705,59.55,57.77,58.4,1549756
2020-06-23,59.49,59.9,58.67,58.93,2699668
2020-06-22,58.22,59.89,57.81,58.24,2775896
2020-06-19,56.59,57.395,55.78,56.98,3709263
2020-06-18,55.58,56.63,55.24,55.56,1933793
2020-06-17,56.38,56.93,55.23,55.58,1906071
2020-06-16,56.89,57.57,55.51,55.96,2961057
2020-06-15,54.09,57.1399,53.17,56.9,2526496
2020-06-12,56.855,56.99,55.13,55.43,2086972
2020-06-11,59.09,59.88,54.995,56.04,3481100
2020-06-10,58.25,58.86,55.78,58.72,3149783
2020-06-09,57.01,57.445,55.73,57.17,2351378
2020-06-08,54.3,55.64,53.5,55.54,2722775
2020-06-05,53.96,54.98,52.33,54.76,13454200
2020-06-04,57.0,57.66,55.41,55.9,10132800
2020-06-03,56.89,57.65,55.16,56.02,11839500
2020-06-02,60.9,60.91,57.95,58.47,7525700
2020-06-01,58.95,60.51,58.81,60.49,8050300
2020-05-29,60.0,60.3,58.39,58.47,23792900
2020-05-28,60.14,60.38,57.94,58.72,8497400
2020-05-27,57.11,58.74,55.75,58.73,14701700
2020-05-26,61.73,61.75,59.0,59.21,11325300
2020-05-22,64.34,64.98,62.78,63.05,4513000
2020-05-21,65.0,65.04,62.3,63.48,7481000
2020-05-20,67.38,67.75,65.51,65.72,7607900
2020-05-19,66.62,69.13,66.35,67.38,7241600
2020-05-18,68.14,68.77,65.88,66.26,8210800
2020-05-15,67.96,68.47,67.0,67.9,7419300
2020-05-14,64.17,67.1,64.08,66.64,8611300
2020-05-13,63.34,64.5,62.58,63.89,6876200
2020-05-12,63.2,64.47,62.35,62.48,5181700
2020-05-11,64.07,64.81,61.83,62.95,5997300
2020-05-08,64.98,66.06,64.07,64.55,6370900
2020-05-07,63.34,65.37,62.72,64.56,7032400
2020-05-06,64.02,64.93,62.27,62.43,7239500
2020-05-05,62.69,65.06,61.33,64.91,7367400
2020-05-04,62.1,63.13,61.21,62.74,8285100
2020-05-01,58.65,61.31,58.21,60.99,6214100
2020-04-30,61.25,62.31,59.36,59.48,6981200
2020-04-29,62.01,62.8,60.92,62.35,7349200
2020-04-28,61.58,63.24,60.93,62.67,6062200
2020-04-27,63.26,63.68,60.86,62.61,5424400
2020-04-24,63.55,63.88,61.76,63.11,6972400
2020-04-23,62.64,64.65,62.21,62.44,7648300
2020-04-22,60.95,62.15,60.5,61.73,8482400
2020-04-21,58.49,60.04,57.64,59.27,8977800
2020-04-20,59.13,60.22,58.5,59.54,8867500
2020-04-17,57.08,59.44,57.08,59.23,10473200
2020-04-16,57.85,60.0,57.85,59.9,7570800
2020-04-15,58.54,59.7,57.06,58.22,8304200
2020-04-14,60.08,61.53,58.81,59.89,11337500
2020-04-13,57.22,60.46,56.33,59.77,11329700
2020-04-09,51.13,57.7,51.13,57.31,15206700
2020-04-08,49.79,50.78,49.36,50.53,5422000
2020-04-07,50.07,51.41,49.36,49.96,7001900
2020-04-06,48.43,51.14,48.43,50.11,11003900
2020-04-03,48.27,49.6,47.07,47.15,7800400
2020-04-02,47.07,49.75,46.56,48.23,9184000
2020-04-01,45.04,47.29,44.78,46.47,8534100
2020-03-31,45.68,47.7,44.59,45.28,10537400
2020-03-30,46.4,48.8,45.64,46.36,8988400
