datetime,open,high,low,close,volume
2021-01-29,21.16,21.2,20.805,21.07,5936096
2021-01-28,20.72,21.48,20.69,21.3,5354600
2021-01-27,20.7,21.08,20.63,20.81,7300200
2021-01-26,20.8,21.0,20.55,20.95,4502600
2021-01-25,20.88,20.89,20.39,20.66,4696688
2021-01-22,20.62,20.85,20.51,20.67,5047400
2021-01-21,20.94,21.09,20.54,20.62,5134100
2021-01-20,20.92,20.96,20.58,20.91,4945200
2021-01-19,20.59,21.03,20.43,20.78,7029840
2021-01-15,20.31,20.78,20.17,20.45,9182800
2021-01-14,20.81,20.87,20.23,20.34,7572700
2021-01-13,21.4,21.47,20.8,20.87,5313300
2021-01-12,21.04,21.37,20.94,21.34,4391100
2021-01-11,20.99,21.235,20.84,21.03,7180203
2021-01-08,21.24,21.25,20.63,21.04,4682300
2021-01-07,21.02,21.22,20.82,21.12,6612400
2021-01-06,20.58,21.31,20.53,20.92,6687200
2021-01-05,20.86,21.0,20.58,20.97,4927400
2021-01-04,20.93,20.94,20.37,20.77,6064773
2020-12-31,20.75,20.83,20.63,20.78,3365400
2020-12-30,20.91,21.05,20.74,20.75,2691500
2020-12-29,20.9,21.09,20.64,20.83,4019500
2020-12-28,21.25,21.27,20.91,21.02,7152430
2020-12-24,21.04,21.11,20.9,21.04,1495500
2020-12-23,21.35,21.42,20.94,20.96,4406900
2020-12-22,21.11,21.47,21.06,21.34,4634500
2020-12-21,20.84,21.12,20.6,20.98,7376122
2020-12-18,20.6564,21.33,20.62,21.24,7011961
2020-12-17,20.5,20.639,20.35,20.56,2992552
2020-12-16,20.05,20.46,20.02,20.38,6466800
2020-12-15,20.0,20.0,19.725,19.97,3229804
2020-12-14,19.56,19.96,19.53,19.87,5622223
2020-12-11,19.45,19.72,19.28,19.59,4058803
2020-12-10,19.45,19.56,19.19,19.52,4134700
2020-12-09,19.23,19.52,19.07,19.49,5862900
2020-12-08,19.8,19.85,19.24,19.3,5826152
2020-12-07,19.22,19.845,19.18,19.71,7435783
2020-12-04,19.13,19.29,18.9884,19.27,4442440
2020-12-03,18.63,19.27,18.57,19.1,7434300
2020-12-02,18.22,18.73,18.17,18.59,8639600
2020-12-01,18.29,18.54,18.11,18.23,7789200
2020-11-30,18.2,18.39,18.0,18.23,14398432
2020-11-27,18.38,18.4,18.08,18.11,4480200
2020-11-25,18.29,18.3,17.98,18.18,9764200
2020-11-24,18.35,18.35,18.15,18.22,6401200
2020-11-23,18.35,18.465,18.22,18.29,6438769
2020-11-20,18.55,18.63,18.24,18.27,8644300
2020-11-19,18.93,18.93,18.59,18.67,6311700
2020-11-18,18.92,19.185,18.8,18.85,5633942
2020-11-17,19.31,19.31,18.56,18.89,9372100
2020-11-16,19.86,19.93,19.09,19.14,9013643
2020-11-13,19.66,19.925,19.62,19.81,3242987
2020-11-12,20.15,20.18,19.44,19.55,5548900
2020-11-11,19.5,20.26,19.16,20.09,9606500
2020-11-10,19.45,19.77,19.21,19.35,7328000
2020-11-09,20.42,20.61,19.41,19.46,10760127
2020-11-06,21.5,21.57,20.22,20.39,12275600
2020-11-05,22.29,22.48,21.96,22.02,5625800
2020-11-04,21.55,22.37,21.5,21.98,7408400
2020-11-03,21.07,21.63,21.02,21.57,4233100
2020-11-02,20.63,21.01,20.53,20.94,3736524
2020-10-30,20.33,20.76,20.05,20.57,7071900
2020-10-29,20.38,20.76,20.16,20.61,3945600
2020-10-28,20.6,20.7,20.26,20.42,4580300
2020-10-27,20.76,20.98,20.625,20.8,2281294
2020-10-26,20.63,20.7384,20.345,20.62,3174842
2020-10-23,20.75,20.845,20.6,20.84,3108854
2020-10-22,20.77,20.77,20.45,20.65,4431600
2020-10-21,20.59,20.94,20.51,20.81,5353300
2020-10-20,20.79,20.96,20.64,20.69,2616300
2020-10-19,21.22,21.32,20.575,20.7,4163714
2020-10-16,21.13,21.3,20.94,21.1,4053400
2020-10-15,21.31,21.35,20.9,21.1,4344300
2020-10-14,21.39,21.658,21.25,21.57,3016580
2020-10-13,21.32,21.395,20.92,21.29,4072197
2020-10-12,21.31,21.44,21.06,21.27,3929278
2020-10-09,21.3,21.36,20.93,20.99,2883429
2020-10-08,21.2,21.25,20.78,20.91,4132205
2020-10-07,21.27,21.38,20.94,20.96,4525200
2020-10-06,21.4,21.92,21.2,21.2,4606700
2020-10-05,20.76,21.54,20.75,21.52,4040147
2020-10-02,20.5,20.765,20.41,20.57,4068727
2020-10-01,21.0,21.03,20.55,20.7,4789173
2020-09-30,20.84,21.08,20.68,20.84,4690900
2020-09-29,21.02,21.055,20.82,20.86,3980766
2020-09-28,21.095,21.175,20.845,21.065,3690012
2020-09-25,20.46,20.94,20.415,20.9,3493676
2020-09-24,20.29,20.73,20.15,20.46,3516469
2020-09-23,21.0,21.11,20.31,20.33,3496774
2020-09-22,20.68,21.055,20.55,21.01,3894748
2020-09-21,20.63,20.905,20.235,20.59,4479386
2020-09-18,20.91,21.06,20.59,20.87,5992563
2020-09-17,20.8,20.92,20.52,20.88,5595438
2020-09-16,21.34,21.44,20.985,21.12,4662756
2020-09-15,21.44,21.625,21.03,21.23,6674289
2020-09-14,21.3732,21.44,21.03,21.255,6796829
2020-09-11,20.8939,21.38,20.7167,21.14,29043485
2020-09-10,22.98,23.35,22.42,22.47,2875804
2020-09-09,22.99,23.41,22.85,23.045,2866619
2020-09-08,22.81,23.14,22.57,22.59,3928379
2020-09-04,22.74,23.675,21.96,23.4,6407164
2020-09-03,23.97,23.97,22.625,22.92,3884831
2020-09-02,23.92,24.15,23.555,24.105,3222354
2020-09-01,23.49,24.055,23.49,23.83,4118933
2020-08-31,23.63,24.15,23.48,23.51,5035561
2020-08-28,24.19,24.3,23.85,24.05,3931090
2020-08-27,24.21,24.295,23.74,24.17,3591553
2020-08-26,23.55,24.4,23.525,24.2,4933521
2020-08-25,23.36,23.6,23.16,23.49,3339860
2020-08-24,22.74,23.5,22.35,23.45,5601293
2020-08-21,22.65,22.6909,22.27,22.59,3999318
2020-08-20,22.635,22.77,22.33,22.65,3684144
2020-08-19,22.93,23.73,22.555,22.7,6197197
2020-08-18,22.9217,23.045,22.705,22.8573,3583994
2020-08-17,23.08,23.165,22.67,22.795,4798910
2020-08-14,23.18,23.3,22.795,22.92,5488425
2020-08-13,22.45,23.5,22.2205,22.97,8568867
2020-08-12,22.49,22.79,22.36,22.52,3650702
2020-08-11,22.91,22.99,22.255,22.39,6399412
2020-08-10,23.42,23.59,22.82,23.0,5519446
2020-08-07,23.04,23.66,22.53,23.37,11778128
2020-08-06,21.91,22.16,21.555,22.12,6031069
2020-08-05,22.17,22.17,21.8201,21.88,6455971
2020-08-04,21.93,22.11,21.53,22.11,8410948
2020-08-03,21.44,21.99,21.225,21.955,7121340
2020-07-31,21.19,21.58,20.8467,21.44,2739613
2020-07-30,20.91,21.26,20.62,21.13,2184421
2020-07-29,20.7591,21.345,20.66,21.18,3102102
2020-07-28,20.71,20.89,20.4,20.58,3743300
2020-07-27,20.45,21.0153,20.3523,20.84,2819088
2020-07-24,21.06,21.06,20.32,20.39,3183105
2020-07-23,21.1,21.795,20.84,21.12,5330371
2020-07-22,20.03,21.0,19.88,20.69,8763325
2020-07-21,20.6,20.6,19.91,19.94,2492574
2020-07-20,20.39,20.54,20.17,20.43,3418969
2020-07-17,20.14,20.5,20.01,20.3,1759022
2020-07-16,20.21,20.32,20.115,20.17,516586
2020-07-15,20.22,20.4,19.88,20.24,4361800
2020-07-14,20.17,20.25,19.57,20.17,612192
2020-07-13,20.34,20.71,20.11,20.15,478694
2020-07-10,20.08,20.3675,19.93,20.3,569520
2020-07-09,20.08,20.22,19.7,20.09,654759
2020-07-08,19.87,20.13,19.75,20.11,290514
2020-07-07,19.71,20.19,19.71,19.81,744443
2020-07-06,20.08,20.36,19.895,19.93,518114
2020-07-02,19.84,20.205,19.74,20.02,718041
2020-07-01,19.77,19.845,19.52,19.77,3203068
2020-06-30,19.49,19.92,19.44,19.83,6268200
2020-06-29,19.57,19.57,18.775,19.43,4400493
2020-06-26,19.57,19.75,19.02,19.12,18252100
2020-06-25,19.79,20.05,19.435,19.53,1419644
2020-06-24,20.37,20.62,19.66,19.74,1507949
2020-06-23,20.88,20.96,20.4314,20.485,1030646
2020-06-22,20.64,20.825,20.27,20.72,1036859
2020-06-19,20.21,20.775,19.81,20.745,2515745
2020-06-18,20.22,20.295,19.94,20.06,1126478
2020-06-17,20.41,20.59,20.22,20.225,1376115
2020-06-16,20.49,20.6,19.88,20.35,1630538
2020-06-15,19.5207,20.33,19.4,20.275,1474272
2020-06-12,20.24,20.6293,19.56,19.86,1562655
2020-06-11,21.12,21.18,19.97,19.98,1909836
2020-06-10,21.15,21.48,20.625,21.41,1932624
2020-06-09,21.0,21.31,20.61,21.13,2717678
2020-06-08,21.45,21.99,21.22,21.96,1383527
2020-06-05,21.4,21.56,20.71,21.05,6701300
2020-06-04,20.78,21.48,20.59,21.1,7661000
2020-06-03,20.94,21.24,20.52,20.71,4976000
2020-06-02,21.45,21.45,20.48,21.06,10284500
2020-06-01,22.45,22.55,21.62,21.71,9274800
2020-05-29,21.05,23.02,20.86,22.78,16358900
2020-05-28,19.94,21.25,19.85,20.94,7804800
2020-05-27,20.0,20.01,18.91,19.86,7412500
2020-05-26,20.5,20.56,19.81,19.87,4413000
2020-05-22,20.23,20.43,20.08,20.24,2992200
2020-05-21,20.9,21.0,20.18,20.23,5180700
2020-05-20,20.39,21.15,20.24,21.0,9257700
2020-05-19,20.01,20.42,19.73,20.23,6986700
2020-05-18,20.41,20.49,19.8,19.94,5722800
2020-05-15,20.77,21.08,19.91,20.02,6318700
2020-05-14,20.51,20.99,19.98,20.93,5236600
2020-05-13,20.78,21.11,20.21,20.43,4802500
2020-05-12,21.57,21.65,20.8,20.8,4694500
2020-05-11,21.23,21.88,21.23,21.5,5302100
2020-05-08,21.3,21.47,20.93,21.28,4356000
2020-05-07,21.76,21.79,21.12,21.18,6353100
2020-05-06,21.79,21.8,21.24,21.52,5043200
2020-05-05,21.17,21.8,21.11,21.53,3822100
2020-05-04,20.94,21.33,20.81,21.1,6414300
2020-05-01,20.99,21.19,20.63,20.86,3602600
2020-04-30,21.41,21.62,21.01,21.27,6296500
2020-04-29,21.33,21.54,20.84,21.28,8956500
2020-04-28,21.43,21.49,20.89,20.97,4774200
2020-04-27,21.4,21.83,21.08,21.28,9591700
2020-04-24,20.21,21.22,19.89,20.96,9085300
2020-04-23,19.86,20.29,19.65,20.21,5961000
2020-04-22,19.63,20.02,19.41,19.91,5839200
2020-04-21,19.75,19.97,19.06,19.38,7491400
2020-04-20,20.09,20.3,19.79,20.01,4833200
2020-04-17,20.69,20.74,19.91,20.12,5836400
2020-04-16,20.24,20.61,19.9,20.42,8991500
2020-04-15,18.82,20.2,18.76,19.7,5872100
2020-04-14,19.17,19.42,18.95,19.07,5637100
2020-04-13,19.26,19.41,18.63,18.86,5531900
2020-04-09,19.33,19.82,18.84,19.37,5267100
2020-04-08,19.11,19.71,18.9,19.58,3254900
2020-04-07,19.5,19.66,18.89,18.94,6614600
2020-04-06,18.78,19.12,18.48,18.97,4505300
2020-04-03,18.41,18.76,18.18,18.29,3662200
