datetime,open,high,low,close,volume
2021-01-29,22.9,23.12,22.3,22.33,2291269
2021-01-28,23.5,23.98,22.72,22.96,4999300
2021-01-27,22.56,23.52,22.4,23.19,5685400
2021-01-26,21.68,23.99,21.54,22.99,10016600
2021-01-25,21.62,21.95,21.41,21.5,2562016
2021-01-22,21.62,21.84,21.45,21.73,3563800
2021-01-21,22.14,22.25,21.72,21.78,5062000
2021-01-20,22.39,22.44,22.05,22.28,2734100
2021-01-19,22.3,22.47,22.15,22.28,5773174
2021-01-15,22.22,22.42,21.85,22.13,3200500
2021-01-14,21.85,22.53,21.72,22.37,3748800
2021-01-13,21.58,21.85,21.45,21.8,4491100
2021-01-12,21.28,21.75,21.25,21.64,3842500
2021-01-11,20.66,21.24,20.551,21.23,1813577
2021-01-08,20.95,21.16,20.71,20.94,6985400
2021-01-07,21.26,21.28,20.8,20.84,2289600
2021-01-06,20.8,21.21,20.71,20.92,4424600
2021-01-05,20.26,20.61,20.2,20.58,8098600
2021-01-04,20.86,20.93,20.185,20.23,3666540
2020-12-31,20.53,20.94,20.45,20.87,4188200
2020-12-30,20.77,20.95,20.41,20.55,3220900
2020-12-29,20.69,21.29,20.43,20.75,10939900
2020-12-28,20.48,20.835,20.36,20.59,8282431
2020-12-24,20.3575,20.39,20.23,20.32,1228585
2020-12-23,19.91,20.29,19.86,20.23,2501600
2020-12-22,19.84,19.99,19.55,19.74,2318300
2020-12-21,19.6,19.86,19.285,19.73,3445140
2020-12-18,19.62,20.11,19.51,20.09,3081351
2020-12-17,19.45,19.7,19.45,19.62,1801497
2020-12-16,19.66,19.79,19.33,19.49,3611100
2020-12-15,19.5,19.73,19.01,19.65,4709010
2020-12-14,19.23,19.5,19.16,19.29,4540716
2020-12-11,18.89,19.11,18.585,19.1,3393667
2020-12-10,18.94,19.08,18.69,18.96,5675100
2020-12-09,17.67,19.15,17.56,19.12,14853700
2020-12-08,17.1925,17.685,17.03,17.52,2155140
2020-12-07,17.83,17.84,17.155,17.25,4020714
2020-12-04,17.32,18.0,17.285,17.96,4595566
2020-12-03,16.4,17.31,16.29,17.24,4464300
2020-12-02,16.07,16.45,16.02,16.36,3322100
2020-12-01,16.49,16.76,16.12,16.13,4812500
2020-11-30,16.25,16.55,16.08,16.17,21081289
2020-11-27,16.31,16.34,15.68,16.24,3247400
2020-11-25,16.51,16.6,16.19,16.35,4504400
2020-11-24,16.57,16.68,16.31,16.61,3347800
2020-11-23,15.8,16.25,15.62,16.15,4311357
2020-11-20,16.08,16.25,15.68,15.75,5464300
2020-11-19,16.07,16.17,15.84,16.07,6781700
