datetime,open,high,low,close,volume
2021-01-29,289.57999,289.59,282.88,286.60999,1659010
2021-01-28,292.12,296.20999,291.29999,293.03,1398500
2021-01-27,292.89001,296.07001,291.16,292.23999,1388700
2021-01-26,299.79999,300.39999,292.5,293.10999,985000
2021-01-25,299.67999,305.20001,297.89291000000003,299.35001,1452843
2021-01-22,296.0,300.60001,294.54999,298.16,989200
2021-01-21,297.47,299.82001,296.39999,296.87,975300
2021-01-20,300.0,301.07001,297.04999,298.78,985800
2021-01-19,303.5,304.0,297.85999,298.01999,1202273
2021-01-15,302.70001,303.51999,298.95001,300.75,1782800
2021-01-14,302.03,308.84,301.97,303.01999,1375100
2021-01-13,298.0,300.01001,294.64001,299.45999,1540400
2021-01-12,294.85999,298.54999,293.5,297.54001,1073900
2021-01-11,287.76001,294.94,287.14999,294.73999,984080
2021-01-08,292.60001,293.59,286.60001,288.32999,2090300
2021-01-07,296.82001,298.94,292.54001,292.57999,1330300
2021-01-06,293.98001,302.09,293.20999,299.14001,951600
2021-01-05,295.25,298.48999,294.0,296.59,937800
2021-01-04,304.07001,304.23999,292.25,294.76001,1172243
2020-12-31,302.60999,304.95001,300.5,304.72,512200
2020-12-30,301.45999,305.54999,301.32001,302.60999,528100
2020-12-29,304.81,305.03,299.14999,300.98999,524500
2020-12-28,300.51001,304.70999,299.31189,303.01999,600223
2020-12-24,301.07999,301.07999,296.92999,299.60001,402036
2020-12-23,298.29001,302.84,297.56,300.66,787000
2020-12-22,297.44,297.82001,294.72,296.32001,963200
2020-12-21,299.03,299.91,292.76001,297.60999,1206705
2020-12-18,300.6925,304.95999,299.20999,303.13,1107108
2020-12-17,302.98888999999997,306.98999,299.67001,300.67999,806857
2020-12-16,300.42001,304.07999,299.31,302.01001,995100
2020-12-15,299.35999,300.60611,297.75,298.51001,703981
2020-12-14,301.98001,303.39001,298.0,298.0,675132
2020-12-11,298.38,301.17999,295.04999,300.57001,775103
2020-12-10,302.10001,305.69,297.88,298.42999,1166100
2020-12-09,302.14001,304.70999,300.07001,303.73001,730500
2020-12-08,301.13501,308.64001,300.64169,301.98001,659937
2020-12-07,306.79999,306.94,298.29001,301.0,906999
2020-12-04,303.89999,307.69171,303.29001,307.07999,639994
2020-12-03,299.17001,304.75,298.72,303.42999,992100
2020-12-02,301.10001,301.69,297.73999,298.76999,769500
2020-12-01,304.17999,309.87,300.54001,301.10001,882900
2020-11-30,305.29999,306.39999,299.14001,302.26001,1106937
2020-11-27,311.37,311.63,305.29999,306.03,475100
2020-11-25,310.06,314.14001,307.85001,312.26001,698000
2020-11-24,309.51001,313.60999,308.5,309.98001,904900
2020-11-23,309.23001,311.20999,305.5,306.48999,678838
2020-11-20,308.88,310.20999,305.20001,306.42001,776900
2020-11-19,311.22,311.87,306.92001,309.48001,708100
2020-11-18,314.4975,316.42001,310.29999,310.59,565725
2020-11-17,310.32999,315.75,309.64999,312.63,744500
2020-11-16,315.38,315.57901,311.42001,312.73001,543640
2020-11-13,308.0,313.12,307.10999,311.70999,412085
2020-11-12,308.0,308.78,302.34,306.23001,737400
2020-11-11,314.95999,314.97,306.01999,309.95999,590700
2020-11-10,302.73001,316.89999,301.48001,314.51001,948500
2020-11-09,315.0,317.60001,300.07001,301.28,1732016
2020-11-06,305.73999,305.94,296.63,301.35999,946700
2020-11-05,316.5,317.28,306.06,307.39999,1410300
2020-11-04,310.0,324.26001,309.0,315.64001,1684000
2020-11-03,299.31,307.12,299.31,304.82001,864900
2020-11-02,294.48001,298.97641,292.745,296.63,841292
2020-10-30,290.87,293.92001,285.13,289.82001,1227100
2020-10-29,292.54001,297.69,291.25,292.39001,1260400
2020-10-28,299.57999,304.25,293.54001,293.66,1221300
2020-10-27,308.845,308.89999,302.07001,302.10999,842019
2020-10-26,305.39999,312.35001,301.70001,309.84,1272447
2020-10-23,305.25,309.53,304.0,308.42001,928599
2020-10-22,309.26001,314.69,302.98999,302.98999,1266100
2020-10-21,308.04001,309.84,305.91,308.37,829500
2020-10-20,313.73999,313.76999,308.28,309.04999,661000
2020-10-19,316.04001,318.89001,310.82001,311.32999,760543
2020-10-16,315.97,319.73001,315.56,316.23999,1393700
2020-10-15,313.53,316.26001,312.23999,314.82001,854000
2020-10-14,311.405,317.60001,311.405,315.0,1017460
2020-10-13,316.19,318.29999,311.95001,312.72,520462
2020-10-12,314.51999,318.81,313.22,316.59,828028
2020-10-09,319.87,322.47,313.70999,315.04001,697759
2020-10-08,314.98999,319.82001,314.25518999999997,319.70999,890274
2020-10-07,310.39999,315.57001,310.39999,313.89001,1019500
2020-10-06,320.32999,320.32999,308.89001,308.97,1148000
2020-10-05,315.85001,317.23001,311.29999,312.17999,881937
2020-10-02,308.92001,315.13501,307.26501,313.95001,1253585
2020-10-01,316.63,320.625,309.37,311.79999,1521118
2020-09-30,326.20001,326.73001,312.25,315.48999,1179400
2020-09-29,328.0,330.42001,324.42999,325.28,310253
2020-09-28,330.54001,333.56,328.75,329.51999,567028
2020-09-25,322.95001,329.57001,322.95001,328.0,0
2020-09-24,326.25,328.60001,321.38,324.72,0
2020-09-23,334.20999,336.98001,326.64999,328.06,0
2020-09-22,327.07999,333.28,327.07999,332.79999,0
2020-09-21,338.03,338.03,324.595,325.89001,160723
2020-09-18,341.16,345.45001,341.16,341.5,87666
2020-09-17,340.48999,345.47,338.07999,343.84,119963
2020-09-16,336.76001,346.88501,335.73999,343.47,291098
2020-09-15,337.28,339.88,334.80499,338.01999,287291
2020-09-14,340.70001,341.66,337.73001,338.45001,279862
2020-09-11,331.73999,340.12,331.73999,338.88,174771
2020-09-10,340.01999,340.76501,329.41,330.01999,239468
2020-09-09,339.5,342.54999,336.79001,339.41,219809
2020-09-08,338.19,338.60999,334.20999,334.56,296557
2020-09-04,345.0,346.64999,337.35001,339.03,216103
2020-09-03,349.32001,351.64999,340.09,342.23001,269099
2020-09-02,339.48001,350.07999,338.22,348.35001,366206
2020-09-01,340.17999,342.81,337.14999,340.38,251494
2020-08-31,343.23001,344.29501,341.62,342.60999,259767
2020-08-28,347.29001,347.29001,342.26999,344.75,240154
2020-08-27,342.26999,349.14999,342.06,348.98999,352315
2020-08-26,340.69,342.85999,338.25,341.39999,163748
2020-08-25,344.85001,344.85001,341.45001,343.0,203032
2020-08-24,340.35001,344.42001,338.41,344.42001,234068
2020-08-21,337.37,339.125,336.45499,337.85999,161861
2020-08-20,337.04001,338.44,336.121,336.67001,169133
2020-08-19,336.42999,340.32001,336.20001,337.91,236398
2020-08-18,338.57001,339.91501,337.35999,337.57001,308211
2020-08-17,342.57001,344.0,338.54999,339.76001,294432
2020-08-14,337.39999,343.84,336.85999,342.13,222931
2020-08-13,335.54599,340.78,335.45999,338.62,242967
2020-08-12,342.89001,343.14499,337.70001,339.35001,318365
2020-08-11,339.23999,345.41,339.23999,341.91,477723
2020-08-10,331.47,336.19,330.88,335.73001,242608
2020-08-07,327.0,331.92278999999996,325.70999,329.26999,493125
2020-08-06,328.26999,329.54001,325.45001,326.39999,363658
2020-08-05,325.57001,330.81,325.185,329.62,275160
2020-08-04,324.29999,325.29001,320.89999,325.01001,229714
2020-08-03,325.01001,326.19,321.92999,323.59,259598
2020-07-31,326.01999,326.01999,318.20001,325.01001,387718
2020-07-30,313.38,329.44,313.38,326.01001,851590
2020-07-29,315.64999,316.69,310.67929,315.26001,505138
2020-07-28,308.0,317.94,308.0,312.87,414655
2020-07-27,311.64001,311.64001,305.95999,308.01999,219940
2020-07-24,314.35999,318.64999,310.27499,312.69,395989
2020-07-23,315.79001,318.69,311.76001,313.06,393189
2020-07-22,307.14001,316.39001,306.63,316.0,306750
2020-07-21,305.09,308.98001,302.60999,308.19,130873
2020-07-20,306.04001,306.04001,301.26001,301.48999,132136
2020-07-17,305.01001,307.59,303.60999,306.84,246221
2020-07-16,299.0,305.87,296.82999,303.64999,0
2020-07-15,300.32001,303.89001,298.16,300.76001,2756
2020-07-14,291.78,295.75,287.60001,295.54999,7220
2020-07-13,294.07001,296.45999,290.5,292.35001,0
2020-07-10,287.63,294.22,286.91,292.0,0
2020-07-09,298.70001,298.70001,285.57999,285.95001,0
2020-07-08,303.70999,306.19,299.0,301.10001,2213
2020-07-07,310.14999,312.23001,303.73001,304.47,16550
2020-07-06,313.5,313.5,308.92999,312.39999,20002
2020-07-02,311.14001,313.23001,308.84,309.97,0
2020-06-29,304.82001,309.01999,303.32999,309.01999,719913
2020-06-26,300.67999,306.07941,299.14001,299.89001,215673
2020-06-25,300.37,302.54001,294.0,302.0,1170943
2020-06-24,305.67001,305.67001,299.25,301.88,292103
2020-06-23,317.42999,317.42999,306.79999,307.25,268666
2020-06-22,312.51001,315.60001,309.66,315.56,257046
2020-06-19,321.29999,322.57001,312.38,312.39001,254317
2020-06-18,319.85001,321.32999,316.10999,317.72,199145
2020-06-17,325.79999,327.26001,320.64001,322.29001,178734
2020-06-16,324.48999,329.29999,317.82001,324.73999,283201
2020-06-15,313.03,316.01999,308.54999,313.81,276119
2020-06-12,327.98001,328.53,313.07999,317.56,181839
2020-06-11,330.03,336.29501,320.82001,320.98001,264720
2020-06-10,341.96481,344.07999,338.48999,341.10999,172392
2020-06-09,345.75,345.75,340.98499,342.53,181996
2020-06-08,342.62,349.23001,341.48001,348.92999,155092
2020-06-05,343.25,346.59,339.69,342.10001,1259700
2020-06-04,336.54999,340.94,334.14999,335.73999,689900
2020-06-03,329.76999,336.69,327.57999,335.95999,1628800
2020-06-02,332.37,333.82001,325.04999,327.06,1451400
2020-06-01,335.63,342.12,330.25,330.67001,1232400
2020-05-29,339.84,340.73999,334.39999,335.20001,1118800
2020-05-28,346.41,348.78,342.31,342.73001,728200
2020-05-27,328.0,343.5,326.20001,342.98001,934600
2020-05-26,333.20999,333.35001,323.47,324.19,1217700
2020-05-22,328.95001,328.95001,323.44,325.91,723900
2020-05-21,320.59,329.53,319.75,328.10999,733400
2020-05-20,331.95001,331.95001,319.70999,320.39999,899000
2020-05-19,330.82999,335.19,326.67001,327.03,564000
2020-05-18,330.17999,333.84,322.57001,331.17001,934400
2020-05-15,311.31,324.10001,310.25,321.63,1672600
2020-05-14,318.26001,318.29999,307.32999,311.92999,1121800
2020-05-13,324.44,325.81,317.81,320.45999,690600
2020-05-12,328.88,332.53,325.39001,325.51001,1098300
2020-05-11,326.10001,329.56,324.76001,327.47,922300
2020-05-08,324.25,329.03,322.73001,327.64999,664800
2020-05-07,326.97,327.0,322.73999,324.14001,593100
2020-05-06,330.64001,331.51001,322.51999,323.03,570600
2020-05-05,323.48999,331.94,322.26001,328.73999,595700
2020-05-04,326.35999,327.0,319.76001,322.56,576400
2020-05-01,326.95999,330.25,324.26999,328.06,849700
2020-04-30,327.56,331.91,322.98001,330.67001,1137400
2020-04-29,332.54999,347.16,321.13,331.82999,2044500
2020-04-28,349.26999,351.42001,342.64001,344.53,696100
2020-04-27,341.95999,346.78,340.5,344.81,764500
2020-04-24,338.0,340.84,332.0,339.31,560400
2020-04-23,341.97,344.0,335.60001,335.82999,1104400
2020-04-22,339.17001,343.54999,334.97,342.01001,676200
2020-04-21,340.95001,346.59,332.29001,333.67999,813200
2020-04-20,353.66,354.38,343.51001,343.91,695700
2020-04-17,353.60999,357.12,347.0,356.29999,1236800
2020-04-16,343.59,348.35001,342.32001,346.23999,879700
2020-04-15,346.01999,346.10999,336.51001,344.29001,712300
2020-04-14,344.70999,352.0,342.0,348.79001,639100
2020-04-13,336.70999,341.54001,334.14001,338.85001,639000
2020-04-09,334.60999,339.12,330.64999,336.64999,1115800
2020-04-08,330.31,336.63,327.07999,329.67001,919000
2020-04-07,342.70999,343.31,324.95999,325.51999,1098500
2020-04-06,320.0,335.26999,319.5,332.32999,1047600
2020-04-03,313.89999,315.54999,310.31,313.60999,834900
2020-04-02,301.89999,314.73001,301.69,314.29001,1061900
2020-04-01,293.85001,309.98999,290.62,306.98999,1226500
2020-03-31,309.17001,311.0,300.38,302.54999,1980200
2020-03-30,317.41,322.92001,308.85999,313.72,1261700
2020-03-27,311.89001,318.76999,301.60001,312.14999,1504800
2020-03-26,290.63,321.92001,290.63,321.19,1425500
2020-03-25,281.79001,301.98001,279.0,288.35999,1615600
2020-03-24,280.25,284.0,272.63,281.28,1655100
