datetime,open,high,low,close,volume
2021-01-29,90.68,91.23,88.2,89.19,996034
2021-01-28,91.67,92.47,91.07,91.19,1082900
2021-01-27,91.97,93.85,89.92,90.27,1407500
2021-01-26,95.13,95.13,93.56,93.6,826200
2021-01-25,93.37,95.33,93.15,94.28,1226322
2021-01-22,95.1,95.4,92.35,94.6,1311700
2021-01-21,95.44,96.4,93.36,94.22,1676500
2021-01-20,96.97,96.97,94.24,94.8,1751700
2021-01-19,96.57,97.96,95.525,97.36,900351
2021-01-15,97.88,98.73,95.73,96.44,751800
2021-01-14,99.14,99.86,98.09,99.69,832100
2021-01-13,98.62,99.4,97.91,98.33,703500
2021-01-12,97.32,99.5,96.9,99.35,866100
2021-01-11,96.8,97.89,95.43,97.89,615378
2021-01-08,97.75,97.91,95.4,96.89,637800
2021-01-07,97.8,99.23,97.53,97.58,761200
2021-01-06,94.12,98.13,92.69,97.29,1373800
2021-01-05,90.66,92.74,90.63,91.81,975200
2021-01-04,93.51,93.98,91.085,92.5,654091
2020-12-31,92.16,93.29,91.39,93.14,514200
2020-12-30,91.61,92.84,91.07,91.92,385800
2020-12-29,92.84,92.85,91.44,91.91,500500
2020-12-28,92.09,93.595,91.83,92.48,588830
2020-12-24,92.23,92.23,90.18,91.59,269300
2020-12-23,91.35,93.02,91.29,91.99,590000
2020-12-22,90.96,91.45,90.0,90.6,1036500
2020-12-21,91.42,92.65,88.85,91.05,931628
2020-12-18,92.84,92.8975,91.3,91.89,573693
2020-12-17,90.91,92.12,90.14,92.1,797724
2020-12-16,90.68,91.13,89.85,90.79,836600
2020-12-15,89.87,91.45,88.61,90.68,877178
2020-12-14,91.62,91.74,88.46,88.58,914614
2020-12-11,89.84,90.405,88.72,90.1,1098794
2020-12-10,92.1,92.1,90.43,91.72,1203700
2020-12-09,94.72,95.62,92.51,93.22,1173500
2020-12-08,93.22,94.834,93.22,94.62,487919
2020-12-07,94.07,94.49,92.99,94.42,571393
2020-12-04,94.33,95.36,93.7,94.82,1042198
2020-12-03,94.03,94.12,92.49,92.99,1127400
2020-12-02,92.74,94.1,92.1,93.9,1123200
2020-12-01,92.63,95.1,92.63,93.27,1465400
2020-11-30,95.75,95.8,92.68,93.12,1066257
2020-11-27,97.3,97.6,95.53,96.14,589000
2020-11-25,96.7,97.52,95.12,96.88,665000
2020-11-24,95.17,98.55,94.97,97.61,1209300
2020-11-23,92.5,93.81,91.22,93.56,595594
2020-11-20,92.83,92.95,91.17,91.39,595100
2020-11-19,92.01,93.66,90.93,93.36,789500
2020-11-18,94.67,95.02,92.69,92.69,691308
2020-11-17,91.36,93.9,90.82,93.79,844200
2020-11-16,93.28,94.02,91.96,93.14,671952
2020-11-13,88.76,91.32,88.37,90.79,593838
2020-11-12,88.01,89.2,86.61,87.57,590300
2020-11-11,92.05,92.78,88.65,89.21,611000
2020-11-10,91.37,92.6,89.76,91.85,1337300
2020-11-09,88.29,92.11,88.28,90.8,1809587
2020-11-06,81.94,82.4,81.12,81.66,1097500
2020-11-05,79.64,82.4,79.61,81.58,657700
2020-11-04,80.76,82.19,78.7,78.89,1015600
2020-11-03,80.62,83.48,80.3,82.54,950100
2020-11-02,79.77,80.1,78.26,79.05,797061
2020-10-30,77.71,78.57,76.2,78.27,866700
2020-10-29,77.51,78.89,76.23,78.29,811200
2020-10-28,79.34,79.77,77.38,77.8,896800
2020-10-27,81.295,82.37,80.32,80.7,740969
2020-10-26,83.43,83.65,80.974,82.23,704419
2020-10-23,87.07,87.07,84.09,84.4,782152
2020-10-22,85.81,86.32,83.87,85.76,896700
2020-10-21,85.13,90.46,85.0,85.77,1823000
2020-10-20,86.5,87.33,85.49,85.76,807900
2020-10-19,87.47,87.95,85.26,85.41,696978
2020-10-16,87.5,87.99,86.28,87.38,700600
2020-10-15,83.66,87.27,83.61,87.02,943300
2020-10-14,84.14,85.47,83.92,84.39,533116
2020-10-13,85.54,86.33,83.62,83.96,681659
2020-10-12,85.02,86.69,84.69,86.31,589128
2020-10-09,83.62,85.57,83.39,85.24,586287
2020-10-08,82.59,84.49,82.02,84.26,414451
2020-10-07,81.79,83.41,81.44,82.24,889100
2020-10-06,81.69,82.25,79.92,80.19,1034600
2020-10-05,79.28,81.04,79.275,80.83,659134
2020-10-02,75.83,79.04,75.73,78.47,433307
2020-10-01,77.78,78.78,76.53,77.05,639042
2020-09-30,78.13,79.03,77.4,77.97,798100
2020-09-29,78.36,78.64,77.07,77.46,440140
2020-09-28,78.1,79.58,77.74,78.61,663128
2020-09-25,74.23,76.53,74.03,76.47,716243
2020-09-24,76.48,77.28,74.75,75.23,791246
2020-09-23,77.73,79.04,75.86,76.0,649240
2020-09-22,79.08,80.15,76.94,77.79,826620
2020-09-21,79.7,81.04,77.69,79.51,955818
2020-09-18,82.56,83.6,81.58,81.73,755834
2020-09-17,82.19,83.525,81.94,82.92,1187302
2020-09-16,79.14,85.9,79.0,83.19,2020356
2020-09-15,81.2,81.2,78.32,78.76,1371475
2020-09-14,80.56,81.9664,80.24,80.45,1116584
2020-09-11,78.14,80.46,78.081,79.88,645492
2020-09-10,80.52,81.42,78.54,78.67,939437
2020-09-09,82.63,82.63,81.04,81.06,822769
2020-09-08,83.01,83.745,81.11,81.61,1378079
2020-09-04,84.84,86.2,83.67,84.44,840608
2020-09-03,84.46,86.24,83.0,83.66,833829
2020-09-02,81.83,84.29,81.265,83.97,548021
2020-09-01,81.26,83.19,81.13,82.09,707322
2020-08-31,83.74,84.02,81.56,81.86,660059
2020-08-28,84.45,84.45,83.52,83.9,445543
2020-08-27,83.09,84.73,82.955,84.27,405998
2020-08-26,83.96,83.96,82.7,82.74,622039
2020-08-25,85.0,85.45,83.88,84.0,431724
2020-08-24,81.69,84.36,81.55,84.25,613775
2020-08-21,81.19,81.81,80.53,81.75,457687
2020-08-20,82.12,82.29,81.07,81.43,597523
2020-08-19,82.76,83.74,82.44,83.01,651031
2020-08-18,82.4,82.685,81.55,82.21,405801
2020-08-17,82.94,83.35,82.0101,82.62,479980
2020-08-14,82.69,83.97,82.46,83.41,407731
2020-08-13,83.03,83.83,82.23,82.68,478311
2020-08-12,85.01,86.04,83.43,84.07,611150
2020-08-11,85.47,86.485,83.92,84.29,893618
2020-08-10,83.2,84.2,82.61,83.68,1112351
