datetime,open,high,low,close,volume
2021-01-29,50.25,50.44,47.935,48.73,4880927
2021-01-28,51.88,51.99,49.02,50.33,3982600
2021-01-27,51.8,51.9,50.83,51.33,3164900
2021-01-26,55.0,55.2,52.78,52.8,2530800
2021-01-25,54.94,54.94,53.6,54.52,1911575
2021-01-22,53.97,55.07,53.57,54.78,1521700
2021-01-21,55.59,55.84,54.4,54.42,1724200
2021-01-20,56.12,56.39,55.15,55.76,2231500
2021-01-19,55.96,57.02,55.8341,55.88,1525371
2021-01-15,55.79,55.95,54.24,55.47,1613600
2021-01-14,57.44,57.5,56.64,56.68,1207300
2021-01-13,57.8,57.96,56.37,56.71,1876000
2021-01-12,57.0,58.52,56.28,58.1,2308000
2021-01-11,54.95,57.52,54.64,56.8,1798315
2021-01-08,56.21,56.6,54.76,56.02,2719800
2021-01-07,57.64,57.75,55.67,56.19,2229400
2021-01-06,56.36,57.55,55.68,57.02,3287000
2021-01-05,52.52,54.53,52.47,54.07,2223500
2021-01-04,54.18,54.65,52.24,52.51,2213524
2020-12-31,52.95,53.38,52.23,53.19,1282900
2020-12-30,51.81,53.14,51.78,52.94,1582400
2020-12-29,52.21,52.93,51.96,52.08,1222600
2020-12-28,52.6,53.0299,52.025,52.11,1283791
2020-12-24,52.94,52.96,52.01,52.44,620100
2020-12-23,53.36,53.55,52.43,52.57,1564300
2020-12-22,54.21,54.39,52.8,53.09,1677700
2020-12-21,53.0,54.23,52.771,54.14,1337691
2020-12-18,55.425,55.425,53.73,53.93,1835383
2020-12-17,56.98,57.0,55.4,55.43,1508771
2020-12-16,56.51,56.77,55.78,56.44,1476300
2020-12-15,56.0,56.76,55.65,56.57,1016044
2020-12-14,57.35,57.42,55.48,55.66,1692243
2020-12-11,56.4627,56.9,55.45,56.64,1246129
2020-12-10,56.16,57.22,55.76,57.11,1443200
2020-12-09,57.03,57.39,56.0,56.43,1458000
2020-12-08,55.44,57.5,55.44,56.545,1633160
2020-12-07,55.99,56.73,55.6,55.94,1695123
2020-12-04,55.6,56.99,55.2,56.43,1363071
2020-12-03,55.3,55.93,54.55,54.8,1791800
2020-12-02,55.03,55.96,54.83,55.1,1839500
2020-12-01,55.15,55.67,54.75,54.93,1873500
2020-11-30,54.7,55.34,53.69,53.7,2583553
2020-11-27,54.96,55.73,54.73,55.07,1052600
2020-11-25,55.62,55.92,54.52,54.78,2703400
2020-11-24,54.39,56.5,54.34,56.42,2232700
2020-11-23,53.36,53.95,52.74,53.67,1458927
2020-11-20,52.64,52.93,52.3,52.55,1016000
2020-11-19,52.64,53.47,52.35,52.83,1332100
2020-11-18,54.16,54.33,52.905,52.92,1141529
2020-11-17,53.52,54.22,53.2,53.86,1662200
2020-11-16,53.21,54.74,52.1,54.3,2847660
2020-11-13,50.19,51.92,50.16,51.66,1213304
2020-11-12,50.21,50.5,49.11,49.61,1413400
2020-11-11,51.83,51.83,50.61,50.81,2111400
2020-11-10,51.03,52.15,50.8,51.78,1572300
2020-11-09,51.6,52.9,50.72,50.76,2203339
2020-11-06,49.32,49.47,48.2,48.42,1350200
2020-11-05,47.46,49.6,47.46,48.8,1716000
2020-11-04,49.64,49.64,46.9,46.95,2370200
2020-11-03,49.69,50.33,49.27,50.05,1422000
2020-11-02,48.61,49.0299,47.66,48.87,1630967
2020-10-30,47.4,47.94,46.78,47.76,3114200
2020-10-29,46.34,48.33,46.0,47.94,1911100
2020-10-28,47.31,47.54,46.17,46.58,2562500
2020-10-27,48.13,48.785,47.93,48.23,1263215
2020-10-26,49.6,49.61,48.03,48.28,1707400
2020-10-23,50.32,50.7,49.63,50.21,1484957
2020-10-22,48.11,50.22,48.11,49.9,2049700
2020-10-21,48.72,49.26,48.43,48.44,1856200
2020-10-20,49.39,49.77,48.48,48.51,2604200
2020-10-19,49.55,50.33,48.825,48.97,1632473
2020-10-16,49.48,49.73,48.99,49.33,1366100
2020-10-15,48.46,49.29,48.02,49.26,1475000
2020-10-14,48.705,49.675,48.705,49.39,1220871
2020-10-13,48.766,49.34,48.35,48.66,1235768
2020-10-12,48.81,49.58,48.74,49.28,1812202
2020-10-09,49.76,49.87,48.51,48.84,1588189
2020-10-08,48.79,49.49,48.7,49.45,1360042
2020-10-07,47.67,49.0,47.41,48.65,1861200
2020-10-06,47.54,48.23,46.65,46.93,2280000
2020-10-05,46.56,47.65,46.26,47.28,1828532
2020-10-02,44.365,46.57,44.2207,46.07,1559504
2020-10-01,45.09,45.55,44.7865,45.04,1304704
2020-09-30,45.12,45.75,44.58,44.86,1468200
2020-09-29,45.55,45.79,44.561,44.74,865499
2020-09-28,46.25,46.94,45.62,46.27,1419409
2020-09-25,44.29,45.38,44.05,45.24,956839
2020-09-24,44.58,45.73,44.1101,44.75,1319297
2020-09-23,45.64,46.48,44.65,44.68,1592088
2020-09-22,45.78,46.19,45.23,45.67,1470867
2020-09-21,48.24,48.32,45.03,45.82,2119637
2020-09-18,48.97,49.93,48.85,49.18,2957707
2020-09-17,47.5,49.19,47.01,48.97,1946483
2020-09-16,46.86,47.95,46.51,47.56,1262353
2020-09-15,46.97,47.33,46.6125,46.78,1303493
2020-09-14,46.11,46.95,46.075,46.73,1421031
2020-09-11,45.37,46.28,45.29,45.93,1014192
2020-09-10,46.19,46.235,45.36,45.37,940822
2020-09-09,46.12,46.43,45.63,46.06,1575352
2020-09-08,46.4,46.45,45.41,45.58,1613213
2020-09-04,47.21,47.59,46.51,46.9,1746116
2020-09-03,47.34,47.855,46.18,46.59,1572872
2020-09-02,46.79,47.66,46.4419,47.44,2132610
2020-09-01,45.5,46.64,45.07,46.64,1597427
2020-08-31,46.04,46.21,45.45,45.47,1278295
2020-08-28,45.75,46.14,45.6001,45.98,1058729
2020-08-27,45.61,46.03,45.17,45.56,815361
2020-08-26,45.475,45.87,45.19,45.51,855815
2020-08-25,46.06,46.08,45.215,45.57,997022
2020-08-24,45.05,46.04,45.0,46.02,1051080
2020-08-21,45.3,45.4,44.475,44.69,1062380
2020-08-20,45.12,45.82,45.03,45.64,1013554
2020-08-19,46.51,46.94,45.685,45.79,1440842
2020-08-18,46.47,46.82,46.215,46.37,1199006
2020-08-17,46.58,46.84,46.21,46.37,1785767
2020-08-14,45.48,46.55,45.19,46.25,1106973
2020-08-13,45.38,45.83,45.0,45.5,1120419
2020-08-12,45.85,46.03,45.33,45.9,1302528
2020-08-11,46.32,46.645,45.16,45.4,2386811
2020-08-10,44.49,46.29,44.49,46.11,1757427
2020-08-07,42.935,44.48,42.65,44.34,1587091
2020-08-06,43.82,43.88,43.12,43.26,1286142
2020-08-05,43.55,44.3283,43.45,43.47,1201515
2020-08-04,42.93,43.225,42.335,43.02,1436276
2020-08-03,42.275,43.08,41.87,42.86,1865727
2020-07-31,42.46,42.54,41.635,41.94,2266433
2020-07-30,42.57,42.8,42.21,42.7,1636210
2020-07-29,42.81,43.26,42.735,43.25,1569692
2020-07-28,43.4626,43.6,42.615,42.67,2388663
2020-07-27,42.61,43.9,42.41,43.82,1870610
2020-07-24,42.45,42.92,41.99,42.85,1594486
2020-07-23,42.26,43.75,42.07,42.63,2093106
2020-07-22,41.71,42.36,41.39,42.265,1362137
2020-07-21,40.885,42.0988,40.885,41.89,1458758
2020-07-20,40.72,41.27,40.42,40.72,1083900
2020-07-17,41.865,42.275,41.21,41.27,692804
2020-07-16,41.4101,42.39,41.18,41.76,302742
2020-07-15,41.86,42.028,40.76,41.69,264089
2020-07-14,39.76,41.11,39.48,41.1,200707
2020-07-13,40.89,41.17,39.9,39.93,244737
2020-07-10,38.895,40.6,38.87,40.44,121315
2020-07-09,39.56,39.61,38.51,38.8,227403
2020-07-08,41.23,41.275,39.2805,39.67,264772
2020-07-07,41.2016,41.65,40.63,41.17,431473
2020-07-06,42.21,42.41,40.63,41.65,350359
2020-07-02,41.4,42.09,41.18,41.4,287874
2020-07-01,41.4,41.49,39.95,40.38,2318480
