datetime,open,high,low,close,volume
2021-01-29,24.35,24.49,23.69,24.02,5829974
2021-01-28,24.52,24.79,24.37,24.48,3595700
2021-01-27,25.33,26.08,24.57,24.62,4994000
2021-01-26,25.55,25.99,25.39,25.89,3197100
2021-01-25,24.55,25.59,24.55,25.5,3675095
2021-01-22,24.51,24.87,24.3,24.8,1816100
2021-01-21,24.64,24.78,24.46,24.66,2197500
2021-01-20,24.11,24.73,23.98,24.66,2396000
2021-01-19,24.23,24.33,24.115,24.21,2198356
2021-01-15,24.13,24.39,23.9,24.14,2740200
2021-01-14,24.53,24.57,24.14,24.4,2293000
2021-01-13,24.17,24.45,23.92,24.37,3742300
2021-01-12,23.3,24.31,23.16,24.23,3924700
2021-01-11,22.9,23.315,22.7104,23.07,2603651
2021-01-08,23.19,23.26,22.69,23.07,2082300
2021-01-07,22.68,22.9,22.5,22.64,2319400
2021-01-06,22.19,22.87,22.0,22.66,2735600
2021-01-05,21.63,21.95,21.5,21.86,3187800
2021-01-04,21.78,22.1,21.6,21.71,5036949
2020-12-31,21.11,21.31,20.95,21.23,1814200
2020-12-30,20.81,21.24,20.79,21.08,1668900
2020-12-29,21.3,21.38,20.83,20.98,1260000
2020-12-28,21.33,21.45,21.135,21.24,1961049
2020-12-24,21.23,21.27,21.04,21.22,668077
2020-12-23,21.13,21.34,21.13,21.23,1867100
2020-12-22,20.78,21.23,20.77,21.08,2922400
2020-12-21,19.91,20.765,19.87,20.68,2713522
2020-12-18,20.08,20.68,20.05,20.65,4848433
2020-12-17,20.12,20.165,19.88,20.09,2029978
2020-12-16,20.07,20.31,19.88,20.07,2636300
2020-12-15,20.4279,20.58,19.805,20.0,3542283
2020-12-14,20.76,20.7601,20.315,20.32,2476022
2020-12-11,20.68,20.75,20.375,20.51,2200972
2020-12-10,20.64,20.86,20.33,20.81,2576300
2020-12-09,21.05,21.16,20.66,20.75,3888400
2020-12-08,21.11,21.145,20.505,21.02,4384807
2020-12-07,21.9,21.975,21.45,21.595,4001746
2020-12-04,21.75,22.09,21.65,22.03,1726320
2020-12-03,21.27,21.9,21.17,21.77,2076200
2020-12-02,21.43,21.54,21.11,21.22,2140000
2020-12-01,21.43,21.54,21.2,21.44,2628600
2020-11-30,20.96,21.48,20.95,21.26,4987343
2020-11-27,21.03,21.13,20.61,21.07,1347612
2020-11-25,21.2,21.43,21.04,21.36,2299000
2020-11-24,20.74,21.6,20.64,21.46,5254700
2020-11-23,20.5,20.825,20.435,20.51,2134809
2020-11-20,20.36,20.46,20.2,20.37,2562700
2020-11-19,20.18,20.54,20.0,20.39,2236100
2020-11-18,20.19,20.64,20.17,20.2,2085500
2020-11-17,20.01,20.32,19.74,20.17,2807200
2020-11-16,19.98,20.63,19.755,20.36,3893739
2020-11-13,19.12,19.815,19.055,19.73,1652850
2020-11-12,19.65,19.69,18.61,18.97,3184700
2020-11-11,19.29,19.68,19.18,19.67,2692000
2020-11-10,19.23,19.29,19.02,19.26,2883600
2020-11-09,19.7301,20.22,19.06,19.11,4969902
2020-11-06,19.6,19.74,18.71,18.88,3308500
2020-11-05,18.95,19.73,18.95,19.56,3357800
2020-11-04,19.41,19.5,18.76,18.87,2906900
2020-11-03,19.27,19.6,19.05,19.5,4324000
2020-11-02,17.8,19.05,17.76,18.91,5078663
2020-10-30,18.16,18.49,17.34,17.66,5827500
2020-10-29,16.6,16.985,16.6,16.82,2282171
2020-10-28,16.88,17.03,16.57,16.66,2064300
2020-10-27,17.46,17.6,17.19,17.19,1386873
2020-10-26,17.79,17.79,17.27,17.44,1247156
2020-10-23,17.92,18.03,17.7229,17.99,1064856
2020-10-22,17.61,17.9,17.47,17.87,1239600
2020-10-21,17.56,17.7,17.41,17.55,1231700
2020-10-20,17.97,18.01,17.61,17.68,1213200
2020-10-19,17.96,18.155,17.57,17.59,1503560
2020-10-16,18.14,18.18,17.91,18.02,1485300
2020-10-15,18.03,18.22,17.84,18.13,1224900
2020-10-14,17.85,18.31,17.68,18.27,2916157
2020-10-13,17.94,17.955,17.5,17.7,1632039
2020-10-12,18.08,18.13,17.865,17.94,1764480
2020-10-09,18.23,18.27,17.975,18.01,1057849
2020-10-08,17.8,18.11,17.77,18.1,1085577
2020-10-07,17.47,17.83,17.47,17.7,1148600
2020-10-06,17.68,17.86,17.29,17.31,1675700
2020-10-05,17.57,17.6623,17.44,17.6,1404313
2020-10-02,16.72,17.52,16.66,17.38,1279500
2020-10-01,17.31,17.35,16.87,17.0,1886524
2020-09-30,17.22,17.46,17.11,17.16,2037400
2020-09-29,17.09,17.25,16.975,17.12,978945
2020-09-28,16.98,17.3,16.82,17.22,1819464
2020-09-25,16.61,16.83,16.56,16.75,1367071
2020-09-24,16.88,16.995,16.57,16.71,1045164
2020-09-23,17.3,17.48,16.88,16.89,1375141
2020-09-22,17.27,17.39,17.03,17.23,1201066
2020-09-21,17.48,17.51,16.95,17.1,1785069
2020-09-18,17.88,18.28,17.68,17.72,2386980
2020-09-17,17.77,18.19,17.63,17.91,1712642
2020-09-16,17.72,18.235,17.7,17.99,2057186
2020-09-15,17.9,18.04,17.66,17.68,2518839
2020-09-14,17.64,17.87,17.455,17.84,2958153
2020-09-11,17.22,17.595,17.05,17.45,3459236
2020-09-10,16.605,17.335,16.54,17.2,4480928
2020-09-09,16.48,16.65,16.2,16.43,3029829
2020-09-08,16.29,16.68,16.085,16.38,3682827
2020-09-04,16.11,16.39,15.96,16.32,2552585
2020-09-03,16.08,16.47,15.858,15.92,2142817
2020-09-02,15.87,16.26,15.8,16.22,2446176
2020-09-01,15.86,16.09,15.67,15.74,2640148
2020-08-31,16.1,16.32,15.91,15.97,2117867
2020-08-28,16.08,16.27,15.915,16.23,1615816
2020-08-27,16.13,16.265,16.0,16.19,2564637
2020-08-26,16.1,16.195,15.97,15.99,1519376
2020-08-25,16.47,16.5,16.03,16.14,1455639
2020-08-24,16.24,16.4679,16.03,16.43,2052161
2020-08-21,16.42,16.42,15.875,16.1,3001628
2020-08-20,16.66,16.8,16.335,16.39,1585793
2020-08-19,16.7,16.99,16.65,16.76,2143478
2020-08-18,16.97,17.03,16.655,16.72,2991948
2020-08-17,17.02,17.02,16.75,16.96,3347592
2020-08-14,17.01,17.27,16.88,16.99,2037375
2020-08-13,17.07,17.295,16.965,17.05,1729242
2020-08-12,17.41,17.4551,16.98,17.11,2326263
2020-08-11,17.79,17.91,17.22,17.27,2517471
2020-08-10,17.42,17.69,17.22,17.5,1972625
2020-08-07,16.86,17.155,16.7,17.15,1976909
2020-08-06,16.68,16.92,16.57,16.82,1478352
2020-08-05,16.57,16.82,16.37,16.75,1382757
2020-08-04,16.4,16.635,16.28,16.47,2495558
2020-08-03,16.41,16.5,16.095,16.4,2921908
2020-07-31,18.0,18.0,16.16,16.4,5893506
2020-07-30,17.36,17.85,17.12,17.76,4778459
2020-07-29,17.22,17.665,17.17,17.6,2414744
2020-07-28,17.31,17.57,17.205,17.26,2941719
2020-07-27,17.14,17.61,17.05,17.36,2354237
2020-07-24,17.1,17.39,17.005,17.14,2614385
2020-07-23,16.83,17.175,16.76,17.1,3076824
2020-07-22,16.5,16.83,16.4,16.72,2965743
2020-07-21,16.65,16.746,15.96,16.55,6635592
2020-07-20,16.17,16.34,15.87,16.06,2251515
2020-07-17,16.58,16.7201,16.27,16.35,1978770
2020-07-16,16.04,16.69,16.03,16.55,283231
2020-07-15,16.29,16.47,16.2,16.4,1885600
2020-07-14,15.65,16.19,15.55,16.07,351255
2020-07-13,15.935,16.07,15.7,15.73,296918
2020-07-10,15.19,15.87,15.11,15.8,324723
2020-07-09,15.77,15.81,14.95,15.02,630916
2020-07-08,15.76,15.8752,15.58,15.8,267555
2020-07-07,15.82,16.02,15.76,15.84,564382
2020-07-06,16.3,16.36,15.98,15.98,506963
2020-07-02,16.125,16.49,15.94,15.97,329216
2020-07-01,15.81,16.15,15.75,15.78,2179598
2020-06-30,15.56,15.95,15.34,15.88,3009400
2020-06-29,15.35,15.675,15.24,15.59,4329958
2020-06-26,15.05,15.19,14.81,15.05,3870600
2020-06-25,14.96,15.265,14.855,15.185,448478
2020-06-24,15.39,15.43,14.902,15.1,712036
2020-06-23,15.79,15.96,15.535,15.58,722175
2020-06-22,15.73,15.88,15.48,15.65,666536
2020-06-19,15.64,15.89,15.28,15.835,1623073
2020-06-18,15.58,15.9,15.42,15.45,622947
2020-06-17,15.76,15.968,15.41,15.81,692755
2020-06-16,15.5,15.98,15.23,15.75,1281695
2020-06-15,14.8,15.105,14.61,14.92,828871
2020-06-12,15.5,15.605,14.835,15.3,743066
2020-06-11,15.085,15.45,14.815,14.88,846809
2020-06-10,16.69,16.69,15.92,15.92,751625
2020-06-09,16.83,17.065,16.44,16.66,1215686
2020-06-08,16.7,17.48,16.635,17.42,1204987
2020-06-05,16.0,16.79,15.99,16.4,5604100
2020-06-04,14.96,15.75,14.83,15.47,5231000
2020-06-03,13.99,15.11,13.96,14.99,4962700
2020-06-02,13.6,13.91,13.5,13.85,2843200
2020-06-01,13.1,13.51,13.06,13.46,3066100
2020-05-29,13.43,13.43,13.06,13.15,6024800
