datetime,open,high,low,close,volume
2021-01-29,60.14,60.9,58.895,59.06,4453039
2021-01-28,60.25,61.75,60.16,60.95,3029700
2021-01-27,60.25,61.17,60.11,60.36,3432400
2021-01-26,60.45,61.18,60.28,60.67,2441600
2021-01-25,60.0,61.289,59.6256,60.38,3326371
2021-01-22,58.91,59.95,58.75,59.84,2813700
2021-01-21,58.49,59.47,58.18,59.09,2550800
2021-01-20,58.2,59.18,58.02,58.98,2541400
2021-01-19,59.0,59.0,57.78,58.14,3253317
2021-01-15,58.05,58.92,57.39,58.65,3256500
2021-01-14,58.15,58.22,57.67,57.83,2914400
2021-01-13,58.24,58.86,57.52,57.78,4277900
2021-01-12,57.04,57.95,57.0,57.81,11815700
2021-01-11,59.58,59.83,59.26,59.42,2360020
2021-01-08,59.0,59.86,58.86,59.74,3197700
2021-01-07,59.77,59.78,58.56,58.9,4167000
2021-01-06,60.6,60.67,59.35,59.65,4140300
2021-01-05,60.0,60.75,59.94,60.16,2714300
2021-01-04,62.18,62.26,59.82,59.86,3641582
2020-12-31,60.94,62.2,60.45,62.17,2289300
2020-12-30,61.02,61.99,60.91,61.28,1405900
2020-12-29,61.77,62.25,60.84,60.97,1574300
2020-12-28,61.05,61.88,60.96,61.77,1714184
2020-12-24,60.655,61.12,60.29,61.09,740031
2020-12-23,60.97,61.43,60.4,60.46,2072100
2020-12-22,59.89,60.93,59.52,60.93,2284000
2020-12-21,59.28,59.78,58.7126,59.77,2599277
2020-12-18,60.87,61.53,59.27,59.51,3495780
2020-12-17,61.67,61.715,60.92,61.03,2431914
2020-12-16,61.78,62.1,61.28,61.35,2287600
2020-12-15,60.89,61.75,60.36,61.75,1871643
2020-12-14,60.9,61.9,60.42,60.62,2901154
2020-12-11,59.93,60.6,59.88,60.46,2339863
2020-12-10,60.41,60.62,59.84,59.93,3454100
2020-12-09,60.45,61.29,60.19,60.69,4579700
2020-12-08,60.68,61.12,60.39,60.4,1664909
2020-12-07,61.24,61.35,60.6099,60.75,2307598
2020-12-04,61.68,61.89,60.89,61.27,1680129
2020-12-03,60.83,61.69,60.68,61.09,1789300
2020-12-02,60.48,61.04,60.03,60.78,2003600
2020-12-01,60.52,61.03,60.18,60.37,2673600
2020-11-30,61.8,61.8339,59.93,59.97,4856883
2020-11-27,63.0,63.0,61.5,61.64,1331100
2020-11-25,62.0,63.11,61.47,62.9,3173200
2020-11-24,61.82,62.98,61.74,61.84,3471700
2020-11-23,60.76,62.05,60.6,60.89,2810996
2020-11-20,60.92,61.24,60.22,60.39,3238900
2020-11-19,61.05,61.48,60.08,61.11,3254900
2020-11-18,62.965,63.5965,61.14,61.15,2397802
2020-11-17,63.76,63.81,62.36,62.82,2491100
2020-11-16,64.9,65.09,63.48,64.47,2294425
2020-11-13,62.02,63.2,62.02,63.05,1335952
2020-11-12,62.9,62.9,61.14,61.77,2053100
2020-11-11,64.32,64.33,62.44,63.44,2366700
2020-11-10,61.79,64.76,61.38,64.67,3676900
2020-11-09,61.5,64.3,61.21,61.6,6547281
2020-11-06,58.37,59.68,57.69,57.99,3926800
2020-11-05,58.88,59.06,57.97,58.0,2463000
2020-11-04,59.0,59.42,58.47,58.5,2468000
2020-11-03,59.21,59.85,58.55,59.25,2039200
2020-11-02,58.39,59.98,58.33,59.64,2483669
2020-10-30,58.09,58.81,57.35,57.86,2415900
2020-10-29,58.05,59.02,57.09,58.52,2473700
2020-10-28,58.0,58.49,57.59,57.81,2522800
2020-10-27,59.99,60.2996,58.73,58.73,1249677
2020-10-26,60.42,60.44,59.28,59.83,2065975
2020-10-23,60.1,61.15,60.1,60.77,1131723
2020-10-22,59.55,60.25,59.52,60.09,1089800
2020-10-21,59.01,59.86,58.47,59.68,1885600
2020-10-20,59.15,59.69,58.96,59.1,1718500
2020-10-19,61.2,61.24,58.71,58.71,2727318
2020-10-16,60.62,60.85,59.91,60.53,2622900
2020-10-15,60.66,61.6,60.33,60.41,2486500
2020-10-14,61.6,61.795,60.7,60.99,1519462
2020-10-13,62.76,62.94,61.09,61.64,1587725
2020-10-12,63.03,63.55,62.58,63.33,1257707
2020-10-09,63.76,64.62,62.96,63.19,1390843
2020-10-08,63.27,63.79,62.95,63.76,1080144
2020-10-07,63.25,63.39,62.46,62.71,1674700
2020-10-06,63.62,63.9,62.64,62.91,1961700
2020-10-05,63.83,64.33,62.22,63.25,1693922
2020-10-02,61.14,64.1,60.87,63.9,1657472
2020-10-01,60.74,62.32,60.5,62.28,1512738
2020-09-30,61.35,61.95,60.02,60.75,3002600
2020-09-29,61.86,61.86,60.37,61.09,1394514
2020-09-28,61.47,62.02,60.86,61.67,2175408
2020-09-25,58.73,60.04,58.52,59.96,1686930
2020-09-24,59.03,59.44,58.36,58.71,2522666
2020-09-23,60.64,60.8058,58.927,59.02,1904858
2020-09-22,60.545,61.64,60.3,60.6,1643048
2020-09-21,62.35,62.35,59.55,60.09,2768509
2020-09-18,63.32,63.9,62.27,62.34,2651339
2020-09-17,65.07,65.35,63.66,64.05,2444367
2020-09-16,65.83,66.56,65.355,65.41,1566396
2020-09-15,65.76,66.8,65.51,65.79,1835882
2020-09-14,64.1236,65.58,63.4,65.5,1585100
2020-09-11,63.84,63.92,62.5101,63.38,1758081
2020-09-10,64.43,64.96,63.73,63.73,1167488
2020-09-09,64.72,65.66,64.22,64.63,1385642
2020-09-08,64.48,64.84,63.34,64.03,1551201
2020-09-04,64.29,65.28,63.24,64.38,2060977
2020-09-03,63.55,64.903,63.3714,64.25,2519872
2020-09-02,62.45,63.65,61.88,63.52,2329583
2020-09-01,61.3,62.8,61.06,62.45,1988790
2020-08-31,63.3,63.3,61.79,62.02,1883566
2020-08-28,62.55,63.54,61.93,63.425,1783577
2020-08-27,61.84,62.68,61.6,62.5,1437876
2020-08-26,62.65,62.65,61.26,61.67,1281600
2020-08-25,62.44,62.93,61.85,62.57,1783557
2020-08-24,61.09,62.45,60.44,62.44,1625018
2020-08-21,61.22,61.4442,60.3645,61.12,1393590
2020-08-20,60.07,61.58,59.81,61.01,1228458
2020-08-19,61.56,61.58,59.91,60.07,1728428
2020-08-18,61.98,62.035,61.03,61.58,1179750
2020-08-17,61.0933,62.1,60.75,61.98,1257583
2020-08-14,61.29,61.87,60.81,61.0,1256703
2020-08-13,62.51,63.2,61.33,61.42,1338208
2020-08-12,63.03,63.47,62.45,63.01,1059413
2020-08-11,63.2999,63.88,62.61,62.68,2377430
2020-08-10,62.73,63.25,62.44,62.46,1423953
2020-08-07,62.15,62.85,61.76,62.72,1380319
2020-08-06,62.345,62.78,61.53,62.15,1749145
2020-08-05,61.82,62.5,61.31,62.29,2225241
2020-08-04,60.86,62.61,60.79,61.87,2839252
