datetime,open,high,low,close,volume
2021-01-29,197.71001,198.67,193.72,194.0,740207
2021-01-28,195.3,200.48,194.12,199.02,707200
2021-01-27,204.61,204.61,192.75999,194.33,755900
2021-01-26,212.05,212.55,206.58,207.53999,622100
2021-01-25,203.92999,211.41499,203.92999,211.12,608427
2021-01-22,207.45,207.45,203.21001,204.61,498200
2021-01-21,210.0,211.99001,207.63,207.72,598300
2021-01-20,207.50999,209.78999,204.12,208.96001,789300
2021-01-19,208.23,213.39999,207.41,207.50999,537478
2021-01-15,205.48,208.58,202.46001,207.39,777300
2021-01-14,205.07001,209.77,202.89,207.50999,675100
2021-01-13,203.2,203.28999,200.14,200.96001,539700
2021-01-12,203.14999,205.83,200.82001,203.35001,376000
2021-01-11,204.17999,206.02,201.97,202.34,595646
2021-01-08,202.17999,207.0,202.17999,205.56,640900
2021-01-07,195.97,203.13,194.96001,201.96001,1019800
2021-01-06,190.7,195.73,190.7,193.3,1049100
2021-01-05,190.28,193.47,189.45,191.75,1362500
2021-01-04,195.13,196.52,190.28,190.69,964187
2020-12-31,194.59,195.62,192.91,195.17999,497700
2020-12-30,194.89999,195.28,191.96001,193.62,496100
2020-12-29,195.69,197.02,192.19,194.13,428700
2020-12-28,199.21001,199.89,194.78999,194.91,287756
2020-12-24,196.87,199.0,196.55,198.25,141083
2020-12-23,199.22,200.42999,196.72,196.83,347600
2020-12-22,198.0,199.82001,197.77,198.66,464100
2020-12-21,197.10001,199.58,196.00999,197.82001,539265
2020-12-18,195.07001,200.13,193.35001,199.62,1020052
2020-12-17,195.5,196.75999,194.10001,195.97,788445
2020-12-16,198.11,198.75,194.86,195.0,570300
2020-12-15,196.7,200.252,195.81,198.3,429378
2020-12-14,202.22,202.315,194.95,195.35001,807176
2020-12-11,197.75,202.875,197.67,200.78,486206
2020-12-10,201.49001,201.5,196.42999,198.7,754200
2020-12-09,210.16,210.96001,202.06,202.77,676100
2020-12-08,207.85001,210.23,206.86,210.10001,352807
2020-12-07,208.97,209.45,206.39101000000002,208.08,478047
2020-12-04,209.50999,212.58,208.315,209.0,544024
2020-12-03,203.19,208.42,203.19,207.00999,595100
2020-12-02,210.53999,210.64,203.58,204.83,803700
2020-12-01,203.74001,211.45,202.67,211.03999,1342600
2020-11-30,201.49001,204.325,199.3,203.36,965570
2020-11-27,201.31,202.87,200.22,201.99001,209337
2020-11-25,204.57001,205.0,200.24001,202.91,439400
2020-11-24,202.64999,205.59,201.23,203.47,725500
2020-11-23,206.50999,209.3,201.7,202.24001,726871
2020-11-20,204.8,207.25,204.28999,205.62,428200
2020-11-19,204.31,206.06,202.28999,205.53,538700
2020-11-18,205.89,207.67999,204.37,204.5,517400
2020-11-17,203.64,206.78,201.89,205.92999,534200
2020-11-16,202.7,207.41,201.455,206.11,759675
2020-11-13,198.95,203.75999,198.75999,202.78999,560743
2020-11-12,198.97,199.53999,194.97,197.27,775600
2020-11-11,201.27,201.27,196.09,198.0,852100
2020-11-10,199.07001,201.5,194.21001,197.48,867200
2020-11-09,212.45,213.59,198.985,199.28999,918942
2020-11-06,205.53,208.87,205.35001,207.02,424300
2020-11-05,203.5,207.37,201.05,206.17,561000
2020-11-04,200.66,204.23,199.88,200.39999,609500
2020-11-03,195.72,199.89999,194.88,198.14,503400
2020-11-02,193.88499,194.75,191.23,193.75,651218
2020-10-30,188.44,193.39999,188.44,190.37,803200
2020-10-29,186.57001,191.02,185.201,190.75,617487
2020-10-28,186.89999,189.52,185.21001,186.66,826300
2020-10-27,195.21001,201.99001,189.02,189.37,784191
2020-10-26,198.25999,199.38,196.08,198.41,820899
2020-10-23,197.06,200.96001,196.92,200.47,501049
2020-10-22,197.14,199.05,193.69,196.16,586200
2020-10-21,199.19,201.62,196.14999,196.28,573100
2020-10-20,198.48,201.72,197.97,199.12,397400
2020-10-19,201.07001,201.53,195.87,196.89999,592085
2020-10-16,203.92,204.27,200.42,200.58,560400
2020-10-15,200.75,205.11,200.0,204.00999,380700
2020-10-14,201.34,204.98,201.34,202.60001,374254
2020-10-13,200.53,202.52,199.875,200.53,402436
2020-10-12,201.06,203.5,200.48,200.75999,576518
2020-10-09,198.03,200.50999,196.89,199.53999,579357
2020-10-08,194.03,197.28,193.0,197.17,543871
2020-10-07,190.92,194.14,190.03,192.92999,758000
2020-10-06,188.88,192.17999,185.96001,189.11,764600
2020-10-05,185.14,189.57001,185.14,188.46001,546614
2020-10-02,180.69,187.16,180.69,184.53999,439479
2020-10-01,182.06,184.91,180.64,182.78,559626
2020-09-30,186.0,187.0,179.82001,180.92,1006400
2020-09-29,186.21001,188.28999,184.89999,185.11,841083
2020-09-28,184.60001,187.78,184.46001,187.35001,793928
2020-09-25,182.22,185.15559,181.08,182.28,524656
2020-09-24,181.10001,185.73,180.63,183.92999,968589
2020-09-23,180.81,185.45,180.05,182.21001,987592
2020-09-22,182.16499,182.16499,176.34,180.61,858251
2020-09-21,181.99001,182.49001,176.35001,178.58,1206576
2020-09-18,190.41,190.41,182.105,184.08,931021
2020-09-17,187.77768999999998,192.24001,185.14999,190.61,663009
2020-09-16,198.7,198.7057,189.78999,190.03999,826540
2020-09-15,193.74001,198.0,192.46001,197.49001,1005531
2020-09-14,197.09,197.69501,192.065,193.08,658243
2020-09-11,195.2,197.75,193.25999,195.7,545338
2020-09-10,199.16,199.5144,193.03,194.485,633252
2020-09-09,196.02,201.69,196.02,198.909,1039321
2020-09-08,195.62,197.46001,192.30098999999998,194.42,1069789
2020-09-04,200.75999,200.89,190.5997,196.25999,795927
2020-09-03,201.64,202.36729,195.17999,198.53999,703738
2020-09-02,206.53,207.435,202.69501,203.53,712092
2020-09-01,202.53,204.97,200.37,204.25999,565282
2020-08-31,204.02,204.44,201.53,202.03,716680
2020-08-28,201.33569,201.5,198.60001,200.28999,508796
