datetime,open,high,low,close,volume
2021-01-29,40.61,41.3,39.33,39.83,3765401
2021-01-28,40.93,42.29,40.71,42.11,3512800
2021-01-27,42.0,42.0,40.45,40.55,4023800
2021-01-26,42.69,44.21,42.03,42.12,3676800
2021-01-25,42.57,42.69,41.33,42.23,3165178
2021-01-22,41.78,42.96,41.43,42.84,2902900
2021-01-21,44.0,44.18,42.22,42.87,2924100
2021-01-20,44.48,44.65,43.44,44.01,2468700
2021-01-19,44.46,44.54,43.7,44.11,2664414
2021-01-15,44.5,44.71,43.02,44.17,2774500
2021-01-14,44.11,45.71,44.02,44.76,3516700
2021-01-13,43.4,44.44,43.05,43.71,2668200
2021-01-12,41.72,43.62,41.44,43.51,3423200
2021-01-11,39.08,41.38,38.6601,41.23,2874505
2021-01-08,41.05,41.1,39.57,39.93,3470400
2021-01-07,40.49,40.83,39.8,40.7,2952000
2021-01-06,40.0,40.48,39.13,39.83,3329000
2021-01-05,37.85,40.4,37.83,39.38,3416700
2021-01-04,39.0,39.11,37.3855,37.5,3323165
2020-12-31,37.91,38.47,37.66,38.38,2190500
2020-12-30,38.02,38.74,37.95,38.12,2462200
2020-12-29,38.65,38.74,37.67,38.13,2752000
2020-12-28,38.88,39.26,38.01,38.41,2604784
2020-12-24,38.81,38.85,37.9,38.8,1419723
2020-12-23,39.0,39.58,38.47,38.8,2320800
2020-12-22,39.42,39.95,38.6,38.63,2767200
2020-12-21,38.37,39.81,38.03,39.39,3601562
2020-12-18,40.72,40.91,39.63,39.92,3482368
2020-12-17,41.0,41.23,40.08,40.72,2632237
2020-12-16,41.3,41.38,40.3,40.65,3012400
2020-12-15,40.13,41.45,39.93,41.31,2409933
2020-12-14,42.0,42.16,39.93,40.14,4018225
2020-12-11,41.07,41.66,40.74,41.58,2333729
2020-12-10,40.33,41.95,40.26,41.75,4079300
2020-12-09,41.46,41.94,39.65,40.22,3292900
2020-12-08,39.8416,41.555,39.81,40.79,2845549
2020-12-07,40.16,40.61,39.2153,40.31,4396952
2020-12-04,39.47,40.71,39.43,40.63,3520077
2020-12-03,37.55,39.07,37.17,38.49,3525200
2020-12-02,36.13,37.95,36.1,37.47,3111800
2020-12-01,37.0,37.19,36.08,36.47,3278500
2020-11-30,36.81,37.21,35.6,35.87,5160710
2020-11-27,37.18,37.7,36.82,37.23,1554300
2020-11-25,37.3,38.44,36.6,37.54,4082700
2020-11-24,36.91,37.89,36.34,37.66,5659300
2020-11-23,33.51,35.22,33.44,35.18,3280452
2020-11-20,33.18,33.53,32.67,32.96,2743400
2020-11-19,31.92,33.44,31.62,33.3,3359700
2020-11-18,33.295,34.1833,32.3,32.3,3837398
2020-11-17,31.91,33.32,31.72,33.31,3777600
2020-11-16,32.72,33.1399,31.97,32.35,4764856
2020-11-13,30.77,31.93,30.77,31.66,3293508
2020-11-12,31.49,32.0,30.15,30.77,4237400
2020-11-11,33.0,33.15,31.81,32.12,4143500
2020-11-10,31.91,32.65,31.01,32.54,6094300
2020-11-09,29.75,31.96,29.5,31.35,10269346
2020-11-06,28.42,29.28,26.76,26.89,5947300
2020-11-05,28.59,29.1,28.26,28.54,4462700
2020-11-04,29.0,29.46,28.14,28.6,6195600
2020-11-03,29.59,29.95,28.87,28.92,4368700
2020-11-02,29.15,29.56,28.6,29.23,4530843
2020-10-30,29.4,29.74,28.26,29.0,5618600
2020-10-29,28.9,30.53,28.01,30.4,6071200
2020-10-28,30.34,30.62,28.13,29.09,8048500
2020-10-27,29.5,29.95,29.25,29.31,4016398
2020-10-26,30.13,30.17,29.1,29.51,5300506
2020-10-23,31.0,31.03,30.08,30.56,4774880
2020-10-22,28.6,30.8,28.57,30.67,5223400
2020-10-21,28.63,28.86,28.37,28.43,3032900
2020-10-20,28.8,29.38,28.48,28.92,3753600
2020-10-19,29.05,29.49,28.24,28.29,3916794
2020-10-16,29.83,29.93,28.89,28.9,3849900
2020-10-15,28.56,29.84,28.49,29.82,5486300
2020-10-14,29.45,30.65,29.45,29.96,4033110
2020-10-13,28.7501,29.57,28.61,29.45,3151454
2020-10-12,29.02,29.3,28.72,29.17,2915720
2020-10-09,29.725,29.76,28.9261,29.05,3237089
2020-10-08,28.02,29.435,27.6796,29.41,4023930
2020-10-07,27.18,27.95,26.99,27.81,3377800
2020-10-06,28.2,28.44,26.56,27.06,4789600
2020-10-05,27.51,27.99,26.99,27.61,3717469
2020-10-02,25.0,26.74,24.57,26.54,3836387
2020-10-01,25.72,26.15,25.14,25.27,3166322
2020-09-30,26.61,27.27,25.89,25.98,5967900
2020-09-29,26.5,26.9,26.22,26.67,4887092
2020-09-28,25.48,26.2568,25.27,26.01,3869150
2020-09-25,24.15,25.08,24.105,25.02,3089131
2020-09-24,24.55,24.99,23.28,24.48,4935671
2020-09-23,25.8,26.16,24.52,24.55,3992674
2020-09-22,26.77,27.3538,25.58,25.66,3997133
2020-09-21,26.94,26.94,25.79,26.44,4759632
2020-09-18,27.8,27.87,27.17,27.53,4590244
2020-09-17,27.54,28.32,27.01,28.03,3634163
2020-09-16,26.48,28.46,26.46,28.07,3649107
2020-09-15,27.39,27.6,26.06,26.27,3570875
2020-09-14,26.51,27.615,26.34,27.29,3718815
2020-09-11,26.025,26.55,25.88,26.34,2857652
2020-09-10,26.6,26.84,26.01,26.03,2909455
2020-09-09,26.4201,26.72,26.1301,26.48,2399428
2020-09-08,26.37,26.48,25.53,26.15,3924260
2020-09-04,27.14,27.485,26.12,26.76,3095088
2020-09-03,27.31,27.85,26.57,26.905,3559831
2020-09-02,27.09,27.67,26.91,27.31,2471974
2020-09-01,27.29,27.52,26.86,27.16,2862741
2020-08-31,28.05,28.05,27.27,27.47,2623964
2020-08-28,27.63,28.25,27.25,28.07,3088406
2020-08-27,26.625,27.11,26.58,27.03,2975284
2020-08-26,27.24,27.33,26.46,26.565,3827781
2020-08-25,27.6,27.8401,26.505,27.25,3668111
2020-08-24,27.11,27.49,26.58,27.27,3265462
2020-08-21,27.35,27.35,26.48,26.88,3256861
2020-08-20,27.52,27.85,27.245,27.56,2504741
2020-08-19,28.105,28.55,27.74,27.86,2422048
2020-08-18,28.97,28.97,27.965,28.09,3292304
2020-08-17,29.495,29.68,28.915,28.98,2815741
2020-08-14,28.72,29.95,28.6,29.48,2898556
2020-08-13,29.97,29.97,28.575,28.8,3941766
2020-08-12,30.72,31.07,29.695,29.94,5136047
2020-08-11,31.01,31.185,30.02,30.03,4920645
2020-08-10,29.66,30.725,29.66,30.22,3517320
2020-08-07,28.77,29.555,28.6,29.47,2656194
2020-08-06,30.3,30.45,29.035,29.11,5120795
2020-08-05,30.09,31.36,29.285,30.48,7467165
2020-08-04,27.99,29.4323,27.99,29.2,4105352
2020-08-03,27.71,28.42,27.53,28.12,3373283
2020-07-31,27.87,28.38,27.05,27.9,4415330
2020-07-30,29.74,29.74,28.57,29.04,5232521
2020-07-29,27.5,29.76,26.7,29.71,9956502
2020-07-28,27.97,28.57,27.8,28.07,5066093
2020-07-27,28.73,28.92,27.76,28.01,6417571
2020-07-24,29.01,29.33,28.61,28.72,3013397
2020-07-23,29.94,29.94,28.4,28.95,5843622
2020-07-22,28.81,29.557,28.37,29.51,3594174
2020-07-21,28.76,30.37,28.76,29.97,4736901
2020-07-20,28.62,29.19,28.18,28.25,2527010
2020-07-17,29.03,29.395,28.375,28.68,1703573
2020-07-16,28.41,29.1656,27.92,28.8598,640013
2020-07-15,28.15,29.11,28.04,28.83,398047
2020-07-14,26.415,27.295,26.18,27.215,328925
2020-07-13,27.11,27.485,26.28,26.58,495207
2020-07-10,26.02,26.9,25.65,26.72,426585
2020-07-09,27.375,27.492,25.84,26.15,401608
2020-07-08,27.41,27.93,26.66,27.36,599370
2020-07-07,27.61,28.7527,27.035,27.59,1299153
2020-07-06,32.15,33.06,27.88,28.285,1250115
2020-07-02,33.17,33.47,32.0,32.15,567967
2020-07-01,33.28,34.01,32.12,32.18,3561792
2020-06-30,31.38,33.4,31.2,33.22,4854300
2020-06-29,31.02,32.1,30.55,31.81,4583420
2020-06-26,32.43,32.56,30.55,30.81,10204000
2020-06-25,31.76,33.4,31.5586,32.69,1578199
2020-06-24,34.775,34.78,31.65,32.29,1821639
2020-06-23,36.77,36.92,35.33,35.36,1519925
2020-06-22,35.18,36.0,34.38,35.91,1360370
2020-06-19,37.51,37.91,35.08,35.08,2133973
2020-06-18,35.615,36.98,35.5301,36.35,1070010
2020-06-17,38.35,38.77,36.17,36.17,1173528
2020-06-16,37.92,38.73,36.3,38.41,1932309
2020-06-15,32.5,36.98,32.27,36.43,3197735
2020-06-12,33.59,34.29,32.42,34.1,6534099
2020-06-11,36.69,37.96,34.17,35.38,3382352
2020-06-10,43.61,43.89,41.98,41.98,1535599
2020-06-09,45.91,46.026,44.22,44.45,1490979
2020-06-08,47.05,48.36,46.46,48.04,1422249
2020-06-05,44.12,47.12,43.41,45.35,8042600
2020-06-04,40.34,41.16,39.71,40.71,5622900
2020-06-03,39.64,40.91,39.64,40.58,5557800
2020-06-02,38.73,39.67,38.05,39.63,4456100
2020-06-01,36.57,38.19,35.78,38.14,4395700
2020-05-29,36.71,37.34,35.63,36.69,9144700
2020-05-28,37.94,38.21,36.6,37.28,5023500
2020-05-27,38.3,38.49,35.9,37.6,5428700
2020-05-26,37.78,38.31,37.11,37.62,4840700
2020-05-22,35.5,36.28,34.76,36.2,3766300
2020-05-21,36.7,37.0,35.36,36.02,4125700
2020-05-20,36.14,37.3,36.0,36.51,6634900
2020-05-19,35.0,35.68,34.24,35.11,5968400
2020-05-18,34.5,35.73,34.3,35.07,6032300
2020-05-15,30.6,32.49,30.32,32.39,5533800
2020-05-14,29.93,31.4,28.81,30.71,5431200
2020-05-13,31.84,32.18,29.78,30.48,8373200
2020-05-12,31.8,33.97,31.72,32.94,7975000
2020-05-11,30.76,31.94,30.64,31.38,3687100
2020-05-08,30.44,31.52,30.21,31.33,5074300
2020-05-07,29.5,30.53,29.43,29.75,4700800
2020-05-06,29.93,30.4,28.65,28.65,3614700
2020-05-05,30.0,30.37,29.13,29.93,4784200
2020-05-04,27.0,29.21,26.9,29.19,5440200
2020-05-01,28.57,29.14,27.67,27.94,4875500
2020-04-30,30.55,31.28,29.63,29.93,7154100
2020-04-29,31.44,32.64,29.06,30.92,9853700
2020-04-28,29.29,30.6,28.48,30.53,6169800
2020-04-27,27.16,28.69,26.27,28.52,6242000
2020-04-24,28.75,29.46,27.48,27.66,8931300
2020-04-23,28.23,29.54,28.01,29.2,8158900
2020-04-22,28.0,28.13,26.03,27.31,7862900
2020-04-21,26.85,27.49,25.56,26.93,8532100
2020-04-20,27.0,29.47,26.7,28.21,8428700
2020-04-17,27.49,29.54,27.45,29.38,6398500
2020-04-16,27.31,27.31,25.92,26.57,5513700
2020-04-15,28.69,29.25,27.3,27.41,7821400
2020-04-14,29.89,30.51,28.96,30.47,7603300
