datetime,open,high,low,close,volume
2021-01-29,64.49,64.99,62.25,62.38,1802909
2021-01-28,66.53,67.0,64.47,64.49,2456400
2021-01-27,65.3,68.5,64.5,66.57,3680300
2021-01-26,64.41,65.84,63.53,65.57,1993100
2021-01-25,61.76,63.98,61.46,63.91,1426304
2021-01-22,62.57,63.05,61.79,62.57,1761900
2021-01-21,62.81,63.77,62.47,63.11,1535300
2021-01-20,63.43,63.59,62.6,62.87,1456600
2021-01-19,63.4,64.0,62.945,63.1,1367000
2021-01-15,63.21,63.31,62.09,63.12,1370900
2021-01-14,63.25,63.61,62.56,63.39,1774600
2021-01-13,63.73,64.21,62.49,62.94,1753700
2021-01-12,63.91,64.5,63.37,63.93,1431900
2021-01-11,63.15,64.66,62.72,63.7,1232242
2021-01-08,64.06,64.6,62.5,63.59,2213500
2021-01-07,66.89,67.56,63.84,63.97,2758400
2021-01-06,62.91,67.63,62.91,66.97,3441800
2021-01-05,60.66,62.55,60.66,61.88,1660700
2021-01-04,62.23,62.54,60.37,60.88,1533653
2020-12-31,61.71,62.53,61.36,62.37,978700
2020-12-30,62.1,62.65,61.72,61.89,666300
2020-12-29,62.46,62.64,61.69,62.05,803400
2020-12-28,61.8,63.21,61.54,62.38,1145773
2020-12-24,61.365,61.42,60.76,61.3,332902
2020-12-23,59.93,62.01,59.89,61.28,1668400
2020-12-22,60.74,61.07,59.47,59.79,2542100
2020-12-21,60.79,60.9,59.05,60.54,2189001
2020-12-18,62.415,62.875,61.25,61.63,1759938
2020-12-17,65.1441,65.35,63.14,63.31,1542457
2020-12-16,64.04,64.98,63.84,64.74,1832300
2020-12-15,64.22,64.625,63.28,64.36,1151830
2020-12-14,64.82,64.98,63.57,63.58,1651880
2020-12-11,63.53,65.24,63.53,64.59,1257922
2020-12-10,63.88,64.38,63.4,63.96,1516300
2020-12-09,64.86,65.23,64.05,64.36,1749500
2020-12-08,63.68,64.6989,63.68,64.66,1259986
2020-12-07,64.57,64.88,64.0,64.3,2060422
2020-12-04,65.05,65.8,64.74,65.0,1666652
2020-12-03,64.22,65.48,63.85,65.06,2173600
2020-12-02,63.42,64.19,63.15,63.67,2093000
2020-12-01,63.89,64.82,62.85,63.37,2243100
2020-11-30,63.0,63.95,62.56,63.0,3933116
2020-11-27,63.64,64.27,62.98,63.0,1525600
2020-11-25,63.43,64.55,63.35,64.17,2841500
2020-11-24,62.17,65.12,62.0,64.44,4225300
2020-11-23,60.27,61.47,59.61,61.1,1273402
2020-11-20,59.07,59.82,58.84,59.65,1693600
2020-11-19,59.3,59.54,58.12,59.39,1684600
2020-11-18,61.705,61.705,59.68,59.69,2662913
2020-11-17,61.0,62.31,60.72,61.84,2070800
2020-11-16,60.74,61.96,59.95,61.88,3611972
2020-11-13,56.805,58.41,56.7,58.36,2137699
2020-11-12,56.45,57.23,55.77,56.23,5381700
2020-11-11,57.16,57.79,56.33,57.23,4448300
2020-11-10,56.18,57.42,55.61,57.0,5467900
2020-11-09,52.56,56.91,52.46,55.49,5997572
2020-11-06,49.24,49.67,48.05,48.36,2120800
2020-11-05,48.36,49.98,48.04,49.32,2040700
2020-11-04,49.77,49.77,47.62,47.84,3756100
2020-11-03,49.6,50.95,49.29,50.05,3219500
2020-11-02,47.96,49.21,47.66,48.72,2818569
2020-10-30,45.75,47.4,45.69,47.2,3068200
2020-10-29,45.73,46.39,44.5,45.8,4168400
2020-10-28,48.1,48.6,45.96,46.09,3626600
2020-10-27,52.78,52.98,48.49,48.82,6045388
2020-10-26,52.3,52.33,50.87,51.24,2570186
2020-10-23,52.2,52.78,51.84,52.71,1923197
2020-10-22,51.8,52.0,50.73,51.58,2126400
2020-10-21,51.29,52.16,50.56,51.5,2120400
2020-10-20,51.45,51.56,50.82,51.15,1455000
2020-10-19,52.57,52.61,50.66,50.84,1471703
2020-10-16,52.73,52.91,51.68,52.48,1748300
2020-10-15,52.11,53.03,50.94,52.79,1850400
2020-10-14,52.75,53.555,52.64,53.18,1939748
2020-10-13,53.48,53.855,52.71,52.85,1712284
2020-10-12,53.21,53.83,52.83,53.45,2410280
2020-10-09,53.57,53.72,52.39,52.47,1692819
2020-10-08,52.69,53.2,52.49,53.16,1673292
2020-10-07,51.71,52.51,51.49,52.15,1518300
2020-10-06,52.18,52.75,51.04,51.22,1750300
2020-10-05,51.75,52.445,51.14,51.7,1622432
2020-10-02,48.89,51.6,48.84,51.34,1314294
2020-10-01,49.6,49.91,49.05,49.57,1337917
2020-09-30,49.18,49.98,48.93,49.5,1842500
2020-09-29,49.59,49.93,48.53,48.85,755639
2020-09-28,49.92,50.29,49.48,49.64,1681792
2020-09-25,48.44,49.25,48.14,49.15,0
2020-09-24,48.82,49.57,48.0,48.9,19550
2020-09-23,49.74,50.79,48.7,48.81,0
2020-09-22,49.3,50.03,49.17,49.71,0
2020-09-21,50.82,50.84,48.95,49.25,1154733
2020-09-18,52.58,53.38,51.42,51.55,518900
2020-09-17,53.18,54.13,53.0,53.59,658503
2020-09-16,54.07,55.18,53.645,53.91,885187
2020-09-15,53.74,54.745,53.18,53.71,749437
2020-09-14,52.84,54.56,52.56,53.83,977161
2020-09-11,51.68,52.51,51.51,52.32,604741
2020-09-10,53.06,53.56,51.6,51.8,517940
2020-09-09,53.8,54.155,52.98,53.0,496158
2020-09-08,53.92,54.335,53.34,53.84,814188
2020-09-04,54.7,55.28,53.78,54.08,567103
2020-09-03,54.87,55.95,53.66,54.29,804462
2020-09-02,52.85,54.28,52.84,53.93,906511
2020-09-01,53.59,53.85,53.0,53.02,526168
2020-08-31,54.99,54.99,54.01,54.09,410938
2020-08-28,54.98,55.26,54.32,55.11,540374
2020-08-27,54.19,55.61,54.19,54.97,660856
2020-08-26,53.57,54.0,52.82,53.65,952691
2020-08-25,54.48,54.89,53.21,53.8,365141
2020-08-24,52.57,54.69,52.35,54.49,724918
2020-08-21,52.61,52.96,51.94,52.55,819927
2020-08-20,53.32,53.62,52.84,52.86,419709
2020-08-19,54.03,54.63,53.55,53.73,470915
2020-08-18,53.75,54.58,53.52,54.13,828006
2020-08-17,54.7,54.96,53.51,53.83,1607462
2020-08-14,53.97,55.37,53.95,54.85,583907
2020-08-13,53.91,54.69,53.37,54.32,501934
2020-08-12,56.3,56.3,54.09,54.15,698650
2020-08-11,56.27,57.33,55.6,55.74,851258
2020-08-10,53.44,55.26,53.44,55.01,653487
2020-08-07,53.17,53.3,52.46,53.27,889017
2020-08-06,52.53,53.95,52.46,53.68,1016005
2020-08-05,53.61,53.72,52.56,52.7,1350655
2020-08-04,53.63,54.07,52.98,53.14,704695
2020-08-03,53.84,54.55,53.27,53.7,1406382
2020-07-31,52.68,53.78,52.25,53.73,1411726
2020-07-30,53.26,53.65,52.43,53.26,1369053
2020-07-29,54.6,55.48,53.77,54.01,2712521
2020-07-28,53.0,55.26,52.29,54.66,3404698
2020-07-27,56.12,57.43,55.77,57.07,1617784
2020-07-24,56.61,57.71,55.66,56.56,1072941
2020-07-23,57.03,57.73,55.96,56.33,1381253
2020-07-22,54.355,55.28,54.17,54.98,520222
2020-07-21,54.49,55.41,54.03,54.5,202324
2020-07-20,54.89,55.06,53.1,53.97,256442
2020-07-17,55.98,56.285,55.03,55.69,103664
2020-07-16,55.74,56.98,55.53,56.25,710
2020-07-15,56.0,56.62,55.3,56.23,1740100
2020-07-14,54.4,55.25,53.94,54.86,0
2020-07-13,54.27,55.45,54.18,54.53,0
2020-07-10,51.53,54.32,51.53,53.82,0
2020-07-09,53.44,53.44,50.88,51.66,0
2020-07-08,55.37,55.45,53.15,53.6,7478
2020-07-07,54.65,55.72,54.12,55.71,2533600
2020-07-06,55.62,55.93,54.6,55.26,1346710
2020-07-02,55.53,55.88,54.38,54.61,0
2020-06-30,54.27,55.05,53.89,54.6,2273385
2020-06-26,52.37,52.93,51.25,52.8,1829149
2020-06-25,52.02,53.2,51.07,52.785,2912886
2020-06-24,53.63,53.64,52.015,52.46,711029
2020-06-23,53.645,54.69,53.03,54.1,771562
2020-06-22,53.06,53.37,51.79,52.77,699032
2020-06-19,56.15,56.9209,53.4,53.41,1063949
2020-06-18,54.92,55.7,54.22,55.42,553212
2020-06-17,56.25,56.6,55.19,55.38,404931
2020-06-16,58.12,58.85,55.87,56.37,585997
2020-06-15,53.82,56.9,53.36,56.33,807121
2020-06-12,56.065,57.165,53.89,55.03,543488
2020-06-11,55.1,55.96,54.02,54.45,738524
2020-06-10,60.02,60.02,57.32,58.12,686406
2020-06-09,62.7,62.98,60.24,60.34,598096
2020-06-08,61.53,64.0,61.375,63.91,837492
2020-06-05,59.9,62.87,59.9,60.78,4737400
2020-06-04,56.68,57.91,55.42,57.86,2883500
2020-06-03,56.36,57.4,55.66,57.13,2904100
2020-06-02,56.2,56.29,55.02,55.26,2492800
2020-06-01,54.89,56.41,54.89,55.58,2155000
2020-05-29,54.51,54.95,53.15,54.79,3461800
2020-05-28,57.64,57.81,55.04,55.17,2083800
2020-05-27,55.67,58.05,55.5,57.81,3861700
2020-05-26,53.64,54.53,53.23,54.09,3991500
2020-05-22,51.86,52.66,51.19,51.78,2026800
2020-05-21,52.34,53.27,51.76,51.86,2300300
2020-05-20,52.83,53.5,52.28,52.44,2002100
2020-05-19,52.92,53.38,51.65,52.29,2297300
2020-05-18,53.24,53.98,53.0,53.17,1965400
2020-05-15,49.71,51.29,49.07,50.9,4187600
2020-05-14,48.39,50.41,46.63,50.24,3047600
2020-05-13,51.39,51.54,48.47,49.06,2630200
2020-05-12,53.76,54.21,51.85,51.86,1619100
2020-05-11,54.68,54.68,52.48,53.6,1937700
2020-05-08,54.78,55.43,54.32,55.11,1833700
2020-05-07,54.95,55.67,53.38,53.63,2703300
2020-05-06,54.5,54.76,53.32,54.34,1721800
2020-05-05,54.85,55.34,54.06,54.22,2330000
2020-05-04,54.85,54.9,52.96,54.27,2753900
2020-05-01,56.02,56.32,55.01,55.89,2367800
2020-04-30,59.68,60.05,56.89,57.03,3186500
2020-04-29,57.83,62.57,57.83,61.36,6059600
2020-04-28,54.5,56.98,54.04,56.5,3392600
2020-04-27,52.56,54.77,52.56,54.34,3014600
2020-04-24,51.74,52.37,51.22,52.03,1593600
2020-04-23,50.96,53.38,50.8,51.49,1897700
2020-04-22,52.41,52.68,50.47,50.69,2179500
2020-04-21,52.12,53.03,50.84,51.34,2785600
2020-04-20,53.4,55.38,52.08,53.92,2649700
2020-04-17,54.72,56.31,53.62,54.57,2450700
2020-04-16,52.36,53.3,49.58,53.02,3334900
2020-04-15,53.95,54.34,50.78,51.96,3606500
2020-04-14,56.96,57.02,55.47,55.59,1997800
2020-04-13,56.37,56.53,53.94,55.75,2116600
2020-04-09,55.6,57.66,55.45,56.8,2532400
2020-04-08,54.44,55.15,52.9,54.67,2470600
2020-04-07,56.45,56.75,54.19,54.26,2827200
2020-04-06,51.82,54.05,51.09,53.7,2223700
2020-04-03,51.8,53.27,49.48,49.59,2310600
2020-04-02,51.13,54.1,50.18,52.11,2678700
2020-04-01,52.29,53.19,50.81,51.67,3258600
2020-03-31,55.09,56.2,54.04,54.9,2484900
2020-03-30,51.49,55.5,50.56,54.92,3251600
2020-03-27,54.25,55.92,51.25,51.98,3339800
2020-03-26,52.79,56.59,52.49,56.35,3272000
2020-03-25,51.62,56.68,49.71,52.16,5590100
2020-03-24,51.65,52.34,49.6,51.48,3357600
2020-03-23,48.79,50.46,46.37,48.3,3214800
2020-03-20,55.52,55.58,48.38,49.51,3724200
2020-03-19,55.25,58.55,54.52,54.84,2884200
2020-03-18,55.79,56.44,51.34,56.03,3439800
2020-03-17,58.45,59.89,52.5,59.51,4066400
2020-03-16,56.87,60.74,52.84,57.23,4404900
2020-03-13,59.38,62.94,55.39,62.91,4004800
2020-03-12,58.68,59.6,55.35,56.55,3116800
2020-03-11,62.45,62.88,60.97,62.22,2809900
2020-03-10,62.02,64.23,59.43,64.18,2865900
2020-03-09,62.61,62.62,60.25,60.37,3560800
2020-03-06,66.21,67.53,64.77,65.82,4352400
2020-03-05,69.06,69.28,67.67,68.12,3066500
2020-03-04,70.15,71.11,69.37,70.98,2718400
2020-03-03,70.12,71.74,68.21,69.19,2445500
2020-03-02,69.41,70.47,67.55,70.36,3538400
2020-02-28,67.99,69.71,67.06,69.28,4338700
2020-02-27,70.73,72.01,69.49,69.52,4206900
2020-02-26,74.08,75.12,72.41,72.41,3233200
2020-02-25,76.35,76.44,73.49,74.02,2596900
2020-02-24,76.85,76.9,75.39,76.24,1946700
2020-02-21,78.38,78.57,77.47,78.27,2300300
2020-02-20,78.49,78.99,77.86,78.78,1405000
2020-02-19,78.77,79.07,78.49,78.62,1356000
2020-02-18,78.12,78.73,78.11,78.61,1902500
2020-02-14,79.75,79.75,77.57,78.14,1551900
2020-02-13,78.53,80.02,78.53,79.53,2695400
2020-02-12,78.0,79.29,77.45,78.85,2650800
2020-02-11,79.49,80.25,76.63,77.28,3727800
2020-02-10,75.68,77.01,75.65,77.0,3172400
2020-02-07,76.23,76.45,74.96,75.74,1867300
2020-02-06,78.31,78.94,76.57,76.59,1352800
2020-02-05,77.35,78.29,77.21,77.77,1801500
2020-02-04,76.47,77.13,76.22,76.73,2086000
2020-02-03,75.65,76.82,75.41,75.64,1944000
2020-01-31,76.09,76.36,75.05,75.31,3829200
2020-01-30,75.68,76.11,74.84,75.99,2364200
2020-01-29,76.91,77.0,76.1,76.21,1318500
2020-01-28,77.37,77.58,76.55,76.76,2490300
