datetime,open,high,low,close,volume
2021-01-29,61.16,61.5,60.205,60.43,10886022
2021-01-28,62.55,63.24,61.17,61.22,11164200
2021-01-27,61.4,63.18,61.37,62.55,14787100
2021-01-26,61.06,62.04,60.84,61.8,8185900
2021-01-25,60.38,60.945,59.77,60.9,8227250
2021-01-22,60.94,61.15,59.74,60.36,9896700
2021-01-21,61.65,61.85,60.92,61.21,6943600
2021-01-20,61.37,62.03,61.15,61.56,7024500
2021-01-19,62.1,62.29,61.1,61.29,8903369
2021-01-15,61.6,62.0,61.21,61.78,7531800
2021-01-14,62.07,62.17,61.51,61.6,10258000
2021-01-13,62.32,62.59,61.97,62.06,8298000
2021-01-12,63.0,63.02,62.18,62.42,7758200
2021-01-11,62.95,63.565,62.84,63.03,6097098
2021-01-08,63.18,63.54,62.91,63.38,7750100
2021-01-07,62.85,63.74,62.85,63.07,7382800
2021-01-06,62.27,63.35,61.91,62.57,8684800
2021-01-05,63.68,63.79,62.48,62.96,10999800
2021-01-04,64.69,64.7,63.17,63.75,11249924
2020-12-31,64.34,64.77,64.01,64.69,6928200
2020-12-30,64.8,64.91,64.35,64.4,6189900
2020-12-29,65.25,65.27,64.22,64.46,7768600
2020-12-28,65.41,65.69,64.75,64.87,6349134
2020-12-24,65.05,65.59,64.78,64.96,3796500
2020-12-23,65.26,66.2,65.15,65.3,13073300
2020-12-22,64.56,66.0,64.43,65.15,17136000
2020-12-21,63.89,65.19,63.88,64.48,16944989
2020-12-18,63.48,65.335,63.43,65.08,16665675
2020-12-17,62.99,64.05,62.73,63.61,11976221
2020-12-16,61.87,63.19,61.85,62.78,16117500
2020-12-15,61.06,62.185,60.91,61.87,13350885
2020-12-14,60.83,61.6593,60.69,60.76,15854882
2020-12-11,60.91,61.0,59.42,60.59,13686159
2020-12-10,59.51,59.81,59.04,59.48,14199700
2020-12-09,58.89,59.91,58.8,59.73,12202600
2020-12-08,58.99,59.71,58.22,59.03,12123736
2020-12-07,59.96,60.2,59.63,59.8,11709282
2020-12-04,59.46,60.55,59.27,59.97,9217641
2020-12-03,59.22,59.98,59.06,59.27,9783300
2020-12-02,58.29,59.27,58.14,59.08,9328400
2020-12-01,58.2,59.28,58.01,58.74,11855300
2020-11-30,57.61,58.195,57.2,57.72,26494402
2020-11-27,57.4,57.87,57.15,57.76,5627000
2020-11-25,57.72,57.76,57.26,57.41,6848100
2020-11-24,56.6,57.9,56.36,57.57,10427200
2020-11-23,55.85,56.57,55.77,56.08,8235610
2020-11-20,56.36,56.44,55.68,55.7,8395800
2020-11-19,56.09,56.48,55.56,56.45,9643100
2020-11-18,57.12,57.29,56.24,56.25,8997000
2020-11-17,57.0,57.39,56.81,57.12,5569700
2020-11-16,57.02,57.61,56.875,57.15,6277341
2020-11-13,56.82,57.09,56.5499,56.92,4873475
2020-11-12,57.26,57.49,56.1,56.45,7324000
2020-11-11,57.06,57.63,56.8,57.2,7724400
2020-11-10,56.91,57.24,56.2,56.67,9015900
2020-11-09,58.19,59.08,56.77,56.84,11254153
2020-11-06,56.77,56.98,56.15,56.8,7510400
2020-11-05,57.46,57.65,56.42,56.66,9015800
2020-11-04,58.0,58.09,56.35,56.49,12051800
2020-11-03,57.0,57.5,56.57,56.8,8908800
2020-11-02,56.44,57.47,56.115,56.45,11147794
2020-10-30,55.75,56.64,55.45,56.11,12602300
2020-10-29,55.22,56.755,55.22,56.03,11415894
2020-10-28,56.27,56.6,55.53,55.59,13910600
2020-10-27,57.64,57.98,57.02,57.07,9343014
2020-10-26,58.1,58.48,56.525,57.49,18746605
2020-10-23,59.895,60.16,59.71,59.91,8553167
2020-10-22,59.44,59.87,58.69,59.69,11900600
2020-10-21,59.34,60.12,59.22,59.67,10112000
2020-10-20,59.92,60.33,59.63,59.75,9241200
2020-10-19,60.39,60.7517,59.39,59.62,7798001
2020-10-16,60.71,61.11,60.26,60.29,6070800
2020-10-15,60.27,60.74,60.08,60.52,6251600
2020-10-14,61.24,61.525,60.85,60.96,5604446
2020-10-13,61.36,61.78,60.875,60.96,5490315
2020-10-12,61.24,61.83,61.07,61.46,8273180
2020-10-09,61.15,61.38,60.86,61.14,6107842
2020-10-08,60.79,61.295,60.63,60.89,5802222
2020-10-07,59.77,60.9,59.64,60.59,8689000
2020-10-06,59.51,60.53,59.41,59.51,9741100
2020-10-05,59.44,59.6664,59.09,59.56,6897909
2020-10-02,58.73,59.52,58.51,58.83,6144008
2020-10-01,60.13,60.26,59.45,59.68,5985755
2020-09-30,59.52,60.39,59.37,59.7,11000500
2020-09-29,59.46,60.16,59.4,59.47,5044054
2020-09-28,60.03,60.54,59.47,59.58,9243597
2020-09-25,59.355,59.99,58.96,59.8,7727180
2020-09-24,58.75,59.9,58.3,59.31,8054035
2020-09-23,60.15,60.49,58.9,58.96,12424989
2020-09-22,60.64,60.75,59.46,60.62,11600288
2020-09-21,62.5,62.5999,60.03,60.83,30664661
2020-09-18,59.94,60.27,59.43,59.76,35886515
2020-09-17,59.395,60.6,59.0,60.2,19613324
2020-09-16,61.12,61.39,59.65,60.43,17758835
2020-09-15,60.01,61.6799,59.395,60.945,28158718
2020-09-14,60.86,61.5,59.35,59.46,47126747
2020-09-11,60.81,61.86,56.875,57.0,37913793
2020-09-10,57.435,58.18,56.75,56.8,16994480
2020-09-09,56.07,57.4,55.8601,56.96,11689398
2020-09-08,55.3,55.79,54.87,55.32,13603101
2020-09-04,57.03,57.265,55.155,55.74,13117740
2020-09-03,58.67,58.98,56.65,57.1,13742360
2020-09-02,57.805,59.32,57.72,59.03,12477085
2020-09-01,57.355,58.005,57.09,57.67,8400009
2020-08-31,57.19,57.76,57.035,57.17,9137164
2020-08-28,57.35,58.16,57.205,57.87,7426647
2020-08-27,57.47,58.44,56.59,57.18,14697558
2020-08-26,56.3,57.49,56.059,57.49,9199911
2020-08-25,56.18,56.75,56.04,56.09,5836012
2020-08-24,55.73,56.1023,55.44,56.01,6235306
2020-08-21,55.24,55.36,54.73,55.22,7284743
2020-08-20,55.61,55.81,55.09,55.26,9990153
2020-08-19,55.65,56.8,55.46,56.19,15149193
2020-08-18,55.61,56.9227,54.87,55.18,20080346
2020-08-17,54.19,54.39,53.66,53.99,7947824
2020-08-14,54.2,54.555,53.77,54.2,4290993
2020-08-13,54.01,54.1919,53.68,54.03,7259861
2020-08-12,54.48,54.64,53.97,54.18,7275327
2020-08-11,55.22,55.46,54.135,54.29,7258674
2020-08-10,55.3,55.62,54.88,54.92,8172411
2020-08-07,55.01,55.24,54.755,55.24,7917209
2020-08-06,55.4,55.59,54.935,55.29,6887111
2020-08-05,56.31,56.31,55.375,55.51,5265089
