datetime,open,high,low,close,volume
2021-01-29,65.11,65.99,63.45,64.65,9660122
2021-01-28,62.6,64.82,62.33,63.83,3235000
2021-01-27,62.68,63.01,61.28,62.24,3241300
2021-01-26,64.6,65.09,62.27,63.51,2742100
2021-01-25,64.0,64.61,62.0,64.22,4205612
2021-01-22,63.52,65.21,63.2,64.88,3546500
2021-01-21,65.24,65.24,63.45,63.52,3945200
2021-01-20,65.8,66.5,64.89,65.19,1737200
2021-01-19,66.0,66.45,64.92,65.37,2351095
2021-01-15,64.81,65.69,63.51,65.53,1841100
2021-01-14,64.2,65.37,63.8,64.94,3088300
2021-01-13,65.19,65.535,63.85,63.97,3167800
2021-01-12,66.27,66.8,65.07,65.23,1722000
2021-01-11,66.22,66.79,65.81,66.36,1489476
2021-01-08,67.47,67.97,65.85,66.83,1914000
2021-01-07,67.3,67.955,66.845,67.78,1527100
2021-01-06,65.82,67.33,65.25,66.91,1596000
2021-01-05,65.82,66.42,64.759,65.1,1366100
2021-01-04,67.55,68.02,65.55,65.59,2526921
2020-12-31,66.86,67.69,66.57,67.55,1238200
2020-12-30,65.79,66.83,65.79,66.72,1081800
2020-12-29,66.31,66.6,65.13,65.69,1008400
2020-12-28,66.18,66.6,65.54,66.0,773742
2020-12-24,65.45,65.98,65.29,65.79,992100
2020-12-23,65.49,66.24,65.3,65.63,972500
2020-12-22,65.84,65.99,65.095,65.41,1151500
2020-12-21,64.94,66.48,64.6,66.15,1524333
2020-12-18,65.99,66.185,64.54,65.61,1501383
2020-12-17,65.75,66.32,65.5,65.77,1478163
2020-12-16,64.93,65.33,64.34,65.24,1760600
2020-12-15,62.99,65.59,62.96,64.75,1511656
2020-12-14,64.49,64.49,62.52,62.78,1323586
2020-12-11,63.72,63.88,62.95,63.76,1370166
2020-12-10,65.21,66.14,63.85,64.0,2056600
2020-12-09,65.75,66.21,65.19,65.49,1667500
2020-12-08,64.8,66.15,64.71,66.11,1284240
2020-12-07,64.98,65.31,64.01,64.85,1832108
2020-12-04,65.685,66.043,64.88,65.16,1497340
2020-12-03,65.77,66.85,65.36,65.49,1061900
2020-12-02,66.92,67.27,65.56,65.69,1379600
2020-12-01,67.42,68.16,66.77,66.83,2928100
2020-11-30,66.84,67.7,66.38,66.94,1670390
2020-11-27,67.42,68.21,66.91,67.34,453793
2020-11-25,67.44,67.47,66.42,67.38,1125400
2020-11-24,68.04,68.04,66.88,67.4,4738800
2020-11-23,66.64,67.53,66.55,67.25,1842637
2020-11-20,66.09,66.74,66.0,66.32,1811200
2020-11-19,66.63,67.19,65.6,66.16,1797300
2020-11-18,67.455,67.98,66.51,66.62,1721410
2020-11-17,67.16,67.95,66.305,67.2,1464000
2020-11-16,66.22,67.64,65.68,67.39,2296651
2020-11-13,66.335,66.74,65.23,65.58,1158583
2020-11-12,66.18,66.46,65.42,65.99,1774700
2020-11-11,65.86,66.33,64.74,66.12,1319500
2020-11-10,63.38,65.918,63.32,65.74,2174600
2020-11-09,67.0,67.29,63.43,63.5,2420051
2020-11-06,62.97,63.81,62.67,63.58,1145800
2020-11-05,63.32,63.95,62.59,62.63,1495700
2020-11-04,62.68,63.645,61.95,62.3,2042700
2020-11-03,62.93,63.85,62.08,62.71,1545600
2020-11-02,62.19,62.77,61.09,62.14,1779786
2020-10-30,60.35,61.3,59.8,61.28,2036100
2020-10-29,58.89,61.19,58.8,60.79,2122600
2020-10-28,61.01,61.26,58.77,58.99,2570900
2020-10-27,63.22,63.24,61.86,61.97,1606429
2020-10-26,63.84,63.89,61.37,63.21,2837449
2020-10-23,63.61,64.01,63.13,63.46,1947078
2020-10-22,63.99,63.99,62.98,63.24,3866000
2020-10-21,64.25,64.83,63.71,63.72,1080400
2020-10-20,64.68,65.74,64.34,64.39,720000
2020-10-19,64.9,65.44,64.08,64.36,892919
2020-10-16,65.3,65.81,64.81,65.03,1047500
2020-10-15,64.67,65.435,64.01,65.2,982100
2020-10-14,65.405,66.0,64.55,65.63,1179223
2020-10-13,65.26,65.8,64.6156,65.15,1104992
2020-10-12,65.85,65.985,65.17,65.69,1142875
2020-10-09,65.06,65.67,64.3,65.35,862376
2020-10-08,64.72,65.51,64.48,64.75,937274
2020-10-07,64.63,65.62,64.375,65.05,1648100
2020-10-06,64.43,65.0,63.485,63.83,2107000
2020-10-05,63.74,64.63,63.235,64.54,1397453
2020-10-02,61.51,63.4317,61.51,63.17,1184312
2020-10-01,63.04,64.22,61.76,62.37,1925874
2020-09-30,62.71,63.6,61.95,62.42,2492600
2020-09-29,62.37,62.76,61.88,62.39,1034437
2020-09-28,62.27,62.88,61.9,62.51,1207871
2020-09-25,61.57,62.35,61.21,61.55,1290534
2020-09-24,60.46,62.75,60.46,62.08,2105526
2020-09-23,60.96,61.755,60.2,60.42,1418697
2020-09-22,59.32,61.12,59.32,60.95,1510971
2020-09-21,60.0,60.22,58.67,59.41,1894705
2020-09-18,61.09,62.63,60.42,60.88,2291017
2020-09-17,58.74,61.09,58.04,61.05,1665209
2020-09-16,60.635,60.99,59.4,59.815,2007523
2020-09-15,60.06,61.62,60.06,60.3,1421814
2020-09-14,60.49,60.49,59.0667,59.99,1765582
2020-09-11,60.29,60.71,59.775,60.13,1892465
2020-09-10,61.91,61.97,59.73,59.89,3484739
2020-09-09,61.025,62.53,61.01,62.09,1410443
2020-09-08,61.08,61.75,60.46,60.69,1845567
2020-09-04,62.32,62.555,60.43,61.49,2233151
2020-09-03,64.91,65.35,61.07,61.85,2787330
2020-09-02,64.13,65.56,63.88,65.3,1570055
2020-09-01,62.47,64.28,62.325,64.06,2059212
2020-08-31,63.62,63.84,62.84,62.87,1221237
2020-08-28,63.19,63.63,62.65,63.6,893564
2020-08-27,64.46,64.9,63.17,63.26,1132209
2020-08-26,64.2128,64.77,63.7477,64.19,924357
2020-08-25,64.09,64.8,63.905,64.29,1385072
2020-08-24,63.8214,64.23,63.04,63.82,1341757
2020-08-21,63.15,63.74,62.59,63.63,1535120
2020-08-20,62.29,63.245,61.815,62.98,1083145
2020-08-19,63.57,63.59,62.59,62.92,1250960
2020-08-18,63.9137,64.4,63.39,63.45,1347050
2020-08-17,64.38,64.53,63.71,64.01,1605813
2020-08-14,63.74,64.51,63.65,64.125,940000
2020-08-13,64.68,64.86,63.83,64.01,879545
2020-08-12,64.99,65.47,64.2301,64.87,1316544
2020-08-11,65.56,65.95,64.33,64.36,2427497
2020-08-10,64.35,65.29,64.35,65.23,1171031
2020-08-07,63.48,64.47,63.21,64.43,1043519
2020-08-06,62.89,63.52,62.89,63.48,1349943
2020-08-05,62.65,63.65,62.34,63.09,2107790
2020-08-04,62.88,62.9,61.97,62.65,1384935
