datetime,open,high,low,close,volume
2021-01-29,20.66,21.38,19.73,20.06,17410911
2021-01-28,20.8,21.49,20.23,20.95,16420200
2021-01-27,19.99,21.66,19.46,20.58,25656000
2021-01-26,21.9,22.42,20.35,20.38,19099800
2021-01-25,21.0,21.62,20.67,21.51,14859367
2021-01-22,20.67,21.6,20.26,21.49,17630000
2021-01-21,22.91,22.99,21.44,21.54,19306300
2021-01-20,23.27,23.53,22.75,23.02,14703600
2021-01-19,23.05,23.75,22.87,23.07,21931362
2021-01-15,23.45,23.71,22.36,22.39,24590500
2021-01-14,22.84,24.6,22.62,24.24,29828500
2021-01-13,22.69,22.78,22.13,22.33,19518000
2021-01-12,20.59,22.79,20.27,22.62,37267500
2021-01-11,19.25,20.18,19.0,20.08,14275933
2021-01-08,20.88,21.03,19.87,20.08,18259000
2021-01-07,20.21,21.15,20.03,20.57,24277800
2021-01-06,19.52,20.28,18.97,20.0,37114300
2021-01-05,17.8,19.95,17.65,19.21,37251300
2021-01-04,17.75,17.9799,17.32,17.45,18294196
2020-12-31,17.81,17.92,17.3,17.31,15181700
2020-12-30,17.21,18.14,17.14,17.91,16472700
2020-12-29,17.59,17.79,17.09,17.24,18054000
2020-12-28,17.72,18.11,17.35,17.4,14008452
2020-12-24,18.13,18.13,17.4,17.67,9158313
2020-12-23,17.13,18.39,17.05,17.89,23975500
2020-12-22,17.5,17.57,16.88,16.92,21507600
2020-12-21,17.01,18.03,16.94,17.47,29115509
2020-12-18,19.1,19.48,18.45,18.52,20743588
2020-12-17,19.66,19.775,19.1,19.1864,16298164
2020-12-16,19.77,19.88,19.24,19.45,17036000
2020-12-15,19.71,20.18,18.8202,19.837,24927256
2020-12-14,21.43,21.65,19.08,19.17,35039599
2020-12-11,21.2007,21.35,20.35,20.89,29163240
2020-12-10,19.4,21.61,19.3,21.31,52056300
2020-12-09,19.65,20.4,18.82,19.39,44602200
2020-12-08,17.86,19.3044,17.82,19.12,30662360
2020-12-07,17.83,18.68,17.55,18.19,30276234
2020-12-04,16.88,18.61,16.88,18.58,49889593
