datetime,open,high,low,close,volume
2021-01-29,383.73999,386.495,373.69,379.73999,328673
2021-01-28,380.23001,395.0,380.14001,386.79001,402800
2021-01-27,383.62,387.85001,374.34,376.45999,632600
2021-01-26,409.84,410.435,390.45999,392.19,463800
2021-01-25,412.70999,416.35001,399.01001,410.22,362291
2021-01-22,404.25,410.95001,402.53,409.79999,266600
2021-01-21,410.13,412.26001,403.14999,404.53,249600
2021-01-20,399.60001,410.54001,395.73001,408.76999,821600
2021-01-19,400.0,403.29001,394.22,397.32999,668055
2021-01-15,415.10999,415.67001,398.85999,399.0,544900
2021-01-14,418.23001,423.63699,410.66,412.98999,363400
2021-01-13,422.97,424.19,413.82999,415.54999,318700
2021-01-12,427.29000999999994,427.76000999999997,415.70001,420.79999000000004,419100
2021-01-11,436.72,436.72,426.62,427.16,234327
2021-01-08,437.10999000000004,449.0,434.67001,441.13,357100
2021-01-07,418.12,433.26999000000006,418.12,431.73999000000003,352400
2021-01-06,421.0,425.17001,411.13,413.89001,514000
2021-01-05,423.48000999999994,433.51999000000006,421.0,426.88,474600
2021-01-04,450.0,450.16,421.72,427.73000999999994,489499
2020-12-31,447.09,453.75,444.76999000000006,452.25,367800
2020-12-30,452.62,452.62,446.17999000000003,447.91,520000
2020-12-29,464.0,464.64999000000006,445.73499000000004,447.59,362800
2020-12-28,468.0,468.17999000000003,455.26000999999997,463.59,300367
2020-12-24,464.0,465.0,458.0,462.22,55383
2020-12-23,465.85000999999994,471.07999,460.56,464.37,333900
2020-12-22,448.04000999999994,466.54000999999994,446.04999000000004,465.13,508200
2020-12-21,435.69,449.76999000000006,431.20000999999996,445.59,336020
2020-12-18,442.0,442.87,433.73999000000003,439.78,409521
2020-12-17,423.57500999999996,442.25,423.29000999999994,441.81,451301
2020-12-16,425.29999000000004,430.14000999999996,423.28,423.29000999999994,364800
2020-12-15,429.04000999999994,434.72,424.39000999999996,424.89000999999996,390021
2020-12-14,426.44,430.0,419.17999,425.98000999999994,317025
2020-12-11,421.37,430.16250999999994,419.92999000000003,424.48000999999994,249890
2020-12-10,420.0,430.20999000000006,414.66501,426.98999000000003,417200
2020-12-09,437.42999000000003,441.01000999999997,420.23000999999994,421.66,340000
2020-12-08,435.38,441.48499000000004,433.37,440.63,265594
2020-12-07,436.25,442.85000999999994,433.14000999999996,437.0,264499
2020-12-04,433.49080999999995,439.73000999999994,430.45000999999996,437.59,318655
2020-12-03,419.75,437.0,419.75,428.48000999999994,336700
2020-12-02,409.38,421.10000999999994,404.92999,419.60000999999994,252900
2020-12-01,419.26999,422.0,411.82001,415.70999,274100
2020-11-30,415.42999,422.5,405.01001,417.07999,350612
2020-11-27,410.17001,418.06,410.17001,416.76999,155900
2020-11-25,400.39999,409.14999,399.62,407.185,252149
2020-11-24,407.41,407.41,396.0,400.48001,230700
2020-11-23,395.78,405.91,393.0,402.48999,256261
2020-11-20,390.45001,400.64999,386.81,392.70999,252100
2020-11-19,383.10999,393.17001,379.97,392.64001,278600
2020-11-18,380.60001,387.69,376.67001,379.98001,195634
2020-11-17,379.04999,384.0,372.81,381.66,191900
2020-11-16,381.98999,385.73999,376.31,379.32999,248057
2020-11-13,384.14499,386.89999,375.85001,381.48999,210092
2020-11-12,382.82001,393.04999,378.28,379.98001,297500
2020-11-11,387.51001,394.5,380.44,381.45999,337200
2020-11-10,400.17999,402.92001,372.64499,377.67999,570600
2020-11-09,396.01001,419.98000999999994,395.14001,405.04999,688311
2020-11-06,372.75,390.64001,365.06,388.12,471600
2020-11-05,393.87,399.75,368.759,373.26001,849700
2020-11-04,380.0,397.84,380.0,397.42999,608700
2020-11-03,366.0,372.62,363.48001,369.14001,328600
2020-11-02,364.09,371.47501,354.47,360.60001,424196
2020-10-30,370.48001,370.82401,356.59,364.09,298000
2020-10-29,372.17001,377.88,371.26999,373.09,319700
2020-10-28,373.89999,375.67499,367.45999,371.54999,341900
2020-10-27,382.25,386.98001,380.29999,382.70001,243463
2020-10-26,382.14001,383.72501,371.715,378.42001,280726
2020-10-23,380.535,388.98001,377.48999,388.82999,313940
2020-10-22,377.03,381.07999,366.42999,377.32999,336600
2020-10-21,396.0,397.51001,375.31,376.07001,389200
2020-10-20,383.14001,393.01999,383.14001,384.67999,261900
2020-10-19,386.41,389.84,378.64999,383.12,319136
2020-10-16,379.0,385.01999,377.53,381.79999,267200
2020-10-15,365.13,378.259,362.0,375.91,273600
2020-10-14,377.22,379.32999,368.73001,372.94,233738
2020-10-13,366.67001,376.39001,365.16019,373.92001,384047
2020-10-12,368.48001,370.32001,358.07001,366.84,413979
2020-10-09,361.01001,368.23999,361.01001,366.14999,485629
2020-10-08,351.89999,361.92001,351.89999,359.97,432398
2020-10-07,341.98999,353.14999,335.60999,351.82999,573700
2020-10-06,342.38,346.14999,335.29999,339.28,713500
2020-10-05,331.89001,344.64999,327.01999,342.87,632108
2020-10-02,321.28,335.17999,321.28,331.53,714370
2020-10-01,315.19,321.29001,313.535,320.45999,609737
2020-09-30,302.35001,312.72,301.285,311.29999,904100
