datetime,open,high,low,close,volume
2021-01-29,87.99,87.99,86.28,87.32,2248604
2021-01-28,88.03,90.13,87.9,89.09,3322200
2021-01-27,86.19,88.17,85.3,87.28,3793300
2021-01-26,87.26,88.03,86.56,87.33,1663600
2021-01-25,86.6,87.3,85.63,86.96,1969943
2021-01-22,87.23,87.49,86.37,86.87,1730300
2021-01-21,89.02,89.37,87.25,87.55,1469300
2021-01-20,87.8,89.63,87.8,89.32,1633300
2021-01-19,88.69,89.19,88.05,88.34,1722343
2021-01-15,87.56,88.51,86.95,88.37,1658400
2021-01-14,89.66,89.8,87.9,88.07,1657800
2021-01-13,90.28,90.46,89.37,89.56,2240000
2021-01-12,90.78,91.08,89.52,90.72,1135300
2021-01-11,91.54,91.94,90.5894,91.0,929558
2021-01-08,91.47,92.5,91.24,92.02,1236300
2021-01-07,90.99,91.89,90.52,91.53,1649800
2021-01-06,89.99,92.04,89.55,91.15,1849700
2021-01-05,90.44,90.73,89.51,90.02,1258700
2021-01-04,93.2135,93.52,89.24,90.36,2039465
2020-12-31,92.3,93.42,91.76,93.18,1343800
2020-12-30,93.33,94.02,91.69,92.14,1702600
2020-12-29,94.99,94.99,92.91,93.14,923800
2020-12-28,95.63,95.76,93.75,94.3,1132748
2020-12-24,94.9,95.0084,93.38,94.71,826175
2020-12-23,99.5,99.95,94.32,94.4,3367400
2020-12-22,96.42,97.19,96.36,96.63,2146700
2020-12-21,95.64,97.17,94.99,96.59,2159793
2020-12-18,96.13,97.13,95.77,97.03,1202188
2020-12-17,94.87,95.75,94.33,95.63,1160341
2020-12-16,93.43,94.84,92.44,94.47,2836600
2020-12-15,91.68,93.55,91.01,93.53,1411356
2020-12-14,92.47,93.18,91.29,91.33,1112904
2020-12-11,91.1,91.89,90.73,91.82,1208376
2020-12-10,92.43,92.59,91.2,91.34,1888100
2020-12-09,93.31,93.62,92.55,93.22,1518700
2020-12-08,93.72,93.765,92.76,93.33,707142
2020-12-07,93.93,94.23,93.15,93.55,1107031
2020-12-04,93.58,94.55,92.98,94.48,705939
2020-12-03,92.35,93.76,92.35,93.3,952600
2020-12-02,93.53,93.62,92.28,92.82,1417200
2020-12-01,93.74,93.96,93.01,93.58,1369000
2020-11-30,93.01,93.37,91.7,93.15,1567984
2020-11-27,93.06,93.6,92.75,93.37,557000
2020-11-25,94.0,94.0,92.59,93.12,921800
2020-11-24,92.38,93.81,91.62,93.73,1716600
2020-11-23,91.52,92.14,90.9,91.97,1697514
2020-11-20,92.07,92.07,90.59,90.64,1230500
2020-11-19,91.69,92.22,90.9,92.08,1166600
2020-11-18,92.18,93.07,91.82,91.95,1303392
2020-11-17,92.09,92.64,91.52,92.5,1584500
2020-11-16,92.46,93.32,91.9783,93.13,1347580
2020-11-13,91.0,91.99,90.44,91.88,750704
2020-11-12,91.65,91.97,89.86,90.39,1205200
2020-11-11,91.79,92.16,90.85,91.55,1073900
2020-11-10,89.44,92.69,89.44,91.29,1596700
2020-11-09,93.26,94.905,90.55,90.59,2402746
2020-11-06,86.84,88.38,86.54,88.02,1146100
2020-11-05,87.12,87.84,86.11,86.6,1477600
2020-11-04,89.32,89.48,85.32,85.49,2410700
2020-11-03,83.99,87.08,83.99,86.54,1623600
2020-11-02,83.19,84.12,82.41,83.3,1446645
2020-10-30,81.12,82.34,81.04,82.25,1864900
2020-10-29,79.86,83.21,79.63,82.45,1477000
2020-10-28,80.58,81.76,79.95,80.15,1598300
2020-10-27,82.63,83.18,81.765,81.93,771738
2020-10-26,83.55,84.01,81.8,82.48,1389587
2020-10-23,84.06,85.12,84.06,85.03,895577
2020-10-22,82.7,84.2,82.26,83.99,1168200
2020-10-21,82.34,83.18,82.0,82.62,1186900
2020-10-20,82.41,83.35,81.66,82.28,991300
2020-10-19,83.81,84.31,81.63,81.93,1401866
2020-10-16,83.76,84.65,83.39,83.73,1346100
2020-10-15,83.46,83.97,82.58,83.28,1315200
2020-10-14,83.1363,84.73,83.1363,84.35,1501197
2020-10-13,83.34,83.67,82.61,83.01,1271422
2020-10-12,83.22,83.64,82.41,83.01,1427225
2020-10-09,82.56,82.98,81.6,82.42,1023095
2020-10-08,82.43,83.43,81.56,82.01,1535051
2020-10-07,80.43,81.16,80.17,80.52,1940600
2020-10-06,80.68,82.85,79.07,79.43,3436200
2020-10-05,80.14,81.79,79.97,81.45,2556374
2020-10-02,78.1781,79.9899,78.0,79.42,1950869
2020-10-01,79.8595,80.95,78.7,79.36,1209581
2020-09-30,79.26,80.44,79.03,79.77,2044000
2020-09-29,79.54,80.02,78.9,79.16,1356478
2020-09-28,78.77,79.83,78.77,79.58,1457982
2020-09-25,75.49,77.95,75.32,77.7,1034148
2020-09-24,75.87,76.85,75.08,75.88,1133546
2020-09-23,77.6872,78.07,75.7,76.07,1533337
2020-09-22,77.38,77.77,76.5403,77.61,988794
2020-09-21,77.57,77.77,75.61,76.75,1199508
2020-09-18,79.77,79.93,77.92,78.56,1881009
