datetime,open,high,low,close,volume
2021-01-29,13.85,14.02,13.5916,13.66,18556751
2021-01-28,14.31,14.37,13.89,13.9,6488700
2021-01-27,14.19,14.54,14.1,14.12,7030400
2021-01-26,14.43,14.6,14.27,14.45,4781300
2021-01-25,14.01,14.49,13.85,14.39,6536641
2021-01-22,14.22,14.39,13.8,14.04,6159000
2021-01-21,14.55,14.55,14.12,14.15,4990700
2021-01-20,14.61,14.62,14.33,14.45,4027600
2021-01-19,14.49,14.66,14.315,14.63,5663756
2021-01-15,14.46,14.53,14.2,14.42,5702600
2021-01-14,14.61,14.73,14.34,14.7,3528000
2021-01-13,14.45,14.45,14.09,14.3,3533600
2021-01-12,14.26,14.7,14.22,14.45,3783900
2021-01-11,13.83,14.2,13.74,14.13,3511236
2021-01-08,14.11,14.15,13.79,14.04,5625200
2021-01-07,14.21,14.49,14.15,14.16,5448100
2021-01-06,13.3,14.18,13.26,14.0,6663200
2021-01-05,12.88,13.04,12.74,12.88,3599900
2021-01-04,13.0269,13.05,12.665,12.87,3845372
2020-12-31,12.94,12.98,12.75,12.93,2887500
2020-12-30,12.74,12.96,12.68,12.95,2595500
2020-12-29,13.02,13.03,12.63,12.68,3189000
2020-12-28,13.01,13.16,12.865,13.0,2673368
2020-12-24,12.95,12.96,12.68,12.89,1379220
2020-12-23,12.67,12.97,12.64,12.93,2899900
2020-12-22,12.88,12.92,12.56,12.56,2740200
2020-12-21,12.77,12.895,12.615,12.8,3718113
2020-12-18,12.92,13.01,12.645,12.77,3497641
2020-12-17,13.16,13.16,12.785,12.9,3207672
2020-12-16,13.18,13.22,12.94,13.03,3508100
2020-12-15,13.17,13.22,12.96,13.15,2604278
2020-12-14,13.3,13.31,12.96,13.01,3197852
2020-12-11,13.0637,13.17,12.96,13.02,1906565
2020-12-10,13.07,13.25,13.01,13.2,2412000
2020-12-09,13.3,13.34,13.03,13.2,3364900
2020-12-08,13.15,13.33,13.041,13.16,2778311
2020-12-07,13.11,13.445,12.8917,13.34,5321710
2020-12-04,13.0,13.26,12.91,13.23,3543306
2020-12-03,12.99,13.01,12.74,12.89,2976900
2020-12-02,12.7,13.01,12.65,12.93,3488800
2020-12-01,12.68,12.98,12.57,12.8,5432100
2020-11-30,12.8138,12.9,12.36,12.4,30514671
2020-11-27,13.08,13.17,12.685,12.86,4453097
2020-11-25,13.28,13.29,12.94,13.21,3586600
2020-11-24,13.28,13.58,13.26,13.52,4434800
2020-11-23,12.93,13.035,12.775,12.99,4532291
2020-11-20,12.78,12.87,12.62,12.73,5783000
2020-11-19,12.9,12.93,12.59,12.86,7981400
2020-11-18,13.27,13.39,12.97,12.97,2399153
2020-11-17,13.04,13.2,12.81,13.15,3214000
2020-11-16,13.3197,13.375,12.994,13.3,4963665
2020-11-13,12.35,12.74,12.32,12.67,3873124
2020-11-12,12.36,12.62,11.93,12.15,5466100
2020-11-11,13.01,13.02,12.44,12.59,6055500
2020-11-10,12.82,13.21,12.55,12.96,6100000
2020-11-09,11.4498,13.04,11.24,12.77,12165285
2020-11-06,11.07,11.1,10.44,10.49,6543000
2020-11-05,10.61,11.07,10.61,11.01,3970600
2020-11-04,11.21,11.25,10.56,10.57,6542500
2020-11-03,11.52,11.64,11.36,11.58,4307500
2020-11-02,10.85,11.31,10.62,11.31,7623516
2020-10-30,10.58,10.76,10.52,10.67,15145500
2020-10-29,10.57,10.84,10.38,10.75,5492200
