datetime,open,high,low,close,volume
2021-01-29,92.84,93.7372,89.7,91.22,3065530
2021-01-28,97.44,98.9,93.47,93.55,2567000
2021-01-27,96.65,98.53,95.08,96.4,3187400
2021-01-26,95.87,98.15,94.09,97.81,3101300
2021-01-25,101.0,101.79,97.66,97.935,3080457
2021-01-22,98.05,100.75,97.32,98.85,3447200
2021-01-21,92.92,103.19,91.88,98.74,8088100
2021-01-20,91.89,92.95,89.2,89.39,2642700
2021-01-19,88.165,89.58,88.165,89.21,1183357
2021-01-15,88.73,88.73,86.38,88.16,1206800
2021-01-14,89.0,89.88,88.74,89.26,918100
2021-01-13,89.74,89.9,88.13,88.95,1157600
2021-01-12,88.45,89.66,87.67,89.46,963900
2021-01-11,87.52,88.27,87.065,88.22,803369
2021-01-08,88.67,88.95,86.6,87.8,1267500
2021-01-07,87.79,89.83,87.7,88.4,1570100
2021-01-06,85.72,89.93,85.37,88.81,2035300
2021-01-05,84.71,85.68,84.23,85.45,1151500
2021-01-04,86.61,87.37,84.27,84.72,1565239
2020-12-31,85.55,86.35,85.33,86.28,860400
2020-12-30,85.58,86.08,85.17,85.87,561600
2020-12-29,86.01,86.4,84.3,85.32,850900
2020-12-28,86.74,86.98,85.38,85.58,570489
2020-12-24,85.4,86.2,85.13,86.11,362908
2020-12-23,85.02,85.5,84.68,85.09,951400
2020-12-22,85.69,85.7,84.66,84.87,917000
2020-12-21,84.7,86.155,84.065,85.85,1190782
2020-12-18,86.27,86.57,85.0,86.03,1004926
2020-12-17,86.48,86.86,85.16,85.76,1392561
2020-12-16,86.92,87.58,86.6,86.89,1412700
2020-12-15,85.85,87.52,85.69,87.28,1358104
2020-12-14,85.6666,86.43,84.38,84.46,1051687
2020-12-11,84.95,85.93,84.79,85.46,833663
2020-12-10,86.74,87.14,85.51,85.75,1020200
2020-12-09,86.41,87.59,86.11,87.38,1717600
2020-12-08,86.16,86.86,86.11,86.4,628365
2020-12-07,86.41,86.81,85.75,86.31,1571886
2020-12-04,86.33,87.39,85.7,86.7,1364700
2020-12-03,87.09,87.55,86.08,86.25,2070300
2020-12-02,87.0,88.0,86.52,87.15,1260800
2020-12-01,87.95,88.88,87.26,87.28,1420000
2020-11-30,87.24,87.88,86.37,87.06,2093086
2020-11-27,88.85,89.68,87.57,87.74,590400
2020-11-25,90.59,90.77,88.55,88.82,1304700
2020-11-24,88.83,90.82,88.83,90.41,1650700
2020-11-23,90.73,90.73,88.52,89.56,1013136
2020-11-20,88.15,89.8,87.76,88.78,1660300
2020-11-19,89.28,90.23,88.02,90.04,1022200
2020-11-18,88.385,90.95,88.385,89.82,776034
2020-11-17,89.39,89.39,88.03,88.82,1070500
2020-11-16,90.6,90.95,88.01,89.92,1353210
2020-11-13,89.83,90.18,89.03,89.92,936343
2020-11-12,89.75,90.15,88.42,88.99,1322800
2020-11-11,91.74,91.89,89.62,90.17,1495100
2020-11-10,89.89,92.61,89.69,91.12,2024800
2020-11-09,95.0,95.82,90.43,90.6,2453948
2020-11-06,91.63,91.63,89.67,90.09,1131200
2020-11-05,89.2,91.31,88.09,90.61,1216700
2020-11-04,92.72,93.3,88.61,88.75,1521400
2020-11-03,90.09,92.33,89.53,91.78,1640900
2020-11-02,86.65,88.91,86.38,88.83,1437947
2020-10-30,85.05,85.88,84.37,85.38,1357800
2020-10-29,84.65,86.58,84.22,85.67,1261700
2020-10-28,86.79,87.52,84.89,84.89,1855100
2020-10-27,91.17,91.39,88.37,88.42,982444
2020-10-26,91.26,91.415,89.49,90.57,1671554
2020-10-23,92.07,92.96,91.735,92.65,1185272
2020-10-22,92.02,92.48,90.6,91.69,1730100
2020-10-21,90.09,91.78,90.02,90.91,2538600
2020-10-20,91.38,92.0,89.0,90.34,3928900
2020-10-19,89.97,91.6,89.97,91.06,2596213
2020-10-16,89.61,91.33,87.95,89.94,1918200
2020-10-15,87.98,89.24,87.86,89.16,928000
2020-10-14,88.26,90.0,88.26,89.0,830901
2020-10-13,88.94,89.89,87.6,88.54,1321206
2020-10-12,90.22,90.23,89.13,89.78,1746328
2020-10-09,89.94,90.95,88.83,89.22,1583312
2020-10-08,89.61,89.9599,88.66,89.95,654869
2020-10-07,88.77,90.0,88.37,89.89,1060100
2020-10-06,88.08,89.85,87.45,87.68,1253200
2020-10-05,85.93,88.43,85.7,88.09,1195850
2020-10-02,83.37,85.84,82.85,85.02,815045
2020-10-01,86.01,86.22,83.565,84.48,832623
