datetime,open,high,low,close,volume
2021-01-29,30.01,30.245,29.16,29.66,1020833
2021-01-28,29.18,30.41,29.13,30.01,3633300
2021-01-27,29.89,30.2,29.05,29.17,3108100
2021-01-26,30.42,30.7,29.9,30.13,2240200
2021-01-25,30.14,30.86,29.9525,30.39,3271872
2021-01-22,29.8,30.26,29.71,30.18,2603000
2021-01-21,29.9,29.98,29.56,29.93,2933000
2021-01-20,29.2,30.31,29.06,30.16,3568000
2021-01-19,29.95,29.99,28.96,29.15,3799618
2021-01-15,29.76,30.0,29.48,29.96,2729100
2021-01-14,29.51,30.11,29.34,29.85,3700600
2021-01-13,28.65,29.45,28.64,29.44,2144500
2021-01-12,28.36,28.69,28.15,28.61,3116900
2021-01-11,28.59,28.77,28.305,28.47,3240264
2021-01-08,28.51,28.61,28.18,28.59,2600500
2021-01-07,28.99,29.06,28.16,28.42,4670100
2021-01-06,29.2,29.41,28.85,29.2,4370500
2021-01-05,29.01,29.34,28.93,29.09,2522100
2021-01-04,30.17,30.32,28.88,28.89,3498390
2020-12-31,29.86,30.27,29.49,30.23,1754100
2020-12-30,29.85,30.27,29.7,29.86,1639600
2020-12-29,30.04,30.14,29.57,29.76,1643200
2020-12-28,29.82,29.93,29.55,29.92,1384508
2020-12-24,29.57,29.83,29.35,29.76,498000
2020-12-23,29.8,29.99,29.49,29.52,2798200
2020-12-22,29.46,29.74,29.27,29.67,2492800
2020-12-21,29.3,29.63,29.0,29.38,2874441
2020-12-18,30.5,30.6,29.5211,29.82,2768718
2020-12-17,30.565,30.565,29.915,30.49,2472068
2020-12-16,30.0,30.44,29.82,30.38,4308800
2020-12-15,29.085,29.95,28.96,29.95,2046835
2020-12-14,29.22,29.54,28.85,28.88,3052616
2020-12-11,29.28,29.75,29.125,29.32,2905705
2020-12-10,30.12,30.46,29.45,29.54,5650900
2020-12-09,30.91,30.91,30.15,30.49,4813200
2020-12-08,30.71,31.13,30.71,30.89,2900392
2020-12-07,30.54,31.125,30.43,30.74,2535426
2020-12-04,30.18,30.69,30.13,30.6,2830668
2020-12-03,29.5,30.3,29.42,30.07,3445900
2020-12-02,29.48,29.67,29.16,29.5,3195200
2020-12-01,29.25,29.74,29.24,29.66,4040100
2020-11-30,29.78,29.93,28.785,28.86,6970014
2020-11-27,30.57,30.67,29.82,29.88,2089200
2020-11-25,30.64,30.81,30.14,30.51,3905500
2020-11-24,31.0,31.51,30.73,30.77,3293400
2020-11-23,30.6,30.95,30.39,30.51,2631472
2020-11-20,30.68,30.68,29.99,30.57,5723100
2020-11-19,30.16,30.63,29.9,30.6,3510900
2020-11-18,30.94,31.32,30.34,30.35,3433283
2020-11-17,30.43,31.02,30.05,30.81,5165000
2020-11-16,30.6,30.96,30.05,30.73,4545560
2020-11-13,28.83,29.75,28.74,29.71,3628956
