datetime,open,high,low,close,volume
2021-01-29,36.88,36.88,35.62,35.9,58223917
2021-01-28,35.95,36.33,35.84,35.86,39424500
2021-01-27,36.99,37.04,36.17,36.24,50498600
2021-01-26,37.27,37.6,37.16,37.31,27645100
2021-01-25,36.55,37.29,36.32,37.28,29827903
2021-01-22,36.32,36.83,36.25,36.55,26243600
2021-01-21,36.39,36.59,36.15,36.48,33829700
2021-01-20,36.79,36.81,36.46,36.5,35334900
2021-01-19,36.76,37.0,36.62,36.73,33451275
2021-01-15,36.68,36.78,36.4,36.7,33948500
2021-01-14,36.78,36.96,36.61,36.75,30194800
2021-01-13,37.0,37.17,36.64,36.86,30978600
2021-01-12,37.7,37.79,36.82,37.18,47775700
2021-01-11,37.22,37.83,37.145,37.77,42032051
2021-01-08,37.16,37.53,36.9,37.13,33398600
2021-01-07,37.04,37.15,36.67,37.06,27738100
2021-01-06,36.83,37.48,36.77,36.87,34859100
2021-01-05,36.72,37.37,36.6,37.19,29861400
2021-01-04,36.87,36.94,36.27,36.81,31227467
2020-12-31,36.66,36.92,36.29,36.81,30755600
2020-12-30,37.03,37.24,36.7,36.74,24837900
2020-12-29,36.9,37.2,36.79,37.05,23116600
2020-12-28,37.36,37.58,36.68,36.82,26670229
2020-12-24,37.4,37.57,37.18,37.27,14790100
2020-12-23,37.01,37.65,36.88,37.44,36112300
2020-12-22,37.21,37.33,36.6,36.74,33634400
2020-12-21,37.28,37.4,36.91,37.38,40707846
2020-12-18,37.97,38.04,37.5,37.685,38238460
2020-12-17,37.83,38.12,37.31,38.03,44950984
2020-12-16,38.18,38.47,37.74,37.84,56220000
2020-12-15,39.06,39.1776,38.21,38.72,59115602
2020-12-14,41.62,41.66,39.07,39.21,94048232
2020-12-11,42.0697,42.07,40.69,41.12,54303474
2020-12-10,41.82,42.22,41.45,41.73,55882000
2020-12-09,43.07,43.08,41.13,41.85,85811800
2020-12-08,41.4475,42.77,41.35,42.56,81799711
2020-12-07,40.66,41.4,40.37,41.25,46482103
2020-12-04,39.89,40.45,39.89,40.35,31117880
2020-12-03,40.98,41.03,39.52,40.09,68236700
2020-12-02,40.47,41.41,40.3,40.8,83945500
2020-12-01,39.4,40.5,39.01,39.41,72499700
2020-11-30,37.95,38.8,37.6,38.31,61150710
2020-11-27,36.78,37.26,36.75,37.23,25277000
2020-11-25,36.53,36.56,36.24,36.53,26840800
2020-11-24,36.13,36.74,36.02,36.6,42398400
2020-11-23,37.03,37.09,36.21,36.52,43412049
2020-11-20,36.7,37.31,36.44,36.7,60029900
2020-11-19,36.6,36.63,35.86,36.19,42991500
2020-11-18,36.93,37.42,36.3,36.32,63263800
2020-11-17,36.49,36.5,35.82,36.04,46838300
2020-11-16,37.86,37.95,36.85,37.33,70795617
2020-11-13,37.8505,38.655,37.71,38.62,33815983
2020-11-12,38.28,38.34,37.24,37.55,44371800
2020-11-11,38.88,40.2,37.9,38.5,55879300
2020-11-10,40.45,40.54,38.46,38.68,75870700
2020-11-09,41.86,41.99,38.38,39.2,218144746
2020-11-06,36.39,36.72,36.09,36.4,22635100
2020-11-05,37.25,37.3,36.39,36.39,32160500
2020-11-04,37.06,38.12,36.96,37.33,38768000
2020-11-03,36.43,36.62,36.08,36.19,20498700
2020-11-02,35.93,36.25,35.54,36.23,20330973
2020-10-30,35.24,35.53,34.84,35.48,24317900
2020-10-29,35.4,35.64,34.6,35.27,23257357
2020-10-28,36.8,37.13,35.32,35.45,32111100
2020-10-27,37.24,38.12,36.87,37.42,26424935
2020-10-26,37.87,38.02,37.48,37.92,28637056
2020-10-23,37.93,38.28,37.6474,38.2,22428113
2020-10-22,37.08,37.57,37.03,37.43,18238300
2020-10-21,37.35,37.45,37.06,37.08,18001000
2020-10-20,37.87,37.89,37.35,37.49,21218900
2020-10-19,38.42,38.8479,37.64,37.8,29504825
2020-10-16,37.07,38.12,37.02,37.95,40736000
2020-10-15,36.63,36.74,36.41,36.55,15264900
2020-10-14,36.99,37.3,36.57,36.86,17472061
2020-10-13,36.75,37.125,36.64,36.89,18185502
2020-10-12,36.7,37.18,36.465,36.82,18204055
2020-10-09,36.87,37.115,36.59,36.78,15348268
2020-10-08,36.62,37.1797,36.52,36.89,13993725
2020-10-07,36.26,36.59,36.03,36.47,21004800
2020-10-06,37.0,37.03,36.09,36.17,23929800
2020-10-05,36.53,36.88,36.34,36.75,18402376
2020-10-02,36.01,36.66,36.01,36.37,14779453
2020-10-01,36.89,37.09,36.1628,36.37,18175676
2020-09-30,36.27,36.96,36.25,36.7,21464600
2020-09-29,36.43,36.535,36.04,36.17,6250494
2020-09-28,36.16,36.575,36.16,36.39,13883750
2020-09-25,35.54,36.15,35.52,36.05,4567850
2020-09-24,35.95,36.04,35.54,35.77,979804
2020-09-23,36.34,36.37,35.965,36.01,2071135
2020-09-22,35.81,36.33,35.76,36.255,8239943
2020-09-21,36.37,36.48,35.375,36.03,14938861
2020-09-18,36.78,37.07,36.61,36.63,14434649
2020-09-17,36.78,36.97,36.55,36.81,7427033
2020-09-16,37.28,37.31,36.725,36.79,12038845
2020-09-15,37.14,37.35,36.81,36.95,11585003
2020-09-14,36.35,37.53,36.32,37.01,15222296
2020-09-11,35.68,36.11,35.45,36.07,8803977
2020-09-10,36.2,36.27,35.59,35.64,8711930
2020-09-09,36.29,36.65,36.14,36.18,11176438
2020-09-08,36.53,36.61,35.69,35.915,15253900
2020-09-04,36.46,36.625,35.88,36.36,13128978
2020-09-03,37.37,37.48,36.11,36.38,20229695
2020-09-02,36.7699,37.3,36.4,37.17,17201662
2020-09-01,37.79,37.82,36.51,36.88,24046493
2020-08-31,37.84,38.01,37.5,37.76,16997116
2020-08-28,37.87,38.06,37.4,37.9,16367918
2020-08-27,37.86,38.0,37.68,37.87,7396516
2020-08-26,38.19,38.27,37.67,38.07,10820179
2020-08-25,38.51,38.56,37.95,38.405,17295516
2020-08-24,38.98,39.035,38.54,38.84,10860313
2020-08-21,38.79,38.99,38.57,38.88,11137774
2020-08-20,38.18,38.79,38.1301,38.73,8527385
2020-08-19,38.47,38.6,38.12,38.26,6903346
2020-08-18,38.39,38.46,38.17,38.36,4664546
2020-08-17,38.04,38.41,37.945,38.36,10254033
2020-08-14,38.01,38.38,37.93,38.06,7760962
2020-08-13,38.07,38.18,37.88,38.17,8233637
2020-08-12,37.83,38.55,37.81,38.33,12367503
2020-08-11,38.56,38.58,37.68,37.8,10677228
2020-08-10,38.55,38.66,38.26,38.42,10356243
2020-08-07,38.3,38.6,38.16,38.45,13282558
2020-08-06,38.77,39.1,38.151,38.2798,17004954
2020-08-05,38.45,38.53,38.1333,38.44,11405240
2020-08-04,38.31,38.68,38.09,38.39,10233407
2020-08-03,38.58,38.62,38.22,38.36,11755046
2020-07-31,38.62,38.75,37.87,38.48,15623312
2020-07-30,38.28,38.94,38.2009,38.74,28617223
2020-07-29,39.3,39.45,38.45,39.27,24960686
2020-07-28,38.54,39.335,38.06,39.03,38442685
2020-07-27,37.36,37.75,37.23,37.6,16223915
2020-07-24,38.03,38.15,37.33,37.67,23819523
2020-07-23,39.17,39.41,38.19,38.42,24663664
2020-07-22,38.26,38.73,37.52,38.57,37041186
2020-07-21,36.94,37.0792,36.53,36.7,8304453
2020-07-20,37.49,37.62,36.33,36.5,11879933
2020-07-17,35.84,36.33,35.83,36.24,4348277
2020-07-16,35.6,35.64,35.26,35.59,1671956
2020-07-15,35.99,36.0,35.47,35.72,1720821
2020-07-14,35.37,35.42,34.89,35.23,2203648
2020-07-13,34.73,35.72,34.53,35.21,2215373
2020-07-10,33.66,34.03,33.485,33.83,1610260
2020-07-09,33.71,33.87,33.11,33.47,1010276
2020-07-08,34.23,34.37,33.58,33.76,1053773
2020-07-07,34.05,34.35,33.955,34.03,2919919
2020-07-06,34.9,34.9,34.38,34.51,2854991
2020-07-02,34.14,34.84,34.13,34.52,2368303
2020-07-01,34.54,34.54,33.72,33.74,68621901
2020-06-30,32.53,32.88,32.23,32.7,24139100
2020-06-29,32.46,32.67,32.2,32.64,22138347
2020-06-26,32.25,32.28,31.61,32.04,39985600
2020-06-25,32.0794,32.38,31.83,32.33,4247458
2020-06-24,32.71,32.73,32.0,32.21,6331429
2020-06-23,33.11,33.25,32.74,32.775,7416541
2020-06-22,33.33,33.36,32.91,33.11,4249612
2020-06-19,33.6998,33.74,33.12,33.42,4979300
2020-06-18,33.28,33.47,32.98,33.24,6161703
2020-06-17,33.6,33.76,33.315,33.56,6588042
2020-06-16,33.59,33.96,32.72,33.46,10467203
2020-06-15,33.33,33.718,32.7658,33.37,7574782
2020-06-12,33.98,34.105,33.045,33.75,9406367
2020-06-11,35.6,35.67,33.28,33.32,12095773
2020-06-10,36.36,36.45,35.89,35.91,6159127
2020-06-09,36.53,36.65,36.17,36.21,4487116
2020-06-08,35.79,36.6,35.68,36.59,5228296
2020-06-05,36.24,36.49,35.88,35.99,34825100
2020-06-04,35.71,36.29,35.7,36.01,25629400
2020-06-03,36.29,36.41,35.54,36.16,36766600
2020-06-02,35.53,36.16,35.25,36.16,40503700
2020-06-01,35.5,35.73,34.91,35.46,72945900
2020-05-29,38.27,38.43,37.58,38.19,46146300
2020-05-28,37.84,38.44,37.72,38.18,21367900
2020-05-27,37.41,37.54,36.97,37.41,24577000
2020-05-26,37.65,37.87,37.45,37.49,22068400
2020-05-22,37.11,37.53,36.96,37.5,14972700
2020-05-21,37.57,37.65,37.05,37.26,16747800
2020-05-20,37.95,38.2,37.55,37.63,16607400
2020-05-19,37.85,38.02,37.31,37.68,18478400
2020-05-18,38.34,38.46,37.63,38.07,21479200
2020-05-15,37.96,38.17,37.39,37.76,24155600
2020-05-14,36.8,37.96,36.78,37.92,21216800
2020-05-13,37.31,37.42,36.59,37.05,23336700
2020-05-12,38.12,38.24,37.34,37.36,18344700
2020-05-11,37.25,38.21,37.16,38.1,24294700
2020-05-08,37.25,37.38,37.04,37.22,18881700
2020-05-07,38.41,38.49,36.89,36.96,31827400
2020-05-06,38.97,39.01,38.51,38.51,22815400
2020-05-05,38.81,38.86,38.27,38.51,22888000
2020-05-04,37.6,37.92,37.41,37.62,18874300
2020-05-01,37.85,37.94,37.39,37.64,21517900
2020-04-30,38.0,38.51,37.36,38.36,27933100
2020-04-29,38.46,38.55,37.71,38.12,25159900
2020-04-28,39.05,39.22,37.38,37.91,33839400
2020-04-27,37.59,38.54,37.57,38.33,22195500
2020-04-24,36.84,37.43,36.78,37.38,16470000
2020-04-23,36.28,37.4,36.28,36.69,19151200
2020-04-22,36.96,37.0,36.12,36.25,19151900
2020-04-21,35.78,35.93,35.37,35.62,22746900
2020-04-20,36.38,36.91,36.08,36.08,21376300
2020-04-17,36.5,37.0,36.11,36.91,23154500
2020-04-16,36.12,36.26,35.58,35.88,19599100
2020-04-15,36.06,36.23,35.58,35.97,20220300
2020-04-14,35.93,36.63,35.34,36.44,20726100
2020-04-13,35.96,35.98,34.72,35.14,17334100
2020-04-09,35.03,35.77,34.85,35.39,29141300
