datetime,open,high,low,close,volume
2021-01-29,143.94,149.58,143.505,147.07001,1112267
2021-01-28,143.99001,147.64,143.81,144.74001,645100
2021-01-27,143.63,144.92999,140.27,141.73,855700
2021-01-26,151.10001,151.10001,146.03,146.24001,558900
2021-01-25,152.73,153.7,149.405,151.05,662697
2021-01-22,151.03999,152.27,149.59,151.91,683400
2021-01-21,150.95,151.87,148.57001,150.59,425200
2021-01-20,150.09,152.07001,149.72,151.25999,616900
2021-01-19,150.47,151.28,147.41,149.28999,723372
2021-01-15,147.46001,149.49001,146.03,148.52,824900
2021-01-14,152.17999,152.78,148.03999,148.13,859500
2021-01-13,151.94,153.86,151.00999,151.52,1108000
2021-01-12,158.8,159.32001,150.83,151.98,1389400
2021-01-11,158.89999,162.7,157.48,159.25,860638
2021-01-08,160.55,162.39999,157.60001,159.75999,1006500
2021-01-07,160.58,162.16,158.75,160.53,1087700
2021-01-06,150.36,158.0,150.17999,156.37,1490400
2021-01-05,145.8,152.52,145.0,151.89999,1354600
2021-01-04,144.13,147.505,142.48,145.50999,927225
2020-12-31,140.92999,143.62,139.99001,143.5,552600
2020-12-30,140.59,141.09,139.49001,140.58,326900
2020-12-29,141.78,142.82001,139.47,139.83,500200
2020-12-28,140.96001,141.58,139.12,140.71001,518684
2020-12-24,139.21001,140.11,138.64,139.71001,174100
2020-12-23,139.98,140.39,137.58,139.32001,375100
2020-12-22,140.44,141.56,138.99001,139.86,528400
2020-12-21,141.03999,141.41,137.39999,140.62,797211
2020-12-18,143.46001,143.46001,140.8,142.72,503331
2020-12-17,141.59,143.5999,141.07001,143.41,542869
2020-12-16,145.0,145.34,140.39999,140.8,1089200
2020-12-15,145.75,147.8,145.08,145.23,645706
2020-12-14,146.5,149.95,145.28,145.32001,530965
2020-12-11,145.41,146.58,144.39,146.02,448519
2020-12-10,143.46001,146.67,143.09,145.91,800800
2020-12-09,147.89,147.89,142.95,143.91,886300
2020-12-08,143.77,148.39,143.45,147.91,1012950
2020-12-07,141.5,144.17,141.5,143.89,862166
2020-12-04,138.46001,141.88,138.46001,141.84,632588
2020-12-03,139.06,139.32001,137.62,138.02,699500
2020-12-02,137.92999,139.39999,135.75,138.58,993200
2020-12-01,132.89,137.45,131.94,137.2,1009800
2020-11-30,129.61,133.19,129.44501,133.0,1114297
2020-11-27,127.96,129.32001,127.62,129.25999,283800
2020-11-25,126.75,127.78,126.6,127.5,1268200
2020-11-24,128.63,128.84,126.0,127.07,1341500
2020-11-23,130.14999,130.45,125.76,127.82,872615
2020-11-20,131.0,131.2,129.87,130.19,1015200
2020-11-19,128.75,131.3,128.09,130.81,767400
2020-11-18,132.99001,133.02,127.46,128.61,772055
2020-11-17,132.75,134.0,132.03999,133.0,1516600
2020-11-16,132.28,134.33,131.14,133.32001,811228
2020-11-13,132.12,132.67999,130.86,132.16,600370
2020-11-12,129.21001,131.89,129.14999,130.64,634500
