datetime,open,high,low,close,volume
2021-01-29,147.67,147.77,142.97501,143.52,2514795
2021-01-28,146.75999,148.78,145.48,147.78999,1505000
2021-01-27,145.83,145.83,141.60001,144.44,2958000
2021-01-26,151.37,151.7,147.82001,148.06,1768400
2021-01-25,150.36,151.099,146.87,150.47,1808215
2021-01-22,151.47,153.06,151.33,152.57001,1835400
2021-01-21,156.28999,156.28999,152.99001,153.69,2286000
2021-01-20,156.0,156.42999,154.66,156.25999,1635400
2021-01-19,155.75999,156.52,154.21001,156.0,2560881
2021-01-15,157.17999,158.74001,154.37,154.78,3285100
2021-01-14,160.11,162.07001,159.53999,161.5,2034700
2021-01-13,160.06,161.5,158.28,159.10001,1969400
2021-01-12,161.0,162.64999,159.58,161.73,2025100
2021-01-11,157.2,159.96001,155.46001,159.38,1890309
2021-01-08,158.48,159.22,156.10001,158.19,1841000
2021-01-07,159.11,162.74001,158.95,159.0,2520800
2021-01-06,152.31,158.25,152.14999,156.50999,3067000
2021-01-05,149.2,150.57001,147.28999,148.36,2907500
2021-01-04,149.67999,149.75999,146.05,149.14999,2086871
2020-12-31,146.75,149.31,145.83,149.0,1353900
2020-12-30,145.47,147.34,145.08,146.89,1002000
2020-12-29,146.59,146.67,144.64,144.87,1015400
2020-12-28,147.02,148.38,145.85001,146.53999,1686225
2020-12-24,146.48,146.48,144.673,146.14999,503723
2020-12-23,144.78999,147.67,144.16,146.7,1317100
2020-12-22,144.91,145.17999,142.5,143.73,2197200
2020-12-21,146.05,147.23,142.66,144.60001,2459134
2020-12-18,144.53999,145.44,143.23,144.62,1791933
2020-12-17,145.05,145.69,143.58,145.03999,1297093
2020-12-16,143.85001,145.48,142.88,145.25,1767700
2020-12-15,142.46001,143.62,141.071,143.22,1205089
2020-12-14,145.37,145.42,141.03,141.78999,1926179
2020-12-11,143.22,143.75999,141.63,143.66,1068989
2020-12-10,142.5,144.14999,141.67,143.99001,1635900
2020-12-09,142.66,143.82001,141.49001,143.28,2053900
2020-12-08,139.8,142.4299,139.8,141.37,1065239
2020-12-07,141.44,141.95,139.52,141.81,1543698
2020-12-04,141.92,143.5,141.4801,142.53999,1270422
2020-12-03,140.72,142.13,139.84,141.25,2609900
2020-12-02,139.89999,141.69,139.64,141.38,1849400
2020-12-01,140.24001,141.39999,139.89,140.72,3129500
2020-11-30,138.28,139.53999,137.77,138.07001,4244256
2020-11-27,140.60001,140.69,138.75,139.78999,1178200
2020-11-25,139.10001,141.82001,137.48,140.64999,3066400
2020-11-24,136.64,140.24001,136.14999,140.11,2933900
2020-11-23,132.22,134.16,130.655,133.64999,2046525
2020-11-20,128.81,130.32001,127.75,128.89999,2245100
2020-11-19,128.06,130.36,126.25,130.3,2205600
2020-11-18,127.83,131.31,126.7,129.3,3368608
2020-11-17,124.92,127.07,123.27,126.89,3667600
2020-11-16,125.77,127.02,124.5,126.29,5396077
2020-11-13,121.99,123.78,121.7,122.77,1238231
2020-11-12,123.31,123.31,118.79,121.0,2269700
2020-11-11,127.4,127.4,123.02,125.44,3130700
2020-11-10,129.0,129.0,126.0,126.74,3765800
2020-11-09,125.56,129.56,125.05,127.98,3978445
2020-11-06,117.84,117.84,114.14,114.68,1682200
2020-11-05,113.13,117.6,113.1,117.17,2069300
2020-11-04,116.2,116.49,112.2,112.86,2136100
2020-11-03,117.29,120.08,116.86,119.39,3057000
2020-11-02,113.49,116.14,112.1897,114.45,3372782
2020-10-30,109.46,112.01,108.59,111.88,2261500
2020-10-29,108.19,110.66,106.85,109.82,1813100
2020-10-28,107.71,110.07,107.64,108.72,3221700
2020-10-27,110.71,111.08,108.98,109.18,1513204
2020-10-26,113.36,113.4,110.08,111.63,1717973
2020-10-23,115.965,116.5,113.6689,114.81,1163217
2020-10-22,110.87,115.39,110.62,115.32,1825000
2020-10-21,112.02,112.73,110.46,110.64,1281100
2020-10-20,110.98,113.85,110.98,112.06,1826000
2020-10-19,111.91,112.23,109.76,109.99,1643142
2020-10-16,109.58,111.51,108.89,111.48,1982600
2020-10-15,108.34,109.56,107.55,109.56,2503100
2020-10-14,111.22,114.39,109.565,109.84,2306595
2020-10-13,115.7,116.2,111.9,112.45,1984638
2020-10-12,115.51,116.83,115.217,116.28,1492911
2020-10-09,117.22,117.22,114.84,115.51,1724219
2020-10-08,115.75,117.02,115.1,116.61,1801659
2020-10-07,114.34,117.04,114.25,115.18,2387000
2020-10-06,115.99,117.16,112.59,113.17,1943200
2020-10-05,113.47,114.97,112.5,114.8,1625227
2020-10-02,108.38,113.0,107.85,112.23,1627139
2020-10-01,110.13,110.9,108.37,109.42,1229655
2020-09-30,107.55,110.28,107.36,109.91,2501100
2020-09-29,108.13,108.13,105.185,106.93,1273937
2020-09-28,106.82,109.15,106.55,108.13,1377433
2020-09-25,103.37,105.05,102.01,104.95,1193407
2020-09-24,102.48,105.39,101.58,103.39,1571934
2020-09-23,105.87,107.31,102.42,102.48,1591350
2020-09-22,108.91,108.91,104.17,105.37,2216060
2020-09-21,109.18,110.57,107.48,108.91,1678304
2020-09-18,111.18,112.34,110.7,111.72,1109094
2020-09-17,111.34,113.59,111.0,111.91,1243054
2020-09-16,111.1701,115.13,110.74,113.69,1837088
2020-09-15,114.15,114.43,110.725,111.27,1817964
2020-09-14,111.25,115.08,111.23,114.13,1282914
2020-09-11,108.85,111.2565,108.35,110.76,1345355
2020-09-10,110.37,111.59,108.19,108.23,1704305
2020-09-09,111.1546,111.21,109.77,109.94,808279
2020-09-08,111.965,112.11,108.85,110.33,1662975
2020-09-04,113.97,115.56,111.38,113.04,1305497
2020-09-03,112.43,116.67,110.935,111.66,1585783
2020-09-02,111.62,112.99,110.63,112.37,1284380
2020-09-01,109.86,112.39,109.57,111.6,1512134
2020-08-31,111.71,112.23,111.1,111.14,1609749
2020-08-28,113.02,113.16,111.4117,112.33,992026
2020-08-27,109.6539,113.48,109.6539,112.53,1487973
2020-08-26,110.5545,111.32,109.53,110.3,1792000
2020-08-25,111.58,112.0,109.5719,110.78,1891498
2020-08-24,106.45,109.88,106.45,109.85,1273010
2020-08-21,105.5,106.99,105.5,106.43,1831640
