datetime,open,high,low,close,volume
2021-01-29,55.76,55.91,53.53,54.46,2255600
2021-01-28,57.09,59.3,55.61,55.98,2865700
2021-01-27,55.28,57.42,55.02,57.1,2315100
2021-01-26,57.85,57.85,56.14,56.35,720600
2021-01-25,57.73,58.42,57.01,57.34,1181626
2021-01-22,56.7,58.13,56.51,57.98,1090200
2021-01-21,57.9,58.17,56.88,57.4,740700
2021-01-20,58.65,58.72,57.92,58.13,646000
2021-01-19,58.31,59.04,57.89,58.46,1021015
2021-01-15,58.5,58.58,56.55,57.59,874500
2021-01-14,58.84,59.0,57.13,58.57,1109700
2021-01-13,58.58,59.11,58.25,58.44,1632700
2021-01-12,57.01,58.67,56.86,58.48,1241600
2021-01-11,55.53,57.32,55.53,56.81,1302524
2021-01-08,55.25,56.44,55.14,56.1,2054600
2021-01-07,53.77,55.22,53.07,55.03,1082500
2021-01-06,52.31,53.75,52.31,53.18,1136300
2021-01-05,51.61,52.06,51.08,51.7,818800
2021-01-04,53.07,53.35,51.13,51.53,830511
2020-12-31,52.58,53.23,52.39,53.09,493100
2020-12-30,52.02,52.85,51.96,52.68,472700
2020-12-29,52.77,52.83,51.39,51.79,556800
2020-12-28,53.0,53.31,52.36,52.46,367057
2020-12-24,52.73,52.84,52.1,52.59,187200
2020-12-23,52.84,53.4,52.34,52.44,526800
2020-12-22,52.38,52.84,52.1,52.6,613500
2020-12-21,51.32,52.58,50.91,52.44,742986
2020-12-18,52.72,53.26,51.77,52.28,661201
2020-12-17,52.125,52.92,52.02,52.77,614039
2020-12-16,52.77,52.82,51.82,51.89,597400
2020-12-15,51.8,52.69,51.735,52.46,701921
2020-12-14,51.95,52.1,51.36,51.36,1062768
2020-12-11,50.96,51.685,50.54,51.48,549816
2020-12-10,52.26,52.37,50.95,51.12,872500
2020-12-09,51.78,52.7,51.38,52.6,1535400
2020-12-08,50.52,51.49,50.33,51.11,879746
2020-12-07,50.87,51.17,50.21,50.85,784076
2020-12-04,51.25,51.7,50.9,51.17,709782
2020-12-03,50.06,51.61,50.03,50.92,872000
2020-12-02,51.25,51.51,50.63,51.38,1184500
2020-12-01,52.35,52.83,51.52,51.54,1100400
2020-11-30,52.56,53.1,51.5,51.82,1439645
2020-11-27,52.59,53.59,52.31,53.1,493400
2020-11-25,53.9,53.9,52.16,52.19,1254100
2020-11-24,53.88,54.72,53.29,54.09,1458300
2020-11-23,53.37,54.04,53.04,53.27,684946
2020-11-20,53.37,53.46,52.79,53.01,653000
2020-11-19,52.26,53.3,52.09,53.27,640300
2020-11-18,53.38,53.4274,52.38,52.42,687616
2020-11-17,52.63,53.14,51.82,52.89,1362500
2020-11-16,53.36,53.69,52.87,53.39,844970
2020-11-13,51.72,52.8,51.58,52.65,723091
2020-11-12,52.05,52.51,50.69,51.25,1107600
2020-11-11,52.0,52.87,50.82,52.09,1910600
2020-11-10,52.77,54.34,52.61,53.78,2081800
2020-11-09,56.75,58.82,52.69,52.83,2390747
2020-11-06,53.96,54.54,53.61,54.15,1230600
2020-11-05,52.58,54.37,52.58,53.77,1038100
2020-11-04,52.6,53.24,51.58,51.9,1164800
2020-11-03,51.56,53.08,51.37,52.81,1178100
2020-11-02,50.53,51.09,50.34,50.7,1042978
2020-10-30,49.54,50.06,49.09,49.76,2507200
2020-10-29,48.96,50.13,48.85,49.75,1361500
2020-10-28,48.95,49.56,48.5,49.04,1127300
2020-10-27,50.445,50.45,49.45,49.93,1060192
2020-10-26,51.23,51.37,49.71,50.41,809293
2020-10-23,52.15,52.24,51.415,51.99,831881
2020-10-22,51.2,51.82,50.96,51.68,1073400
2020-10-21,51.61,52.12,50.95,51.18,1343500
2020-10-20,50.74,52.87,50.11,51.25,1725700
2020-10-19,49.78,49.89,48.98,49.26,1123035
2020-10-16,50.1,50.58,49.74,49.9,1668300
2020-10-15,48.86,49.81,48.76,49.78,976300
2020-10-14,48.19,49.86,48.17,49.44,709318
2020-10-13,50.02,50.22,49.02,49.31,883740
2020-10-12,49.71,50.52,49.71,50.25,1406021
2020-10-09,49.055,49.97,49.0,49.59,969946
2020-10-08,48.49,48.86,48.2,48.83,1084607
2020-10-07,47.16,48.14,47.08,48.11,1430400
2020-10-06,46.27,47.23,46.0,46.72,1800900
2020-10-05,46.48,46.955,45.825,46.19,655421
2020-10-02,44.595,46.22,44.43,45.9,727274
2020-10-01,46.025,46.1,44.82,45.41,594309
2020-09-30,45.99,46.55,45.5,45.77,892000
2020-09-29,45.85,46.05,45.47,45.79,283431
2020-09-28,45.51,46.2955,45.415,45.85,544698
2020-09-25,44.27,45.24,44.09,44.97,55424
2020-09-24,44.57,45.43,44.15,44.67,46037
2020-09-23,45.88,46.32,44.88,44.91,81059
2020-09-22,44.71,45.61,44.33,45.4,123801
2020-09-21,45.74,45.76,44.1,44.63,577268
2020-09-18,46.44,47.12,46.29,46.57,880450
2020-09-17,45.04,46.64,45.0,46.41,456879
2020-09-16,45.6,46.21,45.25,45.88,355630
2020-09-15,44.87,45.63,44.87,45.11,356420
2020-09-14,44.49,45.05,44.1,44.8,359265
2020-09-11,43.45,44.42,43.45,43.71,389654
2020-09-10,44.63,44.63,43.21,43.45,526454
2020-09-09,43.96,45.09,43.96,44.87,250521
2020-09-08,44.45,44.6,43.6,43.67,455794
2020-09-04,45.34,45.52,44.61,44.87,439130
2020-09-03,46.37,46.37,44.53,44.87,363651
2020-09-02,45.685,46.28,45.2,46.2,219108
2020-09-01,45.14,45.86,44.97,45.59,355788
2020-08-31,45.69,45.71,44.95,45.13,385558
2020-08-28,45.48,45.86,45.14,45.85,424395
2020-08-27,46.1596,46.26,45.33,45.6,351303
2020-08-26,46.02,46.18,45.71,45.96,330888
2020-08-25,46.67,46.67,45.675,46.06,436601
2020-08-24,46.135,46.7,46.01,46.46,311305
2020-08-21,45.91,46.31,45.75,46.02,395648
2020-08-20,44.92,46.09,44.91,45.99,516404
2020-08-19,45.47,46.03,45.33,45.5,378576
2020-08-18,45.46,45.73,45.32,45.53,316396
2020-08-17,45.226,45.43,44.98,45.31,299948
2020-08-14,45.0,45.52,44.79,45.08,281469
2020-08-13,44.895,45.385,44.895,45.23,376491
2020-08-12,45.29,45.29,44.745,45.2,555258
2020-08-11,45.04,45.78,44.79,44.86,589269
2020-08-10,44.2965,44.54,44.01,44.52,481605
2020-08-07,43.42,44.02,43.42,44.02,398085
2020-08-06,43.485,43.7,43.19,43.36,339137
2020-08-05,43.45,43.815,43.34,43.61,429337
2020-08-04,43.27,43.39,42.83,43.11,217902
2020-08-03,43.18,43.75,43.0,43.49,501461
2020-07-31,42.26,42.88,42.02,42.87,630485
2020-07-30,43.1,43.14,42.51,42.73,622419
2020-07-29,42.585,43.81,42.585,43.69,633240
2020-07-28,42.6,42.91,42.19,42.26,767744
2020-07-27,42.54,43.01,42.39,42.95,671985
2020-07-24,42.6,43.01,42.15,42.38,580555
2020-07-23,42.38,43.18,41.5,42.45,987503
2020-07-22,41.91,42.96,41.9,42.81,824398
2020-07-21,41.85,42.41,41.755,42.06,259535
2020-07-20,41.59,41.73,40.98,41.38,112857
2020-07-17,41.98,42.0,41.32,41.68,165642
2020-07-16,42.155,42.95,41.57,41.73,142210
2020-07-15,41.49,42.63,41.37,42.26,132053
2020-07-14,39.145,40.81,39.05,40.74,114714
2020-07-13,38.865,39.69,38.77,39.22,180257
2020-07-10,38.35,38.95,38.3,38.45,136321
2020-07-09,40.1,40.1,37.9,38.32,188607
2020-07-08,36.36,36.77,35.94,36.61,73201
2020-07-07,37.37,37.42,36.38,36.47,141154
2020-07-06,38.0,38.3,37.27,37.76,227922
2020-07-02,37.38,38.14,37.03,37.42,92875
2020-07-01,38.12,38.28,36.795,36.91,944455
2020-06-30,37.15,38.23,37.15,37.99,1298000
2020-06-29,36.34,37.71,36.21,37.37,1062181
2020-06-26,36.2,36.77,35.61,35.8,2469800
2020-06-25,36.17,36.5,35.74,36.45,330884
2020-06-24,37.29,37.29,35.81,36.3,422354
2020-06-23,38.5,38.64,37.515,37.83,303432
2020-06-22,37.72,38.21,37.28,38.01,213830
2020-06-19,38.55,38.96,37.5201,37.99,265704
2020-06-18,37.82,38.59,37.74,37.92,214246
2020-06-17,39.16,39.16,38.12,38.23,311142
2020-06-16,39.15,39.66,38.155,38.82,262926
2020-06-15,36.08,38.155,36.08,37.79,210111
2020-06-12,38.41,38.41,36.43,37.49,205453
2020-06-11,39.91,39.91,36.77,36.85,232688
2020-06-10,40.345,40.66,39.2,39.9,308391
2020-06-09,41.225,41.41,40.23,40.37,343300
2020-06-08,42.26,42.78,41.72,42.04,330416
2020-06-05,42.78,43.37,41.67,41.86,1126800
2020-06-04,40.13,41.12,39.84,41.09,952100
