datetime,open,high,low,close,volume
2021-01-29,75.24,76.06,74.7339,75.25,1484463
2021-01-28,76.64,77.89,76.17,76.68,1062900
2021-01-27,76.88,77.38,75.05,76.31,1166900
2021-01-26,78.48,78.69,77.02,77.5,770500
2021-01-25,76.69,78.46,76.62,78.36,845794
2021-01-22,77.24,77.51,76.46,77.09,504700
2021-01-21,77.73,77.9,76.37,77.53,956300
2021-01-20,77.59,78.15,76.77,77.94,1188900
2021-01-19,78.71,78.8,77.65,78.0,1122177
2021-01-15,76.94,78.75,76.15,78.55,789700
2021-01-14,78.1,78.21,76.91,77.05,584600
2021-01-13,76.46,78.13,76.19,77.93,847900
2021-01-12,76.75,77.22,75.85,76.42,1083500
2021-01-11,77.41,78.11,76.18,76.69,618670
2021-01-08,77.97,78.09,76.96,77.77,513200
2021-01-07,80.48,80.52,77.57,77.94,815400
2021-01-06,78.08,80.64,78.0,80.48,852700
2021-01-05,79.09,79.32,77.33,77.73,1020300
2021-01-04,80.0,80.75,78.7,79.09,941646
2020-12-31,79.05,80.03,78.84,79.95,539300
2020-12-30,78.85,79.61,78.51,79.11,561900
2020-12-29,78.43,79.35,78.43,79.07,641300
2020-12-28,78.18,79.21,77.84,78.43,381609
2020-12-24,77.42,78.06,76.72,77.87,239300
2020-12-23,78.39,79.37,77.35,77.4,635300
2020-12-22,77.14,78.17,76.15,77.78,894000
2020-12-21,78.0,78.455,76.4,77.29,795782
2020-12-18,79.54,79.745,78.21,78.65,505589
2020-12-17,78.7235,80.21,78.7235,79.31,698197
2020-12-16,80.38,80.8,78.61,78.65,766000
2020-12-15,79.63,80.48,78.81,80.07,979454
2020-12-14,80.62,81.175,78.895,79.14,1219555
2020-12-11,80.58,81.13,79.69,79.71,703954
2020-12-10,81.49,81.83,80.55,80.74,895800
2020-12-09,81.83,82.32,80.57,81.33,1133700
2020-12-08,82.36,82.82,81.58,81.83,546175
2020-12-07,81.79,83.38,81.6,82.58,525817
2020-12-04,81.42,82.71,81.295,82.4,818411
2020-12-03,82.89,82.95,81.25,81.4,818300
2020-12-02,81.95,83.12,81.08,82.89,657900
2020-12-01,82.7,83.17,82.21,82.35,610300
2020-11-30,84.0,84.26,81.3614,81.85,1273586
2020-11-27,86.34,86.34,83.61,83.94,289200
2020-11-25,85.55,86.71,84.88,86.52,986600
2020-11-24,85.01,86.21,84.76,85.78,779600
2020-11-23,83.39,84.73,83.33,84.48,629463
2020-11-20,83.34,84.54,83.15,83.25,744700
2020-11-19,84.95,85.01,83.25,83.55,773600
2020-11-18,87.73,88.14,84.52,84.74,909514
2020-11-17,89.6,90.14,86.72,86.78,1154000
2020-11-16,91.01,91.3991,89.715,90.44,670236
2020-11-13,89.24,89.975,88.2636,89.46,532027
2020-11-12,89.38,89.7,86.72,87.84,889600
2020-11-11,90.75,91.88,89.5,89.59,818000
2020-11-10,88.26,91.06,88.05,90.9,1191600
2020-11-09,86.67,89.85,86.67,87.94,1366442
2020-11-06,84.25,85.6,83.59,83.79,926100
2020-11-05,82.95,85.76,82.67,84.48,985000
2020-11-04,81.18,85.02,81.18,82.2,1135900
2020-11-03,82.12,82.82,80.95,81.76,867400
2020-11-02,82.08,82.86,80.19,81.07,970730
2020-10-30,82.35,83.33,80.0,81.57,1420700
