datetime,open,high,low,close,volume
2021-01-29,27.92,28.13,27.57,27.67,5879600
2021-01-28,27.89,28.61,27.77,28.13,3753600
2021-01-27,28.05,28.44,27.78,27.8,6132300
2021-01-26,28.12,28.43,27.84,28.25,3466800
2021-01-25,27.64,28.65,27.5473,28.11,6173978
2021-01-22,27.62,27.95,27.53,27.82,2990600
2021-01-21,27.76,27.98,27.47,27.76,3626600
2021-01-20,28.03,28.14,27.82,27.97,4069700
2021-01-19,28.68,28.69,28.125,28.14,2617610
2021-01-15,28.13,28.62,27.99,28.57,3356200
2021-01-14,28.15,28.51,27.85,28.21,2879900
2021-01-13,27.98,28.27,27.89,28.09,3056100
2021-01-12,27.7,27.97,27.44,27.95,4462100
2021-01-11,27.68,27.91,27.6,27.77,2972926
2021-01-08,27.81,27.98,27.68,27.81,3418800
2021-01-07,28.27,28.3,27.68,27.74,4248300
2021-01-06,27.93,28.3,27.79,28.11,3764600
2021-01-05,27.55,27.84,27.29,27.61,3981700
2021-01-04,28.28,28.45,27.4102,27.58,5958370
2020-12-31,27.56,28.22,27.46,28.2,4227900
2020-12-30,27.22,27.74,27.19,27.59,3618100
2020-12-29,27.33,27.6,27.2,27.3,3599300
2020-12-28,27.04,27.39,26.92,27.25,3592572
2020-12-24,26.75,26.92,26.454,26.89,2299078
2020-12-23,26.46,27.02,26.38,26.78,4983700
2020-12-22,26.65,26.68,26.23,26.33,7583900
2020-12-21,26.56,26.73,26.15,26.71,7722754
2020-12-18,27.415,27.57,26.74,26.95,6209465
2020-12-17,27.415,27.81,27.35,27.36,5681764
2020-12-16,28.01,28.19,27.29,27.32,7328500
2020-12-15,27.77,28.0684,27.35,27.93,4590206
2020-12-14,28.31,28.43,27.56,27.6,5191292
2020-12-11,27.9501,28.23,27.95,28.08,4078639
2020-12-10,28.82,28.94,28.08,28.12,4218700
2020-12-09,28.64,28.97,28.56,28.88,4465100
2020-12-08,28.75,29.235,28.685,29.05,4000811
2020-12-07,28.5,29.285,28.48,28.85,4977523
2020-12-04,28.55,28.745,28.43,28.61,3979330
2020-12-03,28.45,28.64,28.26,28.46,3527100
2020-12-02,28.25,28.62,27.78,28.53,5592700
2020-12-01,28.56,28.88,28.27,28.36,5316800
2020-11-30,28.77,28.9997,28.38,28.42,6586050
2020-11-27,29.45,29.49,28.95,29.11,2645500
2020-11-25,30.55,30.6,28.72,29.39,9236800
2020-11-24,30.31,30.81,30.21,30.68,4997000
2020-11-23,29.25,30.07,29.1599,29.99,3960659
2020-11-20,29.2,29.47,29.1,29.15,3504000
2020-11-19,29.2,29.36,28.98,29.23,3756300
2020-11-18,29.72,30.1199,29.235,29.24,3347231
2020-11-17,30.07,30.24,29.4,29.53,3690600
2020-11-16,30.34,30.52,29.97,30.3,5123538
2020-11-13,29.04,30.015,29.025,29.81,3544301
2020-11-12,29.08,29.42,28.72,28.89,5704900
2020-11-11,29.85,29.96,29.27,29.41,3957800
2020-11-10,28.75,29.81,28.73,29.74,6275800
2020-11-09,28.56,29.58,28.38,28.75,6333897
2020-11-06,28.06,28.44,27.46,27.61,3371400
2020-11-05,28.21,28.61,27.82,28.06,2807600
2020-11-04,28.57,28.87,27.92,27.92,4065100
