datetime,open,high,low,close,volume
2021-01-29,43.75,44.365,42.43,42.7,948255
2021-01-28,44.14,44.81,43.47,43.69,1023400
2021-01-27,44.35,44.66,43.97,44.11,1454500
2021-01-26,44.78,44.83,44.16,44.49,940000
2021-01-25,43.18,44.75,42.76,44.5,1423072
2021-01-22,43.03,43.42,42.62,43.29,1052000
2021-01-21,43.35,43.71,42.94,43.42,1315600
2021-01-20,43.32,43.82,43.1,43.27,1205400
2021-01-19,43.92,44.08,43.35,43.47,1185106
2021-01-15,44.72,45.2,43.5,43.71,2426200
2021-01-14,45.94,46.13,44.18,44.65,2470500
2021-01-13,45.84,46.57,45.62,46.12,1165700
2021-01-12,44.65,46.26,44.47,45.68,1158500
2021-01-11,44.4,45.165,44.0621,44.6,1074679
2021-01-08,46.06,46.19,44.28,44.64,1142600
2021-01-07,45.2,46.18,45.01,46.0,1396000
2021-01-06,43.48,45.32,43.48,44.83,1747400
2021-01-05,44.77,44.8,43.97,44.27,833300
2021-01-04,44.95,45.0,43.74,44.63,1002509
2020-12-31,44.63,44.87,44.15,44.72,634300
2020-12-30,44.67,45.17,44.28,44.48,629700
2020-12-29,44.95,45.07,44.04,44.55,606700
2020-12-28,44.45,45.25,44.1,44.65,681743
2020-12-24,43.85,44.08,43.61,44.01,414603
2020-12-23,43.87,44.25,43.46,43.66,904600
2020-12-22,44.76,44.81,43.66,43.85,1048000
2020-12-21,45.07,45.08,44.16,44.81,1110806
2020-12-18,46.69,46.76,45.59,46.09,705803
2020-12-17,47.34,47.44,46.82,46.96,617140
2020-12-16,48.25,48.29,47.39,47.41,653500
2020-12-15,46.64,48.42,46.64,48.39,596045
2020-12-14,48.03,48.17,46.62,46.63,735707
2020-12-11,48.485,48.69,47.455,47.81,669564
2020-12-10,48.36,48.81,48.26,48.76,731100
2020-12-09,49.04,49.1,48.11,48.48,943900
2020-12-08,48.71,49.17,48.195,48.73,902730
2020-12-07,49.69,49.69,48.46,48.74,650492
2020-12-04,48.52,49.9,48.52,49.9,636613
2020-12-03,47.94,48.56,47.76,48.33,901700
2020-12-02,48.54,48.91,47.66,47.96,1165900
2020-12-01,48.47,48.98,48.15,48.45,1039500
2020-11-30,48.28,48.6,47.85,48.22,1035987
2020-11-27,48.01,48.32,47.83,48.03,332700
2020-11-25,48.33,48.33,47.48,47.93,510100
2020-11-24,47.99,49.35,47.74,48.63,853300
2020-11-23,47.91,48.55,47.69,47.75,771127
2020-11-20,48.76,49.11,47.95,48.11,999500
2020-11-19,47.67,48.84,47.18,48.81,710100
2020-11-18,48.6,49.43,48.15,48.19,672649
2020-11-17,47.75,49.19,47.37,48.62,1114400
2020-11-16,49.85,49.91,48.53,49.19,955373
2020-11-13,47.88,49.25,47.88,49.07,646453
2020-11-12,46.74,48.04,46.44,47.56,873700
2020-11-11,48.43,48.84,46.43,47.12,1561600
2020-11-10,46.03,48.92,45.63,48.51,1169600
2020-11-09,47.01,47.46,45.49,46.03,1477243
2020-11-06,45.11,45.36,44.24,44.7,1384300
2020-11-05,44.0,45.54,43.67,45.21,3173100
2020-11-04,43.79,45.12,41.19,41.29,2726400
2020-11-03,46.27,46.65,45.0,45.36,855900
2020-11-02,44.58,45.68,44.21,45.61,972966
2020-10-30,42.29,43.87,41.88,43.87,1094400
2020-10-29,42.54,42.86,41.61,42.53,850900
2020-10-28,43.23,43.52,42.36,42.58,815400
2020-10-27,44.84,45.09,44.02,44.03,454637
2020-10-26,45.8,45.91,44.3825,44.78,608907
2020-10-23,45.57,45.79,45.2734,45.62,322931
2020-10-22,45.07,45.59,44.74,45.48,981200
2020-10-21,45.94,46.37,44.81,44.85,782900
2020-10-20,46.09,46.27,45.48,46.16,660300
2020-10-19,47.1,47.23,45.6,45.66,735047
2020-10-16,46.9,47.74,46.72,47.38,727800
2020-10-15,45.51,46.79,45.51,46.7,579300
2020-10-14,46.04,46.39,45.85,46.12,372181
2020-10-13,45.96,46.745,45.87,45.91,576771
2020-10-12,46.04,46.77,45.86,46.37,509894
2020-10-09,45.87,46.23,45.17,45.84,580045
2020-10-08,45.3,45.96,45.3,45.81,423647
2020-10-07,44.62,45.46,44.59,45.12,610300
2020-10-06,45.56,45.64,44.28,44.4,1266400
2020-10-05,45.17,45.81,44.85,45.3,1320322
2020-10-02,44.6511,45.42,44.44,44.85,529434
2020-10-01,46.04,46.06,45.0499,45.29,626161
2020-09-30,45.59,46.46,45.56,45.91,749100
2020-09-29,45.33,46.11,45.3,45.67,470472
2020-09-28,45.79,46.0,45.47,45.63,452487
2020-09-25,45.0,45.355,44.38,45.23,405990
2020-09-24,45.04,45.6,44.33,44.95,561689
2020-09-23,46.07,46.43,45.34,45.34,615191
2020-09-22,45.795,46.98,45.46,46.53,863664
2020-09-21,46.3,46.32,45.12,45.91,591490
2020-09-18,48.53,48.53,46.59,47.06,1149832
2020-09-17,46.5835,49.0,46.5835,48.37,902603
2020-09-16,49.79,50.33,49.34,49.84,529291
2020-09-15,50.42,51.09,49.83,49.91,520866
2020-09-14,49.02,50.53,49.0,50.13,622479
2020-09-11,48.27,49.13,48.18,48.6,424647
2020-09-10,48.44,49.06,48.29,48.31,514315
2020-09-09,48.71,49.2,47.95,48.77,647604
2020-09-08,50.07,50.22,48.0,48.27,1235739
2020-09-04,51.88,52.205,50.65,50.85,583713
2020-09-03,51.94,52.85,51.54,51.83,832699
2020-09-02,51.28,52.25,50.86,52.03,645589
2020-09-01,52.03,52.35,51.18,51.36,469034
2020-08-31,52.56,52.725,51.39,52.3,527682
2020-08-28,51.97,52.9,51.925,52.82,306312
2020-08-27,52.25,52.58,51.8806,52.39,390308
2020-08-26,52.24,52.86,51.905,52.18,479703
2020-08-25,52.5,52.82,51.02,52.5,852625
2020-08-24,53.13,53.14,52.07,52.31,375109
2020-08-21,52.86,52.86,51.79,52.38,580465
2020-08-20,53.24,53.4,52.56,53.1,387132
2020-08-19,53.87,54.49,53.23,53.71,553228
2020-08-18,54.355,54.655,53.65,54.21,434185
2020-08-17,53.43,54.94,53.345,54.76,498886
2020-08-14,52.55,53.54,52.24,53.41,317164
2020-08-13,53.12,53.59,52.545,52.64,622358
2020-08-12,53.37,53.48,52.66,53.16,588738
2020-08-11,52.5,53.97,52.32,52.96,1049503
2020-08-10,50.22,51.86,50.16,51.74,922805
2020-08-07,50.55,50.75,49.75,50.45,795722
2020-08-06,51.55,52.67,49.56,50.45,1539821
2020-08-05,51.56,52.59,49.65,51.98,2523901
2020-08-04,54.15,55.52,53.98,55.12,1251266
2020-08-03,53.31,54.99,52.8,54.77,872789
2020-07-31,54.87,54.87,52.72,53.02,983872
2020-07-30,56.02,56.03,54.53,54.75,915691
