datetime,open,high,low,close,volume
2021-01-29,80.66,80.92,77.72,78.28,3466034
2021-01-28,80.1,82.23,79.92,81.19,2157200
2021-01-27,80.0,80.21,78.96,79.24,3166000
2021-01-26,82.37,82.58,81.1,81.22,1642300
2021-01-25,81.42,82.22,80.59,81.96,1787224
2021-01-22,82.0,82.88,81.45,82.62,1375400
2021-01-21,83.82,84.36,82.82,82.86,1326200
2021-01-20,84.77,84.85,83.61,84.01,1492500
2021-01-19,84.16,85.645,83.64,84.86,1836558
2021-01-15,83.57,84.03,82.17,83.61,2242000
2021-01-14,82.65,84.56,82.33,83.91,1721900
2021-01-13,81.86,82.47,81.2,82.24,1357200
2021-01-12,81.38,82.79,81.05,82.29,1547700
2021-01-11,79.68,81.18,79.2244,80.78,1069425
2021-01-08,81.46,81.6,79.32,80.7,1604000
2021-01-07,82.62,82.94,81.23,81.35,2364100
2021-01-06,79.1,82.85,78.94,81.71,3286100
2021-01-05,76.28,77.96,76.04,77.14,1577900
2021-01-04,78.4,78.4,75.71,76.4,2324043
2020-12-31,77.31,78.23,76.91,78.07,1208400
2020-12-30,76.55,77.68,76.44,77.45,1383700
2020-12-29,77.21,77.58,76.14,76.34,1231600
2020-12-28,77.16,78.62,76.7,76.91,1304078
2020-12-24,77.02,77.02,75.87,76.74,830654
2020-12-23,75.96,77.3,75.96,76.79,2439200
2020-12-22,76.36,76.46,74.99,75.0,1829600
2020-12-21,76.11,76.37,74.58,76.2,1793263
2020-12-18,77.62,77.98,75.755,76.53,2257006
2020-12-17,78.4965,78.625,76.665,77.65,1683528
2020-12-16,77.85,78.47,77.27,78.0,1454300
2020-12-15,77.5747,78.09,76.15,77.8,1142077
2020-12-14,80.0,80.03,76.54,76.61,1952051
2020-12-11,78.492,79.34,77.98,78.59,1195543
2020-12-10,79.03,80.17,78.87,79.96,1748000
2020-12-09,81.35,81.64,79.72,80.23,1592900
2020-12-08,79.94,80.59,79.195,80.25,1284098
2020-12-07,80.53,80.61,79.27,79.98,1731305
2020-12-04,79.8701,81.51,79.68,81.29,1746801
2020-12-03,78.61,79.68,78.24,78.87,2181200
2020-12-02,76.48,78.92,76.48,78.68,1813600
2020-12-01,77.77,78.03,76.88,77.11,1943800
2020-11-30,77.25,77.99,75.34,75.62,3287017
2020-11-27,78.63,79.16,77.64,78.09,892400
2020-11-25,78.87,78.87,77.95,78.73,1556300
2020-11-24,78.48,80.01,77.7,79.85,2702800
2020-11-23,75.37,77.23,75.235,76.84,2068705
2020-11-20,75.4,76.15,74.71,75.65,2474700
2020-11-19,74.97,76.14,73.7,75.79,1926500
2020-11-18,75.71,77.555,75.41,75.75,1973336
2020-11-17,74.57,75.82,73.78,75.42,1615400
2020-11-16,75.8,75.92,74.45,75.58,2051171
2020-11-13,71.87,73.51,71.73,73.13,1417077
2020-11-12,71.53,72.19,69.93,71.02,2394200
2020-11-11,75.67,75.67,72.06,73.02,3092700
2020-11-10,73.75,76.18,73.08,75.45,4568100
2020-11-09,69.25,74.62,69.1,73.45,6427576
2020-11-06,65.84,66.3,63.05,63.55,2625200
2020-11-05,63.56,66.49,63.56,65.37,2993600
2020-11-04,67.38,68.14,63.08,63.09,4564300
2020-11-03,67.33,68.79,67.18,67.78,2812500
2020-11-02,65.19,66.295,64.19,65.93,2008238
2020-10-30,62.56,64.08,62.16,64.02,2619200
2020-10-29,61.2,63.54,60.39,63.04,1914300
2020-10-28,62.12,63.15,61.22,61.67,2541000
2020-10-27,65.98,66.02,63.44,63.45,1801116
2020-10-26,67.63,67.7684,65.43,66.42,1613295
2020-10-23,68.62,69.05,68.01,68.72,1166326
2020-10-22,65.81,68.15,65.66,67.92,1422700
2020-10-21,65.99,66.82,65.77,66.14,1527700
2020-10-20,66.54,67.41,66.11,66.22,1313000
2020-10-19,66.62,67.25,65.51,65.6,1147607
2020-10-16,66.75,67.33,65.99,66.27,1539800
2020-10-15,65.54,66.67,64.87,66.53,1868900
2020-10-14,66.425,67.39,66.29,66.32,947281
2020-10-13,68.48,68.48,66.2301,66.4,1487493
2020-10-12,68.38,69.39,67.8661,69.19,1284059
2020-10-09,68.76,68.9852,67.09,67.9,1108249
2020-10-08,68.065,69.02,67.79,68.27,1255518
2020-10-07,66.07,68.0,66.07,67.79,2302200
2020-10-06,66.57,68.05,65.11,65.34,3175200
2020-10-05,64.65,66.21,64.51,65.71,2413911
2020-10-02,62.37,64.3,62.14,63.9,1821943
2020-10-01,63.825,64.755,62.81,63.53,1882199
2020-09-30,63.2,64.14,62.76,63.52,3071400
2020-09-29,63.73,64.25,62.385,63.09,1835730
2020-09-28,63.5,64.87,63.29,64.03,2306751
2020-09-25,61.0,62.26,60.6,62.08,2720461
2020-09-24,62.03,62.65,60.16,61.46,3317388
2020-09-23,64.0601,65.01,61.94,61.96,2278154
2020-09-22,64.56,65.54,62.68,63.69,2761443
2020-09-21,66.55,67.14,63.95,64.73,2889481
2020-09-18,68.05,69.09,68.02,68.18,2024205
2020-09-17,69.09,69.66,67.42,68.59,2125291
