datetime,open,high,low,close,volume
2021-01-29,226.66,230.09,224.815,227.62,795847
2021-01-28,228.07001,230.14999,225.45,227.50999,791600
2021-01-27,227.33,228.98,224.89,228.05,822000
2021-01-26,225.86,228.69,225.33,227.84,825900
2021-01-25,223.44,226.5,221.94,225.82001,797586
2021-01-22,222.85001,223.85001,221.58,222.78999,1079100
2021-01-21,223.21001,225.14,221.41,221.97,1284000
2021-01-20,219.53999,226.0,218.58,224.98,1326600
2021-01-19,225.83,225.83,219.13,220.62,948919
2021-01-15,221.28999,225.38,220.10001,224.39,1864200
2021-01-14,224.77,224.77,220.84,221.23,773100
2021-01-13,222.25,225.63,222.25,224.78999,785400
2021-01-12,220.17,222.87,219.03,222.24001,690200
2021-01-11,221.94,222.71001,217.87,221.25,651464
2021-01-08,218.49001,223.63,218.49001,222.62,805500
2021-01-07,214.11,218.52,213.05,217.45,1224300
2021-01-06,216.35001,217.89999,212.22,213.82001,1506100
2021-01-05,219.33,221.61,216.14999,217.37,1094800
2021-01-04,230.32001,231.965,219.95,220.2,879100
2020-12-31,229.21001,231.08,226.52,230.92999,495700
2020-12-30,227.36,230.89,227.36,228.92999,559200
2020-12-29,230.09,231.25999,226.42,227.8,677400
2020-12-28,229.78,230.60001,227.22,229.14,436990
2020-12-24,227.07001,228.92,227.07001,228.85001,179601
2020-12-23,231.53,232.75,226.77,227.0,720800
2020-12-22,228.97,232.35001,228.17,232.19,783100
2020-12-21,227.58,230.19501,226.11,228.71001,683451
2020-12-18,232.935,232.935,227.71001,228.92999,535377
2020-12-17,228.565,233.25999,227.11,232.56,762968
2020-12-16,225.16,228.0,224.35001,225.96001,699300
2020-12-15,224.5,225.17999,220.0,225.17,1109168
2020-12-14,226.0,229.74001,222.46001,223.74001,2200136
2020-12-11,217.27499,220.92999,217.27499,220.06,1341548
2020-12-10,219.09,221.0,216.2,216.58,929800
2020-12-09,222.03999,223.53999,217.53999,219.64,714600
2020-12-08,224.69,224.935,221.78,221.86,388504
2020-12-07,224.0,226.53,223.97,224.67999,507022
2020-12-04,226.57001,227.31,223.075,224.53,346835
2020-12-03,224.44,226.62,223.7,226.03999,652500
2020-12-02,224.36,228.57001,223.33,224.52,551300
2020-12-01,224.88,225.94,222.21001,225.35001,614000
2020-11-30,220.07001,225.60001,219.81,224.46001,1075208
2020-11-27,223.37,223.37,219.25,220.03,377400
2020-11-25,222.86,224.56,221.82001,223.3,596800
2020-11-24,219.71001,222.72,217.23,222.07001,1323700
2020-11-23,224.38,226.703,218.31,219.13,1066803
2020-11-20,229.00999,229.17999,223.07001,223.64,1252800
2020-11-19,229.75,230.63,227.19,228.78999,931700
2020-11-18,234.325,236.66,229.78999,229.96001,779288
2020-11-17,232.73,236.67,230.84,234.53999,616500
2020-11-16,236.82001,236.82001,228.75,233.69,545102
2020-11-13,232.02,235.39,231.44,233.85001,428074
2020-11-12,236.64999,236.64999,228.78999,231.81,580100
2020-11-11,235.35001,237.0,232.32001,235.82001,776700
2020-11-10,222.23,234.17999,221.02,234.03999,1035700
2020-11-09,240.74001,240.74001,220.92,222.08,1391066
2020-11-06,231.34,237.67,229.8,231.33,668000
2020-11-05,234.49001,236.28999,228.84,230.66,945200
2020-11-04,235.33,240.75,234.78,235.25999,892200
2020-11-03,234.09,236.3,232.17999,235.48,719400
2020-11-02,231.33,234.64,230.2,232.81,782709
2020-10-30,229.84,232.24001,227.21001,229.07001,1009300
2020-10-29,232.13,234.11,230.64,230.86,908100
2020-10-28,231.97,234.78999,229.10001,231.12,1037900
2020-10-27,236.28,239.39999,234.575,234.73,574697
2020-10-26,234.38,237.02,233.39,236.23,870730
2020-10-23,235.66,236.81,233.905,235.92,353408
2020-10-22,232.78999,235.78999,231.78999,235.11,439000
2020-10-21,233.05,235.14999,232.19,233.00999,670900
2020-10-20,232.17,235.45,230.28,233.12,501000
2020-10-19,233.49001,234.14999,230.9101,231.19,817284
2020-10-16,233.69,235.39,232.17,233.0,1677000
2020-10-15,233.37,237.5,232.0,234.34,827600
2020-10-14,235.16,236.50999,232.48,233.5,563284
2020-10-13,235.06,236.17,232.12,235.49001,492075
2020-10-12,234.37,236.34,232.77,235.08,609985
2020-10-09,232.16499,234.08,230.67,233.89,293881
2020-10-08,231.24001,233.10001,230.42,231.92999,348577
2020-10-07,229.09,231.53,228.07001,230.03999,585500
2020-10-06,229.25999,230.64999,225.67999,228.28999,1007700
2020-10-05,231.8,232.64,226.60001,232.16,475478
2020-10-02,226.28999,231.96001,222.77,230.89999,500453
2020-10-01,222.71001,226.32001,222.00999,226.25999,631158
2020-09-30,222.16,223.48,219.21001,222.72,863500
2020-09-29,220.7,222.89999,218.47,220.91,432327
2020-09-28,220.83,223.101,219.78999,221.13,569875
2020-09-25,212.91,218.59,212.48,218.50999,440878
2020-09-24,213.73,217.69,213.53,214.67,506596
2020-09-23,218.74001,218.74001,212.57001,212.85001,814633
2020-09-22,217.7177,220.19,216.78798999999998,219.17999,553653
2020-09-21,220.28999,220.75999,214.48,216.22,1564021
2020-09-18,221.74001,222.21001,219.11,220.92999,637723
2020-09-17,223.63,226.11,220.10001,222.25,467528
2020-09-16,222.92999,226.31,221.55,224.62,703253
2020-09-15,225.0,226.60001,220.77,220.89,805895
2020-09-14,218.82001,225.45,218.82001,224.77,511264
2020-09-11,219.2,222.37,217.86,220.57001,488005
2020-09-10,216.2475,219.46001,213.77,218.14999,600201
2020-09-09,215.53999,222.05,215.53999,216.72,688361
2020-09-08,211.25,215.10001,209.56,213.88,686241
2020-09-04,213.395,215.88,209.47,212.14,435459
2020-09-03,214.14999,218.66,211.86,212.94,875244
2020-09-02,211.55499,214.28999,210.3,214.14999,768113
2020-09-01,211.23,213.61,208.1925,213.39999,387078
2020-08-31,213.32001,214.64999,211.52,212.41,663529
2020-08-28,210.44,213.63,209.03,213.33,472567
2020-08-27,209.39999,212.42999,208.81,211.25,431499
2020-08-26,205.97,208.645,204.22501,208.60001,980889
2020-08-25,206.44,206.78999,204.66,206.75,309354
2020-08-24,206.52,206.55,203.49001,206.44,394436
2020-08-21,204.5,206.7,202.96001,206.455,575973
2020-08-20,197.06,203.39999,197.06,203.32001,458523
2020-08-19,201.17,201.34,196.42999,197.50999,513883
2020-08-18,200.06,202.25,198.28,200.89,458595
2020-08-17,199.72501,200.14,197.45,200.00999,425909
2020-08-14,197.56,202.88,197.56,200.21001,537795
2020-08-13,197.17,199.75,196.41,197.39,419028
2020-08-12,200.08501,200.08501,195.25999,198.34,416285
2020-08-11,202.46001,204.32001,197.61501,198.89,567889
2020-08-10,200.97501,203.795,199.66,202.46001,428164
2020-08-07,194.84,201.855,194.84,199.24001,797911
2020-08-06,192.35001,196.45,186.27,196.21001,1560604
2020-08-05,201.81,201.98,195.89999,196.44,796096
2020-08-04,196.7,202.0,196.05,201.55,762502
2020-08-03,198.99001,199.0,195.49001,195.91,1193245
2020-07-31,197.39,199.72,193.71001,199.72,901887
2020-07-30,193.85001,198.32001,193.75,197.62,845430
2020-07-29,194.02,197.5,192.67,196.89999,663193
2020-07-28,186.39,193.89999,186.39,193.89999,700671
2020-07-27,185.2,186.7,183.22,185.57001,403400
2020-07-24,187.985,188.14,185.06,185.38,429094
2020-07-23,188.96001,189.965,185.465,187.10001,395264
2020-07-22,185.77,189.2,184.32001,188.3,630990
2020-07-21,189.22,189.48,186.71001,186.78999,480453
2020-07-20,192.0,192.50999,187.75999,187.75999,469773
2020-07-17,188.7,192.98,187.35001,192.28999,408214
2020-07-16,192.5,194.735,188.28,188.33,164522
2020-07-15,195.30611000000002,195.60001,191.19,192.72,98052
2020-07-14,193.38,196.88,192.95,193.88,217668
2020-07-13,195.0798,195.33501,192.60001,192.77,79452
2020-07-10,195.78999,196.877,194.02,194.42999,151524
2020-07-09,193.11,196.31,192.13,195.37,103445
2020-07-08,194.22,195.07001,193.06,193.22,101372
2020-07-07,194.85001,196.105,194.08,194.22,121736
2020-07-06,202.24001,203.06,195.72,196.44,97417
2020-07-02,201.015,201.14,197.58,199.33,137734
2020-07-01,191.67,200.12,191.22,199.16,665148
2020-06-30,191.28999,193.60001,189.09,191.89,1064900
2020-06-29,190.75999,191.73,189.12958999999998,191.10001,544562
2020-06-26,190.64999,193.28999,188.63,189.28,1370100
2020-06-25,189.0,191.14,186.92999,191.02,201303
2020-06-24,186.84,190.92,186.36,189.53,256460
2020-06-23,192.24001,192.38,188.06,188.24001,196190
2020-06-22,190.92999,192.12,187.395,190.24001,247078
2020-06-19,198.49001,198.49001,190.5,190.67999,385233
2020-06-18,196.42999,197.07001,192.9046,196.28,184283
2020-06-17,198.41,200.27,196.92999,197.75,137695
2020-06-16,204.58,205.25,197.38499,198.87,232628
2020-06-15,193.67,200.42999,191.59,199.19,301473
2020-06-12,198.00999,199.00999,191.59,196.25,439208
2020-06-11,201.78999,202.59,194.61,195.92999,333555
2020-06-10,210.71001,211.74001,205.39,205.39,235462
2020-06-09,203.95,211.67999,202.12,211.38,260237
2020-06-08,206.50999,210.94,205.10001,206.67999,285912
2020-06-05,205.99001,207.66,203.42999,206.37,1135400
2020-06-04,206.88,207.49001,198.92999,200.64,901200
2020-06-03,208.66,213.61,207.5,207.96001,1189600
2020-06-02,207.31,209.07001,203.60001,207.74001,1193400
2020-06-01,202.25,206.24001,200.67999,204.77,1236800
2020-05-29,200.07001,204.13,198.14999,202.74001,1202900
2020-05-28,198.53999,201.31,197.0,201.19,756900
2020-05-27,193.25,197.73,193.25,196.97,885600
2020-05-26,190.33,193.21001,188.85001,192.48,1100600
2020-05-22,184.02,186.56,183.0,186.47,622000
2020-05-21,183.13,184.32001,181.75999,182.77,561000
2020-05-20,184.77,185.41,181.33,183.92,949500
2020-05-19,182.17999,184.46001,181.52,183.58,725100
2020-05-18,179.99001,185.45,179.67999,183.36,1083400
2020-05-15,176.74001,176.87,173.16,175.97,1404400
2020-05-14,175.0,179.0,172.11,179.0,1023400
2020-05-13,177.88,179.98,176.14,176.60001,1081500
2020-05-12,186.94,187.84,174.82001,178.47,1333900
2020-05-11,188.82001,190.28999,186.31,186.92999,700500
2020-05-08,185.75999,191.64999,184.94,190.34,1126700
2020-05-07,178.0,184.22,177.2,183.50999,1256500
2020-05-06,179.81,181.02,175.8,176.09,720600
2020-05-05,181.92999,183.45,178.94,179.44,1227200
2020-05-04,184.25999,184.25999,178.64999,181.09,979800
2020-05-01,180.31,186.71001,176.0,184.36,1570100
2020-04-30,185.33,186.19,180.47,185.45,1572900
2020-04-29,193.47,193.67999,186.67999,186.72,1002900
2020-04-28,194.60001,197.92999,190.66,191.00999,1051100
2020-04-27,188.89,193.55,187.58,192.96001,1131600
2020-04-24,188.03999,189.78999,186.86,187.23,603000
2020-04-23,192.19,193.56,187.17,187.5,1055700
2020-04-22,193.07001,195.10001,191.98,193.00999,766700
2020-04-21,190.85001,192.67,187.73,190.89999,891500
2020-04-20,194.75,196.71001,192.41,193.32001,813500
2020-04-17,197.2,198.14,194.06,196.48,859600
2020-04-16,198.21001,200.0,193.77,193.96001,1097200
2020-04-15,202.82001,204.47,192.27,195.3,1214200
2020-04-14,205.98,210.27,201.73,204.87,988700
2020-04-13,206.89,207.87,200.22,201.42999,771500
2020-04-09,200.56,209.52,200.28999,208.59,1613200
2020-04-08,198.31,201.64999,193.3,199.07001,1363300
2020-04-07,202.41,212.3,196.96001,197.25999,1234500
2020-04-06,199.78999,204.88,197.0,203.73,1296300
2020-04-03,191.13,197.0,190.96001,194.08,991400
2020-04-02,194.14,196.17,184.73,192.87,2148500
2020-04-01,192.25999,197.11,190.14,196.62,1563900
2020-03-31,199.44,201.67,192.10001,198.61,1619000
