datetime,open,high,low,close,volume
2021-01-29,69.3,71.4,67.39,67.8,4982625
2021-01-28,71.7,72.62,70.56,71.45,2652800
2021-01-27,70.22,73.18,69.7,71.2,3080400
2021-01-26,72.85,74.08,71.26,71.31,2056300
2021-01-25,72.0,73.2,71.03,72.08,2806770
2021-01-22,71.7,73.09,71.15,72.55,2562800
2021-01-21,74.56,75.41,72.63,73.16,2698600
2021-01-20,75.4,75.96,73.94,75.39,2566400
2021-01-19,72.72,75.17,72.08,74.78,2939626
2021-01-15,73.15,73.46,70.93,71.74,3413300
2021-01-14,72.03,74.95,72.0,74.14,3028200
2021-01-13,73.5,73.7,71.53,71.77,2519200
2021-01-12,72.72,74.07,71.64,73.74,2648600
2021-01-11,69.0,72.8,68.6801,72.27,4307460
2021-01-08,72.51,72.6,70.34,70.71,2683600
2021-01-07,71.5,73.31,70.78,71.86,2568200
2021-01-06,73.01,73.42,70.34,71.22,5097800
2021-01-05,70.0,73.78,70.0,71.75,3906200
2021-01-04,70.61,71.29,68.56,69.88,2557146
2020-12-31,70.5,70.74,69.76,69.94,2003500
2020-12-30,68.59,70.91,68.49,70.6,2905600
2020-12-29,69.45,69.87,67.78,68.38,3847500
2020-12-28,69.44,70.93,69.04,69.33,2336763
2020-12-24,69.245,69.28,68.063,68.73,1370416
2020-12-23,68.38,69.97,68.01,69.36,2987700
2020-12-22,66.52,68.18,66.15,67.51,3573900
2020-12-21,64.76,67.26,63.8,66.49,3325041
2020-12-18,67.08,67.52,66.06,66.88,3073908
2020-12-17,67.84,67.87,66.406,67.16,2358223
2020-12-16,68.45,68.5,66.92,67.29,3393500
2020-12-15,67.21,68.69,66.25,68.27,2492895
2020-12-14,69.71,70.55,66.865,67.19,2701850
2020-12-11,70.25,70.4221,68.45,69.52,2181819
2020-12-10,68.15,71.7,68.15,70.86,3348500
2020-12-09,68.46,70.1,66.98,68.77,3601100
2020-12-08,66.6,69.08,66.08,67.39,2198022
2020-12-07,68.32,68.81,66.32,67.05,3059024
2020-12-04,66.7801,69.92,66.52,69.34,3798253
2020-12-03,64.75,66.9,63.84,65.02,2732100
2020-12-02,61.2,65.28,61.04,64.43,4410300
2020-12-01,62.78,64.18,61.53,61.88,4021100
2020-11-30,64.26,64.5,60.3,60.58,5916770
2020-11-27,65.62,66.25,64.69,65.23,1936000
2020-11-25,66.88,67.23,65.77,66.26,3754600
2020-11-24,68.15,68.71,66.6,67.72,4207300
2020-11-23,62.72,65.92,62.6009,65.84,4070796
2020-11-20,61.3,62.49,61.01,61.59,2651600
2020-11-19,60.0,61.82,59.53,61.45,2671600
2020-11-18,64.78,64.83,60.72,60.74,3647633
2020-11-17,61.25,64.43,60.25,64.34,5365700
2020-11-16,61.19,63.135,59.1,62.62,6005373
2020-11-13,55.5,59.5,55.5,58.75,5216775
2020-11-12,57.68,58.53,54.6,54.85,5068000
2020-11-11,58.9,58.99,57.69,58.98,4585600
2020-11-10,58.69,58.78,55.7,58.14,5186200
2020-11-09,52.42,58.2269,52.3,57.03,8912629
2020-11-06,48.11,48.89,46.19,46.68,3617000
2020-11-05,47.71,48.91,47.43,48.19,3210100
2020-11-04,47.66,49.25,46.61,47.92,3708500
2020-11-03,48.62,49.04,46.85,47.52,3287300
2020-11-02,47.38,48.38,46.51,47.96,3732454
2020-10-30,45.38,46.74,44.91,46.66,4578900
2020-10-29,43.62,46.18,43.27,45.98,4433200
2020-10-28,45.73,46.5,44.14,44.22,4909600
2020-10-27,48.05,48.3744,47.02,47.07,3255451
