datetime,open,high,low,close,volume
2021-01-29,121.35,124.29,119.84,120.9,2747300
2021-01-28,118.48,123.65,115.15,122.6,4512100
2021-01-27,121.8,123.9,117.06,117.63,3793500
2021-01-26,130.71001,132.39,123.57,123.64,2101400
2021-01-25,129.38,130.47,125.68,129.33,1686560
2021-01-22,126.94,131.74001,125.76,131.16,2521500
2021-01-21,131.67999,132.17999,126.93,130.0,3598900
2021-01-20,134.53,134.53,130.92,132.13,2291400
2021-01-19,128.72,132.97,128.27,132.03999,2678215
2021-01-15,130.89999,130.96001,126.31,127.38,2783700
2021-01-14,130.99001,134.09,129.89,132.38,3050600
2021-01-13,133.67999,134.50999,129.50999,130.92999,3363500
2021-01-12,133.25,138.42,132.74001,135.12,13487100
2021-01-11,127.13,131.77,126.17,131.42,2344417
2021-01-08,133.78,133.78,130.12,131.24001,3147800
2021-01-07,128.38,133.41,127.28,131.99001,2930700
2021-01-06,122.39,128.46001,121.3,126.36,3447400
2021-01-05,115.17,124.5,114.98,121.35,3046000
2021-01-04,115.02,116.37,111.815,113.48,1589400
2020-12-31,113.4,114.81,112.4,113.89,1444700
2020-12-30,110.36,114.92,109.9,114.57,1292500
2020-12-29,111.01,112.09,109.11,110.64,1320100
2020-12-28,112.86,113.8965,110.15,110.65,980324
2020-12-24,112.55,112.85,110.7963,112.49,536044
2020-12-23,109.78,114.88,109.44,113.12,1417000
2020-12-22,111.5,111.63,108.2,108.44,1579700
2020-12-21,108.95,113.64,107.96,110.89,1520787
2020-12-18,114.4,115.195,112.62,114.24,1466183
2020-12-17,117.26,117.76,113.545,114.39,1514453
2020-12-16,118.0,119.42,115.76,116.89,2457900
2020-12-15,114.255,117.76,112.54,117.41,1504369
2020-12-14,118.04,118.205,111.91,113.11,1863979
2020-12-11,117.84,118.27,114.34,115.57,1382681
2020-12-10,113.72,119.52,113.72,118.79,1990600
2020-12-09,115.64,116.23,112.25,114.43,2037600
2020-12-08,109.0301,115.1,108.91,114.28,1645113
2020-12-07,112.72,112.72,109.6501,110.28,1721919
2020-12-04,107.755,114.26,107.755,114.06,2290923
2020-12-03,101.95,106.74,100.72,105.35,1988800
2020-12-02,99.19,104.94,98.59,101.53,1904700
2020-12-01,103.54,103.84,99.1,99.8,1750900
2020-11-30,108.59,108.69,100.27,100.58,3006044
2020-11-27,109.62,111.54,109.14,110.07,1109200
2020-11-25,110.0,111.19,108.33,109.96,1690200
