datetime,open,high,low,close,volume
2021-01-29,238.64999,240.87,232.73,234.31,9805849
2021-01-28,235.0,241.55499,232.21001,237.78999,8277800
2021-01-27,234.7,235.39999,225.0,229.94,11768800
2021-01-26,246.89999,248.75999,240.03,241.0,7867600
2021-01-25,253.8,254.39,242.22,247.75,8499384
2021-01-22,246.64999,254.39,246.2,252.0,7791600
2021-01-21,246.67,250.37,243.58,248.64,10324300
2021-01-20,248.85001,249.64999,244.14,244.25999,5797700
2021-01-19,243.3,248.74001,241.0,247.25,7436752
2021-01-15,242.25,244.563,235.034,239.78999,8365200
2021-01-14,246.87,249.85001,241.53999,242.06,6972300
2021-01-13,236.57001,247.44,236.53999,244.89999,7346300
2021-01-12,237.62,238.8,233.83,237.64,4136600
2021-01-11,238.03999,240.7894,234.11,237.5,5073071
2021-01-08,237.42999,242.91,236.069,242.46001,6764200
2021-01-07,229.46001,235.60001,229.22,235.03999,7099400
2021-01-06,228.94,232.49001,225.702,226.83,9204600
2021-01-05,230.47,235.64,229.8,234.91,5036000
2021-01-04,237.8,237.9969,227.53481000000002,231.92,7661799
2020-12-31,232.0,234.69,229.69,234.2,5000900
2020-12-30,232.19,233.84,230.02,231.50999,6013900
2020-12-29,236.0,236.25,229.67999,231.03,8310400
2020-12-28,243.5,243.5,235.25,235.73,6736966
2020-12-24,240.36,242.12,238.09,238.64,3053800
2020-12-23,243.60001,244.25,238.33,239.44,6414900
2020-12-22,240.16499,243.67999,238.09,243.49001,6331700
2020-12-21,232.62,239.75,232.211,237.72,7503142
2020-12-18,236.1492,237.12,232.28011,236.45,7112089
2020-12-17,234.0,238.07001,232.39999,235.53999,7012147
2020-12-16,224.8,231.14999,224.61,230.2,10056200
2020-12-15,221.75,222.31,217.12,221.71001,5442462
2020-12-14,215.95,223.12981000000002,215.0,220.78999,9240588
2020-12-11,213.39999,215.0,210.4203,214.14,3587976
2020-12-10,208.36,216.23,206.64999,215.34,6552600
2020-12-09,217.0,218.94,209.25,210.8,7795400
2020-12-08,216.325,218.72,215.60001,216.87,4502594
2020-12-07,217.39,219.32001,216.31,217.92999,4538089
2020-12-04,214.83,218.55299,213.00999,217.77,5328146
2020-12-03,213.33,216.92999,213.11,214.53999,7637900
2020-12-02,215.60001,215.75,210.5,212.56,7528900
2020-12-01,217.14999,220.57001,214.34,216.53999,10137400
2020-11-30,212.50999,215.825,207.09,214.12,11578571
2020-11-27,213.39,213.8,208.62,211.39,4861405
2020-11-25,206.28999,216.07001,206.23,214.46001,13812900
2020-11-24,204.0,207.07899,198.86,206.0,14769100
2020-11-23,194.53,202.16,193.92,200.82001,12019989
2020-11-20,192.47,194.73,190.96001,192.67,11514100
2020-11-19,190.82001,192.75,189.57001,190.89999,9380100
2020-11-18,192.59,192.95,189.53999,190.12,8091800
2020-11-17,192.13,194.63,190.63,192.3,6441900
2020-11-16,185.19,192.37,183.53999,191.94,10127757
2020-11-13,191.1069,191.7299,186.85001,188.62,4643244
2020-11-12,193.95,194.89999,188.42999,189.10001,7096100
