datetime,open,high,low,close,volume
2021-01-29,214.05499,215.215,209.63,209.71001,102664
2021-01-28,220.82001,220.82001,216.47,217.10001,290800
2021-01-27,224.03,224.46001,218.50999,218.92999,308600
2021-01-26,228.23,231.41,225.78999,227.17,266900
2021-01-25,227.27,232.38,226.13,228.25,182462
2021-01-22,229.72,230.07001,225.39999,228.92,229600
2021-01-21,236.48,237.94,231.75,231.8,178400
2021-01-20,231.66,237.05,231.25,236.58,179300
2021-01-19,230.66,234.07001,229.73,232.74001,229482
2021-01-15,235.36,235.36,230.64,231.31,185320
2021-01-14,239.67,239.67,234.13,235.2,197900
2021-01-13,238.69,241.71001,236.92,238.24001,162200
2021-01-12,240.11501,241.83,238.22501,239.23,147244
2021-01-11,237.99001,239.72,235.92,237.25,203701
2021-01-08,241.3,241.86,236.00999,238.97,209700
2021-01-07,241.24001,241.81,238.25,241.36,259400
2021-01-06,229.63,240.50999,229.46001,239.64,309900
2021-01-05,228.08,229.67999,225.58,226.23,158600
2021-01-04,235.0,235.91,226.77,228.11,157873
2020-12-31,232.58501,234.39999,228.89,234.17,54996
2020-12-30,229.85001,231.0,228.56,230.36,128600
2020-12-29,230.96001,231.11,227.97,229.33,75700
2020-12-28,230.72,232.75999,229.8,230.78,122441
2020-12-24,227.06,229.92,226.235,229.17999,45496
2020-12-23,229.11,232.575,229.00999,229.72501,54381
2020-12-22,228.44,230.25,227.5,228.14,173800
2020-12-21,232.0,232.0,224.52,229.14,202475
2020-12-18,235.19,236.86501,230.64,232.53999,175871
2020-12-17,233.52,235.96001,232.84,235.14999,175367
2020-12-16,233.73,235.89,232.25,233.37,242700
2020-12-15,230.72,234.10001,228.91,233.19,139242
2020-12-14,234.08,235.395,229.145,229.7,238697
2020-12-11,233.55,237.19,231.60001,231.62,127270
2020-12-10,234.14,237.07001,233.32001,235.82001,229500
2020-12-09,235.53999,236.75,231.85001,236.0,251300
2020-12-08,231.03,235.3,231.03,235.06,194113
2020-12-07,232.42999,232.49001,229.22,230.32001,220210
2020-12-04,234.75,236.09,233.28999,234.41,208480
2020-12-03,231.88,234.08,231.28999,232.57001,202400
2020-12-02,229.69,232.73,228.64999,232.39,210600
2020-12-01,231.09,233.8,228.87,230.71001,271300
2020-11-30,231.19,233.03999,225.53,227.33,979828
2020-11-27,234.81,236.60001,232.57001,233.45,123698
2020-11-25,240.42,240.42,235.03,237.49001,236200
2020-11-24,237.96001,242.69,234.81,241.53999,334400
2020-11-23,233.2,234.60001,231.095,233.73,180921
2020-11-20,234.02,234.02,228.88,231.10001,218400
2020-11-19,233.21001,234.67999,227.45,233.83,268600
2020-11-18,237.815,241.075,235.12,235.13,154982
2020-11-17,235.36,238.74001,233.77,238.39,181700
2020-11-16,238.23,239.71001,233.895,238.8,280476
2020-11-13,232.45,234.99001,231.77,232.61,168335
2020-11-12,232.87,233.71001,227.49001,230.3,280600
2020-11-11,240.3,240.52,233.35001,235.03,236200
2020-11-10,232.69,241.35001,231.75,240.2,398100
2020-11-09,227.48,235.03999,224.25,231.69,613322
2020-11-06,212.86,212.86,208.03,210.67999,271300
2020-11-05,213.36,216.66,209.84,211.83,251800
2020-11-04,210.37,217.85001,208.24001,211.64,357200
2020-11-03,210.83,218.45,209.89999,215.64,472400
2020-11-02,199.19,207.17999,196.94,207.0,347700
2020-10-30,204.50999,206.21001,193.62,197.08,675900
2020-10-29,195.42999,203.39,193.69,202.11,351000
2020-10-28,199.27,201.50999,196.2,196.2,293700
2020-10-27,207.06,207.27499,201.77,202.07001,210099
2020-10-26,212.17,212.78999,207.17999,209.11,324026
2020-10-23,209.25,214.33,208.0,214.03,259782
2020-10-22,205.75999,207.75999,204.67999,207.03999,263200
2020-10-21,200.96001,206.0,198.64999,205.47,298100
2020-10-20,199.69,201.7,198.53999,199.84,212900
2020-10-19,200.7,201.85001,197.25,197.28999,131443
2020-10-16,201.60001,203.5,200.05,200.7,40228
2020-10-15,200.64999,202.28,199.97,201.88,107066
2020-10-14,198.66499,205.5,198.66499,202.37,342097
2020-10-13,203.12,205.17,199.88,202.5,199896
2020-10-12,205.00999,207.42,204.34,205.66,120797
2020-10-09,205.74001,206.57001,203.35001,205.12,127799
2020-10-08,200.8,204.99001,200.0,204.08,163959
2020-10-07,200.45,201.72,194.87,198.33,290000
2020-10-06,206.42999,206.49001,199.2,199.82001,184400
2020-10-05,200.67999,204.105,200.205,203.98,253625
2020-10-02,194.03,199.82001,193.02499,198.75,172652
2020-10-01,197.78999,200.61,194.75,196.92999,281938
2020-09-30,201.00999,201.75,194.53999,197.53999,473700
2020-09-29,200.92999,201.95,197.42999,199.78,132622
2020-09-28,201.82001,204.395,201.00999,201.41,93457
2020-09-25,198.35001,199.49001,196.08,198.56,128086
2020-09-24,196.92,201.45,194.785,199.69,238101
2020-09-23,200.92,201.23,195.96001,197.27,163067
2020-09-22,203.64,206.41,199.16,200.28999,200693
2020-09-21,197.42,202.5,195.99001,202.5,413564
2020-09-18,204.9825,206.39,200.42999,201.41,165485
2020-09-17,206.31,206.86,202.39,204.91,193459
2020-09-16,206.52,210.375,205.41,206.3,138083
2020-09-15,211.07001,211.07001,205.39,206.21001,115733
2020-09-14,207.62,211.92,207.25,209.89,145353
2020-09-11,208.7,209.00999,205.97,206.28,189967
2020-09-10,213.35001,215.19,207.46001,207.53,162769
2020-09-09,214.39999,216.95598999999999,211.66,213.60001,144663
2020-09-08,212.92999,213.13,208.63,211.63,180266
2020-09-04,219.39999,220.38,213.98,215.78,151656
2020-09-03,219.85001,222.75999,214.5,216.09,160031
2020-09-02,216.07001,219.295,214.94,217.81,235234
2020-09-01,217.10001,218.94,216.21001,217.75999,125382
2020-08-31,220.64999,221.35001,217.95,220.0,187888
2020-08-28,222.92999,223.03,219.17999,221.66,144330
2020-08-27,219.38,225.655,219.38,221.88,179717
2020-08-26,217.45,218.34,215.92,216.97,132345
2020-08-25,220.84,221.84,218.60001,218.85001,150979
2020-08-24,213.905,219.00999,213.73,218.62,93585
2020-08-21,216.67,217.13,213.21001,213.8,247196
2020-08-20,215.53999,217.0,213.91,216.47,163626
2020-08-19,221.0,221.78,216.925,217.32001,195213
2020-08-18,222.11,222.88,220.315,220.73,163466
2020-08-17,224.61,225.46001,221.77,222.06,137395
2020-08-14,223.9325,228.49001,223.48,225.27,133867
2020-08-13,225.58,227.84,224.855,225.28,147618
2020-08-12,231.92,232.35001,227.52,227.72,96700
2020-08-11,235.00999,237.00999,227.995,228.27,201202
2020-08-10,232.03,234.95,231.255,231.77,160027
2020-08-07,222.33,232.52499,222.19,232.41,258583
2020-08-06,224.815,226.761,216.515,223.58,405167
2020-08-05,220.9673,222.78999,218.23,219.81,294568
2020-08-04,221.22,221.52,216.92999,217.14999,232500
2020-08-03,219.61501,223.08,218.35001,220.96001,218366
2020-07-31,215.7,218.98,214.7,218.89,161200
2020-07-30,215.03999,218.64,214.22,216.09,138131
2020-07-29,217.545,220.50999,217.13,219.92999,119649
2020-07-28,220.49001,220.92,216.12,216.24001,192802
2020-07-27,219.03999,223.47,219.03999,220.58,170077
2020-07-24,226.07001,226.14999,221.05,224.14,233668
2020-07-23,224.08,224.95,221.41,223.06,129996
2020-07-22,220.64,224.21001,220.09,223.88,155827
2020-07-21,221.28,223.035,219.39999,220.61,144362
2020-07-20,221.12,222.19,218.09,219.99001,139822
2020-07-17,223.276,223.39,219.39,222.7,134172
2020-07-16,216.42,226.505,216.42,223.10001,120794
2020-07-15,216.17,219.295,213.50999,218.17999,81416
2020-07-14,207.31,211.87,207.2,211.13,66221
2020-07-13,207.89999,211.07001,203.71001,207.67,93894
2020-07-10,198.25999,206.98,197.36501,206.78,89393
2020-07-09,203.59,203.8,195.69,198.06,104559
2020-07-08,203.02,205.86,201.28999,204.44,77723
2020-07-07,203.815,205.31,202.47,203.73,86608
2020-07-06,205.58501,208.5,204.5,205.99001,75547
2020-07-02,207.37,208.2,200.44,200.82001,77794
2020-07-01,206.63,207.88499,203.81,203.89,257392
2020-06-30,202.17,207.09,202.14999,206.2,336600
2020-06-29,203.58,206.07001,200.55,202.53,320315
2020-06-26,204.88,206.14999,198.67999,200.87,621300
2020-06-25,204.32001,207.85001,202.7,207.145,137300
2020-06-24,210.00999,210.75,204.63,206.0,202748
2020-06-23,217.06,217.707,211.41,213.08,111680
2020-06-22,212.10001,215.69,210.53,213.37,112324
2020-06-19,218.95,219.35001,212.39999,215.8,153676
2020-06-18,212.63,218.7,210.83,215.5,137803
2020-06-17,219.75,221.23,215.92,215.92,189472
2020-06-16,226.10001,226.79581000000002,219.07001,220.59,129124
2020-06-15,205.66,217.71001,205.66,217.00999,101479
2020-06-12,217.015,219.8,209.31,214.84,132599
2020-06-11,213.015,218.52,209.255,211.00999,213484
2020-06-10,224.44,225.92,220.46001,221.64,125789
2020-06-09,226.41,229.45,224.37,227.45,107308
2020-06-08,228.38,231.25999,226.4413,231.08,96314
2020-06-05,229.56,230.17,221.24001,226.14999,455200
2020-06-04,212.88,217.69,209.28999,217.13,533400
2020-06-03,209.84,215.97,209.02,213.25999,564600
2020-06-02,194.71001,207.75,192.09,206.05,539100
2020-06-01,198.53999,199.17999,193.49001,193.77,439700
2020-05-29,202.17999,202.17999,196.06,198.41,535400
2020-05-28,205.59,207.25,202.14999,204.50999,342400
2020-05-27,210.31,210.31,199.19,203.06,637400
2020-05-26,213.49001,213.49001,202.85001,203.32001,540000
2020-05-22,205.25999,206.08,201.0,205.67999,376000
2020-05-21,198.3,206.38,198.10001,206.00999,571100
2020-05-20,188.8,201.02,188.32001,199.23,760300
2020-05-19,180.32001,189.13,179.36,186.36,675000
2020-05-18,175.62,181.66,174.89999,180.36,741700
2020-05-15,159.89999,169.81,157.35001,168.94,1087600
2020-05-14,160.88,164.0,157.32001,161.72,470700
2020-05-13,170.25,170.25,162.83,164.22,491100
2020-05-12,178.73,179.67999,172.0,172.00999,375700
2020-05-11,175.0,179.69,171.81,178.99001,473000
2020-05-08,177.02,178.06,172.67,176.8,312100
2020-05-07,166.53,178.12,165.75999,173.83,618700
2020-05-06,169.12,169.12,163.58,164.47,360600
2020-05-05,164.52,171.87,163.35001,167.71001,748200
2020-05-04,162.83,163.92,159.73,162.82001,312100
2020-05-01,169.42,169.42,164.21001,165.00999,322800
2020-04-30,181.17999,181.17999,173.06,173.13,285600
2020-04-29,184.74001,186.86,181.60001,184.45,238900
2020-04-28,180.03999,183.42,176.74001,179.64999,348200
2020-04-27,170.78,176.71001,170.78,175.72,432600
2020-04-24,178.03999,178.03999,169.55,170.81,512800
2020-04-23,180.82001,181.58,176.82001,177.09,340000
2020-04-22,183.31,184.69,176.41,179.38,547300
2020-04-21,184.88,187.12,178.5,179.60001,489700
2020-04-20,192.58,195.09,188.24001,190.52,293500
