datetime,open,high,low,close,volume
2021-01-29,100.03,102.12,98.6,99.93,1325178
2021-01-28,96.54,100.93,96.43,99.61,1340600
2021-01-27,97.26,97.57,94.41,95.41,1012200
2021-01-26,100.88,100.98,98.55,98.65,498200
2021-01-25,100.8,102.345,99.6,100.17,751872
2021-01-22,101.34,102.25,101.26,102.04,663700
2021-01-21,103.59,104.16,102.4,102.6,499500
2021-01-20,103.53,104.12,102.72,103.48,632300
2021-01-19,103.31,104.51,102.8215,103.86,709130
2021-01-15,102.11,103.75,101.53,102.94,597100
2021-01-14,102.28,103.22,101.95,102.7,1202700
2021-01-13,102.96,103.39,100.85,101.88,766700
2021-01-12,103.4,105.18,103.33,103.53,1133800
2021-01-11,101.08,103.92,100.53,103.31,613723
2021-01-08,101.91,102.48,100.5,102.0,598300
2021-01-07,101.43,102.95,100.81,101.73,885300
2021-01-06,96.27,100.92,95.3,99.99,1271200
2021-01-05,96.05,96.05,93.59,94.4,735800
2021-01-04,95.62,95.62,93.03,94.03,615611
2020-12-31,94.37,95.81,93.99,95.67,330700
2020-12-30,94.24,95.13,94.16,94.23,324200
2020-12-29,95.03,95.81,93.63,93.99,299700
2020-12-28,93.55,95.54,93.43,94.78,528199
2020-12-24,94.78,94.78,92.52,92.92,219400
2020-12-23,94.36,95.58,93.89,94.05,738800
2020-12-22,94.28,94.33,93.42,93.74,433100
2020-12-21,94.07,94.28,91.95,93.95,744666
2020-12-18,94.81,94.93,93.03,93.82,525021
2020-12-17,93.44,94.84,92.49,94.7,576947
2020-12-16,93.99,93.99,92.83,93.36,606700
2020-12-15,92.46,93.72,91.02,93.49,694884
2020-12-14,94.14,94.33,91.34,91.46,1190984
2020-12-11,92.57,92.685,90.84,92.33,505460
2020-12-10,91.58,92.85,91.25,92.65,1326400
2020-12-09,93.14,93.3,91.8,92.56,1070200
2020-12-08,94.45,94.45,92.3,92.93,1062264
2020-12-07,94.82,95.04,93.8,94.51,401461
2020-12-04,94.3,96.86,94.3,95.8,387617
2020-12-03,94.34,95.18,93.69,94.35,815600
2020-12-02,92.46,94.74,92.17,94.7,533000
