datetime,open,high,low,close,volume
2021-01-29,103.5,103.88,99.92,101.05,1033268
2021-01-28,102.0,105.39,101.08,103.54,1175300
2021-01-27,105.45,106.14,100.21,100.81,1425100
2021-01-26,110.31,110.56,106.15,107.07,1023800
2021-01-25,107.55,110.265,105.77,109.49,1002940
2021-01-22,106.91,112.89,105.46,108.47,1753000
2021-01-21,106.5,108.49,105.3,107.89,1051400
2021-01-20,107.65,109.34,106.36,106.59,822800
2021-01-19,109.52,110.7295,106.15,107.25,967819
2021-01-15,111.3,112.45,109.66,110.07,965600
2021-01-14,113.59,115.15,110.84,111.47,1063700
2021-01-13,114.04,116.34,111.64,112.94,1351900
2021-01-12,111.02,117.0,110.58,114.51,1096300
2021-01-11,110.02,111.185,108.435,110.59,1127118
2021-01-08,112.3,112.83,107.83,109.48,1283100
2021-01-07,111.0,113.27,110.08,112.18,1438900
2021-01-06,104.63,110.63,104.24,109.44,1551800
2021-01-05,101.01,105.14,100.75,104.0,891000
2021-01-04,103.88,103.955,99.33,101.33,1057127
2020-12-31,103.16,104.7,102.35,103.74,511400
2020-12-30,102.38,104.99,101.97,103.94,757100
2020-12-29,103.63,104.06,100.83,101.56,672600
2020-12-28,101.5,104.23,101.34,103.44,804175
2020-12-24,103.16,103.5,100.5,100.92,336400
2020-12-23,99.61,102.36,99.44,101.96,491600
2020-12-22,101.85,102.0,98.65,98.84,759300
2020-12-21,98.83,101.94,98.33,101.33,875971
2020-12-18,101.06,102.52,99.795,101.14,912984
2020-12-17,100.465,102.26,99.03,100.99,836872
2020-12-16,100.95,102.05,99.19,99.5,1066800
2020-12-15,99.765,100.73,97.7201,100.49,1030779
2020-12-14,103.29,104.76,98.74,98.9,1357731
2020-12-11,105.5,105.66,100.7301,101.38,1626817
2020-12-10,103.65,105.65,101.64,103.85,2083100
2020-12-09,98.52,101.95,97.98,100.83,1855500
2020-12-08,95.56,97.7008,94.4401,97.17,925698
2020-12-07,95.55,95.99,93.8,95.49,1198874
2020-12-04,97.87,97.895,95.23,96.18,1420927
2020-12-03,89.07,98.28,89.07,96.66,3244200
2020-12-02,87.38,88.97,85.81,88.92,1526300
2020-12-01,87.77,89.69,87.17,88.62,1826300
2020-11-30,87.23,87.76,85.14,85.75,4859945
2020-11-27,88.12,88.48,86.46,87.98,932500
2020-11-25,87.82,88.57,85.21,88.03,1347300
2020-11-24,86.0,89.94,85.54,89.03,2256400
2020-11-23,79.13,83.59,78.445,83.34,1922525
2020-11-20,80.41,80.65,78.0,78.22,1288400
2020-11-19,81.01,82.31,79.9,80.59,1238200
2020-11-18,84.52,85.1,81.75,81.79,1277014
2020-11-17,78.47,84.37,78.15,84.1,2182000
2020-11-16,81.0,81.0,77.485,79.34,1867942
2020-11-13,74.85,77.81,74.67,77.63,1653528
2020-11-12,75.23,76.2,73.13,74.27,1356700
2020-11-11,80.96,81.26,75.54,76.21,1589000
2020-11-10,81.01,83.46,80.62,81.35,1920400
2020-11-09,77.05,83.39,75.5,81.74,3667323
2020-11-06,69.69,70.9,67.41,68.23,1309900
2020-11-05,68.93,70.24,68.35,69.93,897600
2020-11-04,70.43,71.43,67.83,68.71,1260900
2020-11-03,68.25,70.25,67.98,69.12,1274300
2020-11-02,67.43,69.34,66.7,67.43,1565010
2020-10-30,70.18,70.34,65.2,66.85,2946800
2020-10-29,73.98,73.98,67.5,70.58,3742700
2020-10-28,72.95,75.1,72.16,74.3,1893100
2020-10-27,76.4,77.34,74.09,74.52,1007133
2020-10-26,76.63,77.47,75.06,76.8,1173886
2020-10-23,77.11,78.01,76.66,77.41,1361522
2020-10-22,75.43,77.48,75.07,77.11,1070900
2020-10-21,73.24,75.2,72.65,75.01,755900
2020-10-20,75.2,76.1,73.37,73.51,792600
2020-10-19,74.99,75.99,74.09,74.36,740098
2020-10-16,76.0,76.19,74.73,74.79,919600
2020-10-15,71.85,75.76,71.13,75.75,1179300
2020-10-14,72.29,73.87,72.095,72.99,1009162
2020-10-13,73.6,74.0,71.32,72.24,840527
2020-10-12,72.96,75.22,72.62,73.64,955683
2020-10-09,75.09,75.18,71.54,73.94,1279706
2020-10-08,72.665,74.38,72.02,74.32,1173177
2020-10-07,70.0,72.19,70.0,71.78,1423800
2020-10-06,72.86,72.97,69.12,69.28,1302200
2020-10-05,70.88,72.58,70.85,71.8,1181318
2020-10-02,67.04,70.17,66.85,69.92,1318496
2020-10-01,68.52,69.8,67.76,69.11,1149891
2020-09-30,67.65,68.72,67.11,67.97,1787100
2020-09-29,70.01,70.035,67.3,67.33,1174628
2020-09-28,72.59,72.72,70.29,70.44,1258304
2020-09-25,71.56,72.0,70.53,71.07,1041354
2020-09-24,71.38,72.42,69.5,71.62,1342448
2020-09-23,76.36,77.12,71.86,72.01,1037288
2020-09-22,72.305,75.14,70.77,75.04,1790498
2020-09-21,73.99,74.02,70.92,71.165,2904745
2020-09-18,78.4956,78.84,74.14,75.85,1473158
2020-09-17,80.15,81.39,77.92,78.7,915568
2020-09-16,80.6,82.82,80.6,81.25,794632
2020-09-15,80.61,81.55,79.24,80.68,1249211
2020-09-14,76.97,80.88,76.63,80.61,1653799
2020-09-11,75.77,76.24,74.82,76.2,913092
2020-09-10,74.38,76.5,73.94,75.5,943342
2020-09-09,74.65,74.65,72.69,73.5,929843
2020-09-08,72.8,76.07,72.61,75.09,1130174
2020-09-04,74.91,74.98,72.6907,74.05,1339563
2020-09-03,72.37,74.62,71.93,74.17,2057468
2020-09-02,69.98,71.75,69.61,71.59,1170282
2020-09-01,68.181,69.29,67.69,69.17,841742
2020-08-31,70.65,70.875,68.4,68.83,867695
2020-08-28,68.73,71.28,68.35,71.19,879062
2020-08-27,67.96,69.715,67.7,68.2,1049742
2020-08-26,69.315,69.35,67.57,67.64,1150791
2020-08-25,70.6,70.85,68.75,69.12,893509
2020-08-24,67.14,70.42,66.74,70.23,748234
2020-08-21,67.5,67.79,66.27,67.04,748177
2020-08-20,67.13,67.98,66.54,67.27,699468
2020-08-19,67.66,69.52,67.42,67.55,667664
2020-08-18,70.59,70.67,68.44,68.46,1097925
2020-08-17,70.845,70.96,68.575,70.96,692296
2020-08-14,69.55,71.27,68.09,70.66,964601
2020-08-13,69.4101,70.36,69.09,70.16,833948
2020-08-12,70.975,71.48,67.9462,69.79,981935
2020-08-11,70.6226,72.22,70.085,70.21,1578582
2020-08-10,66.67,69.41,66.62,68.73,1446815
2020-08-07,64.86,66.39,64.095,65.96,1810643
2020-08-06,67.99,68.8497,64.7,64.85,2627460
2020-08-05,67.13,69.625,66.72,68.55,1501647
2020-08-04,65.43,67.25,63.9,66.58,4236966
2020-08-03,71.11,71.13,68.65,69.64,1032612
2020-07-31,71.24,71.85,69.735,71.3,837576
2020-07-30,71.44,71.54,69.38,71.09,693940
2020-07-29,71.13,72.86,71.13,72.75,533387
2020-07-28,71.443,72.57,71.16,71.32,524732
2020-07-27,71.26,71.78,69.9,71.64,647681
2020-07-24,72.3,73.08,71.39,71.4,601020
2020-07-23,71.36,73.07,71.05,71.69,532539
2020-07-22,70.78,72.23,70.28,71.37,687906
2020-07-21,72.22,73.41,71.31,71.5,678024
2020-07-20,72.985,73.76,70.67,71.2,788960
2020-07-17,74.25,74.97,72.87,73.28,564560
2020-07-16,72.79,75.21,72.7,74.6,198361
2020-07-15,72.375,74.61,72.22,74.18,86062
2020-07-14,68.9,70.62,67.82,69.88,166948
2020-07-13,68.86,70.785,66.55,69.73,127506
2020-07-10,66.92,69.02,66.79,68.98,83452
2020-07-09,69.18,69.18,66.82,67.5,136633
2020-07-08,68.78,69.56,67.91,69.56,136894
2020-07-07,70.36,70.47,68.67,68.87,136121
2020-07-06,72.57,73.015,69.6,71.32,113841
2020-07-02,72.601,73.66,70.61,70.75,220928
2020-07-01,72.75,75.08,70.55,70.67,965457
2020-06-30,72.06,75.92,71.56,72.52,1163400
2020-06-29,68.74,72.74,68.23,72.57,1064797
2020-06-26,70.04,70.79,67.15,67.7,1375600
2020-06-25,70.22,70.54,68.02,70.25,402370
2020-06-24,72.56,72.56,69.91,70.61,273966
2020-06-23,74.41,75.28,72.55,73.46,378012
2020-06-22,71.82,73.715,70.26,73.28,263990
2020-06-19,75.295,75.82,71.06,71.37,298417
2020-06-18,74.22,75.55,72.93,73.94,187844
2020-06-17,77.48,77.48,74.41,74.48,222327
2020-06-16,77.95,78.8,75.1,76.42,265413
2020-06-15,71.61,74.74,70.54,73.77,425794
2020-06-12,76.63,77.48,72.765,74.75,335083
2020-06-11,75.38,76.4,72.82,73.99,491889
2020-06-10,85.5,85.5,80.49,80.62,243570
2020-06-09,88.89,88.89,85.105,85.5,240019
2020-06-08,92.2,93.0,88.46,90.27,244824
2020-06-05,89.16,93.11,88.9,89.57,1799000
2020-06-04,84.09,84.92,82.25,84.92,1141800
2020-06-03,80.35,85.47,80.12,84.68,1555600
2020-06-02,77.54,79.28,77.32,78.39,1523600
2020-06-01,75.1,77.93,74.79,76.71,993300
2020-05-29,78.84,78.84,74.26,75.51,1810700
2020-05-28,80.88,83.1,78.5,79.98,1578900
2020-05-27,82.79,87.28,80.0,80.88,3800400
2020-05-26,75.9,81.5,75.6,81.37,2548300
2020-05-22,75.21,76.21,72.24,72.84,1180600
2020-05-21,71.21,75.24,70.7,74.57,1452000
2020-05-20,70.69,71.95,69.79,71.4,1090700
2020-05-19,69.82,70.0,67.51,69.26,1815600
2020-05-18,68.57,70.56,68.24,69.93,1541500
2020-05-15,64.96,66.97,63.44,65.38,1265300
2020-05-14,63.32,68.04,62.37,65.87,1560600
2020-05-13,65.49,65.49,63.59,64.69,1347300
2020-05-12,69.83,70.31,65.34,65.53,2047000
2020-05-11,71.14,71.34,68.67,69.41,1247600
2020-05-08,72.06,72.73,71.04,72.08,2063800
2020-05-07,70.95,72.82,70.17,70.23,1373600
2020-05-06,72.93,73.8,70.35,71.13,771300
2020-05-05,72.95,74.28,71.42,72.32,2000700
2020-05-04,70.23,75.08,69.69,71.87,2026800
2020-05-01,71.86,73.11,70.26,73.09,1356400
2020-04-30,78.81,78.81,72.93,73.78,1874100
2020-04-29,81.04,83.56,80.7,80.97,1561400
2020-04-28,78.86,81.06,75.88,78.45,1560000
2020-04-27,70.08,75.39,69.7,74.82,1050300
2020-04-24,69.43,70.45,67.16,68.3,808000
2020-04-23,67.31,69.68,66.66,68.95,927100
2020-04-22,69.64,69.89,66.98,67.03,974000
2020-04-21,67.0,68.95,66.36,68.32,1438800
2020-04-20,71.01,72.36,68.89,69.58,691800
2020-04-17,71.53,74.98,71.19,72.68,1142200
2020-04-16,70.19,70.39,67.67,68.52,965200
2020-04-15,73.38,73.62,68.77,69.58,1207100
2020-04-14,77.58,78.0,74.63,76.5,1091000
2020-04-13,79.56,80.02,73.85,75.97,963100
2020-04-09,78.18,82.67,78.16,80.41,1020900
2020-04-08,75.3,78.14,75.13,76.16,1248000
2020-04-07,73.16,80.65,72.37,73.79,2485500
2020-04-06,64.6,70.55,64.1,68.6,2010800
2020-04-03,64.3,64.5,59.82,61.0,2031000
2020-04-02,65.0,68.8,63.57,65.97,1705700
2020-04-01,63.75,66.15,62.28,65.69,2076200
2020-03-31,70.42,73.04,66.71,66.83,1491400
2020-03-30,67.75,72.28,67.22,71.26,1195300
2020-03-27,71.41,71.81,65.9,67.99,1274700
2020-03-26,71.07,77.2,69.42,74.32,1692600
2020-03-25,70.73,74.92,66.63,70.6,1414600
2020-03-24,68.96,71.46,66.02,69.47,1329600
2020-03-23,65.91,69.48,62.01,65.4,1794800
2020-03-20,72.1,72.84,66.38,66.61,1366600
2020-03-19,71.39,78.97,69.3,70.52,2159400
2020-03-18,69.95,74.21,69.85,73.59,2113300
2020-03-17,72.12,78.23,64.28,73.51,1823700
2020-03-16,70.28,75.32,66.73,71.6,1593900
2020-03-13,82.6,84.99,76.65,83.67,1549000
2020-03-12,84.82,87.44,77.84,79.67,1801600
2020-03-11,96.09,96.09,90.18,90.67,1228200
2020-03-10,99.28,99.45,92.62,98.91,981800
2020-03-09,99.0,101.13,93.91,94.99,1917300
2020-03-06,105.19,106.14,104.03,105.77,2192400
2020-03-05,107.26,109.58,106.28,108.19,1585400
2020-03-04,108.09,110.82,106.61,110.54,1875900
2020-03-03,107.95,111.64,104.63,106.43,3347000
2020-03-02,105.71,107.61,103.96,107.61,1555600
2020-02-28,98.04,105.52,98.04,105.51,1680900
2020-02-27,98.64,104.53,97.22,101.61,2104800
