datetime,open,high,low,close,volume
2021-01-29,111.96,112.97,110.38,111.29,2381500
2021-01-28,110.06,116.09,109.675,113.79,2445893
2021-01-27,109.58,111.1,107.22,107.89,2699000
2021-01-26,113.48,114.47,111.22,111.66,1214200
2021-01-25,112.58,114.005,111.1,113.54,1575119
2021-01-22,114.95,115.45,112.45,113.33,1583600
2021-01-21,115.29,116.53,114.37,115.39,1010000
2021-01-20,114.18,116.91,113.85,115.06,2413900
2021-01-19,117.02,117.81,113.34,113.98,2153886
2021-01-15,115.49,117.37,114.19,116.97,1425700
2021-01-14,119.41,119.77,116.02,117.07,2574100
2021-01-13,119.76,120.99,118.55,119.16,1300400
2021-01-12,120.06,122.43,119.8,121.16,1581200
2021-01-11,121.32,122.085,120.4,120.87,1740001
2021-01-08,121.96,123.8,121.2,122.41,1755100
2021-01-07,121.4,123.03,121.04,122.02,1463800
2021-01-06,115.9,123.14,115.9,122.29,1578300
2021-01-05,117.04,117.95,115.98,117.17,1993500
2021-01-04,122.535,123.185,116.5,117.07,2238064
2020-12-31,122.45,123.44,121.71,122.81,849200
2020-12-30,121.47,123.32,121.36,122.49,786700
2020-12-29,122.59,123.4,121.26,121.46,1054100
2020-12-28,119.46,123.0,118.59,122.62,1597786
2020-12-24,118.29,118.29,116.84,118.02,608700
2020-12-23,117.22,118.92,117.22,118.14,961800
2020-12-22,116.38,117.62,115.52,116.74,1640400
2020-12-21,114.16,117.91,113.98,116.79,1772006
2020-12-18,116.59,118.43,116.235,117.65,2593781
2020-12-17,114.27,116.87,113.38,116.64,1120151
2020-12-16,112.88,115.35,112.6,113.43,1081300
2020-12-15,111.66,113.49,110.249,113.06,942658
2020-12-14,113.98,114.32,110.49,110.55,1576973
2020-12-11,112.06,112.95,110.51,112.83,1070691
2020-12-10,112.98,114.25,112.18,113.32,1307100
2020-12-09,113.63,114.69,112.45,113.8,1381200
2020-12-08,112.6,113.68,111.63,113.48,1154133
2020-12-07,114.44,114.95,113.08,113.6,1243549
2020-12-04,113.51,115.32,113.21,115.26,998692
2020-12-03,111.24,113.45,110.94,113.06,1526000
2020-12-02,110.07,111.81,109.83,111.58,1072100
2020-12-01,108.63,112.0,108.0,111.54,2155400
2020-11-30,108.44,108.44,106.65,107.52,5951316
2020-11-27,111.8,111.92,108.69,109.54,732693
2020-11-25,112.04,112.23,109.3,110.92,2301300
2020-11-24,109.95,113.54,109.39,113.41,2925200
2020-11-23,110.22,110.39,106.37,108.18,3852608
2020-11-20,114.99,115.0,108.8,108.99,5031300
2020-11-19,109.75,111.69,108.79,110.2,3652500
2020-11-18,110.46,115.62,110.46,111.23,3384476
2020-11-17,108.8,111.35,107.18,110.46,2260200
2020-11-16,109.7,110.97,106.48,110.84,2428118
2020-11-13,106.2,108.485,105.265,108.12,2213300
2020-11-12,103.76,105.46,102.55,104.61,2417500
2020-11-11,108.98,109.22,103.29,104.18,2482200
2020-11-10,107.52,109.89,106.26,109.42,3511800
2020-11-09,104.84,117.77,104.23,107.82,6490424
2020-11-06,95.16,95.16,92.58,93.3,1728100
2020-11-05,93.53,95.4,92.52,94.94,1841600
2020-11-04,92.33,94.43,91.17,92.2,1980200
2020-11-03,88.95,92.3,88.95,91.64,1824100
2020-11-02,86.9,88.79,86.44,88.59,2879704
2020-10-30,86.03,86.85,84.68,85.17,2634700
2020-10-29,85.33,87.72,84.72,86.99,1803100
2020-10-28,89.62,90.08,85.19,85.28,3082000
2020-10-27,91.74,92.48,90.88,91.4,852539
2020-10-26,94.1,94.64,90.39,91.64,2339874
