datetime,open,high,low,close,volume
2021-01-29,91.31,91.77,90.01,90.52,1186791
2021-01-28,91.02,93.45,90.21,91.88,1163600
2021-01-27,92.5,92.75,90.07,90.4,1403500
2021-01-26,94.34,94.48,92.94,93.35,1092100
2021-01-25,94.34,94.71,93.5,94.14,653595
2021-01-22,94.01,94.69,93.68,94.4,782000
2021-01-21,94.67,94.83,93.55,93.97,825300
2021-01-20,94.59,95.1,94.29,94.68,1293200
2021-01-19,94.21,95.55,93.93,94.67,1293594
2021-01-15,93.25,94.2,92.85,93.81,1147800
2021-01-14,94.66,94.79,93.05,93.7,952200
2021-01-13,95.07,95.58,94.4,94.44,933500
2021-01-12,95.69,95.98,94.65,95.25,721300
2021-01-11,95.46,96.6,95.335,95.75,888246
2021-01-08,96.76,97.57,96.54,96.97,863100
2021-01-07,96.22,97.26,95.71,96.77,1328100
2021-01-06,93.89,96.08,93.5,95.88,1608900
2021-01-05,93.21,93.85,92.52,93.64,1038000
2021-01-04,96.18,96.2,93.02,93.54,1143019
2020-12-31,95.5,96.47,95.11,96.3,587800
2020-12-30,95.71,96.24,95.36,95.71,561600
2020-12-29,96.79,96.98,95.53,95.62,712000
2020-12-28,96.06,97.155,96.06,96.42,753475
2020-12-24,94.95,95.72,94.92,95.63,365257
2020-12-23,95.98,96.49,95.0,95.01,1306900
2020-12-22,95.2,95.95,94.92,95.82,644700
2020-12-21,95.52,95.87,93.66,95.24,891127
2020-12-18,96.9,97.69,96.48,96.78,873748
2020-12-17,95.83,97.24,95.81,96.89,769552
2020-12-16,96.43,96.7,95.38,95.4,1798500
2020-12-15,95.54,96.515,95.34,96.2,815581
2020-12-14,95.21,95.93,94.87,94.9,1306308
2020-12-11,93.31,95.189,93.31,94.99,1014701
2020-12-10,94.31,94.57,93.29,93.49,1088200
2020-12-09,95.01,95.11,93.91,94.32,1704500
2020-12-08,94.33,94.9446,94.25,94.68,968250
2020-12-07,95.5,95.7,94.615,94.85,1163988
2020-12-04,94.87,95.69,94.67,95.67,1885109
2020-12-03,95.87,96.36,94.66,94.75,2037600
2020-12-02,96.72,97.23,94.82,95.75,1926000
2020-12-01,97.58,98.41,96.9,97.15,1690800
2020-11-30,96.67,97.06,96.02,96.72,3072183
2020-11-27,97.44,97.81,96.5,97.04,598300
2020-11-25,97.98,97.98,96.89,97.44,1195200
2020-11-24,98.29,98.71,97.46,97.78,1264500
2020-11-23,98.95,99.37,97.51,97.78,942442
2020-11-20,99.97,100.19,98.63,98.86,1144000
2020-11-19,99.57,100.09,98.57,99.91,1131600
2020-11-18,101.35,101.84,99.97,99.98,1085329
2020-11-17,101.27,101.93,100.41,101.26,1101300
2020-11-16,101.66,102.3531,100.83,101.75,855538
2020-11-13,101.27,101.96,100.171,101.01,566009
2020-11-12,102.08,102.53,100.26,100.94,996500
2020-11-11,102.41,102.92,101.8,102.57,985100
2020-11-10,100.77,102.52,100.21,102.08,1438800
2020-11-09,100.91,103.79,100.4,100.41,2097004
2020-11-06,97.13,99.29,96.25,97.08,1684000
2020-11-05,96.0,96.67,94.98,95.51,1803600
2020-11-04,92.78,95.87,92.78,93.87,1664900
2020-11-03,91.23,92.83,90.92,92.4,1992900
2020-11-02,88.99,90.43,88.88,89.86,1088853
2020-10-30,87.2,88.55,87.08,88.17,1523600
2020-10-29,86.75,88.32,86.18,87.4,1284800
2020-10-28,88.27,88.65,86.28,86.71,1241500
2020-10-27,90.6158,90.86,89.39,89.42,712744
2020-10-26,92.26,92.77,90.36,90.86,701118
2020-10-23,92.485,93.13,91.82,92.9,551930
2020-10-22,91.67,92.73,91.67,91.77,675900
2020-10-21,92.03,92.54,91.6,91.67,766700
2020-10-20,92.71,93.45,92.25,92.28,674600
2020-10-19,94.3,94.44,92.03,92.1,699093
2020-10-16,93.61,94.34,93.53,93.57,818700
2020-10-15,93.04,93.74,92.85,93.42,719300
2020-10-14,93.67,94.48,93.2,93.47,548667
2020-10-13,94.48,95.19,93.37,93.58,584791
2020-10-12,93.43,94.81,93.29,94.5,1319034
2020-10-09,93.63,93.95,93.12,93.14,721814
2020-10-08,93.08,94.0,92.87,93.49,790959
2020-10-07,93.1,93.39,92.48,92.92,1095700
2020-10-06,94.13,94.38,92.26,92.48,1008400
2020-10-05,93.8,94.46,93.17,93.53,893201
2020-10-02,91.765,93.875,91.565,93.35,1885361
2020-10-01,93.57,93.66,92.19,92.96,1053870
2020-09-30,93.7,94.11,92.79,93.35,1302900
2020-09-29,94.45,94.96,93.79,93.92,497713
2020-09-28,94.91,95.58,94.19,94.46,840458
2020-09-25,92.32,94.31,92.32,94.07,0
2020-09-24,92.48,92.98,91.16,92.39,0
2020-09-23,92.93,94.39,92.1,92.14,0
2020-09-22,93.73,95.26,93.73,95.08,0
2020-09-21,94.91,95.03,93.17,94.04,546393
2020-09-18,96.41,96.96,95.76,95.78,293885
2020-09-17,95.955,97.02,95.01,96.44,332433
2020-09-16,96.89,98.11,96.32,96.39,372311
2020-09-15,97.29,97.84,96.78,96.82,479074
2020-09-14,96.2,97.32,96.2,96.73,631555
2020-09-11,95.67,96.08,94.95,95.74,223539
2020-09-10,95.23,95.48,94.61,94.98,561168
2020-09-09,93.99,95.85,93.71,95.16,438316
2020-09-08,93.5,94.43,92.8,93.29,693274
2020-09-04,93.99,94.42,92.8,93.5,843020
2020-09-03,95.15,95.42,92.62,93.47,1306847
2020-09-02,93.57,95.19,93.38,94.71,839245
2020-09-01,92.33,93.36,91.99,93.325,371142
2020-08-31,92.8,93.36,92.42,92.72,249109
2020-08-28,92.53,92.92,92.05,92.91,417553
2020-08-27,92.27,93.34,92.17,92.68,373624
2020-08-26,91.26,92.31,91.0,92.04,364102
2020-08-25,91.73,91.73,90.9,91.5,226145
2020-08-24,90.01,91.08,89.88,91.08,437613
2020-08-21,89.05,89.87,88.82,89.81,361909
2020-08-20,88.76,89.23,88.6,88.99,288149
2020-08-19,89.37,89.68,88.79,89.15,445608
2020-08-18,89.7,89.83,88.95,89.12,408462
2020-08-17,90.34,90.75,89.68,89.8,286379
2020-08-14,90.32,91.04,89.94,90.37,200863
2020-08-13,90.521,90.94,90.03,90.7,366595
2020-08-12,91.3469,92.08,90.89,91.24,599678
2020-08-11,91.5738,91.7268,90.51,90.89,585093
2020-08-10,90.31,91.45,90.14,90.93,458803
2020-08-07,88.73,93.18,88.73,90.57,859417
2020-08-06,86.38,87.9,86.38,87.9,494769
2020-08-05,87.245,87.4,86.09,86.5,494636
2020-08-04,87.34,87.45,86.02,86.61,365964
2020-08-03,87.6,87.7,86.92,87.43,455455
2020-07-31,86.925,87.27,85.97,87.27,322135
2020-07-30,86.24,87.38,85.63,87.06,353471
2020-07-29,85.72,87.03,85.69,86.87,251003
2020-07-28,84.86,85.87,84.86,85.34,358953
2020-07-27,85.16,85.36,84.71,85.05,262030
2020-07-24,86.38,86.53,84.88,85.03,380957
2020-07-23,86.1,86.87,85.42,85.85,271565
2020-07-22,84.83,85.94,84.44,85.66,436308
2020-07-21,85.1,85.89,84.8,85.05,182662
2020-07-20,86.92,86.92,84.86,85.0,86895
2020-07-17,84.85,87.07,84.67,86.98,183741
2020-07-16,84.31,85.0,84.1,84.6,0
2020-07-15,84.0,84.64,83.72,84.3,1156
2020-07-14,81.62,83.06,81.62,83.04,0
2020-07-13,82.35,82.85,81.57,81.73,0
2020-07-10,80.7,82.03,80.34,81.78,0
2020-07-09,79.61,80.76,78.8,80.5,0
2020-07-08,80.6,80.78,79.82,80.0,6892
2020-07-07,81.14,81.83,80.78,80.87,2579
2020-07-06,82.34,82.36,81.06,81.57,55878
2020-07-02,81.85,82.37,81.12,81.23,2991
2020-07-01,82.32,82.505,81.2,81.41,1150012
2020-06-30,80.62,82.52,80.51,82.05,1181151
2020-06-26,79.94,80.65,79.81,80.28,114656
2020-06-25,79.04,80.26,78.22,80.185,882816
2020-06-24,80.74,80.88,78.82,79.38,375931
2020-06-23,82.2,82.64,81.1201,81.33,204860
2020-06-22,79.835,81.33,79.31,81.25,282998
2020-06-19,83.65,83.77,79.71,80.0,838103
2020-06-18,82.215,82.595,81.62,82.53,213536
2020-06-17,83.01,83.73,82.16,82.64,292545
2020-06-16,81.66,84.16,81.66,82.8,329548
2020-06-15,80.22,82.36,79.26,81.7,328874
2020-06-12,83.33,83.86,80.26,81.74,304524
2020-06-11,84.67,84.99,81.54,81.68,325191
2020-06-10,88.13,88.13,85.89,86.65,328329
2020-06-09,88.7,89.2,87.21,87.82,271219
2020-06-08,89.47,90.09,89.12,89.81,314970
2020-06-05,88.5,90.16,87.83,89.91,1604900
2020-06-04,86.77,87.19,85.72,86.84,1103200
2020-06-03,87.45,87.91,87.0,87.27,1089600
2020-06-02,85.13,87.32,84.51,86.63,1450700
2020-06-01,85.47,85.59,84.74,85.05,767300
2020-05-29,85.11,86.14,84.34,85.46,1878400
2020-05-28,84.88,85.49,83.94,84.89,1096700
2020-05-27,83.8,84.01,82.01,83.97,1880000
2020-05-26,82.43,83.49,82.11,82.77,1083300
2020-05-22,81.09,81.2,80.44,81.12,591100
2020-05-21,80.92,82.15,80.57,80.81,677700
2020-05-20,81.53,82.65,81.1,81.71,715900
2020-05-19,81.82,82.53,80.96,81.01,1239200
2020-05-18,81.81,82.83,81.03,82.21,1292100
2020-05-15,79.22,79.71,78.4,79.47,2297200
2020-05-14,78.48,80.0,77.8,79.99,1419700
2020-05-13,79.95,80.64,78.6,79.17,1156900
2020-05-12,81.98,82.43,80.2,80.25,951600
2020-05-11,80.43,82.62,80.17,82.05,1264000
2020-05-08,81.82,82.38,81.09,81.31,1032200
2020-05-07,79.38,81.85,79.15,81.21,1757300
2020-05-06,85.23,85.23,78.5,78.55,2333600
2020-05-05,77.95,78.32,77.39,77.48,1531700
2020-05-04,76.51,77.44,76.19,77.2,1175700
2020-05-01,77.31,77.39,76.32,77.13,865500
2020-04-30,78.42,79.29,77.25,78.34,1331300
2020-04-29,80.29,80.61,78.52,79.77,1234600
2020-04-28,80.6,80.6,78.56,78.98,1104900
2020-04-27,76.87,79.15,76.53,78.62,976800
2020-04-24,76.81,76.97,75.34,76.1,1332200
2020-04-23,77.85,78.27,76.35,76.5,1435400
2020-04-22,77.56,78.97,77.17,77.87,1740000
2020-04-21,76.69,77.86,76.22,76.57,1210900
2020-04-20,79.85,80.09,77.9,78.29,998100
2020-04-17,79.78,80.58,78.26,80.28,1333100
2020-04-16,77.13,77.75,75.61,77.36,1390700
2020-04-15,77.5,77.96,75.77,77.0,1748300
2020-04-14,79.16,79.89,78.31,79.18,1501500
2020-04-13,81.5,81.82,77.68,78.89,931700
2020-04-09,78.92,82.92,78.92,81.82,1667900
2020-04-08,75.73,78.58,74.82,78.24,1294800
2020-04-07,76.53,77.43,74.77,74.96,2041200
2020-04-06,74.98,75.5,73.75,74.11,2269500
2020-04-03,74.1,75.39,71.7,72.53,2923900
2020-04-02,71.86,75.66,71.8,75.23,1691100
2020-04-01,72.87,72.92,71.32,72.71,1627300
2020-03-31,75.35,76.13,74.21,75.06,2441700
2020-03-30,77.16,78.12,75.1,76.65,1776400
2020-03-27,74.83,78.87,73.93,75.6,1612700
2020-03-26,72.46,77.97,72.0,77.4,1959200
2020-03-25,71.0,73.22,68.13,71.74,2745400
2020-03-24,68.75,72.29,68.43,71.49,2055200
2020-03-23,70.69,71.86,65.37,66.26,2274300
2020-03-20,73.64,74.5,70.52,71.54,2674200
2020-03-19,75.3,75.37,71.91,74.0,2460500
2020-03-18,78.4,79.98,73.81,75.89,1888800
2020-03-17,77.63,82.3,76.7,81.64,2568900
2020-03-16,76.5,80.89,75.68,76.12,2481900
2020-03-13,82.86,84.99,78.8,84.98,2672500
2020-03-12,84.99,86.45,79.58,79.59,2767700
2020-03-11,91.85,92.86,89.93,91.28,1955700
2020-03-10,93.81,94.11,90.0,93.34,1925900
2020-03-09,91.47,94.84,90.0,92.04,1966400
2020-03-06,92.9,95.87,92.0,95.52,1577700
2020-03-05,94.9,96.4,94.07,94.92,1681800
2020-03-04,93.63,96.62,93.52,96.56,1543100
2020-03-03,94.06,95.69,90.8,91.31,2056100
2020-03-02,90.9,94.29,90.39,94.08,1857400
2020-02-28,90.05,90.65,86.96,90.26,3320300
2020-02-27,96.16,97.24,91.33,91.34,1921900
2020-02-26,97.35,98.33,96.84,96.9,1490600
2020-02-25,99.09,99.82,96.94,97.05,1384300
2020-02-24,98.49,99.49,98.09,98.93,1288500
2020-02-21,99.11,99.71,98.82,99.43,1226500
2020-02-20,99.55,99.9,98.47,99.12,1171900
2020-02-19,100.49,100.91,99.95,100.04,704800
2020-02-18,100.46,100.46,99.81,100.27,1133000
2020-02-14,99.19,100.66,99.06,100.43,1450900
2020-02-13,98.24,99.35,98.16,99.01,1080700
2020-02-12,97.73,98.81,97.31,98.47,1101500
2020-02-11,98.09,98.44,97.84,98.05,956600
2020-02-10,97.14,98.04,97.01,97.83,1248600
2020-02-07,96.93,97.54,96.57,97.14,1100300
2020-02-06,96.94,97.18,96.52,96.6,1023300
2020-02-05,96.6,97.08,96.23,96.89,1058900
2020-02-04,96.33,96.84,96.19,96.23,861900
2020-02-03,95.39,96.28,95.31,95.84,1019700
2020-01-31,95.77,96.4,94.56,95.05,1324700
2020-01-30,94.3,95.85,94.07,95.73,1212200
2020-01-29,94.52,94.67,94.02,94.47,1800700
2020-01-28,94.73,95.18,94.35,94.36,1010700
2020-01-27,94.18,94.76,94.01,94.64,867000
2020-01-24,94.5,94.93,94.19,94.64,760700
2020-01-23,94.13,94.51,93.86,94.41,932200
2020-01-22,94.13,94.61,94.1,94.33,669000
2020-01-21,93.21,93.85,93.05,93.81,802500
2020-01-17,93.9,93.9,93.4,93.46,832800
2020-01-16,92.79,93.59,92.7,93.52,1131600
2020-01-15,92.27,92.94,92.27,92.56,1717700
2020-01-14,91.78,92.22,91.69,92.14,1294000
2020-01-13,91.08,91.97,91.08,91.83,926000
2020-01-10,90.74,91.18,90.59,90.89,1118900
2020-01-09,90.39,91.41,90.35,90.96,1672500
2020-01-08,90.22,90.48,89.84,90.21,1337400
2020-01-07,90.43,90.45,89.93,90.13,772900
2020-01-06,90.0,90.64,89.73,90.6,988700
2020-01-03,89.19,90.4,89.06,90.21,1362400
2020-01-02,89.72,89.84,88.77,89.83,1688500
2019-12-31,89.67,89.92,89.18,89.63,1123700
2019-12-30,90.11,90.28,89.81,90.0,698000
2019-12-27,89.61,90.36,89.45,90.2,942600
2019-12-26,89.72,89.83,89.31,89.56,618200
2019-12-24,89.33,89.71,89.06,89.58,250100
2019-12-23,89.35,89.57,88.94,89.41,1149900
2019-12-20,89.34,89.68,88.74,89.23,1475900
2019-12-19,89.0,89.14,88.47,88.81,1147300
2019-12-18,89.65,90.01,88.94,89.08,1185800
2019-12-17,89.75,90.33,89.39,89.69,850700
2019-12-16,89.46,89.67,88.76,89.29,1105500
2019-12-13,88.41,89.22,88.23,89.15,864100
2019-12-12,88.76,88.88,88.09,88.58,1346400
2019-12-11,88.73,89.0,88.38,88.83,1075100
2019-12-10,88.49,88.91,88.38,88.54,1013300
2019-12-09,88.62,88.79,88.3,88.68,766100
2019-12-06,88.76,89.37,88.27,88.77,947000
2019-12-05,88.0,88.57,88.0,88.25,928600
2019-12-04,87.81,88.84,87.78,88.01,955000
2019-12-03,87.3,88.33,87.3,87.98,927400
2019-12-02,88.57,88.84,87.65,87.69,943300
2019-11-29,88.65,89.22,88.42,88.65,611500
2019-11-27,88.69,88.96,88.38,88.62,1656100
2019-11-26,87.05,88.58,87.05,88.55,1681400
2019-11-25,87.54,88.38,87.04,87.06,955100
2019-11-22,87.3,87.58,86.59,87.25,826700
2019-11-21,87.59,87.84,86.65,86.75,701700
2019-11-20,87.21,88.25,87.17,87.71,748300
2019-11-19,87.34,87.83,87.07,87.59,719300
2019-11-18,87.09,87.64,86.96,87.24,789500
2019-11-15,87.19,87.39,86.44,86.91,772100
2019-11-14,86.89,87.37,86.5,87.13,618000
2019-11-13,85.97,86.96,85.95,86.82,798100
2019-11-12,86.17,86.22,85.78,86.02,735800
2019-11-11,86.0,86.35,85.76,86.01,807300
2019-11-08,85.46,86.19,85.45,86.18,843300
2019-11-07,86.19,86.43,85.43,85.5,1231400
2019-11-06,85.71,86.39,85.69,86.13,1140500
2019-11-05,86.12,86.44,84.89,85.72,1028800
2019-11-04,86.63,86.94,85.88,86.22,848400
2019-11-01,87.65,87.88,86.05,86.68,1243500
2019-10-31,87.35,88.71,86.0,87.51,1591000
2019-10-30,87.62,89.0,87.09,88.78,1042100
2019-10-29,85.92,87.98,85.86,87.89,1497800
2019-10-28,86.0,86.13,85.36,86.04,986000
2019-10-25,86.96,87.19,85.91,86.03,801200
2019-10-24,86.64,87.17,85.88,86.89,710900
2019-10-23,87.35,87.79,86.35,86.76,891300
2019-10-22,87.73,88.36,87.19,87.25,740800
2019-10-21,88.46,88.69,87.49,87.7,1003400
2019-10-18,86.88,88.66,86.23,88.24,1458100
2019-10-17,85.9,86.53,85.88,86.11,786500
2019-10-16,86.0,86.0,84.99,85.69,1077900
2019-10-15,86.08,86.67,85.89,86.09,914800
2019-10-14,86.43,86.71,85.94,86.11,426400
2019-10-11,87.55,87.88,86.35,86.38,770500
2019-10-10,86.0,87.1,85.83,86.87,894800
2019-10-09,85.94,86.36,85.47,86.18,622900
2019-10-08,86.29,86.37,85.33,85.6,940100
2019-10-07,86.6,86.83,86.28,86.58,743400
2019-10-04,85.37,86.84,85.36,86.74,766100
2019-10-03,84.92,85.56,84.28,85.05,875700
2019-10-02,85.63,85.98,84.48,85.08,1179200
2019-10-01,86.87,87.59,86.0,86.15,1127200
2019-09-30,85.85,87.04,85.73,86.55,1073400
2019-09-27,87.05,87.32,85.43,86.22,1283100
2019-09-26,86.3,87.23,85.83,86.84,731800
2019-09-25,86.98,87.39,86.02,86.1,1150700
2019-09-24,87.33,88.07,86.52,86.94,1150900
2019-09-23,87.04,87.49,86.88,87.08,715700
2019-09-20,86.51,87.58,86.36,87.48,2051300
2019-09-19,86.36,86.65,86.01,86.04,1001200
2019-09-18,85.73,86.19,85.08,86.14,777600
2019-09-17,84.91,85.7,84.8,85.59,1076300
2019-09-16,84.89,85.27,84.6,84.89,790700
2019-09-13,86.06,86.57,84.88,85.14,1169500
2019-09-12,85.59,86.4,85.43,85.92,1260600
2019-09-11,85.83,86.47,84.79,85.09,1716600
2019-09-10,87.37,87.61,85.31,85.85,2178200
2019-09-09,89.03,89.11,87.53,87.62,1048500
2019-09-06,89.05,89.32,88.42,88.88,843300
2019-09-05,90.0,90.42,88.74,88.81,900300
2019-09-04,90.0,90.0,89.55,89.83,792800
2019-09-03,89.05,89.73,88.89,89.67,799500
2019-08-30,89.99,90.15,88.95,89.25,1182600
2019-08-29,89.49,89.59,88.85,89.4,1065000
2019-08-28,88.56,88.96,88.26,88.92,862800
2019-08-27,88.9,89.12,88.5,88.6,878500
2019-08-26,87.73,88.3,87.39,88.25,805900
2019-08-23,88.94,89.3,87.04,87.42,1073200
2019-08-22,89.39,89.62,88.7,89.02,571100
2019-08-21,89.45,89.66,89.1,89.3,558800
2019-08-20,90.15,90.5,89.0,89.0,844800
2019-08-19,90.37,90.62,89.96,90.35,919500
2019-08-16,89.76,90.31,89.51,89.92,1187100
2019-08-15,88.85,89.79,88.69,89.55,928900
2019-08-14,89.82,90.2,88.66,88.68,1413200
2019-08-13,89.32,90.6,89.32,90.27,1030400
2019-08-12,89.96,90.27,89.25,89.58,824000
2019-08-09,89.92,90.31,89.37,89.95,996700
2019-08-08,88.89,89.84,88.34,89.79,1207700
