datetime,open,high,low,close,volume
2021-01-29,67.11,67.56,66.11,66.73,15605200
2021-01-28,66.44,69.29,66.21,68.17,8752300
2021-01-27,66.55,67.76,65.25,65.5,12370800
2021-01-26,69.2,70.93,67.19,67.2,13319300
2021-01-25,66.04,66.52,65.02,66.28,10330812
2021-01-22,67.72,68.11,67.12,67.58,4554600
2021-01-21,68.33,68.7,67.85,68.11,7366800
2021-01-20,69.47,69.53,68.61,68.84,4653000
2021-01-19,69.78,70.05,69.15,69.36,6886301
2021-01-15,70.31,70.33,68.95,69.2,6980100
2021-01-14,71.0,72.37,70.55,70.94,9712000
2021-01-13,71.3,71.45,69.79,70.5,7010400
2021-01-12,69.69,71.72,69.57,71.52,5353400
2021-01-11,68.79,69.849,68.52,69.8,4060405
2021-01-08,69.96,70.08,68.7,69.86,5155500
2021-01-07,70.35,70.87,69.69,69.78,8768000
2021-01-06,68.5,71.49,68.45,70.28,8753400
2021-01-05,68.76,69.88,68.4,69.42,6432200
2021-01-04,71.38,71.56,68.31,68.43,7232966
2020-12-31,71.35,71.7,70.94,71.51,4158400
2020-12-30,70.5,71.64,70.34,71.36,5014900
2020-12-29,71.0,71.1,69.67,70.34,3670100
2020-12-28,70.7,71.46,70.3422,70.63,2697168
2020-12-24,70.89,70.96,69.89,70.27,1975491
2020-12-23,69.79,71.41,69.59,70.72,4311700
2020-12-22,69.49,70.11,68.97,69.25,4028200
2020-12-21,68.69,70.24,67.78,69.67,6415674
2020-12-18,70.63,70.76,69.81,70.17,6630642
2020-12-17,71.38,71.49,70.51,70.63,4550210
2020-12-16,71.15,71.18,70.45,70.57,5620600
2020-12-15,71.47,71.8,70.11,71.04,6221954
2020-12-14,73.4,73.834,70.71,70.8,10144193
2020-12-11,72.76,73.58,72.37,72.89,4028185
2020-12-10,72.97,73.74,72.45,72.98,7497000
2020-12-09,74.47,74.82,73.28,73.54,5329300
2020-12-08,73.25,74.51,72.79,74.49,3718466
2020-12-07,73.38,73.75,72.55,73.04,4911720
2020-12-04,73.65,74.6578,73.43,73.89,6001318
2020-12-03,72.11,74.39,71.91,73.29,6893900
2020-12-02,71.19,72.35,70.69,71.94,5399000
2020-12-01,72.72,72.94,71.21,71.23,6544600
2020-11-30,73.09,73.55,71.36,71.72,9513342
2020-11-27,73.77,74.4,73.39,73.91,5103400
2020-11-25,73.55,74.19,72.9,73.81,5354500
2020-11-24,74.09,75.32,73.8,74.36,10036800
2020-11-23,70.82,72.84,70.34,72.64,6676027
2020-11-20,70.8,71.12,69.65,69.76,5833800
2020-11-19,68.65,71.23,68.2,71.11,8927900
2020-11-18,69.67,71.32,69.33,69.51,13391200
2020-11-17,67.52,69.62,67.36,68.87,11133200
2020-11-16,67.56,69.044,67.15,68.66,11758690
2020-11-13,64.66,66.4,64.52,66.18,5929283
2020-11-12,63.88,64.64,63.27,63.99,8345100
2020-11-11,67.65,67.7,65.12,65.85,10122100
2020-11-10,66.1,68.15,65.75,67.89,14348300
2020-11-09,65.12,66.39,62.49,64.99,19018752
2020-11-06,57.63,58.85,57.24,58.56,7849100
2020-11-05,57.11,58.82,56.87,58.28,7445400
2020-11-04,57.36,58.59,56.14,56.82,8658400
2020-11-03,56.51,57.51,56.34,57.04,7737700
2020-11-02,55.4,55.92,53.91,55.75,9748935
2020-10-30,53.12,54.45,52.92,54.32,14571800
2020-10-29,52.53,53.48,51.93,53.16,13157453
2020-10-28,55.2,56.07,52.25,52.34,19782800
2020-10-27,59.77,59.8,56.44,56.47,13529372
2020-10-26,61.65,61.75,59.88,60.81,7520407
2020-10-23,63.07,63.79,62.42,62.58,5047416
2020-10-22,60.23,62.97,60.22,62.8,6281900
2020-10-21,60.42,61.1,60.19,60.35,5644000
2020-10-20,61.98,62.31,61.04,61.24,5941700
2020-10-19,61.6,62.67,61.0,61.46,7246724
2020-10-16,61.0,62.04,60.64,61.75,8287700
2020-10-15,59.37,60.5,58.92,60.49,6166000
2020-10-14,59.3,60.34,59.21,59.94,5260372
2020-10-13,60.56,60.56,58.54,59.51,6561210
2020-10-12,59.84,60.68,59.56,60.53,5374130
2020-10-09,61.1538,61.313,59.89,59.91,3490442
2020-10-08,59.85,60.85,59.69,60.8,3913503
2020-10-07,59.31,59.94,58.95,59.69,4925100
2020-10-06,59.81,60.58,58.43,58.45,7184500
2020-10-05,59.85,60.33,59.17,59.51,6077754
2020-10-02,56.52,59.38,56.51,59.34,7509143
2020-10-01,57.795,58.43,57.09,57.44,5520656
2020-09-30,57.61,58.61,57.1,57.54,7697700
2020-09-29,58.67,58.785,57.4889,57.6,5641567
2020-09-28,58.09,59.57,58.09,58.89,5326105
2020-09-25,56.87,57.74,56.34,57.49,8582949
2020-09-24,58.05,58.32,56.62,57.37,6265799
2020-09-23,59.82,60.88,58.3,58.33,6300254
2020-09-22,60.13,60.17,58.9301,59.79,4363379
2020-09-21,61.58,62.5688,59.63,60.02,8061955
2020-09-18,62.57,63.33,62.1,62.35,6088278
2020-09-17,62.16,64.01,61.58,62.84,5047412
2020-09-16,61.24,63.73,60.91,62.94,6507798
2020-09-15,61.6603,62.44,60.955,61.44,5026797
2020-09-14,61.27,62.23,61.08,61.96,5593593
2020-09-11,59.5,60.895,59.4,60.64,5828794
2020-09-10,60.2,61.68,59.38,59.51,7552176
2020-09-09,59.77,60.31,58.89,59.58,6979445
2020-09-08,60.41,60.55,58.82,59.22,9099550
2020-09-04,61.76,62.2,59.9411,61.16,5974207
2020-09-03,62.19,63.2,60.42,60.87,7530196
2020-09-02,60.98,62.15,60.8,62.0,6525138
2020-09-01,60.695,61.3368,60.12,60.68,7819892
2020-08-31,62.19,63.39,60.92,60.92,8811432
2020-08-28,60.89,62.53,60.67,62.27,9642371
2020-08-27,60.78,61.95,60.375,60.89,7570581
2020-08-26,60.64,60.9238,59.985,60.78,7773017
2020-08-25,61.36,61.4,59.64,60.94,11717629
2020-08-24,60.48,62.04,60.14,61.9,4334916
2020-08-21,60.67,61.27,60.23,60.25,4826476
2020-08-20,61.0,61.42,60.335,61.0,3801013
2020-08-19,62.01,62.91,61.5,61.65,4255724
2020-08-18,62.69,63.17,62.025,62.1,3779487
2020-08-17,63.62,63.88,62.675,62.77,4524765
2020-08-14,62.79,64.24,62.605,63.65,3322108
2020-08-13,63.07,64.0377,62.65,63.3,6076385
2020-08-12,65.13,65.13,63.38,64.31,6506269
2020-08-11,65.19,66.15,64.075,64.25,10719791
2020-08-10,61.5,64.4301,61.36,64.23,8554093
2020-08-07,59.87,61.29,59.35,61.25,5297611
2020-08-06,59.535,60.41,59.3,59.88,5252767
2020-08-05,57.85,60.05,57.7,60.03,9384455
2020-08-04,57.71,57.8985,57.12,57.51,6667757
2020-08-03,56.44,57.52,55.73,57.51,7842924
2020-07-31,57.4,57.4,56.11,56.65,8578551
2020-07-30,58.62,58.65,57.27,57.48,11328204
2020-07-29,60.67,60.99,59.06,59.4,9952055
2020-07-28,61.74,61.8151,59.75,60.98,12536702
2020-07-27,61.65,61.85,60.65,61.1,9050947
2020-07-24,63.35,63.97,61.785,62.08,5322936
2020-07-23,63.52,64.33,62.88,63.11,5220899
2020-07-22,62.62,63.73,62.1735,63.61,5208159
2020-07-21,62.0,63.48,61.83,63.06,6511347
2020-07-20,61.78,62.03,60.82,61.41,5669741
2020-07-17,62.47,62.61,61.71,62.2,5667133
2020-07-16,62.3,62.79,61.45,62.39,5218445
2020-07-15,62.35,63.22,62.05,62.95,8120053
2020-07-14,59.0,60.56,58.45,60.48,5985612
2020-07-13,60.28,60.8,58.7383,59.35,6604762
