datetime,open,high,low,close,volume
2021-01-29,268.10999,270.45999,265.70001,268.67001,806100
2021-01-28,271.12,274.79001,268.97,269.85999,483500
2021-01-27,277.0,279.57001,270.14001,271.70001,564700
2021-01-26,275.34,278.51999,271.66,277.48001,642600
2021-01-25,274.78,279.23001,271.54999,276.53,782685
2021-01-22,273.5,274.60001,270.53,272.70999,641500
2021-01-21,270.54001,273.79001,267.79999,272.69,435900
2021-01-20,270.85999,275.44,267.69,272.54001,766300
2021-01-19,269.81,271.01001,267.01001,269.14001,424140
2021-01-15,267.06,270.42999,264.97,269.10001,538800
2021-01-14,265.72,268.04999,263.72,264.12,531800
2021-01-13,260.39999,266.16,260.03,265.42001,729700
2021-01-12,259.97,262.81,256.26001,261.20999,691900
2021-01-11,268.07001,268.78,259.5,260.35999,950058
2021-01-08,266.63,270.07001,266.09,267.82001,552500
2021-01-07,263.28,266.32999,261.84,265.25,838900
2021-01-06,271.04001,271.67001,262.54001,264.64001,852600
2021-01-05,275.67001,277.76999,272.16,272.57999,780700
2021-01-04,283.10001,284.45001,274.69,275.63,780616
2020-12-31,275.35999,282.35999,273.89999,282.13,709500
2020-12-30,276.98999,278.31,273.04999,274.56,365200
2020-12-29,278.70001,279.69,275.76999,276.0,443500
2020-12-28,275.76001,276.54999,273.14999,276.25,438638
2020-12-24,272.54001,275.35999,272.54001,275.01999,156420
2020-12-23,276.01999,279.45001,272.45999,272.98001,527800
2020-12-22,272.13,276.23001,272.01001,275.92001,510300
2020-12-21,273.54999,278.48999,273.54999,274.92001,493704
2020-12-18,283.17001,283.23999,275.35999,276.91,646508
2020-12-17,276.79999,283.16,276.76001,281.97,535542
2020-12-16,277.95999,279.45999,274.95999,275.76001,586600
2020-12-15,276.10999,277.16,273.95999,276.07001,390783
2020-12-14,276.01999,279.48999,273.61499,274.17001,581860
2020-12-11,276.01999,276.59,272.51001,275.45999,552841
2020-12-10,276.09,278.85001,274.07999,275.60001,594100
2020-12-09,278.92001,280.01999,274.57001,275.88,648300
2020-12-08,282.79001,284.37,278.35001,280.62,395401
2020-12-07,283.71201,289.67999,281.92999,283.79001,560275
2020-12-04,286.72,289.31,284.25351,286.38,364163
2020-12-03,284.64001,287.89999,283.06,286.39999,526300
2020-12-02,287.69,289.45999,281.22,284.48001,571300
2020-12-01,289.14001,289.64001,285.81,288.78,913000
2020-11-30,285.59,287.41,282.66,287.17999,1077350
2020-11-27,289.98999,289.98999,283.91,285.73001,400800
2020-11-25,281.17001,285.26001,280.03,282.60999,943600
2020-11-24,286.26999,290.0,279.0,279.89001,1184100
2020-11-23,290.17999,291.07001,285.51999,286.26999,581552
2020-11-20,298.82001,298.82001,289.09,290.10001,662500
2020-11-19,297.57999,300.38,293.48001,297.76001,460000
2020-11-18,296.89999,302.75,295.45001,298.75,415057
2020-11-17,294.5,301.14001,294.17999,298.78,418500
2020-11-16,303.59,304.44,294.84,295.41,561265
2020-11-13,298.76999,304.82001,297.64001,304.0,331189
2020-11-12,298.97,304.95001,293.73001,296.97,547400
2020-11-11,293.28,305.25,290.97,298.59,767300
2020-11-10,297.54001,297.54001,286.42001,290.64001,793100
2020-11-09,309.59,312.13,296.45001,297.47,864313
2020-11-06,308.28,308.67999,302.01999,306.62,503900
2020-11-05,303.26999,306.98999,302.10001,305.82001,437100
2020-11-04,293.17001,307.26001,292.56,302.01999,545100
2020-11-03,297.0,298.04001,288.07999,291.01001,1102300
2020-11-02,295.60001,296.57001,288.37,293.51999,536514
2020-10-30,292.82999,295.34,286.48999,290.37,518300
2020-10-29,295.59,299.94,293.64999,295.01999,591000
2020-10-28,298.72,302.35999,294.69,295.42001,648600
2020-10-27,303.44,306.20001,299.7825,301.70001,390654
2020-10-26,300.87,305.42068,299.10999,303.32999,430387
2020-10-23,294.09,302.5,292.70001,302.5,567139
2020-10-22,308.19,308.19,293.67999,294.01001,951500
2020-10-21,304.35001,309.28,304.32999,307.26999,324000
2020-10-20,309.01001,310.19,305.70001,306.60999,318000
2020-10-19,311.92999,313.97,305.37,307.78,310685
2020-10-16,311.73001,313.88,308.60001,310.25,300700
2020-10-15,304.60999,311.79999,304.60999,310.54001,402700
2020-10-14,310.07999,312.20001,306.20999,306.95999,253912
2020-10-13,313.97,316.745,306.57999,308.57001,625426
2020-10-12,313.89001,315.73999,311.10001,313.92999,541628
2020-10-09,316.29001,316.29001,312.23001,314.64001,352231
2020-10-08,320.57999,320.57999,313.14001,315.29001,297667
2020-10-07,315.98001,315.98001,309.70999,313.31,360600
2020-10-06,322.57001,322.57001,313.67999,315.04001,469100
2020-10-05,317.70999,322.01001,312.98001,321.92999,573854
2020-10-02,314.04999,320.59,311.14001,318.12,394574
2020-10-01,315.07001,322.09,313.32001,315.16,616280
2020-09-30,314.92001,319.22,313.04999,318.48001,627900
2020-09-29,312.0,314.88,309.62,313.87,194935
2020-09-28,316.94,317.76001,309.29001,310.48001,649207
2020-09-25,304.98999,315.32999,304.98999,314.01999,0
2020-09-24,308.32999,310.95001,304.67999,306.26999,0
2020-09-23,310.5,312.20999,304.64999,305.13,0
2020-09-22,303.03,314.32001,303.03,313.20001,0
2020-09-21,306.5,309.85001,302.37,305.06,350828
2020-09-18,309.38,313.17001,306.5,308.70001,370343
2020-09-17,319.41,322.64999,308.39999,312.35001,229502
2020-09-16,320.84,328.26001,320.84,322.14001,222671
2020-09-15,312.66,324.31,312.39999,323.35001,284167
2020-09-14,305.94,311.5766,305.94,309.44,161443
2020-09-11,304.29999,307.26001,303.31,304.53,203621
2020-09-10,312.57999,312.57999,303.32999,303.38,229771
2020-09-09,309.23999,319.32001,309.23999,313.35999,338229
2020-09-08,299.79001,308.17999,294.345,305.79001,397198
2020-09-04,306.20001,308.17001,296.54001,300.29001,232621
2020-09-03,312.34,312.34,303.01001,306.76999,224238
2020-09-02,305.5,315.37,304.88,314.17001,200153
2020-09-01,305.62,309.89999,303.54001,306.62,156095
2020-08-31,305.67001,307.32001,304.60999,306.07001,136940
