datetime,open,high,low,close,volume
2021-01-29,66.76,69.47,66.28,67.48,1477648
2021-01-28,66.45,71.49,66.31,67.45,2766400
2021-01-27,65.07,67.97,65.07,66.5,2634400
2021-01-26,63.71,65.94,63.71,65.43,1089600
2021-01-25,62.29,64.62,61.14,63.23,1671438
2021-01-22,62.36,63.1,61.93,62.85,1055300
2021-01-21,63.49,63.68,61.94,63.02,1140700
2021-01-20,61.01,62.93,60.08,62.08,1671400
2021-01-19,61.77,62.67,60.98,61.11,1229506
2021-01-15,61.77,62.44,60.88,62.16,1574300
2021-01-14,62.81,63.86,61.75,62.08,1676600
2021-01-13,60.61,62.35,60.61,62.12,1152600
2021-01-12,59.96,60.96,59.43,60.61,851700
2021-01-11,58.92,60.28,58.73,59.74,1212929
2021-01-08,59.48,60.7,58.9,60.24,1718200
2021-01-07,59.58,59.77,58.1,59.5,2005600
2021-01-06,57.37,59.31,56.6,59.19,1756500
2021-01-05,57.38,58.5,56.33,56.48,1373100
2021-01-04,60.0,60.74,56.6,57.28,1920812
2020-12-31,57.74,59.71,57.17,59.58,1012900
2020-12-30,57.71,59.27,57.71,58.04,797700
2020-12-29,58.66,59.99,57.35,57.7,1288200
2020-12-28,56.77,58.47,56.57,58.33,1758752
2020-12-24,57.3191,57.37,56.26,56.74,494317
2020-12-23,56.56,57.34,56.13,56.71,1002000
2020-12-22,56.2,56.49,55.55,55.95,1626400
2020-12-21,56.56,56.94,55.41,55.76,2150849
2020-12-18,60.09,60.185,57.77,58.12,1289198
2020-12-17,60.88,60.88,59.11,60.17,894217
2020-12-16,61.0,62.0,59.85,59.93,1141600
2020-12-15,58.7,61.21,57.8,60.85,2474622
2020-12-14,60.77,61.58,58.05,58.35,1602619
2020-12-11,61.725,62.44,60.12,61.11,1024913
2020-12-10,60.84,62.82,60.81,61.95,1133500
2020-12-09,62.01,62.59,60.95,62.04,1185300
2020-12-08,62.97,63.43,61.54,61.72,1344296
2020-12-07,64.79,65.59,62.02,62.43,1066355
2020-12-04,66.03,66.29,63.41,63.9,1215576
2020-12-03,60.3,62.69,60.11,62.19,1039300
2020-12-02,58.41,60.29,57.53,59.95,883800
2020-12-01,59.13,60.54,57.96,58.58,1092500
2020-11-30,60.2,61.02,57.71,57.9,1713198
2020-11-27,60.79,61.27,59.5,60.55,478700
2020-11-25,61.69,61.99,60.01,60.68,1340500
2020-11-24,62.3,65.53,61.63,62.08,2420500
2020-11-23,59.57,61.41,58.49,60.65,1754175
2020-11-20,57.64,58.99,57.37,58.83,1235600
2020-11-19,57.3,59.15,56.53,57.95,909100
2020-11-18,60.69,61.16,57.2,57.21,959825
2020-11-17,56.18,61.14,55.36,60.26,2354800
2020-11-16,59.09,59.8,55.23,56.7,1942109
2020-11-13,52.78,55.49,52.78,54.82,1660170
2020-11-12,53.99,55.58,51.62,52.13,2077800
2020-11-11,56.75,56.89,54.04,55.65,2107700
2020-11-10,59.49,62.33,55.12,57.13,4242700
2020-11-09,53.46,61.2,52.6,60.0,8386619
2020-11-06,45.45,46.24,42.94,43.82,1656200
2020-11-05,45.34,46.5,45.18,45.39,998400
2020-11-04,46.74,47.17,44.92,45.03,1962200
2020-11-03,46.16,48.38,45.5,47.83,1631500
2020-11-02,43.56,45.34,42.53,45.3,1305296
2020-10-30,41.58,43.0,41.0,42.81,1626200
2020-10-29,41.51,43.06,40.88,41.65,2490800
2020-10-28,42.38,42.69,40.47,42.01,2817100
2020-10-27,45.985,46.22,43.36,43.46,1981838
2020-10-26,46.86,46.86,44.8,45.87,1364726
2020-10-23,47.01,47.56,46.13,47.4,662753
2020-10-22,47.03,47.46,45.33,46.72,1295300
2020-10-21,46.14,46.6,45.29,46.08,1311600
2020-10-20,46.3,47.35,46.15,46.47,1083200
2020-10-19,47.41,47.72,45.54,45.61,1280190
2020-10-16,47.14,47.78,46.2,47.3,858600
2020-10-15,46.49,47.95,46.2,47.34,1054100
2020-10-14,47.55,48.25,46.84,47.25,834503
2020-10-13,50.69,50.69,47.57,47.61,1110452
2020-10-12,51.34,51.3429,50.055,50.69,947238
2020-10-09,53.04,53.18,50.95,51.4,955135
2020-10-08,50.95,53.2,50.89,52.96,1022294
2020-10-07,50.16,51.6,49.76,50.73,1192900
2020-10-06,49.84,51.77,49.19,49.92,1775300
2020-10-05,50.1,50.45,48.18,49.25,1017837
2020-10-02,45.52,49.55,45.51,49.32,1417296
2020-10-01,46.63,47.6204,45.63,47.28,1098232
2020-09-30,47.09,47.73,45.77,46.37,1230700
2020-09-29,47.42,47.96,45.57,46.53,923086
2020-09-28,47.72,49.0,47.3301,48.27,920544
2020-09-25,44.31,46.47,44.2473,46.4,989142
2020-09-24,43.78,45.89,42.71,44.73,1180291
2020-09-23,45.21,46.33,43.78,43.83,1154763
2020-09-22,46.51,48.02,45.62,45.67,1436524
2020-09-21,48.24,48.24,46.241,46.41,1345234
2020-09-18,50.5103,51.14,49.15,49.42,1374938
2020-09-17,50.03,51.5409,49.57,50.94,1192099
2020-09-16,50.3384,52.155,49.06,51.23,1395738
2020-09-15,47.47,51.2,47.47,49.87,1922430
2020-09-14,45.51,47.87,45.09,47.55,1422330
2020-09-11,45.11,45.15,43.3731,44.74,1835847
2020-09-10,46.88,47.53,44.92,45.04,1448508
2020-09-09,47.31,47.64,46.48,47.29,1298554
2020-09-08,48.705,49.32,46.77,47.05,1563409
2020-09-04,48.99,49.74,47.9674,49.23,819170
2020-09-03,48.72,50.65,47.79,48.21,1370280
2020-09-02,47.09,48.54,46.525,48.48,888997
2020-09-01,46.1035,47.6926,45.55,47.2,1012009
2020-08-31,48.825,48.825,46.6,46.73,1118888
2020-08-28,48.82,49.75,48.1483,48.9,552959
2020-08-27,47.7065,49.0142,47.7065,48.53,937689
2020-08-26,49.2572,49.56,47.01,47.14,804797
2020-08-25,50.06,50.7956,48.78,49.54,731384
2020-08-24,47.24,50.42,46.98,49.85,1309428
2020-08-21,47.415,47.94,46.545,47.21,662053
2020-08-20,45.57,47.69,45.35,47.24,1015400
2020-08-19,46.945,47.225,45.8,45.92,930001
2020-08-18,47.125,47.37,45.89,46.89,805897
2020-08-17,47.165,47.38,45.95,46.87,1300869
2020-08-14,47.915,48.84,47.3,47.39,1283794
2020-08-13,49.9196,50.24,47.91,48.04,1132966
2020-08-12,51.15,51.43,49.29,50.46,800516
2020-08-11,52.22,53.49,50.23,50.55,1007475
2020-08-10,48.81,51.23,48.81,51.08,1015867
2020-08-07,46.95,48.64,46.3,48.62,939543
2020-08-06,46.67,48.05,46.515,47.32,669986
2020-08-05,48.24,48.4,46.8965,47.16,810318
